relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Lead Test An­bin­dung En­er­gie­da­ten­ma­nage­ment (m/w/d),SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-02-25T11:01:57.740448+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","Architect, R, Deep Learning, Aws",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-02-25T11:08:00.224097+00:00
0,Tester | Germany,solcom,Soft­ware Tes­ter (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-02-25T11:01:57.740046+00:00
0,Tester | Germany,solcom,Em­bed­ded SW Test Ma­na­ger TCP/IP (m/w/d),SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104497,2026-02-25T11:01:57.740196+00:00
0,Tester | Germany,solcom,In­ge­nieur/ Ver­fah­rens­tech­ni­ker Bau­teil­qua­li­fi­zie­rung (m/w/d),SOLCOM Client,"D7, vorwiegend vor Ort",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ingenieur-verfahrenstechniker-inbetriebnahme-nass-trockenreinigungsanlagen-m-w-d-104453,2026-02-25T11:01:57.740304+00:00
0,Tester | Germany,solcom,"Busi­ness Ana­ly­se / Custo­mi­zing SAP (Pro­duk­te Kasse, Kre­dit, Kau­ti­on - FS-CD) (m/w/d)",SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-02-25T11:01:57.740560+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, Meiningen/Pfersdorf",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-25T11:01:57.740770+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-25T11:01:57.740873+00:00
0,Tester | Germany,solcom,Se­ni­or Per­for­mance Tes­ter - Linux (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-25T11:01:57.740972+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,C,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ce-koordinator-m-w-d-104059,2026-02-25T11:01:57.741076+00:00
0,QA Engineer | Germany,solcom,Se­ni­or QA En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-25T11:02:56.784180+00:00
0,Test Engineer | Germany,solcom,Test En­gi­neer ICT (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-104533,2026-02-25T11:03:57.796157+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Lindau am Bodensee",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikations-qualifikations-validierungsingenieur-im-bereich-luftfahrt-m-w-d-104465,2026-02-25T11:03:57.796285+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,"Entry-Level, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-configuration-engineer-m-w-d-104410,2026-02-25T11:03:57.796395+00:00
0,Test Engineer | Germany,solcom,Sys­tem­ver­ant­wort­li­cher- Ma­ri­ti­me Sub­sys­te­me - Werft­um­feld (Na­vi­ga­ti­on/Kom­mu­ni­ka­ti­on/Com­bat) (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-25T11:03:57.796600+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"Can, System Testing, Test Automation","R, Canoe",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-25T11:03:57.796805+00:00
0,Test Engineer | Germany,solcom,Re­si­dent En­gi­neer (Teil­zeit/part time 80%) (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-25T11:03:57.796901+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur im Be­reich Spreng­stoff (m/w/d),SOLCOM Client,"D2, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-02-25T11:05:00.152419+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","Esp32, R, Machine Learning",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-02-25T11:09:02.849124+00:00
