relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Safe, Project Manager, Consultant, Senior, Microservices, Agile, Devops, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-04-02T11:08:25.519874+00:00
0,Test Engineer | Germany,solcom,Func­tional Safe­ty En­gi­neer - Au­to­mo­ti­ve (m/w/d),SOLCOM Client,"D7, Stuttgart",On-site,Freelance,,Safe,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/functional-safety-engineer-automotive-m-w-d-105215,2026-04-02T11:09:26.161438+00:00
0,Test Engineer | Germany,solcom,Elek­tro­kon­struk­teur Hard­ware - EPLAN P8 (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektrokonstrukteur-hardware-eplan-p8-m-w-d-105212,2026-04-02T11:09:26.161563+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-02T11:09:26.161668+00:00
0,Test Engineer | Germany,solcom,Test Ana­lyst & Au­to­ma­ti­on En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-analyst-automation-engineer-m-w-d-1014661,2026-04-02T11:09:26.161767+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Go,"R, Azure",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-application-developer-m-w-d-105146,2026-04-02T11:09:26.161900+00:00
0,Test Engineer | Germany,solcom,An­for­de­rungs­ma­na­ger DOORS (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/anforderungsmanager-doors-m-w-d-104967,2026-04-02T11:09:26.162198+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-04-02T11:09:26.162295+00:00
0,Test Engineer | Germany,solcom,Java Test En­gi­neer (m/w/d),SOLCOM Client,"D7, Remote",Remote,Freelance,Java,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-04-02T11:09:26.162490+00:00
0,Test Automation | Germany,solcom,FPGA Ex­per­te (m/w/d),SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,,Fpga,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-02T11:11:27.401108+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-04-02T11:11:27.402052+00:00
0,Python Developer | Germany,solcom,De­ve­l­oper/Con­sul­tant Mi­croSt­ra­te­gy BI (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/developer-consultant-microstrategy-bi-m-w-d-104926,2026-04-02T11:12:30.291966+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler User In­ter­face (C++/emWin) (m/w/d),SOLCOM Client,"Remote, Gütersloh",Remote,Freelance,"C, C++",,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-user-interface-c-emwin-m-w-d-105058,2026-04-02T11:13:29.909690+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Safe, Docker, Devops, Gitlab, Gitlab Ci, Node.Js, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-04-02T11:13:29.909919+00:00
