relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Pricing Data and Process Consultant (m/w/d),Hays Client,Hamburg,On-site,Contract,,Consultant,German,Consultant,,18.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pricing-data-and-process-consultant-hamburg-890534/1,2026-08-24T10:46:12.227340+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"R, Freelancer",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-08-24T10:48:12.957519+00:00
14,Python Developer | Germany,hays,Senior PLC Developer (m/f/d),Hays Client,Ludwigsburg,On-site,Contract,"C, Ci/Cd, Python","Scrum, R, C#, Git, Senior, Junior, Scrum Master",English,Senior,,24.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-plc-developer-ludwigsburg-890432/1,2026-08-24T10:48:45.825336+00:00
14,Python Developer | Germany,hays,Software Developer IC-Design methodology (m/f/d),Hays Client,Villach,On-site,Contract,"Ci/Cd, Python","Lead, Architect",English,"Architect, Lead",,29.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-developer-ic-design-methodology-villach-887094/1,2026-08-24T10:48:45.825827+00:00
14,Python Test | Germany,hays,Experte für FPGA & Embedded C/C++ Entwicklung  (m/w/d),Hays Client,Freiburg,On-site,Contract,"C, C++","Fpga, Expert, R, Vhdl",German,Expert,,24.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-fuer-fpga-embedded-c-c-entwicklung--freiburg-891199/1,2026-08-24T10:49:13.965943+00:00
14,Python Test | Germany,hays,Senior Data Analyst / Technical Analyst  (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,Senior,German,Senior,,18.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-analyst-technical-analyst--duesseldorf-890568/1,2026-08-24T10:49:13.966206+00:00
14,Firmware Engineer | Germany,hays,Senior OT System Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,Firmware,"R, Senior",German,Senior,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-ot-system-engineer-basel-land-890035/1,2026-08-24T10:49:59.824108+00:00
0,Tester | Germany,hays,Testanalyst E-Invoicing (m/w/d),Hays Client,Hamburg,On-site,Contract,Go,"R, Jira",German,,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testanalyst-e-invoicing-hamburg-890154/1,2026-08-24T10:46:12.227639+00:00
0,Tester | Germany,hays,Homologation Engineer / ADAS Test & Validation Specialist  (m/w/d),Hays Client,Gifhorn,On-site,Contract,,R,German,,,12.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-homologation-engineer-adas-test-validation-specialist--gifhorn-889858/1,2026-08-24T10:46:12.228330+00:00
0,Tester | Germany,hays,Entwicklungsingenieur Elektronik & Funktionstest (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,07.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-elektronik-funktionstest-koeln-889144/1,2026-08-24T10:46:12.228550+00:00
0,Tester | Germany,hays,Techniker / Ingenieur Elektrotechnik mit Schwerpunkt Leistungselektronik (m/w/d),Hays Client,Soest,Remote,Contract,Hil,R,German,,,06.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-techniker-ingenieur-elektrotechnik-mit-schwerpunkt-leistungselektronik-soest-888226/1,2026-08-24T10:46:12.229016+00:00
0,Tester | Germany,hays,Entwicklungstechniker (m/w/d),Hays Client,Braunschweig,On-site,Contract,Hil,"R, Canoe",German,,,31.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungstechniker-braunschweig-888343/1,2026-08-24T10:46:12.229452+00:00
0,Tester | Germany,hays,FPGA-Entwickler (m/w/d),Hays Client,Taufkirchen,On-site,Contract,,Fpga,German,,,29.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fpga-entwickler-taufkirchen-887883/1,2026-08-24T10:46:12.229685+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,,German,,,29.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-887957/1,2026-08-24T10:46:12.229904+00:00
0,Tester | Germany,hays,Testingeniuer ADAS (m/w/d),Hays Client,Weyhausen,On-site,Contract,,,German,,,10.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingeniuer-adas-weyhausen-885325/1,2026-08-24T10:46:12.230337+00:00
0,Tester | Germany,hays,CPE Tester (m/w/d),Hays Client,Remote,Remote,Contract,Firmware,R,German,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cpe-tester-remote-884484/1,2026-08-24T10:46:12.230552+00:00
0,Tester | Germany,hays,Security Tester / Pentester (m/w/d),Hays Client,München -Garching,On-site,Contract,Test Automation,,German,,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-tester-pentester-muenchen--garching-883849/1,2026-08-24T10:46:12.230775+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-882001/1,2026-08-24T10:46:12.230987+00:00
0,Tester | Germany,hays,Software Tester and User Enablement Specialist (m/w/d),Hays Client,Berlin,On-site,Contract,,"Scrum, Jira, Azure, Devops, Safe, R",German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-and-user-enablement-specialist-berlin-881942/1,2026-08-24T10:46:12.231209+00:00
0,Tester | Germany,hays,Systemingenieur (m/w/d),Hays Client,Großraum Bonn,On-site,Contract,,,German,,,25.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemingenieur-grossraum-bonn-867591/1,2026-08-24T10:46:12.231670+00:00
0,QA Engineer | Germany,hays,Civil Site Engineer Wilhelmshaven (m/w/d),Hays Client,Wilhelmshaven,On-site,Contract,,,German,,,19.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-civil-site-engineer-wilhelmshaven-wilhelmshaven-890408/1,2026-08-24T10:46:41.836565+00:00
0,QA Engineer | Germany,hays,QA Engineer (m/f/d),Hays Client,Fribourg,On-site,Contract,,R,English,,,19.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qa-engineer-fribourg-890669/1,2026-08-24T10:46:41.836839+00:00
0,QA Engineer | Germany,hays,Quality Engineer (m/w/d),Hays Client,Bern,On-site,Contract,,R,German,,,19.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-engineer-bern-890733/1,2026-08-24T10:46:41.837063+00:00
0,QA Engineer | Germany,hays,Civil Site Engineer Hamm (m/w/d),Hays Client,Hamm,On-site,Contract,,,German,,,18.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-civil-site-engineer-hamm-hamm-890409/1,2026-08-24T10:46:41.837874+00:00
0,QA Engineer | Germany,hays,Softwareentwickler C++ (m/w/d),Hays Client,Jena,On-site,Contract,"C, C++, Pytest","Scrum, Junior",German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-c-jena-880455/1,2026-08-24T10:46:41.839013+00:00
0,QA Engineer | Germany,hays,MSAT Engineer Process Management (m/f/d),Hays Client,Zug,On-site,Contract,C,,English,,,28.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-msat-engineer-process-management-zug-878730/1,2026-08-24T10:46:41.839233+00:00
0,QA Engineer | Germany,hays,Project Engineer (m/w/d),Hays Client,Singen,On-site,Contract,C,,German,,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-singen-872232/1,2026-08-24T10:46:41.839895+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Intern, Angular, Spring Boot, Git, Devops, Docker",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-08-24T10:46:41.840115+00:00
0,Test Engineer | Germany,hays,Development Engineer Laser (m/w/d),Hays Client,Thüringen,On-site,Contract,,,English,,,14.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-development-engineer-laser-thueringen-889352/1,2026-08-24T10:47:15.026941+00:00
0,Test Engineer | Germany,hays,System Engineer Test Systems & Integration (m/w/d),Hays Client,Ludiwgsburg,On-site,Contract,,R,German,,,14.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-test-systems-integration-ludiwgsburg-890227/1,2026-08-24T10:47:15.027176+00:00
0,Test Engineer | Germany,hays,ATM Technical Engineer - ATM Techniker - Geldautomat Techniker (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,R,German,,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-atm-technical-engineer-atm-techniker-geldautomat-techniker-frankfurt-am-main-890139/1,2026-08-24T10:47:15.027400+00:00
0,Test Engineer | Germany,hays,Hardware Ingenieur Automotive / Hardware Design Engineer  (m/w/d),Hays Client,Kronach,On-site,Contract,,,German,,,09.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-ingenieur-automotive-hardware-design-engineer--kronach-885058/1,2026-08-24T10:47:15.028288+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-884442/1,2026-08-24T10:47:15.028744+00:00
0,Test Engineer | Germany,hays,ADAS Physical Integration Engineer (m/w/d) (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,01.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-adas-physical-integration-engineer-koeln-883779/1,2026-08-24T10:47:15.028960+00:00
0,Test Engineer | Germany,hays,Hardware Test Engineer – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-test-engineer--onboard-charger-obc-kassel-881857/1,2026-08-24T10:47:15.029401+00:00
0,Test Engineer | Germany,hays,Requirements Engineer - Onboard-Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-requirements-engineer-onboard-charger-obc-kassel-881810/1,2026-08-24T10:47:15.029865+00:00
0,Test Engineer | Germany,hays,System Test & Validation Engineer – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-test-validation-engineer--onboard-charger-obc-kassel-881860/1,2026-08-24T10:47:15.030094+00:00
0,Test Engineer | Germany,hays,Functional Test Engineer - Fahrzeugelektronik (m/w/d),Hays Client,Speyer,Remote,Contract,Embedded Systems,"R, Aspice",German,,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-functional-test-engineer-fahrzeugelektronik-speyer-880198/1,2026-08-24T10:47:15.030540+00:00
0,Test Engineer | Germany,hays,Mechanical Design Engineer (m/w/d),Hays Client,Weilheim in Oberbayern,On-site,Contract,,R,German,,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mechanical-design-engineer-weilheim-in-oberbayern-877322/1,2026-08-24T10:47:15.030767+00:00
0,Test Engineer | Germany,hays,Microsoft 365 Security Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,06.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-microsoft-365-security-engineer-muenchen-869732/1,2026-08-24T10:47:15.030986+00:00
0,Testingenieur | Germany,hays,Testingenieur  (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,R,German,,,14.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur--schleswig-holstein-890198/1,2026-08-24T10:47:46.694646+00:00
0,Testingenieur | Germany,hays,Testingenieur für Medizintechnik (m/w/d),Hays Client,Forchheim,Remote,Contract,,R,German,,,11.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-fuer-medizintechnik-forchheim-887346/1,2026-08-24T10:47:46.694916+00:00
0,Testingenieur | Germany,hays,Testingenieur - Hochvolt-Elektrifizierung (m/w/d),Hays Client,Stuttgart,On-site,Contract,,R,German,,,20.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-hochvolt-elektrifizierung-stuttgart-886438/1,2026-08-24T10:47:46.695376+00:00
0,Test Automation | Germany,hays,Financial Analyst (m/w/d),Hays Client,Sailauf,On-site,Contract,,,German,,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-financial-analyst-sailauf-889755/1,2026-08-24T10:48:12.954614+00:00
0,Test Automation | Germany,hays,IT Projektmanager Digitalisierung & Business Applications (m/w/d),Hays Client,Berlin,On-site,Contract,,,German,,,07.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-projektmanager-digitalisierung-business-applications-berlin-889171/1,2026-08-24T10:48:12.955294+00:00
0,Test Automation | Germany,hays,Embedded Softwaretester (m/w/d),Hays Client,Erlangen,On-site,Contract,,,German,,,05.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-softwaretester-erlangen-888813/1,2026-08-24T10:48:12.955508+00:00
0,Test Automation | Germany,hays,Koordinator (m/w/d),Hays Client,Rostock,On-site,Contract,,R,German,,,28.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-koordinator-rostock-887149/1,2026-08-24T10:48:12.955957+00:00
0,Test Automation | Germany,hays,Investment Compliance Specialist  (m/w/d),Hays Client,Bad Homburg,On-site,Contract,,R,German,,,22.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-investment-compliance-specialist--bad-homburg-883179/1,2026-08-24T10:48:12.956184+00:00
0,Test Automation | Germany,hays,Entwicklungsingenieur Automatisierungstechnik (m/w/d),Hays Client,Worms,On-site,Contract,,,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-automatisierungstechnik-worms-885658/1,2026-08-24T10:48:12.956861+00:00
0,Test Automation | Germany,hays,Facharbeiter Inbetriebnahme (m/w/d),Hays Client,Ludwigsburg,On-site,Contract,,,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-facharbeiter-inbetriebnahme-ludwigsburg-885633/1,2026-08-24T10:48:12.957084+00:00
0,Test Automation | Germany,hays,Manager IT Security  (m/w/d),Hays Client,München,On-site,Contract,,,German,,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-manager-it-security--muenchen-867614/1,2026-08-24T10:48:12.957973+00:00
0,Test Automation | Germany,hays,Abteilungsleiter Steuern (m/w/d),Hays Client,Hannover,On-site,Contract,,Head Of,German,,,12.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-abteilungsleiter-steuern-hannover-825018/1,2026-08-24T10:48:12.958196+00:00
0,Test Automation | Germany,hays,Technical Documentation Reviewer (m/w/d),Hays Client,Singen,On-site,Contract,,,German,,,30.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-technical-documentation-reviewer-singen-872597/1,2026-08-24T10:48:12.958422+00:00
0,Python Developer | Germany,hays,Fullstack Software Developer (m/f/d),Hays Client,Poing,On-site,Contract,,,English,,,05.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-software-developer-poing-878692/1,2026-08-24T10:48:45.825596+00:00
0,Python Developer | Germany,hays,Embedded Linux Developer (m/w/d),Hays Client,Bocholt,On-site,Contract,Embedded Linux,Linux,German,,,28.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-linux-developer-bocholt-887362/1,2026-08-24T10:48:45.826048+00:00
0,Python Developer | Germany,hays,PLC Developer (m/f/d),Hays Client,Zug,On-site,Contract,Integration Testing,R,English,,,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-plc-developer-zug-886420/1,2026-08-24T10:48:45.826265+00:00
0,Python Test | Germany,hays,AI und Data Science Engineer – EUV Metrology (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,Data Science,German,,,14.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-und-data-science-engineer--euv-metrology-baden-wuerttemberg-889340/1,2026-08-24T10:49:13.966442+00:00
0,Python Test | Germany,hays,Test & Mess Techniker (m/w/d),Hays Client,Backnang,On-site,Contract,,,German,,,11.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-mess-techniker-backnang-889551/1,2026-08-24T10:49:13.967130+00:00
0,Python Test | Germany,hays,Data Engineer Actuarial Engine (m/w/d),Hays Client,Hannover,On-site,Contract,Python,,German,,,05.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-engineer-actuarial-engine-hannover-888862/1,2026-08-24T10:49:13.967382+00:00
0,Python Test | Germany,hays,Software Entwickler - Schwerpunkt Integration (m/w/d),Hays Client,Ulm,On-site,Contract,Firmware,"R, Safe, Scrum",German,,,30.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-entwickler-schwerpunkt-integration-ulm-888239/1,2026-08-24T10:49:13.968098+00:00
0,Python Test | Germany,hays,IT-Revision (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,29.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-revision-koeln-885970/1,2026-08-24T10:49:13.968318+00:00
0,Python Test | Germany,hays,Embedded Software Engineer (m/w/d),Hays Client,Soest,On-site,Contract,"C, Hil, Python, Sil","Mil, C#, R",German,,,24.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-engineer-soest-887294/1,2026-08-24T10:49:13.968537+00:00
0,Python Test | Germany,hays,Solution Designer für CDM-DIL (m/w/d),Hays Client,Stuttgart,On-site,Contract,Ci/Cd,"R, Devops",German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-solution-designer-fuer-cdm-dil-stuttgart-885762/1,2026-08-24T10:49:13.968988+00:00
0,Python Test | Germany,hays,Entwicklungsingenieur Elektronik  (m/w/d),Hays Client,Großraum München,On-site,Contract,,,German,,,08.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-elektronik--grossraum-muenchen-884427/1,2026-08-24T10:49:13.969200+00:00
0,Python Test | Germany,hays,Prozessentwicklungsingenieur (m/w/d),Hays Client,Prüm,On-site,Contract,,R,German,,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-prozessentwicklungsingenieur-pruem-879595/1,2026-08-24T10:49:13.969876+00:00
0,Python Test | Germany,hays,Embedded Softwaretester  (m/w/d),Hays Client,Dresden,On-site,Contract,"C, C++, Can, Python, Spi",R,English,,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-softwaretester--dresden-877631/1,2026-08-24T10:49:13.970092+00:00
0,Python Test | Germany,hays,Ingenieur Elektrotechnik Schwerpunkt Automatisierung (m/w/d),Hays Client,Hessen,On-site,Contract,,R,German,,,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-elektrotechnik-schwerpunkt-automatisierung-hessen-846480/1,2026-08-24T10:49:13.970308+00:00
0,Firmware Engineer | Germany,hays,Managed Services Engineer  (m/w/d),Hays Client,Eschborn/remote,Remote,Contract,Firmware,,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-managed-services-engineer--eschborn-remote-879323/1,2026-08-24T10:49:59.824845+00:00
