relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Lead-Analytiker Anforderungsanalyse (m/w/d),Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,Lead,English,Lead,,13:08,https://www.freelancermap.de/projekt/lead-analytiker-anforderungsanalyse-m-w-d-3002952,2026-05-21T13:10:33.112468+00:00
0,Tester | Germany,freelancermap,Webdesigner (Framer) [gn],Freelancermap Client,Koblenz  Deutschland,On-site,Freelance,,,English,,,19.05.2026,https://www.freelancermap.de/projekt/webdesigner-framer-gn,2026-05-21T13:10:33.112600+00:00
0,Tester | Germany,freelancermap,B2B Appointment Setter / Telefonakquise gesucht – Microsoft 365 Sicherheitscheck für KMU in DACH,Freelancermap Client,bundesweit Deutschland,On-site,Freelance,,R,English,,,16.05.2026,https://www.freelancermap.de/projekt/b2b-appointment-setter-telefonakquise-gesucht-microsoft-365-sicherheitscheck-fuer-kmu-in-dach,2026-05-21T13:10:33.112866+00:00
0,Tester | Germany,freelancermap,ServiceNow Produkt Modellierer SOMT,Freelancermap Client,REMOTE Deutschland,Remote,Freelance,,,English,,,13:08,https://www.freelancermap.de/projekt/servicenow-produkt-modellierer-somt-3002953,2026-05-21T13:10:33.112989+00:00
0,Tester | Germany,freelancermap,AI Engineer (m/w/d) (ID: 1817),Freelancermap Client,Frankfurt (Main) Deutschland,On-site,Freelance,,,English,,,13:06,https://www.freelancermap.de/projekt/ai-engineer-m-w-d-id-1817,2026-05-21T13:10:33.113100+00:00
0,Tester | Germany,freelancermap,Business Analyst (m/w/d) (ID: 1818),Freelancermap Client,Frankfurt (Main) Deutschland,On-site,Freelance,,,English,,,13:06,https://www.freelancermap.de/projekt/business-analyst-m-w-d-id-1818,2026-05-21T13:10:33.113328+00:00
0,Tester | Germany,freelancermap,Teamleiter Objektbuchhaltung (Interim/Freelance),Freelancermap Client,Dresden Deutschland,On-site,Freelance,,Team Lead,English,,,13:03,https://www.freelancermap.de/projekt/teamleiter-objektbuchhaltung-interim-freelance,2026-05-21T13:10:33.113440+00:00
0,Tester | Germany,freelancermap,Frontend Entwickler:in,Freelancermap Client,Heidelberg Deutschland,On-site,Freelance,,,English,,,13:03,https://www.freelancermap.de/projekt/frontend-entwickler-in-3002945,2026-05-21T13:10:33.113812+00:00
0,Tester | Germany,freelancermap,FREELANCE // Mobile Tester // 100% Remote // Spannender Kunde,Freelancermap Client,Berlin Deutschland,Remote,Freelance,,,English,,,13:02,https://www.freelancermap.de/projekt/freelance-mobile-tester-100-prozent-remote-spannender-kunde,2026-05-21T13:10:33.113952+00:00
0,Tester | Germany,freelancermap,Fullstack Developer (m/w/d) - ANK14408 - Constaff GmbH,Freelancermap Client,frankfurt Deutschland,On-site,Freelance,,,English,,,13:02,https://www.freelancermap.de/projekt/fullstack-developer-m-w-d-ank14408-constaff-gmbh,2026-05-21T13:10:33.114079+00:00
0,Test Engineer | Austria,freelancermap,MS Intune Expertise 95%Remote / 5% Hannover,Freelancermap Client,Hannover Deutschland,Remote,Freelance,,,English,,,13:12,https://www.freelancermap.de/projekt/ms-intune-expertise-95-prozent-remote-5-prozent-hannover,2026-05-21T13:13:00.203168+00:00
0,Test Engineer | Remote,freelancermap,Frontendentwickler / Webformular (m/w/d) - Für Projekt im öffentlichen Sektor,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,R,English,,,13:13,https://www.freelancermap.de/projekt/frontendentwickler-webformular-m-w-d-fuer-projekt-im-oeffentlichen-sektor,2026-05-21T13:13:32.293366+00:00
0,Test Automation | Germany,freelancermap,SAP Produktmanager Logistik (m/w/d),Freelancermap Client,Karlsruhe Deutschland,On-site,Freelance,,,English,,,13:14,https://www.freelancermap.de/projekt/sap-produktmanager-logistik-m-w-d-3002965,2026-05-21T13:14:53.120022+00:00
0,Test Automation | Germany,freelancermap,SAP Produktmanager Logistik (m/w/d),Freelancermap Client,Karlsruhe Deutschland,On-site,Freelance,,,English,,,13:14,https://www.freelancermap.de/projekt/sap-produktmanager-logistik-m-w-d,2026-05-21T13:14:53.120137+00:00
0,Test Automation | Germany,freelancermap,"Linux-Plattform Engineer (w/m/d) Bare Metal/Virtualiz. Layer -Openstack, KVM, QEMU, libvirt - remote",Freelancermap Client,Stuttgart Deutschland,Remote,Freelance,,Linux,English,,,13:14,https://www.freelancermap.de/projekt/linux-plattform-engineer-w-m-d-bare-metal-virtualiz-layer-openstack-kvm-qemu-libvirt-remote,2026-05-21T13:14:53.120255+00:00
0,Test Automation | Austria,freelancermap,Technical Support Engineer (m/w/d),Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,13:14,https://www.freelancermap.de/projekt/technical-support-engineer-m-w-d-3002966,2026-05-21T13:15:09.783938+00:00
