relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,Ci/Cd,"R, Freelancer, Safe, Jira, Zephyr, Scrum, Lead, Rest Api",German,"Freelancer, Lead, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104100,2026-02-13T10:49:17.929801+00:00
0,Tester | Germany,solcom,Se­ni­or Au­to­ma­ti­on Spe­cia­list (m/w/d),SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automation-specialist-m-w-d-103826,2026-02-13T10:49:17.930511+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote",Remote,Freelance,,"R, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-testmanager-fuer-eine-s-4-hana-migration-m-w-d-103563,2026-02-13T10:49:17.930627+00:00
0,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, GR Bremen",On-site,Freelance,,"Mil, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/quality-manager-marine-schiffbau-m-w-d-103733,2026-02-13T10:50:20.331468+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Em­bed­ded Com­mu­ni­ca­ti­ons En­gi­neer (C/C++ / ARM/FPGA) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,"Arm, C, C++",Fpga,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-communications-engineer-c-c-arm-fpga-m-w-d-104265,2026-02-13T10:51:23.147190+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-13T10:51:23.147423+00:00
0,Test Engineer | Germany,solcom,Au­to­mo­ti­ve Sys­tem Test En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-13T10:51:23.147643+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-103885,2026-02-13T10:51:23.148036+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D7, GR Stuttgart",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-104254,2026-02-13T10:52:27.548772+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,Deutschland,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-datenerfassungssoftware-fuer-pruefstaende-m-w-d-103986,2026-02-13T10:52:27.548946+00:00
0,Testingenieur | Germany,solcom,Soft­ware-/Sys­tem Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D8, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-13T10:52:27.549055+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, remote",Remote,Freelance,"C, C++, Ci/Cd, Python","R, Docker, Git, Linux, Jira, Gitlab, Powershell, Confluence",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-ci-cd-pipelines-gitlab-m-w-d-104229,2026-02-13T10:55:29.600271+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Bodensee Region",Remote,Freelance,Python,"Linux, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/messtechnikingenieur-optik-m-w-d-104217,2026-02-13T10:55:29.600370+00:00
