relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Lead Test Connection Energy Data Management (m/f/d),GULP Client,"Location: Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/716956cc0cc111f196d7a2d1b5394681,2026-03-01T10:59:44.892706+00:00
0,QA Engineer | Germany,gulp,Site Manager for Pipeline & CivilEngineering(m/f/d),GULP Client,"Location: D8, Amerdingen",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d3f512e2132c11f196d7a2d1b5394681,2026-03-01T11:00:34.665454+00:00
0,QA Engineer | Germany,gulp,Revit planner civilengineering+ structuralengineering(creation of object and building plans) (m/f/d),GULP Client,"Location: Remote, Schorndorf",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d5fcd624132c11f196d7a2d1b5394681,2026-03-01T11:00:34.666037+00:00
0,Test Automation | Germany,gulp,Cloud Data Engineer (m/f/d) 70% Remote,GULP Client,"Location: Ingolstadt, Donau",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01246458,2026-03-01T11:03:04.136069+00:00
0,Test Automation | Germany,gulp,Metrologist (m/f/d),GULP Client,Location: Stuttgart,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01224138,2026-03-01T11:03:04.137443+00:00
0,Test Automation | Germany,gulp,GIS Developer (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01236517,2026-03-01T11:03:04.139058+00:00
0,Test Automation | Germany,gulp,Test automationengineer for archive systems,GULP Client,"Location: Frankfurt, überwiegend remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6978598a7ada91e76a3ef86d,2026-03-01T11:03:04.139513+00:00
0,Python Developer | Germany,gulp,Java FullstackDeveloper(m/f/d),GULP Client,Location: remote,Remote,Freelance,Java,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1968a9ae026fc1cf86742,2026-03-01T11:03:55.784262+00:00
0,Python Developer | Germany,gulp,Java FullstackDeveloper(m/f/d),GULP Client,Location: remote,Remote,Freelance,Java,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a196859ae026fc1cf86722,2026-03-01T11:03:55.784847+00:00
0,Python Developer | Germany,gulp,C#Developer(m/f/d),GULP Client,Location: Darmstadt,Remote,Freelance,C,C#,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247385,2026-03-01T11:03:55.785322+00:00
0,Python Developer | Germany,gulp,CI/CD Product Owner Service (m/f/d),GULP Client,Location: Remote,Remote,Freelance,Ci/Cd,Product Owner,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a16c9a9ae026fc1cf80c6d,2026-03-01T11:03:55.788769+00:00
0,Python Developer | Germany,gulp,COBOLDeveloper- Depot A Stocks (m/f/d),GULP Client,"Location: keine Angabe, Frankfurt",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6f3a0ec413c311f196d7a2d1b5394681,2026-03-01T11:03:55.790202+00:00
0,Python Test | Germany,gulp,Project manager - AGV control system (m/f/d),GULP Client,"Location: D8, Remote",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/51373ef413d411f196d7a2d1b5394681,2026-03-01T11:04:45.528694+00:00
0,Python Test | Germany,gulp,Support data migration SAP ECC to S/4 HANA (Finance and Controlling department) (m/f/d),GULP Client,Location: Wiesbaden,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01246934,2026-03-01T11:04:45.532595+00:00
0,Python Test | Germany,gulp,Sub-project manager for market communications (m/f/d),GULP Client,Location: Köln,On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69a05a7be83356962745a2e8,2026-03-01T11:04:45.532990+00:00
0,Python Test | Germany,gulp,IT Administrator Firewall (m/f/d),GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247011,2026-03-01T11:04:45.533357+00:00
0,Firmware Engineer | Germany,gulp,ProjectEngineerAutomation/Manufacturing (m/f/d),GULP Client,Location: D5,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/c33a61c8132c11f196d7a2d1b5394681,2026-03-01T11:05:34.741500+00:00
