relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-microsoft-4367912659,2026-02-11T20:27:58.550917+00:00
29,Firmware Engineer | Czech Republic,linkedin,AI Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/ai-software-engineer-at-microsoft-4358974601,2026-02-11T20:27:58.550608+00:00
29,Firmware Engineer | Czech Republic,linkedin,Software Engineer II,Microsoft,Dominican Republic,On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/software-engineer-ii-at-microsoft-4368183682,2026-02-11T20:27:58.551234+00:00
29,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Apple,"Cupertino, CA",On-site,Contract,"C, C++, Can, Firmware, Rtos",,English,,,Recent,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-apple-4359225274,2026-02-11T20:28:03.720083+00:00
29,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Apple,"Sunnyvale, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-apple-4360045063,2026-02-11T20:28:03.720600+00:00
29,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Apple,"Cupertino, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-apple-4359265180,2026-02-11T20:28:03.720748+00:00
14,Tester | Germany,linkedin,QA Game Tester (f/m/d),HandyGames,"Giebelstadt, Bavaria, Germany",Remote,Internship,Can,Lead,English,Lead,,Recent,https://de.linkedin.com/jobs/view/qa-game-tester-f-m-d-at-handygames-4370882284,2026-02-11T20:25:11.519017+00:00
14,Tester | Germany,linkedin,Game QA Tester,welevel,"Munich, Bavaria, Germany",On-site,Internship,,"Lead, Senior, Regression Testing",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/game-qa-tester-at-welevel-4356128994,2026-02-11T20:25:11.519187+00:00
14,Tester | Austria,linkedin,Software Tester/Test Engineer (m/w/d),SPAR Österreich,"Vienna, Vienna, Austria",Remote,Internship,"Ci/Cd, Playwright, Test Automation","R, Devops, Junior, Senior, Scrum",German,Senior,,Recent,https://at.linkedin.com/jobs/view/software-tester-test-engineer-m-w-d-at-spar-%C3%B6sterreich-4366503893,2026-02-11T20:25:13.911356+00:00
14,Tester | Austria,linkedin,Senior Software Tester*in (m/w/d),Value Dimensions Management Services GmbH,"Vienna, Vienna, Austria",On-site,Full-time,"Selenium, Test Automation","R, Associate, Php, Sql, Senior",German,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-tester-in-m-w-d-at-value-dimensions-management-services-gmbh-4365708643,2026-02-11T20:25:13.911673+00:00
14,Tester | Austria,linkedin,Testmanager und Tester (all genders),smart Energy Services GmbH,"Vienna, Vienna, Austria",Remote,Full-time,,R,German,Test Manager,,Recent,https://at.linkedin.com/jobs/view/testmanager-und-tester-all-genders-at-smart-energy-services-gmbh-4364070929,2026-02-11T20:25:13.911828+00:00
14,Tester | Switzerland,linkedin,Test Automation Engineer,Coopers Group AG,"Risch-Rotkreuz, Zug, Switzerland",On-site,Internship,"Ci/Cd, Rust, Selenium, Test Automation","Devops, Expert, Appium, Azure, Cucumber, Github, Bdd",English,Expert,,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-at-coopers-group-ag-4357724439,2026-02-11T20:25:16.348635+00:00
14,Tester | Slovakia,linkedin,Senior Quality Assurance Tester,Avenga,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-tester-at-avenga-4359843321,2026-02-11T20:25:21.158755+00:00
14,Tester | Czech Republic,linkedin,Senior QA Engineer - ServiceNow (Test Automation) - Finance,Truelogic Software,Dominican Republic,On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-engineer-servicenow-test-automation-finance-at-truelogic-software-4371242203,2026-02-11T20:25:23.528626+00:00
14,Tester | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4356700885,2026-02-11T20:25:23.528796+00:00
14,Tester | USA,linkedin,Manual Test Engineer - Remote,Lensa,"Fairfax, VA",Remote,Contract,"Playwright, Selenium, System Testing, Test Automation, Unit Testing","React, Consultant, Nunit, Jira, Devops, Aws, Performance Testing, Testng, Zephyr, Lead",English,"Consultant, Lead",,Recent,https://www.linkedin.com/jobs/view/manual-test-engineer-remote-at-lensa-4371211817,2026-02-11T20:25:28.752541+00:00
14,QA Engineer | Germany,linkedin,Senior Quality Assurance Engineer,SGI,"Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-sgi-4363260868,2026-02-11T20:25:33.609413+00:00
14,QA Engineer | Remote,linkedin,Senior QA Engineer,Embeddable,Berlin Metropolitan Area,Remote,Internship,"Can, Ci/Cd, Playwright, Test Automation","Postgresql, React, Load Testing, Sql, Docker, Kubernetes, Lead, Cucumber, Senior, Manual Testing",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-at-embeddable-4364051945,2026-02-11T20:25:40.800691+00:00
14,QA Engineer | Remote,linkedin,Senior Testing & QA Engineer (m/w/d),Spot Solutions GmbH,"Mühltal, Hesse, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-testing-qa-engineer-m-w-d-at-spot-solutions-gmbh-4368977484,2026-02-11T20:25:40.800839+00:00
14,QA Engineer | Remote,linkedin,Senior QA Engineer,Embeddable,"Berlin, Berlin, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-at-embeddable-4363772061,2026-02-11T20:25:40.800989+00:00
14,QA Engineer | Slovakia,linkedin,Expert Quality Assurance (QA) Engineer,Qualco Group,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Expert,English,Expert,,Recent,https://sk.linkedin.com/jobs/view/expert-quality-assurance-qa-engineer-at-qualco-group-4368493997,2026-02-11T20:25:43.194595+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Engineer,NATEK,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-at-natek-4361805031,2026-02-11T20:25:43.194900+00:00
14,QA Engineer | Slovakia,linkedin,Senior Quality Assurance Engineer,NATEK,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-natek-4361075753,2026-02-11T20:25:43.195195+00:00
14,QA Engineer | United Kingdom,linkedin,"Senior QA Engineer  (we have office locations in Cambridge, Leeds and London)",Genomics England,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-we-have-office-locations-in-cambridge-leeds-and-london-at-genomics-england-4367472164,2026-02-11T20:25:52.912958+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Spacelabs Healthcare,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-spacelabs-healthcare-4370274131,2026-02-11T20:25:52.913941+00:00
14,Test Engineer | Austria,linkedin,Senior Python Engineer - Functional Testing Project via Mindrift,Mindrift,Austria,On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-engineer-functional-testing-project-via-mindrift-at-mindrift-4370871449,2026-02-11T20:25:57.827041+00:00
14,Test Engineer | Remote,linkedin,Senior Full-Stack UI Engineer (remote/onsite),BeamNG GmbH,"Bremen, Bremen, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-full-stack-ui-engineer-remote-onsite-at-beamng-gmbh-4367483149,2026-02-11T20:26:02.659712+00:00
14,Test Engineer | USA,linkedin,Software Quality Assurance Engineer / Contractor,Quicken,"Menlo Park, CA",On-site,Contract,,Contractor,English,Contractor,,Recent,https://www.linkedin.com/jobs/view/software-quality-assurance-engineer-contractor-at-quicken-4368502077,2026-02-11T20:26:12.837067+00:00
14,Testingenieur | Germany,linkedin,(Senior-)Testingenieur (m/w/d) - ADAS,Applus+ IDIADA,"Ingolstadt, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-testingenieur-m-w-d-adas-at-applus%2B-idiada-4366382153,2026-02-11T20:26:17.770006+00:00
14,Testingenieur | Switzerland,linkedin,Senior Test Engineer – Semi-conducteurs,OLM Consultants,"Neuchâtel, Switzerland",Remote,Internship,"C, C++, Python","R, Senior",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-engineer-%E2%80%93-semi-conducteurs-at-olm-consultants-4360880867,2026-02-11T20:26:22.575789+00:00
14,Testingenieur | Poland,linkedin,"Test Manager / Test Managerka - Warszawa (Mazowieckie), Polska",Astek,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,,English,Test Manager,,Recent,https://pl.linkedin.com/jobs/view/test-manager-test-managerka-warszawa-mazowieckie-polska-at-astek-4361898679,2026-02-11T20:26:32.239744+00:00
14,Test Automation | Germany,linkedin,Senior QA & Test Automation Lead (m/f/d),Nagarro,Germany,On-site,Full-time,Test Automation,"Lead, Senior",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-qa-test-automation-lead-m-f-d-at-nagarro-4367528203,2026-02-11T20:26:39.897416+00:00
14,Test Automation | Germany,linkedin,Senior QA Automation Engineer,1GLOBAL,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-automation-engineer-at-1global-4370672251,2026-02-11T20:26:39.898570+00:00
14,Test Automation | Germany,linkedin,Senior QA Analyst,Jobgether,Germany,On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-analyst-at-jobgether-4370895999,2026-02-11T20:26:39.898867+00:00
14,Test Automation | Austria,linkedin,Senior QA & Test Automation Lead (all genders),Nagarro,Austria,On-site,Full-time,Test Automation,"Lead, Senior",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-qa-test-automation-lead-all-genders-at-nagarro-4367527238,2026-02-11T20:26:42.319525+00:00
14,Test Automation | Austria,linkedin,Senior Consultant Test Automation Engineer (m/w/d),QESTIT DACH,"Vienna, Austria",Remote,Full-time,"C, C++, Java, Selenium, Test Automation","R, Groovy, Consultant, Lead, Senior, C#",German,"Consultant, Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-consultant-test-automation-engineer-m-w-d-at-qestit-dach-4353682832,2026-02-11T20:26:42.320845+00:00
14,Test Automation | Switzerland,linkedin,Team Lead Quality Assurance (m/w/d) 80-100%,selekt,Lucerne Metropolitan Area,Remote,Full-time,,"Lead, Team Lead",English,Lead,,Recent,https://ch.linkedin.com/jobs/view/team-lead-quality-assurance-m-w-d-80-100%25-at-selekt-4367934120,2026-02-11T20:26:44.737982+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Analyst,RBW Consulting,"Lachen, Schwyz, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-analyst-at-rbw-consulting-4353430000,2026-02-11T20:26:44.738142+00:00
14,Test Automation | Switzerland,linkedin,Senior Test automation Engineer,SGI,"Zurich, Zurich, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-at-sgi-4369374892,2026-02-11T20:26:44.738489+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,TechFirm Information Systems,"Geneva, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-techfirm-information-systems-4361110838,2026-02-11T20:26:44.738655+00:00
14,Test Automation | Switzerland,linkedin,Senior AI/ML Platform Engineer,IMTF - Excellence in RegTech Solutions,"Zurich, Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-ai-ml-platform-engineer-at-imtf-excellence-in-regtech-solutions-4368300937,2026-02-11T20:26:44.738808+00:00
14,Test Automation | Slovakia,linkedin,Senior QA Automation Engineer,Deutsche Telekom IT Solutions Slovakia,"Košice-Juh, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-automation-engineer-at-deutsche-telekom-it-solutions-slovakia-4366155984,2026-02-11T20:26:49.578423+00:00
14,Test Automation | United Kingdom,linkedin,Test Lead,Legal & General,"Cardiff, Wales, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-lead-at-legal-general-4369217528,2026-02-11T20:26:59.623843+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Tester,G.Digital,"Leeds, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-tester-at-g-digital-4371284618,2026-02-11T20:26:59.624643+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Engineer,G.Digital,"East Midlands, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-g-digital-4367453313,2026-02-11T20:26:59.625108+00:00
14,Python Developer | Austria,linkedin,"Senior Python Engineer - AI Testing Project (Freelance, Mindrift)",Mindrift,Austria,On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-engineer-ai-testing-project-freelance-mindrift-at-mindrift-4370844305,2026-02-11T20:27:04.463385+00:00
14,Python Developer | Switzerland,linkedin,(Senior) Python Software Engineer (M/W/D),s-peers AG,"Tägerwilen, Thurgau, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-python-software-engineer-m-w-d-at-s-peers-ag-4365253961,2026-02-11T20:27:06.869071+00:00
14,Python Developer | Switzerland,linkedin,(Senior-) Backend Engineer,Helvetii AI,"Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-backend-engineer-at-helvetii-ai-4370983283,2026-02-11T20:27:06.869958+00:00
14,Python Developer | Remote,linkedin,Senior Software Engineer (Python/AWS),LocalStack,"Berlin, Berlin, Germany",Remote,Full-time,Python,"Senior, Aws",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-aws-at-localstack-4370939762,2026-02-11T20:27:09.379207+00:00
14,Python Developer | Remote,linkedin,Senior Python Engineer (m/f/d),Redcare Pharmacy,"Berlin, Berlin, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-m-f-d-at-redcare-pharmacy-4326465857,2026-02-11T20:27:09.379392+00:00
14,Python Developer | Remote,linkedin,Senior Python Backend Engineer,ClearML,Germany,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-backend-engineer-at-clearml-4370505023,2026-02-11T20:27:09.379552+00:00
14,Python Developer | Remote,linkedin,"Senior Python Engineer - AI Testing Project (Freelance, Mindrift)",Mindrift,"Hamburg, Hamburg, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-ai-testing-project-freelance-mindrift-at-mindrift-4370806852,2026-02-11T20:27:09.379720+00:00
14,Python Developer | Remote,linkedin,"Senior Python Engineer - AI Testing Project (Freelance, Mindrift)",Mindrift,"Cologne, North Rhine-Westphalia, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-ai-testing-project-freelance-mindrift-at-mindrift-4370819377,2026-02-11T20:27:09.379888+00:00
14,Python Developer | Remote,linkedin,"Senior Python Engineer - AI Testing Project (Freelance, Mindrift)",Mindrift,"Berlin, Berlin, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-ai-testing-project-freelance-mindrift-at-mindrift-4370812633,2026-02-11T20:27:09.380050+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Engineer,AIApply,Bratislava Metropolitan Area,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-engineer-at-aiapply-4368804402,2026-02-11T20:27:11.802580+00:00
14,Python Developer | Slovakia,linkedin,Python Senior Developer,Deutsche Telekom IT Solutions Slovakia,"Kosice, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/python-senior-developer-at-deutsche-telekom-it-solutions-slovakia-4365943329,2026-02-11T20:27:11.802742+00:00
14,Python Developer | Slovakia,linkedin,Senior Python-Entwickler (m/w/d),Deutsche Telekom,"Košice-Juh, Kosice, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-entwickler-m-w-d-at-deutsche-telekom-4367990847,2026-02-11T20:27:11.802903+00:00
14,Python Developer | Czech Republic,linkedin,Senior Back-End Engineer (Python/Fast API) - Creative Agency (DR),Truelogic Software,Dominican Republic,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-back-end-engineer-python-fast-api-creative-agency-dr-at-truelogic-software-4363724635,2026-02-11T20:27:14.203928+00:00
14,Python Developer | Czech Republic,linkedin,Remote - Senior Backend Engineer (Python/Django with React exposure) - Mental health care coordination - R Dominicana Base,Truelogic Software,Dominican Republic,Remote,Full-time,Python,"R, React, Senior, Django",English,Senior,,Recent,https://do.linkedin.com/jobs/view/remote-senior-backend-engineer-python-django-with-react-exposure-mental-health-care-coordination-r-dominicana-base-at-truelogic-software-4368810044,2026-02-11T20:27:14.204093+00:00
14,Python Developer | Czech Republic,linkedin,Senior Full-Stack Developer (Go/React) - Technology,Truelogic Software,Dominican Republic,On-site,Full-time,Go,"Senior, React",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-full-stack-developer-go-react-technology-at-truelogic-software-4367369683,2026-02-11T20:27:14.204955+00:00
14,Python Developer | Czech Republic,linkedin,Senior Full Stack Developer (React / Python) - Software,Truelogic Software,Dominican Republic,On-site,Full-time,Python,"Senior, React",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-full-stack-developer-react-python-software-at-truelogic-software-4366161531,2026-02-11T20:27:14.205119+00:00
14,Python Test | Switzerland,linkedin,Senior AI/ML Platform Engineer,IMTF - Excellence in RegTech Solutions,"Givisiez, Fribourg, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-ai-ml-platform-engineer-at-imtf-excellence-in-regtech-solutions-4368313376,2026-02-11T20:27:28.872267+00:00
14,Python Test | Remote,linkedin,Senior Python Engineer - Functional Testing Project via Mindrift,Mindrift,Germany,Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-functional-testing-project-via-mindrift-at-mindrift-4370869250,2026-02-11T20:27:31.338498+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-02-11T20:27:36.176021+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer,TriLite Technologies,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-at-trilite-technologies-4360573506,2026-02-11T20:27:48.911357+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer,Sqail,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-at-sqail-4356235095,2026-02-11T20:27:48.911673+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Wireless Software Engineer (Switzerland),Gramian Consulting,"Geneva, Geneva, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-wireless-software-engineer-switzerland-at-gramian-consulting-4367114772,2026-02-11T20:27:51.344498+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Software Engineer,Ripple,"Geneva, Geneva, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-at-ripple-4370748789,2026-02-11T20:27:51.344807+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Wireless Software Engineer (Switzerland),Gramian Consulting,"Bern, Berne, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-wireless-software-engineer-switzerland-at-gramian-consulting-4367111860,2026-02-11T20:27:51.344963+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Wireless Software Engineer (Switzerland),Gramian Consulting,"Marin-Epagnier, Neuchâtel, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-wireless-software-engineer-switzerland-at-gramian-consulting-4367116698,2026-02-11T20:27:51.345300+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Software Engineer,Summit Recruitment AG,"Central Switzerland, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-software-engineer-at-summit-recruitment-ag-4367818468,2026-02-11T20:27:51.345469+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded BMS Engineer (m/f/x) - FREELANCE,requisimus,Germany,Remote,Contract,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior%C2%A0embedded-bms-engineer-m-f-x-freelance-at-requisimus-4367870910,2026-02-11T20:27:53.731181+00:00
14,Firmware Engineer | Remote,linkedin,Senior Firmware Engineer,XpertDirect,Greater Munich Metropolitan Area,Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-firmware-engineer-at-xpertdirect-4353948488,2026-02-11T20:27:53.731782+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded Engineer (m/w/d),QAVION GROUP,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-m-w-d-at-qavion-group-4353658787,2026-02-11T20:27:53.732091+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Mühlbauer Group,"Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-m%C3%BChlbauer-group-4361461155,2026-02-11T20:27:56.157570+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer (Mid-Senior Level),Innovatrics,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/software-engineer-mid-senior-level-at-innovatrics-4363153037,2026-02-11T20:27:56.157901+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Paymentology,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-paymentology-4365537340,2026-02-11T20:27:56.158218+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Embedded Firmware Engineer - Remote - Latin America,FullStack,"Santo Domingo Oeste, Santo Domingo, Dominican Republic",Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-embedded-firmware-engineer-remote-latin-america-at-fullstack-4370563225,2026-02-11T20:27:58.551418+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Embedded Firmware Engineer - Remote - Latin America,FullStack,"Santo Domingo, Dominican Republic",Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-embedded-firmware-engineer-remote-latin-america-at-fullstack-4370559405,2026-02-11T20:27:58.551591+00:00
