relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
0,Tester | Germany,solcom,Bau­über­wa­cher Tief­bau (m/w/d),SOLCOM Client,"D9, Meiningen/Pfersdorf",On-site,freiberuflich,,,,,,Start: April 2026 / Mai 2026,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-11T10:56:17.834207+00:00
0,Tester | Germany,solcom,Se­ni­or Au­to­ma­ti­on Spe­cia­list (m/w/d),SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,freiberuflich,,,,,,Start: 01.03.2026,https://www.solcom.de/de/projektportal/projektangebote/senior-automation-specialist-m-w-d-103826,2026-02-11T10:56:17.837872+00:00
0,Tester | Germany,solcom,SAP Test­ma­na­ger für eine S/4 Hana Mi­gra­ti­on (m/w/d),SOLCOM Client,"D7, Remote",Remote,freiberuflich,,R,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/sap-testmanager-fuer-eine-s-4-hana-migration-m-w-d-103563,2026-02-11T10:56:17.838229+00:00
0,QA Engineer | Germany,solcom,Se­ni­or QA En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-11T10:57:00.116306+00:00
0,QA Engineer | Germany,solcom,Qua­li­ty Ma­na­ger - Ma­ri­ne / Schiff­bau (m/w/d),SOLCOM Client,"D2, GR Bremen",On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/quality-manager-marine-schiffbau-m-w-d-103733,2026-02-11T10:57:00.116626+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Em­bed­ded Com­mu­ni­ca­ti­ons En­gi­neer (C/C++ / ARM/FPGA) (m/w/d),SOLCOM Client,Remote,Remote,freiberuflich,"Arm, C, C++",Fpga,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-communications-engineer-c-c-arm-fpga-m-w-d-104265,2026-02-11T10:57:41.215725+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"CH, Remote",Remote,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-11T10:57:41.215896+00:00
0,Test Engineer | Germany,solcom,Sys­tem En­gi­neer Ma­ri­ne Sys­te­me (Na­vi­ga­ti­on / Kom­mu­ni­ka­ti­on / Com­bat) (m/w/d),SOLCOM Client,D2,On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-11T10:57:41.216072+00:00
0,Test Engineer | Germany,solcom,Au­to­mo­ti­ve Sys­tem Test En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-11T10:57:41.216373+00:00
0,Test Engineer | Germany,solcom,Re­si­dent En­gi­neer (Teil­zeit/part time 80%) (m/w/d),SOLCOM Client,International,On-site,freiberuflich,,,,,,Start: 01.04.2026,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-11T10:57:41.216521+00:00
0,Test Engineer | Germany,solcom,HPC Sys­tem/Soft­ware En­gi­neer (m/w/d),SOLCOM Client,"Remote, D4",Remote,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-11T10:57:41.216671+00:00
0,Test Engineer | Germany,solcom,Elec­tri­cal En­gi­neer Au­to­no­mous Dri­ving Sys­tems - Zuken E3 (m/w/d),SOLCOM Client,"International, Niederlande",On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/electrical-engineer-autonomous-driving-systems-zuken-e3-m-w-d-103941,2026-02-11T10:57:41.216822+00:00
0,Test Engineer | Germany,solcom,Test En­gi­neer ICT (m/w/d),SOLCOM Client,D4,On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-103885,2026-02-11T10:57:41.217147+00:00
0,Test Engineer | Germany,solcom,IT/OT-Daten- und Au­to­ma­ti­sie­rungs­spe­zia­list für ARC / eOEE-In­te­gra­ti­on (m/w/d),SOLCOM Client,"D6, Frankfurt am Main",On-site,freiberuflich,,R,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/it-ot-daten-und-automatisierungsspezialist-fuer-arc-eoee-integration-m-w-d-103862,2026-02-11T10:57:41.217304+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D7, GR Stuttgart",On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-104254,2026-02-11T10:58:25.723951+00:00
0,Testingenieur | Germany,solcom,Soft­ware­ent­wick­ler- Da­ten­er­fas­sungs­soft­ware für Prüf­stän­de (m/w/d),SOLCOM Client,Deutschland,On-site,freiberuflich,,R,German,,,Start: 01.03.2026,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-datenerfassungssoftware-fuer-pruefstaende-m-w-d-103986,2026-02-11T10:58:25.724124+00:00
0,Testingenieur | Germany,solcom,Soft­ware-/Sys­tem Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D8, remote",Remote,freiberuflich,,,,,,Start: asap / 01.03.2026,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-11T10:58:25.724275+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-11T10:59:06.034132+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler CI/CD Pipe­lines (Git­Lab) (m/w/d),SOLCOM Client,"D3, remote",Remote,freiberuflich,Ci/Cd,Git,,,,Start: asap. spätestens 23.03.2026,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-ci-cd-pipelines-gitlab-m-w-d-104229,2026-02-11T11:01:45.776254+00:00
0,Python Test | Germany,solcom,Mess­tech­nik­in­ge­nieur Optik (m/w/d),SOLCOM Client,"D8, Bodensee Region",On-site,freiberuflich,,,,,,Start: März 2026,https://www.solcom.de/de/projektportal/projektangebote/messtechnikingenieur-optik-m-w-d-104217,2026-02-11T11:01:45.776428+00:00
