relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Europaweit",Remote,Freelance,"Javascript, Playwright, Test Automation, Typescript","Cypress, Nosql, Microservices, Scrum, Kanban, R, Safe, Agile, Senior, Freelancer",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-test-automation-engineer-e-mobility-teilzeit-m-w-d-106553,2026-06-29T14:38:16.828163+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Stuttgart/ Böblingen",Remote,Freelance,Can,"Junior, R, Jira, Confluence",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-automotive-systemtestaufbau-testbench-built-up-2-person-en-m-w-d-106602,2026-06-29T14:38:16.828079+00:00
0,Tester | Germany,solcom,"Va­li­da­ti­on, Ve­ri­fi­ca­ti­on & Re­qui­re­ments En­gi­neer (m/w/d)",SOLCOM Client,"D2, 50% Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validation-verification-requirements-engineer-m-w-d-1015582,2026-06-29T14:38:16.828243+00:00
0,Tester | Germany,solcom,"Fach­ex­per­te Schutz- und Leit­tech­nik / Se­kun­där­tech­nik HVDC, SYS41 (m/w/d)",SOLCOM Client,"Remote, ggf. vereinzelt Termine vor Ort",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fachexperte-schutz-und-leittechnik-sekundaertechnik-hvdc-sys41-m-w-d-106359,2026-06-29T14:38:16.828322+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - UAV Sys­te­me / Ent­wick­lungs­pro­jekt Luft­fahrt (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106707,2026-06-29T14:40:24.267316+00:00
0,Test Engineer | Germany,solcom,IT En­gi­neer/De­v­Ops (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106686,2026-06-29T14:40:24.267480+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, Lippstadt",Remote,Freelance,Embedded Systems,"R, Agile, Product Owner, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/feature-team-product-owner-power-distribution-m-w-d-106619,2026-06-29T14:40:24.267558+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC USA (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-usa-m-w-d-106540,2026-06-29T14:40:24.267794+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Biberach,Remote,Freelance,Embedded Systems,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/product-cyber-security-engineer-pse-m-w-d-1015440,2026-06-29T14:40:24.267868+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-m-w-d-106474,2026-06-29T14:40:24.268034+00:00
0,Test Engineer | Germany,solcom,Ein­füh­rungs­pro­jekt Goog­le Cloud (m/w/d),SOLCOM Client,"D7, und Niederlassungen deutschlandweit",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/einfuehrungsprojekt-google-cloud-m-w-d-106445,2026-06-29T14:40:24.268185+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - Wea­pon In­te­gra­ti­on (UAV / Ae­ro­space & De­fence) (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-weapon-integration-uav-aerospace-defence-m-w-d-106397,2026-06-29T14:40:24.268335+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-106360,2026-06-29T14:40:24.268411+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal En­gi­neer - Ki­ne­ma­tic Sys­tems & Me­cha­nism (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-engineer-kinematic-systems-mechanism-m-w-d-106276,2026-06-29T14:40:24.268484+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem-Mea­su­re­ments (up to 12 GHz) / 4 Per­son(en) (m/w/d),SOLCOM Client,"International, Bucharest, Romania",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-4-person-en-m-w-d-106253,2026-06-29T14:40:24.268558+00:00
0,Test Engineer | Germany,solcom,Ther­mal De­sign En­gi­neer - CFD & Ther­mo-Me­cha­ni­cal Si­mu­la­ti­on - UAV Sys­tems (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/thermal-design-engineer-cfd-thermo-mechanical-simulation-uav-systems-m-w-d-106149,2026-06-29T14:40:24.268707+00:00
0,Testingenieur | Germany,solcom,Va­li­die­rungs­in­ge­nieur / Tes­in­ge­nieur Au­to­mo­ti­ve (m/w/d),SOLCOM Client,"D9, remote",Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/validierungsingenieur-tesingenieur-automotive-m-w-d-106687,2026-06-29T14:41:31.739826+00:00
0,Test Automation | Germany,solcom,Zer­ti­fi­zier­ter Pro­jekt­ma­na­ger Bau-/An­la­gen­bau /In­dus­trie­pro­jek­ten (CAPEX/OPEX)) EPC/EPCM (m/w/d),SOLCOM Client,D9,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/zertifizierter-projektmanager-bau-anlagenbau-industrieprojekten-capex-opex-epc-epcm-m-w-d-106708,2026-06-29T14:42:33.431998+00:00
0,Test Automation | Germany,solcom,Ro­bo­ter­pro­gram­mie­rer (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/roboterprogrammierer-m-w-d-106637,2026-06-29T14:42:33.432082+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D5,On-site,Freelance,"Nlp, Python","R, Databricks, Spark, Git, Azure, Sql",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-scientist-m-w-d-106318,2026-06-29T14:44:37.220256+00:00
