relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-03-05T10:43:04.536952+00:00
0,Test Engineer | Germany,hays,Validation & Qualification Engineer – IT/OT Robotics (m/w/d),Hays Client,Mannheim,On-site,Contract,,R,German,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-qualification-engineer--it-ot-robotics-mannheim-858088/1,2026-03-05T10:43:50.282197+00:00
0,Test Engineer | Germany,hays,Software Engineer (Fokus: Input Management) (m/w/d),Hays Client,"Nürnberg, Hamburg oder Köln",On-site,Contract,C,C#,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-fokus--input-management-nuernberg-hamburg-oder-koeln-859399/1,2026-03-05T10:43:50.282478+00:00
0,Test Engineer | Germany,hays,Application Engineer (m/w/d),Hays Client,Bundesweit,On-site,Contract,,,German,,,23.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-application-engineer-bundesweit-853495/1,2026-03-05T10:43:50.282752+00:00
0,Test Engineer | Germany,hays,Hardware Engineer (m/w/d),Hays Client,Lippstadt,On-site,Contract,,R,German,,,25.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-engineer-lippstadt-827402/1,2026-03-05T10:43:50.283265+00:00
0,Testingenieur | Germany,hays,Testingenieur - Inbetriebnehmer  (m/w/d),Hays Client,Guxhagen,On-site,Contract,,"R, Project Manager",German,,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-inbetriebnehmer--guxhagen-864290/1,2026-03-05T10:44:14.844294+00:00
0,Testingenieur | Germany,hays,Prüfer Elektrotechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pruefer-elektrotechnik-frankfurt-am-main-858287/1,2026-03-05T10:44:14.844595+00:00
0,Testingenieur | Germany,hays,Testingenieur Brems- und Pneumatiksysteme (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-brems--und-pneumatiksysteme-erlangen-863797/1,2026-03-05T10:44:14.844856+00:00
0,Test Automation | Germany,hays,Versuchsingenieur (m/w/d),Hays Client,Aschaffenburg,On-site,Contract,,,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versuchsingenieur-aschaffenburg-863728/1,2026-03-05T10:44:38.796210+00:00
0,Test Automation | Germany,hays,Technischer Angebotsmanager (m/w/d),Hays Client,Berlin,On-site,Contract,,,German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-technischer-angebotsmanager-berlin-857493/1,2026-03-05T10:44:38.796480+00:00
0,Test Automation | Germany,hays,Finanzbuchhalter Schwerpunkt Kreditoren (m/w/d),Hays Client,Duisburg,On-site,Contract,,,German,,,24.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-finanzbuchhalter-schwerpunkt-kreditoren-duisburg-862726/1,2026-03-05T10:44:38.797005+00:00
0,Test Automation | Germany,hays,Automatisierungstechniker  (m/w/d),Hays Client,Mannheim,On-site,Contract,,,German,,,20.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automatisierungstechniker--mannheim-862607/1,2026-03-05T10:44:38.797553+00:00
0,Test Automation | Germany,hays,Credit Analyst  (m/w/d),Hays Client,Bad Homburg,On-site,Contract,,R,German,,,18.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-credit-analyst--bad-homburg-862311/1,2026-03-05T10:44:38.797811+00:00
0,Test Automation | Germany,hays,Softwareentwickler für Maschinensteuerungen (m/w/d),Hays Client,Chemnitz,On-site,Contract,,R,German,,,16.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-fuer-maschinensteuerungen-chemnitz-861923/1,2026-03-05T10:44:38.798076+00:00
0,Test Automation | Germany,hays,Automatisierungstechniker (m/w/d),Hays Client,Mecklenburg-Vorpomm.,On-site,Contract,,,German,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automatisierungstechniker-mecklenburg-vorpomm-855676/1,2026-03-05T10:44:38.798858+00:00
0,Test Automation | Germany,hays,Teamlead Quality Assurance  (m/w/d),Hays Client,Hamburg,On-site,Contract,,R,German,,,15.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-quality-assurance--hamburg-854242/1,2026-03-05T10:44:38.799377+00:00
0,Test Automation | Germany,hays,Teamlead QA  (m/w/d),Hays Client,Dortmund,On-site,Contract,,R,German,,,09.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-qa--dortmund-853539/1,2026-03-05T10:44:38.799653+00:00
0,Test Automation | Germany,hays,Elektriker für Automatisierungstechnik (m/w/d),Hays Client,Mannheim,On-site,Contract,,R,German,,,18.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektriker-fuer-automatisierungstechnik-mannheim-826448/1,2026-03-05T10:44:38.799904+00:00
0,Python Developer | Germany,hays,Data Developer Backend Python (m/w/d),Hays Client,Remote,Remote,Contract,Python,"Sql, Fastapi",German,,,04.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-developer-backend-python-remote-864213/1,2026-03-05T10:45:03.892957+00:00
0,Python Developer | Germany,hays,Fullstack Developer (m/w/d),Hays Client,Dresden,On-site,Contract,,"Product Owner, R",German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-developer-dresden-854294/1,2026-03-05T10:45:03.893221+00:00
0,Python Developer | Germany,hays,Backend Python Developer  (m/f/d),Hays Client,Basel Stadt,On-site,Contract,Python,Agile,English,,,24.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-backend-python-developer--basel-stadt-863129/1,2026-03-05T10:45:03.893751+00:00
0,Python Developer | Germany,hays,Frontend Entwickler  (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-frontend-entwickler--duesseldorf-854809/1,2026-03-05T10:45:03.894000+00:00
0,Python Developer | Germany,hays,Softwareentwickler (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-duesseldorf-851846/1,2026-03-05T10:45:03.894250+00:00
0,Python Test | Germany,hays,Versicherungsmathematiker/in Leben (m/w/d),Hays Client,München,On-site,Contract,,R,German,,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versicherungsmathematiker-in-leben-muenchen-856545/1,2026-03-05T10:45:25.634854+00:00
0,Python Test | Germany,hays,System Ingenieur- Integration & Tests / Funkkommunikationssysteme / Rohde &Schwarz (m/w/d),Hays Client,Stuttgart,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-ingenieur--integration-tests-funkkommunikationssysteme-rohde--schwarz-stuttgart-860763/1,2026-03-05T10:45:25.635667+00:00
