relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,,"R, Associate, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineer-pruefspezifikationen-m-w-d-1014854,2026-05-14T12:09:15.903277+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-qualifikationsingenieur-m-w-d-105570,2026-05-14T12:06:59.196889+00:00
0,Tester | Germany,solcom,Soft­ware-Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-05-14T12:06:59.196990+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Regensburg,Remote,Freelance,"Can, Python, Test Automation","R, Zephyr, Jira, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-05-14T12:06:59.197090+00:00
0,Test Engineer | Germany,solcom,Netz­werk In­ge­nieur/Wind­park Con­trol­ler/SCADA (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/netzwerk-ingenieur-windpark-controller-scada-m-w-d-105945,2026-05-14T12:09:15.903156+00:00
0,Test Engineer | Germany,solcom,IT En­gi­neer/De­v­Ops (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-105827,2026-05-14T12:09:15.903386+00:00
0,Test Engineer | Germany,solcom,Com­mis­sio­ning of bio­gas plants (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/commissioning-of-biogas-plants-m-w-d-105822,2026-05-14T12:09:15.903484+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-105774,2026-05-14T12:09:15.903583+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Braunschweig / Remote,Remote,Freelance,Javascript,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/spezialist-fuer-adobe-acroba-m-w-d-1014770,2026-05-14T12:09:15.903702+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-3-person-en-m-w-d-105657,2026-05-14T12:09:15.903900+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, Gr Mainz 4 Tage Mo-Do",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qualitaetsingeneieur-qs-ingenieur-fuer-grossbaustelle-im-bereich-energietechnik-m-w-d-105492,2026-05-14T12:09:15.904281+00:00
0,Test Engineer | Germany,solcom,PID Con­t­rol En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pid-control-engineer-m-w-d-105468,2026-05-14T12:09:15.904374+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,On-site,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-05-14T12:09:15.904471+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D2, Bremen",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-105841,2026-05-14T12:10:22.822278+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur - Em­bed­ded Sys­te­me (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-embedded-systeme-m-w-d-1014771,2026-05-14T12:10:22.822629+00:00
