relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Firmware Engineer | Germany,linkedin,Embedded Software Engineer,NXP Semiconductors,"Hamburg, Hamburg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/embedded-software-engineer-at-nxp-semiconductors-4393236614,2026-06-01T16:11:32.620369+00:00
14,Test Automation | Remote,linkedin,Senior Automation Tester - Python/Pytest,Jobgether,Germany,Remote,Full-time,"Pytest, Python",Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-automation-tester-python-pytest-at-jobgether-4418250383,2026-06-01T16:10:33.269166+00:00
14,Test Automation | Slovakia,linkedin,Senior Test Developer,Kistler Group,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-developer-at-kistler-group-4420290304,2026-06-01T16:10:35.666565+00:00
14,Test Automation | Slovakia,linkedin,Software Developer in Test (SDET),Fiserv,"Bratislava, Slovakia",Remote,Internship,"Ci/Cd, Java, Javascript, Playwright, Python, Selenium, Shell, Test Automation, Typescript","R, Senior, Lead, Docker, Linux, Gitlab, Aws, Kubernetes, Performance Testing, Unix",English,"Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/software-developer-in-test-sdet-at-fiserv-4408642088,2026-06-01T16:10:35.667147+00:00
14,Test Automation | Slovakia,linkedin,Senior Quality Assurance Automation Engineer,NATEK,"Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-automation-engineer-at-natek-4418750286,2026-06-01T16:10:35.667550+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Engineer - Automation,Paymentology,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-automation-at-paymentology-4421645322,2026-06-01T16:10:35.667826+00:00
14,Test Automation | Czech Republic,linkedin,Quality Assurance Senior,Grupo Ramos,"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-senior-at-grupo-ramos-4421212046,2026-06-01T16:10:38.168396+00:00
14,Test Automation | Czech Republic,linkedin,Automation Framework Architect,PartnerOne,Dominican Republic,On-site,Full-time,,Architect,English,Architect,,Recent,https://do.linkedin.com/jobs/view/automation-framework-architect-at-partnerone-4418185718,2026-06-01T16:10:38.169233+00:00
14,Test Automation | USA,linkedin,"Senior Engineer, Test and Automation (Remote, US)",Renew Home,United States,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-engineer-test-and-automation-remote-us-at-renew-home-4411807318,2026-06-01T16:10:43.265584+00:00
14,Test Automation | USA,linkedin,QA Lead,Endava,United States,On-site,Full-time,,Lead,English,"Lead, QA Lead",,Recent,https://www.linkedin.com/jobs/view/qa-lead-at-endava-4422877572,2026-06-01T16:10:43.266262+00:00
14,Test Automation | USA,linkedin,Senior QA Automation Engineer,Faro,"New York, NY",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-at-faro-4415528409,2026-06-01T16:10:43.266658+00:00
14,Test Automation | United Kingdom,linkedin,AI Test Lead,Deloitte,"England, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/ai-test-lead-at-deloitte-4414307646,2026-06-01T16:10:45.762771+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager- Financial Services,KPMG UK,"London Area, United Kingdom",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-financial-services-at-kpmg-uk-4407206674,2026-06-01T16:10:45.762902+00:00
14,Test Automation | United Kingdom,linkedin,Test Manager,Indra Group UK & Ireland,"London, England, United Kingdom",On-site,Full-time,,,English,Test Manager,,Recent,https://uk.linkedin.com/jobs/view/test-manager-at-indra-group-uk-ireland-4415377450,2026-06-01T16:10:45.763033+00:00
14,Python Developer | Germany,linkedin,Senior Clinical Python Programmer,Warman O'Brien,Germany,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-clinical-python-programmer-at-warman-o-brien-4412889960,2026-06-01T16:10:48.174438+00:00
14,Python Developer | Germany,linkedin,Senior Python Developer (all genders),Sunday Natural,"Berlin, Berlin, Germany",Remote,Full-time,"Ci/Cd, Python","Django, Flask, Tdd, Architect, Senior, Postgresql, Fastapi, Lead, Git",English,"Architect, Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-python-developer-all-genders-at-sunday-natural-4387397879,2026-06-01T16:10:48.174580+00:00
14,Python Developer | Germany,linkedin,"Senior Data Engineer, Python - (Logistics, Data & ML)",Delivery Hero,"Berlin, Berlin, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-data-engineer-python-logistics-data-ml-at-delivery-hero-4413880231,2026-06-01T16:10:48.174837+00:00
14,Python Developer | Austria,linkedin,Senior Backend Developer (m/f/d) - Python & Java,REWE International AG,"Vienna, Vienna, Austria",On-site,Internship,"Java, Python",Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-backend-developer-m-f-d-python-java-at-rewe-international-ag-4416657110,2026-06-01T16:10:50.637768+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer - Code Migration Specialist,Mindrift,Austria,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-code-migration-specialist-at-mindrift-4421858446,2026-06-01T16:10:50.638183+00:00
14,Python Developer | Switzerland,linkedin,Senior Back-End Engineer (Python),Vorsee,"Geneva, Geneva, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-back-end-engineer-python-at-vorsee-4421851489,2026-06-01T16:10:53.023406+00:00
14,Python Developer | Switzerland,linkedin,Senior Python Backend Engineer,Jobgether,Switzerland,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-python-backend-engineer-at-jobgether-4417654577,2026-06-01T16:10:53.024103+00:00
14,Python Developer | Switzerland,linkedin,Senior/Lead Backend Engineer (Remote),Fuse Energy,Switzerland,Remote,Full-time,,"Senior, Lead",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-lead-backend-engineer-remote-at-fuse-energy-4404833645,2026-06-01T16:10:53.024232+00:00
14,Python Developer | Remote,linkedin,Senior Python Engineer,Trust In SODA,"Berlin, Germany",Remote,Contract,Python,"Senior, Machine Learning, Fastapi, Docker",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-at-trust-in-soda-4413544028,2026-06-01T16:10:55.431018+00:00
14,Python Developer | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Berlin, Berlin, Germany",Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Senior, Expert, Github, Docker, Linux, Git",English,"Expert, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421845948,2026-06-01T16:10:55.431727+00:00
14,Python Developer | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Frankfurt am Main, Hesse, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421840997,2026-06-01T16:10:55.431859+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Engineer for Agentic AI,Deutsche Telekom Services Europe - Slovakia,"Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-engineer-for-agentic-ai-at-deutsche-telekom-services-europe-slovakia-4412273018,2026-06-01T16:10:57.822505+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,EPAM Systems,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-epam-systems-4288584951,2026-06-01T16:10:57.822899+00:00
14,Python Developer | United Kingdom,linkedin,Python Developer - Hedge Fund,Winston Fox,"London Area, United Kingdom",Remote,Internship,"C, C++, Go, Java, Python","Expert, Sql, Scala",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/python-developer-hedge-fund-at-winston-fox-4413323903,2026-06-01T16:11:07.767861+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Developer - Up to £140k,Oliver Bernard,"London Area, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-python-developer-up-to-%C2%A3140k-at-oliver-bernard-4412251968,2026-06-01T16:11:07.768950+00:00
14,Python Test | Switzerland,linkedin,Senior Automation Tester - Python/Pytest,Jobgether,Switzerland,On-site,Full-time,"Pytest, Python",Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-automation-tester-python-pytest-at-jobgether-4418246679,2026-06-01T16:11:15.216684+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Hamburg, Hamburg, Germany",Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Senior, Expert, Github, Docker, Linux, Git",English,"Expert, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421857863,2026-06-01T16:11:17.668832+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Stuttgart, Baden-Württemberg, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421858340,2026-06-01T16:11:17.668961+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,"C, Java, Javascript, Playwright, Test Automation","Gcp, Senior, C#, Aws",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-06-01T16:11:22.519855+00:00
14,Python Test | Poland,linkedin,Quality Assurance Automation Engineer,Forte Group,Poland,Remote,Contract,"Can, Ci/Cd, Github Actions, Integration Testing, Javascript, Playwright, Typescript, Unit Testing","Lead, Vue.Js, Jira, Agile, Github, Regression Testing, Cypress, Performance Testing, Postman, Sql",English,"Architect, Lead",,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-forte-group-4417073789,2026-06-01T16:11:25.007424+00:00
14,Python Test | USA,linkedin,Junior / Senior Junior QA Automation Engineer,Vaiticka Solution,"Irving, TX",On-site,Full-time,,"Senior, Junior",English,Senior,,Recent,https://www.linkedin.com/jobs/view/junior-senior-junior-qa-automation-engineer-at-vaiticka-solution-4418006907,2026-06-01T16:11:27.693588+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Quality Engineer,PolyAI,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-quality-engineer-at-polyai-4420970247,2026-06-01T16:11:30.190194+00:00
14,Firmware Engineer | Germany,linkedin,"(Principal) Software Engineer C++, Remote Driving Platform Team",Vay,Germany,Remote,Full-time,"C, C++",Principal,English,Principal,,Recent,https://de.linkedin.com/jobs/view/principal-software-engineer-c%2B%2B-remote-driving-platform-team-at-vay-4421853684,2026-06-01T16:11:32.620660+00:00
14,Firmware Engineer | Austria,linkedin,C/C++/Rust Firmware Software Engineer,DL Remote,"Vienna, Vienna, Austria",Remote,Full-time,"C, C++, Can, Embedded Systems, Firmware, Rust","Fpga, Agile, Lead, Verilog, Vhdl",English,Lead,,Recent,https://at.linkedin.com/jobs/view/c-c%2B%2B-rust-firmware-software-engineer-at-dl-remote-4417196013,2026-06-01T16:11:35.019986+00:00
14,Firmware Engineer | Austria,linkedin,Senior Firmware Engineer (f/m/d),Easelink,"Graz, Styria, Austria",Remote,Contract,"Can, Embedded Systems, Firmware","Senior, Head Of, Aspice, Iso 26262, Autosar",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-firmware-engineer-f-m-d-at-easelink-4418331284,2026-06-01T16:11:35.020373+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),CycloTech GmbH,"Linz, Upper Austria, Austria",Remote,Internship,Embedded Systems,"Senior, Staff",English,"Senior, Staff",,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-cyclotech-gmbh-4409298206,2026-06-01T16:11:35.020500+00:00
14,Firmware Engineer | Austria,linkedin,Software Engineer (m/f/x),Anyline,"Vienna, Vienna, Austria",Remote,Full-time,"Ai Agents, C, Can, Shell, Typescript","Senior, Junior, Kotlin, React, C#, Swift, Lead, Gitlab Ci, Gitlab, Dart",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/software-engineer-m-f-x-at-anyline-4417618340,2026-06-01T16:11:35.020638+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer (m/f/d),Credibur,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-m-f-d-at-credibur-4414147202,2026-06-01T16:11:39.835657+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Java Software Engineer,Accenture,"Bratislava, Slovakia",On-site,Full-time,Java,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-java-software-engineer-at-accenture-4411187560,2026-06-01T16:11:42.256857+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer - Backend & Data (Eastern Europe),SPATE,Slovakia,Remote,Contract,"Can, Python","Azure, Data Science, Gcp, Contractor, Sql, Staff, Pandas, Aws",English,"Contractor, Staff",,Recent,https://sk.linkedin.com/jobs/view/software-engineer-backend-data-eastern-europe-at-spate-4413840911,2026-06-01T16:11:42.256985+00:00
14,Firmware Engineer | Czech Republic,linkedin,R&D Senior Engineer - Firmware,ABB,"アト・マジョール州, Hato Mayor, Dominican Republic",On-site,Full-time,Firmware,"R, Senior",English,Senior,,Recent,https://do.linkedin.com/jobs/view/r-d-senior-engineer-firmware-at-abb-4406160230,2026-06-01T16:11:44.666936+00:00
14,Firmware Engineer | Czech Republic,linkedin,Staff Engineer Software,Paylocity,Dominican Republic,On-site,Full-time,,Staff,English,Staff,,Recent,https://do.linkedin.com/jobs/view/staff-engineer-software-at-paylocity-4407823967,2026-06-01T16:11:44.667217+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Senior Software Engineer - C++, System Software",Roku,"Cambridge, England, United Kingdom",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-c%2B%2B-system-software-at-roku-4331150844,2026-06-01T16:11:52.270042+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Senior Software Engineer, Embedded C++",Roku,"Cambridge, England, United Kingdom",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-embedded-c%2B%2B-at-roku-4374730170,2026-06-01T16:11:52.270573+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Ai Agents, Can, Ci/Cd, Playwright, Typescript","Grafana, Cypress, Manual Testing, Datadog",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-06-01T16:08:57.407109+00:00
0,Tester | Germany,linkedin,Manual QA Tester – Mobile App,Jobgether,Germany,Remote,Contract,,"Regression Testing, Jira, Agile, Manual Testing",English,,,Recent,https://de.linkedin.com/jobs/view/manual-qa-tester-%E2%80%93-mobile-app-at-jobgether-4421412994,2026-06-01T16:08:57.407291+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Bizerba,"Balingen, Baden-Württemberg, Germany",Hybrid,Full-time,Test Automation,"R, Linux",German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-bizerba-4369545776,2026-06-01T16:08:57.407445+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking  (ID: 22229),Da Vinci Engineering GmbH,"Karlsruhe, Baden-Württemberg, Germany",On-site,Internship,,"R, Postman, Jira, Scrum, Kanban, Confluence, Associate",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22229-at-da-vinci-engineering-gmbh-4387962742,2026-06-01T16:08:57.407623+00:00
0,Tester | Germany,linkedin,Test Engineer,Auxo Talent,Germany,On-site,Contract,"Ci/Cd, Java, Jenkins, Python, Test Automation","Kotlin, Graphql, Gitlab Ci, Devops, Git, Gitlab",English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-at-auxo-talent-4413593558,2026-06-01T16:08:57.407767+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking (ID: 22230),Da Vinci Engineering GmbH,"Münster, North Rhine-Westphalia, Germany",On-site,Internship,,"R, Postman, Jira, Scrum, Kanban, Confluence, Associate",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22230-at-da-vinci-engineering-gmbh-4387968513,2026-06-01T16:08:57.407901+00:00
