relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Tester | Switzerland,linkedin,Test Engineer (m/w/d),Thales,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-m-w-d-at-thales-4371456191,2026-03-23T10:51:35.396198+00:00
14,QA Engineer | Slovakia,linkedin,Manual QA Engineer (Middle/Senior) ID48059,AgileEngine,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-engineer-middle-senior-id48059-at-agileengine-4376735337,2026-03-23T10:52:01.607830+00:00
14,QA Engineer | Slovakia,linkedin,Manual QA Engineer (Middle/Senior) ID48059,AgileEngine,"Trenčín, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-engineer-middle-senior-id48059-at-agileengine-4376400820,2026-03-23T10:52:01.607982+00:00
14,QA Engineer | Czech Republic,linkedin,Senior QA Automation Engineer (Playwright),Lumenalta,Dominican Republic,On-site,Full-time,Playwright,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-engineer-playwright-at-lumenalta-4386389694,2026-03-23T10:52:04.024135+00:00
14,QA Engineer | Poland,linkedin,Senior Manual QA Engineer for Mobile App (Tinder),Zoolatech,"Warsaw, Mazowieckie, Poland",Remote,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-qa-engineer-for-mobile-app-tinder-at-zoolatech-4384049516,2026-03-23T10:52:06.398409+00:00
14,QA Engineer | United Kingdom,linkedin,🚀 Senior QA Engineer (Playwright Specialist) — Remote (UK) — £60–65k,Venchr,"Manchester Area, United Kingdom",Remote,Full-time,Playwright,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/%F0%9F%9A%80-senior-qa-engineer-playwright-specialist-%E2%80%94-remote-uk-%E2%80%94-%C2%A360%E2%80%9365k-at-venchr-4385251493,2026-03-23T10:52:11.204939+00:00
14,Testingenieur | Austria,linkedin,Test Manager (m/f/d),Deutsche Telekom,"Fünfkirchen, Lower Austria, Austria",On-site,Full-time,,,English,Test Manager,,Recent,https://at.linkedin.com/jobs/view/test-manager-m-f-d-at-deutsche-telekom-4376822062,2026-03-23T10:52:37.859808+00:00
14,Testingenieur | Switzerland,linkedin,Senior PA/QA Engineer – Aerospace Sector,ALTEN,"Lausanne, Vaud, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-pa-qa-engineer-%E2%80%93-aerospace-sector-at-alten-4379878422,2026-03-23T10:52:40.233661+00:00
14,Testingenieur | Slovakia,linkedin,Tech Lead / Engineering Lead,Across Private Investments,"Bratislava Old Town, Bratislava, Slovakia",On-site,Full-time,,"Lead, Tech Lead",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/tech-lead-engineering-lead-at-across-private-investments-4385456334,2026-03-23T10:52:45.048132+00:00
14,Testingenieur | Poland,linkedin,Mechanical Designer / Test Engineer (f/m),Airbus Helicopters,"Łódź, Łódzkie, Poland",Remote,Contract,"C, Can","Assembly, R, Lead",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/mechanical-designer-test-engineer-f-m-at-airbus-helicopters-4378564274,2026-03-23T10:52:49.851499+00:00
14,Testingenieur | USA,linkedin,Test Engineer,Peraton,"Chantilly, VA",Remote,Contract,"Can, Integration Testing","Safe, Staff, Agile, Intern, Associate, Lead, Waterfall",English,"Lead, Staff",,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-peraton-4385947982,2026-03-23T10:52:52.376085+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,BSI,"Hemel Hempstead, England, United Kingdom",On-site,Contract,Can,"Safe, Expert, Lead, Senior",English,"Expert, Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-bsi-4366543025,2026-03-23T10:52:54.820707+00:00
14,Test Automation | Germany,linkedin,Senior Quality Assurance Engineer,SGI,"Berlin, Germany",Hybrid,Internship,"Continuous Testing, Python","Agile, Senior",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-sgi-4363260868,2026-03-23T10:52:57.262639+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4381213320,2026-03-23T10:52:57.263113+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer,AVILOO Battery Diagnostics,"Laxenburg, Lower Austria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-at-aviloo-battery-diagnostics-4378165473,2026-03-23T10:52:59.695111+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Analyst,RBW Consulting,"Lachen, Schwyz, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-analyst-at-rbw-consulting-4353430000,2026-03-23T10:53:02.093871+00:00
14,Test Automation | Switzerland,linkedin,Test Lead (M/F),WIT PARTNERS SA,"Vaud, Switzerland",On-site,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/test-lead-m-f-at-wit-partners-sa-4385437606,2026-03-23T10:53:02.094181+00:00
14,Test Automation | Switzerland,linkedin,Test Lead Software (H/F),fortil,Lausanne Metropolitan Area,On-site,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/test-lead-software-h-f-at-fortil-4387291941,2026-03-23T10:53:02.094489+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Galaxi Consulting Group,"Geneva, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-galaxi-consulting-group-4387696996,2026-03-23T10:53:02.094656+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Galaxi Consulting Group,"Geneva, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-galaxi-consulting-group-4387295883,2026-03-23T10:53:02.094803+00:00
14,Test Automation | Remote,linkedin,Testmanager:in,CPU Softwarehouse AG,Germany,Remote,Full-time,,,English,Test Manager,,Recent,https://de.linkedin.com/jobs/view/testmanager-in-at-cpu-softwarehouse-ag-4387265734,2026-03-23T10:53:04.471894+00:00
14,Test Automation | Czech Republic,linkedin,QA Lead,Powdevs,Dominican Republic,On-site,Full-time,,Lead,English,"Lead, QA Lead",,Recent,https://do.linkedin.com/jobs/view/qa-lead-at-powdevs-4383781317,2026-03-23T10:53:09.215044+00:00
14,Test Automation | Poland,linkedin,Senior Automation Engineer,SOFTETA,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-engineer-at-softeta-4388345146,2026-03-23T10:53:11.626329+00:00
14,Test Automation | Poland,linkedin,Senior Manual Tester,Jit Team,"Gdynia, Pomorskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-tester-at-jit-team-4387885097,2026-03-23T10:53:11.626833+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Analyst (Customer Operations),Kroo Bank,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-analyst-customer-operations-at-kroo-bank-4387808621,2026-03-23T10:53:16.643546+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Engineer,Opus 2,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-engineer-at-opus-2-4384317705,2026-03-23T10:53:16.643731+00:00
14,Test Automation | United Kingdom,linkedin,Testing Lead,Deloitte,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/testing-lead-at-deloitte-4383546538,2026-03-23T10:53:16.643890+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Engineer,White Rose Education,"Leeds, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-white-rose-education-4383701609,2026-03-23T10:53:16.644042+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Tester,Dlala Studios,"Witham, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-tester-at-dlala-studios-4378767706,2026-03-23T10:53:16.644188+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Analyst,Rebellion,"Oxford, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-analyst-at-rebellion-4383721363,2026-03-23T10:53:16.644502+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Engineer,MILE,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-mile-4385326493,2026-03-23T10:53:16.644674+00:00
14,Python Developer | Austria,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,Austria,On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4386732819,2026-03-23T10:53:21.543945+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,Bloomreach,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-bloomreach-4365530614,2026-03-23T10:53:28.780211+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Engineer,Ciklum,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-engineer-at-ciklum-4384050550,2026-03-23T10:53:28.780580+00:00
14,Python Developer | Czech Republic,linkedin,Senior Back End Engineer - Python (DR),Truelogic Software,Dominican Republic,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-back-end-engineer-python-dr-at-truelogic-software-4388365827,2026-03-23T10:53:31.172811+00:00
14,Python Test | Switzerland,linkedin,Senior Test Automation Engineer / QA Lead (m/w/d),PEAX AG,"Lucerne, Lucerne, Switzerland",On-site,Full-time,Test Automation,"Lead, Senior",English,"Lead, QA Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-qa-lead-m-w-d-at-peax-ag-4385092784,2026-03-23T10:53:45.699517+00:00
14,Python Test | Remote,linkedin,Expert Quality Engineer,Sword Health,Germany,Remote,Full-time,,Expert,English,Expert,,Recent,https://de.linkedin.com/jobs/view/expert-quality-engineer-at-sword-health-4388315071,2026-03-23T10:53:48.120539+00:00
14,Python Test | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Germany,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4389001037,2026-03-23T10:53:48.121482+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-03-23T10:53:52.893712+00:00
14,Python Test | Poland,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Poland,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388777983,2026-03-23T10:53:55.300947+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"London, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388791634,2026-03-23T10:54:00.336248+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Manchester, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388780951,2026-03-23T10:54:00.336571+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Birmingham, England, United Kingdom",On-site,Contract,"Can, Ci/Cd, Github Actions, Pytest, Python, Test Automation","Docker, Expert, React, Github, Senior",English,"Expert, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388781900,2026-03-23T10:54:00.336734+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Glasgow, Scotland, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4389001040,2026-03-23T10:54:00.336888+00:00
14,Firmware Engineer | Germany,linkedin,Senior Software Engineer - Nvidia Platform,Autobrains Technologies,"Munich, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-nvidia-platform-at-autobrains-technologies-4380448307,2026-03-23T10:54:02.758073+00:00
14,Firmware Engineer | Germany,linkedin,Senior Software Engineer (m/w/d),Buena,"Berlin, Berlin, Germany",Remote,Contract,"Can, Typescript","React, Node.Js, Senior, Engineering Manager",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-m-w-d-at-buena-4384063060,2026-03-23T10:54:02.759337+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded Engineer (m/w/d),QAVION GROUP,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-m-w-d-at-qavion-group-4384798011,2026-03-23T10:54:09.963153+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer,Synmatch AI,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-at-synmatch-ai-4386322473,2026-03-23T10:54:09.964263+00:00
14,Firmware Engineer | Slovakia,linkedin,Embedded Engineer,Ciklum,"Bratislava, Slovakia",Remote,Contract,"C, C++, Can, Embedded Systems","Agile, C#, Senior",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/embedded-engineer-at-ciklum-4384462402,2026-03-23T10:54:12.381049+00:00
14,Firmware Engineer | Slovakia,linkedin,Principal Software Engineer,ITmatch,Slovakia,On-site,Full-time,,Principal,English,Principal,,Recent,https://sk.linkedin.com/jobs/view/principal-software-engineer-at-itmatch-4387699936,2026-03-23T10:54:12.381567+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Bloomreach,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-bloomreach-4289254318,2026-03-23T10:54:12.381879+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer (C++) - Remote Work,BairesDev,Slovakia,Remote,Full-time,"C, C++",Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-c%2B%2B-remote-work-at-bairesdev-4387172247,2026-03-23T10:54:12.382346+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,CrecerLab,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-crecerlab-4386540400,2026-03-23T10:54:14.782213+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Spirit Technologies,"Santiago de los Caballeros, Santiago, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-spirit-technologies-4386360120,2026-03-23T10:54:14.782408+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Senior Software Engineer, Embedded C++",Roku,"Cambridge, England, United Kingdom",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-embedded-c%2B%2B-at-roku-4374730170,2026-03-23T10:54:22.329776+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Can, Ci/Cd, Go, Playwright, Typescript","Grafana, Manual Testing, Cypress, Datadog",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-03-23T10:51:30.637345+00:00
0,Tester | Germany,linkedin,Software Tester / QA Engineer (m/w/d),tolltickets GmbH,Greater Munich Metropolitan Area,Hybrid,Contract,,"Postman, Jira, Sql",English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-qa-engineer-m-w-d-at-tolltickets-gmbh-4388688806,2026-03-23T10:51:30.637533+00:00
0,Tester | Germany,linkedin,QA Engineer,Assemblio,"Stuttgart, Baden-Württemberg, Germany",On-site,Full-time,"Ci/Cd, Integration Testing","Grpc, Cypress, Devops",English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-at-assemblio-4376728345,2026-03-23T10:51:30.637741+00:00
0,Tester | Germany,linkedin,QA Tester (f/m/d),justDice,"Hamburg, Hamburg, Germany",Remote,Full-time,Test Automation,"Manual Testing, React, Agile, Rest Api",English,,,Recent,https://de.linkedin.com/jobs/view/qa-tester-f-m-d-at-justdice-4384028500,2026-03-23T10:51:30.638068+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking  (ID: 22229),Da Vinci Engineering GmbH,"Karlsruhe, Baden-Württemberg, Germany",On-site,Internship,,"Jira, R, Associate, Confluence, Scrum, Kanban, Postman",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22229-at-da-vinci-engineering-gmbh-4387962742,2026-03-23T10:51:30.638225+00:00
0,Tester | Germany,linkedin,Quality Assurance Tester (m/f/d),MoPla Solutions GmbH,"Augsburg, Bavaria, Germany",Remote,Full-time,,"Manual Testing, Agile, Scrum, Kanban, Postman",English,,,Recent,https://de.linkedin.com/jobs/view/quality-assurance-tester-m-f-d-at-mopla-solutions-gmbh-4375222169,2026-03-23T10:51:30.638388+00:00
0,Tester | Germany,linkedin,App-Tester  (m/w/d),clickworker,Germany,On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/app-tester-m-w-d-at-clickworker-4375907759,2026-03-23T10:51:30.638537+00:00
0,Tester | Germany,linkedin,Test Engineer for In-Car-Entertainment (ICE) System,XPENG,"Munich, Bavaria, Germany",On-site,Internship,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-for-in-car-entertainment-ice-system-at-xpeng-4380906589,2026-03-23T10:51:30.638706+00:00
0,Tester | Germany,linkedin,Software Tester (all gender),ALTEN Germany,Greater Munich Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-gender-at-alten-germany-4379881333,2026-03-23T10:51:30.638860+00:00
0,Tester | Austria,linkedin,Junior Test Engineer (w/m/d),Pankl Aerospace Systems,"Bruck an der Mur, Styria, Austria",Remote,Full-time,,"R, Associate, Junior",German,,,Recent,https://at.linkedin.com/jobs/view/junior-test-engineer-w-m-d-at-pankl-aerospace-systems-4383709885,2026-03-23T10:51:33.043274+00:00
0,Tester | Austria,linkedin,Software Tester*in,Agrarmarkt Austria,"Vienna, Vienna, Austria",Hybrid,Internship,,R,German,,,Recent,https://at.linkedin.com/jobs/view/software-tester-in-at-agrarmarkt-austria-4381271914,2026-03-23T10:51:33.043466+00:00
0,Tester | Austria,linkedin,Junior Test Engineer (w/m/d),Pankl Turbosystems GmbH,"Bruck an der Mur, Styria, Austria",Remote,Full-time,,"R, Associate, Junior",German,,,Recent,https://at.linkedin.com/jobs/view/junior-test-engineer-w-m-d-at-pankl-turbosystems-gmbh-4380268475,2026-03-23T10:51:33.043655+00:00
0,Tester | Austria,linkedin,Mid-level Test Engineer (Test Automation) (m/f/d),Deutsche Telekom,"Fünfkirchen, Lower Austria, Austria",Remote,Full-time,"Ci/Cd, Playwright, Selenium, Test Automation","Mid-Level, Bdd, Cypress, R, Git, Scrum, Kanban",German,,,Recent,https://at.linkedin.com/jobs/view/mid-level-test-engineer-test-automation-m-f-d-at-deutsche-telekom-4387866274,2026-03-23T10:51:33.043827+00:00
