relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-02-19T12:02:58.864104+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d) Automotive,FERCHAU,Karls­ruhe Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/304523/testingenieur-automotive,2026-02-19T12:03:26.819657+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d) FPGA,FERCHAU,Fried­richs­hafen Deut­sch­land,Remote,Full-time,,"Fpga, Expert, R, Vhdl",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485350/testingenieur-fpga,2026-02-19T12:03:26.821539+00:00
14,Testingenieur | Germany,ferchau,Versuchsingenieur / Testingenieur (m/w/d),FERCHAU,Augs­burg Deut­sch­land,Remote,Full-time,Python,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/486814/versuchsingenieur-testingenieur,2026-02-19T12:03:26.822396+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/243886/testingenieur-medizintechnik,2026-02-19T12:03:26.824087+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Vor Ort,Full-time,"Can, Hil, Python","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/334791/testingenieur,2026-02-19T12:03:26.824847+00:00
14,Testingenieur | Germany,ferchau,Testingenieur alternative Antriebe (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485857/testingenieur-alternative-antriebe,2026-02-19T12:03:26.825654+00:00
14,Test Automation | Germany,ferchau,Process Automation Engineer (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,,"Lead, Expert",English,"Expert, Lead",,Recent,https://touch.ferchau.com/de/de/job/489412/process-automation-engineer,2026-02-19T12:03:36.117936+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,Senior,German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-02-19T12:03:36.121192+00:00
14,Python Developer | Germany,ferchau,Senior Python Developer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"C, C++, Python","Senior, Docker, Linux, Pytorch",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/479218/senior-python-developer,2026-02-19T12:03:45.087147+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","Expert, R, Angular",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-02-19T12:03:45.095088+00:00
14,Python Developer | Germany,ferchau,Senior Software Python Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"Ci/Cd, Go, Python","Senior, Lead",English,"Lead, Senior",,Recent,https://touch.ferchau.com/de/de/job/490762/senior-software-python-engineer,2026-02-19T12:03:45.096102+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Rostock Deut­sch­land,Remote,Full-time,"C, C++, Python","Expert, R",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/288574/softwaretester,2026-02-19T12:03:53.747067+00:00
14,Python Test | Germany,ferchau,Embedded-Software- und Systemtester (m/w/d),FERCHAU,Gießen Deut­sch­land,Remote,Full-time,"C, C++, Embedded Systems, Hil, Python, Sil","Expert, R, Scrum",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/348925/embedded-software-und-systemtester,2026-02-19T12:03:53.749806+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Firmware Engineer (m/w/d),FERCHAU,Hall in Tirol Öster­reich,Remote,Full-time,"Arm, C, C++, Ci/Cd, Embedded Systems, Firmware, Python, Rtos","Zephyr, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/490867/embedded-firmware-engineer,2026-02-19T12:04:02.106513+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Systems Engineer (m/w/d),FERCHAU,Darm­stadt Deut­sch­land,Hybrid,Full-time,"C, C++, Can, Embedded Systems","Expert, R, Fpga, Vhdl",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/489628/embedded-systems-engineer,2026-02-19T12:04:02.107484+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,Embedded Systems,"Senior, Expert, R, Fpga, Vhdl",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-02-19T12:04:02.111668+00:00
0,Tester | Germany,ferchau,Softwaretester Steuergeräte bei Siemens (m/w/d),FERCHAU,Erlangen Deut­sch­land,Remote,Full-time,"C, C++, Python",R,German,,,Recent,https://touch.ferchau.com/de/de/job/488035/softwaretester-steuergeraete-bei-siemens,2026-02-19T12:02:58.860250+00:00
0,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-02-19T12:02:58.861162+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,"C, Java, Python","C#, R, Devops, Scrum, Sql, Jira, Azure, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-02-19T12:02:58.862105+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Bremen Deut­sch­land,Hybrid,Full-time,Jenkins,"R, Junit",German,,,Recent,https://touch.ferchau.com/de/de/job/241642/softwaretester,2026-02-19T12:02:58.863157+00:00
0,Tester | Germany,ferchau,Softwaretester Automatisierung und Datenanalyse (m/w/d),FERCHAU,Timelkam Öster­reich,Hybrid,Full-time,Python,"R, Data Science",German,,,Recent,https://touch.ferchau.com/de/de/job/477526/softwaretester-automatisierung-und-datenanalyse,2026-02-19T12:02:58.866819+00:00
0,QA Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,Jenkins,"Testng, R, Junit, Jira, Git",German,,,Recent,https://touch.ferchau.com/de/de/job/492625/software-test-engineer,2026-02-19T12:03:07.877883+00:00
0,QA Engineer | Germany,ferchau,Test Automation Engineer - Python (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"Python, Test Automation","Jira, Safe",English,,,Recent,https://touch.ferchau.com/de/de/job/484546/test-automation-engineer-python,2026-02-19T12:03:07.880122+00:00
0,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-02-19T12:03:07.882446+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,Can,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-02-19T12:03:07.883495+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/461695/hull-structural-designer,2026-02-19T12:03:07.885745+00:00
0,QA Engineer | Germany,ferchau,DevOps Engineer (m/w/d) Cloud & Mobile Platforms,FERCHAU,Nürn­berg Deut­sch­land,Remote,Full-time,"Bash, Ci/Cd, Github Actions, Jenkins, Python","Gitlab Ci, R, Argocd, Devops, Docker, Gitlab, Azure, Github, Agile",German,,,Recent,https://touch.ferchau.com/de/de/job/488962/devops-engineer-cloud-mobile-platforms,2026-02-19T12:03:07.886991+00:00
0,Test Engineer | Germany,ferchau,Test Engineer (m/w/d) Hardware,FERCHAU,Hannover Deut­sch­land,Remote,Full-time,Embedded Systems,R,German,,,Recent,https://touch.ferchau.com/de/de/job/403813/test-engineer-hardware,2026-02-19T12:03:17.708008+00:00
0,Test Engineer | Germany,ferchau,Quality & Testing Engineer (m/w/d),FERCHAU,Kufstein Öster­reich,Hybrid,Teilzeit,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/475573/quality-testing-engineer,2026-02-19T12:03:17.711677+00:00
0,Test Engineer | Germany,ferchau,Testingenieur - Software / Hardware (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/484144/testingenieur-software-hardware,2026-02-19T12:03:17.713078+00:00
0,Test Engineer | Germany,ferchau,Softwareentwickler:in Embedded Systems (m/w/d) - Fokus: Safety & Testing,FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,"C, C++, Embedded Systems, Go","R, Jira, Iso 26262, Git",German,,,Recent,https://touch.ferchau.com/de/de/job/260410/softwareentwicklerin-embedded-systems-fokus-safety-testing,2026-02-19T12:03:17.714305+00:00
0,Test Engineer | Germany,ferchau,Testautomatisierer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,,"R, Scrum, Docker, Safe, Cucumber",German,,,Recent,https://touch.ferchau.com/de/de/job/443563/testautomatisierer,2026-02-19T12:03:17.717664+00:00
0,Testingenieur | Germany,ferchau,Testingenieur Embedded Systems (m/w/d),FERCHAU,Erfurt Deut­sch­land,Vor Ort,Full-time,"C, C++, Embedded Systems, Python","C#, R, Devops, Scrum, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/349426/testingenieur-embedded-systems,2026-02-19T12:03:26.818021+00:00
0,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-02-19T12:03:26.818838+00:00
0,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,Python,"Jira, R",German,,,Recent,https://touch.ferchau.com/de/de/job/486325/testingenieur,2026-02-19T12:03:26.820745+00:00
0,Test Automation | Germany,ferchau,Automation Tester (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,"Ci/Cd, Java","Cypress, Git, Agile",English,,,Recent,https://touch.ferchau.com/de/de/job/490807/automation-tester,2026-02-19T12:03:36.116659+00:00
0,Test Automation | Germany,ferchau,Projektingenieur Automationslösungen (m/w/d),FERCHAU,Darm­stadt Deut­sch­land,Vor Ort,Full-time,Go,R,German,,,Recent,https://touch.ferchau.com/de/de/job/491785/projektingenieur-automationsloesungen,2026-02-19T12:03:36.118930+00:00
0,Test Automation | Germany,ferchau,Automation Engineer (m/f/d),FERCHAU,Radlin Poland,On-Site,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/480679/automation-engineer,2026-02-19T12:03:36.120157+00:00
0,Test Automation | Germany,ferchau,MSR-Techniker Gebäudeautomation (m/w/d),FERCHAU,Darm­stadt Deut­sch­land,Vor Ort,Full-time,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/489106/msr-techniker-gebaeudeautomation,2026-02-19T12:03:36.122202+00:00
0,Test Automation | Germany,ferchau,SPS Programmierer Inbetriebnahme und Automatisierungstechnik (m/w/d),FERCHAU,Hannover Deut­sch­land,Hybrid,Full-time,,,German,,,Recent,https://touch.ferchau.com/de/de/job/406945/sps-programmierer-inbetriebnahme-und-automatisierungstechnik,2026-02-19T12:03:36.123145+00:00
0,Python Developer | Germany,ferchau,Fullstack Developer (m/w/d) - Fokus Back End,FERCHAU,Graz Öster­reich,Hybrid,Full-time,"Ci/Cd, Java, Python","R, Devops, Node.Js, Angular",German,,,Recent,https://touch.ferchau.com/de/de/job/478360/fullstack-developer-fokus-back-end,2026-02-19T12:03:45.088089+00:00
0,Python Developer | Germany,ferchau,Software Developer Python (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,Python,"R, Scrum, Nosql, Linux, Kanban, Sql, Agile",German,,,Recent,https://touch.ferchau.com/de/de/job/281409/software-developer-python,2026-02-19T12:03:45.089009+00:00
0,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,Junior,English,,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-02-19T12:03:45.089944+00:00
0,Python Developer | Germany,ferchau,Full Stack Developer (m/w/d),FERCHAU,Leipzig Deut­sch­land,Remote,Full-time,"Ci/Cd, Java, Python","R, Agile, Node.Js, React, Nosql, Angular, Sql, Git, Vue.Js",German,,,Recent,https://touch.ferchau.com/de/de/job/486520/full-stack-developer,2026-02-19T12:03:45.090847+00:00
0,Python Developer | Germany,ferchau,Full Stack Developer (m/w/d),FERCHAU,Inns­bruck Öster­reich,Hybrid,Full-time,"C, C++, Java, Python","C#, R, React, Angular, Graphql, Vue.Js",German,,,Recent,https://touch.ferchau.com/de/de/job/453814/full-stack-developer,2026-02-19T12:03:45.091732+00:00
0,Python Developer | Germany,ferchau,Cloud Developer (m/w/d),FERCHAU,Hannover Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/409150/cloud-developer,2026-02-19T12:03:45.093433+00:00
0,Python Developer | Germany,ferchau,SAP Backend Developer mit Beratungsfunktion (m/w/d),FERCHAU,Schwaz Öster­reich,Remote,Full-time,"C, Java, Python","C#, R",German,,,Recent,https://touch.ferchau.com/de/de/job/479590/sap-backend-developer-mit-beratungsfunktion,2026-02-19T12:03:45.094361+00:00
0,Python Test | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/493645/system-test-engineer,2026-02-19T12:03:53.743978+00:00
0,Python Test | Germany,ferchau,Python Quality Engineer (m/w/d),FERCHAU,Wien Öster­reich,Remote,Full-time,"Java, Python",R,German,,,Recent,https://touch.ferchau.com/de/de/job/493975/python-quality-engineer,2026-02-19T12:03:53.745023+00:00
0,Python Test | Germany,ferchau,Systemtester Industrielle Kommunikationsprodukte (m/w/d) Siemens AG,FERCHAU,Karls­ruhe Deut­sch­land,Remote,Full-time,"C, Java, Python","C#, R",German,,,Recent,https://touch.ferchau.com/de/de/job/487300/systemtester-industrielle-kommunikationsprodukte-siemens-ag,2026-02-19T12:03:53.748518+00:00
0,Firmware Engineer | Germany,ferchau,Firmware and FPGA Engineer - High-Voltage Systems (m/f/d),FERCHAU,Sche­chen Germany,Remote,Full-time,"Arm, C, C++, Embedded Systems, Firmware, Rtos","Verilog, Stm32, Fpga, Vhdl",English,,,Recent,https://touch.ferchau.com/de/de/job/490654/firmware-and-fpga-engineer-high-voltage-systems,2026-02-19T12:04:02.102790+00:00
0,Firmware Engineer | Germany,ferchau,Firmware- & FPGA-Engineer für Hochspannungssysteme (m/w/d),FERCHAU,Sche­chen Deut­sch­land,Remote,Full-time,"Arm, C, C++, Firmware, Rtos","R, Verilog, Stm32, Fpga, Vhdl",German,,,Recent,https://touch.ferchau.com/de/de/job/490648/firmware-fpga-engineer-fuer-hochspannungssysteme,2026-02-19T12:04:02.103927+00:00
0,Firmware Engineer | Germany,ferchau,Hardware Engineer Elektrotechnik (m/w/d),FERCHAU,Hannover Deut­sch­land,Vor Ort,Full-time,"C, C++",R,German,,,Recent,https://touch.ferchau.com/de/de/job/486970/hardware-engineer-elektrotechnik,2026-02-19T12:04:02.104918+00:00
0,Firmware Engineer | Germany,ferchau,Software Engineer (m/f/d) C++,FERCHAU,Munich Germany,On-Site,Full-time,"C, C++, Rust",,English,,,Recent,https://touch.ferchau.com/de/de/job/482779/software-engineer-c,2026-02-19T12:04:02.105642+00:00
0,Firmware Engineer | Germany,ferchau,Entwickler Firmware Niederspannung (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,"C, C++, Firmware","R, Git, Github",German,,,Recent,https://touch.ferchau.com/de/de/job/493621/entwickler-firmware-niederspannung,2026-02-19T12:04:02.108635+00:00
0,Firmware Engineer | Germany,ferchau,Embedded Software Entwickler (m/w/d),FERCHAU,Berlin Deut­sch­land,Hybrid,Full-time,"C, C++, Python","R, Linux, Git",German,,,Recent,https://touch.ferchau.com/de/de/job/479902/embedded-software-entwickler,2026-02-19T12:04:02.109797+00:00
0,Firmware Engineer | Germany,ferchau,Softwareentwickler (m/w/d) C / C++,FERCHAU,Bremen Deut­sch­land,Hybrid,Full-time,"C, C++",,English,,,Recent,https://touch.ferchau.com/de/de/job/400018/softwareentwickler-c-c,2026-02-19T12:04:02.110597+00:00
