relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Firmware Engineer | Switzerland,linkedin,"Senior Software Developer, Embedded Systems/Firmware",Google,"Zurich, Zurich, Switzerland",On-site,Full-time,"Embedded Systems, Firmware",Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-developer-embedded-systems-firmware-at-google-4425226864,2026-06-22T15:28:41.899997+00:00
14,QA Engineer | USA,linkedin,Senior QA Automation Engineer,Tailored Management,United States,On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-at-tailored-management-4429573561,2026-06-22T15:26:41.995758+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Manual QA Engineer,Jobgether,United Kingdom,On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-manual-qa-engineer-at-jobgether-4427449957,2026-06-22T15:26:44.419817+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer - Pro Design,Canva,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-pro-design-at-canva-4430381969,2026-06-22T15:26:44.420262+00:00
14,QA Engineer | United Kingdom,linkedin,Staff QA Engineer,Matillion,"Manchester, England, United Kingdom",On-site,Full-time,,Staff,English,Staff,,Recent,https://uk.linkedin.com/jobs/view/staff-qa-engineer-at-matillion-4401769212,2026-06-22T15:26:44.420551+00:00
14,Test Engineer | Germany,linkedin,Senior Test Engineer (m/f/d),Renesas Electronics,"Dresden, Saxony, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/%E2%80%AFsenior-test-engineer-m-f-d-at-renesas-electronics-4426829202,2026-06-22T15:26:46.878674+00:00
14,Testingenieur | Germany,linkedin,Testmanager*in im Software Testing für Webprojekte,netcare GmbH,"Echterdingen, Baden-Württemberg, Germany",On-site,Full-time,,R,English,Test Manager,,Recent,https://de.linkedin.com/jobs/view/testmanager-in-im-software-testing-f%C3%BCr-webprojekte-at-netcare-gmbh-4428901165,2026-06-22T15:27:08.980229+00:00
14,Testingenieur | Remote,linkedin,Project Engineer,R8 TECHNOLOGIES,Germany,Remote,Contract,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/project-engineer-at-r8-technologies-4426481460,2026-06-22T15:27:16.210418+00:00
14,Testingenieur | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Group,"Horná Štefanovičová, Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-group-4419248716,2026-06-22T15:27:18.636970+00:00
14,Testingenieur | USA,linkedin,"Manufacturing Engineer, General Assembly & Testing Optimus",Tesla,"Palo Alto, CA",On-site,Contract,,"Lead, Assembly, Staff",English,"Lead, Staff",,Recent,https://www.linkedin.com/jobs/view/manufacturing-engineer-general-assembly-testing-optimus-at-tesla-4420212701,2026-06-22T15:27:26.166260+00:00
14,Testingenieur | USA,linkedin,Product Testing Engineer,Honda South Carolina Manufacturing,"Raymond, OH",Remote,Contract,C,Contractor,English,Contractor,,Recent,https://www.linkedin.com/jobs/view/product-testing-engineer-at-honda-south-carolina-manufacturing-4425927540,2026-06-22T15:27:26.166573+00:00
14,Testingenieur | USA,linkedin,Manufacturing Quality Assurance (QA) Engineer,Goodwill Legacy Group,"Indianapolis, IN",On-site,Contract,Can,"Lead, Director, Staff",English,"Lead, Staff",,Recent,https://www.linkedin.com/jobs/view/manufacturing-quality-assurance-qa-engineer-at-goodwill-legacy-group-4429145892,2026-06-22T15:27:26.166896+00:00
14,Testingenieur | United Kingdom,linkedin,Graduate Test Engineer – Environmental Testing,Applus+ Laboratories,"Silverstone, England, United Kingdom",On-site,Contract,,"Graduate, Staff",English,Staff,,Recent,https://uk.linkedin.com/jobs/view/graduate-test-engineer-%E2%80%93-environmental-testing-at-applus%2B-laboratories-4409256531,2026-06-22T15:27:28.601378+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer,TipTopJob,"Telford, England, United Kingdom",On-site,Contract,,"Lead, Assembly",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-tiptopjob-4431184259,2026-06-22T15:27:28.601565+00:00
14,Test Automation | Germany,linkedin,Senior Test Manager,Avaloq,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://de.linkedin.com/jobs/view/senior-test-manager-at-avaloq-4426938755,2026-06-22T15:27:31.063080+00:00
14,Test Automation | Austria,linkedin,Test Manager (m/w/d),softwareXperts GmbH,"Vienna, Austria",On-site,Full-time,,,English,Test Manager,,Recent,https://at.linkedin.com/jobs/view/test-manager-m-w-d-at-softwarexperts-gmbh-4420404169,2026-06-22T15:27:33.422850+00:00
14,Test Automation | Austria,linkedin,Senior Tester (f/m/x) - Group Prime Service Tribe,Raiffeisen Bank International AG,"Vienna, Austria",On-site,Internship,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-tester-f-m-x-group-prime-service-tribe-at-raiffeisen-bank-international-ag-4408045349,2026-06-22T15:27:33.422996+00:00
14,Test Automation | Austria,linkedin,"Test Automation Engineer – Senior Consultant (m,w,d)",QESTIT DACH,"Vienna, Austria",On-site,Full-time,Test Automation,"Senior, Consultant",English,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-%E2%80%93-senior-consultant-m-w-d-at-qestit-dach-4422293279,2026-06-22T15:27:33.423297+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Manager,itecor,"Geneva, Geneva, Switzerland",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/senior-test-manager-at-itecor-4418946126,2026-06-22T15:27:35.801987+00:00
14,Test Automation | Switzerland,linkedin,Software Quality Assurance (QA) Automation Consultant – Web Full-Stack E2E Testing,AnswerConsulting SA,"Mendrisio, Ticino, Switzerland",On-site,Full-time,,Consultant,English,Consultant,,Recent,https://ch.linkedin.com/jobs/view/software-quality-assurance-qa-automation-consultant-%E2%80%93-web-full-stack-e2e-testing-at-answerconsulting-sa-4431398859,2026-06-22T15:27:35.802128+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Qim info,"Vaud, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-qim-info-4418743260,2026-06-22T15:27:35.802424+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Manager ERP,itecor,"Lausanne, Vaud, Switzerland",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/senior-test-manager-erp-at-itecor-4421615555,2026-06-22T15:27:35.802569+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Templeton & Partners - Innovative & Inclusive Hiring Solutions,"Geneva, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-templeton-partners-innovative-inclusive-hiring-solutions-4429922077,2026-06-22T15:27:35.802710+00:00
14,Test Automation | Remote,linkedin,Senior Mobile Test Automation Engineer,Bragi,Germany,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-mobile-test-automation-engineer-at-bragi-4425302797,2026-06-22T15:27:38.230315+00:00
14,Test Automation | Remote,linkedin,Senior Manager Quality Assurance (m/w/d),Redcare Pharmacy,"Cologne, North Rhine-Westphalia, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-manager-quality-assurance-m-w-d-at-redcare-pharmacy-4423632057,2026-06-22T15:27:38.230460+00:00
14,Test Automation | Slovakia,linkedin,Senior Test Developer,Kistler Group,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-developer-at-kistler-group-4420290304,2026-06-22T15:27:40.647961+00:00
14,Test Automation | Czech Republic,linkedin,AI Strategy & Automation Lead,Midorick Solutions,Dominican Republic,On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/ai-strategy-automation-lead-at-midorick-solutions-4429567388,2026-06-22T15:27:43.012899+00:00
14,Test Automation | Czech Republic,linkedin,Quality Assurance Senior,Grupo Ramos,"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-senior-at-grupo-ramos-4421212046,2026-06-22T15:27:43.013807+00:00
14,Test Automation | Poland,linkedin,Senior Software Development Engineer in Test,SPD Technology,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-development-engineer-in-test-at-spd-technology-4423343137,2026-06-22T15:27:45.430478+00:00
14,Test Automation | USA,linkedin,QA Automation / Manual tester,GuruSchools LLC,"New York, NY",Hybrid,Contract,"Playwright, Selenium","Waterfall, Jira, Agile, Postman, Senior, Performance Testing, Manual Testing, Sql",English,Senior,,Recent,https://www.linkedin.com/jobs/view/qa-automation-manual-tester-at-guruschools-llc-4431706578,2026-06-22T15:27:48.092948+00:00
14,Test Automation | United Kingdom,linkedin,Test Lead,Alpha Bank,"London Area, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-lead-at-alpha-bank-4425304166,2026-06-22T15:27:50.668877+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager- Financial Services,KPMG UK,"London Area, United Kingdom",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-financial-services-at-kpmg-uk-4407206674,2026-06-22T15:27:50.669482+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Engineer,Opus 2,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-engineer-at-opus-2-4429973138,2026-06-22T15:27:50.669633+00:00
14,Python Developer | Germany,linkedin,Senior Python Engineer (NLP) - Munich,Next Ventures,"Munich, Bavaria, Germany",On-site,Full-time,"Nlp, Python",Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-nlp-munich-at-next-ventures-4426828967,2026-06-22T15:27:53.067033+00:00
14,Python Developer | Austria,linkedin,Senior Python Engineer,DL Remote,"Graz, Styria, Austria",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-engineer-at-dl-remote-4429363868,2026-06-22T15:27:55.451230+00:00
14,Python Developer | Switzerland,linkedin,Senior Back-End Engineer (Python),Vorsee,"Geneva, Geneva, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-back-end-engineer-python-at-vorsee-4421851489,2026-06-22T15:27:57.825182+00:00
14,Python Developer | Remote,linkedin,Senior Python Developer,Digital Waffle,"Berlin, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-developer-at-digital-waffle-4424571485,2026-06-22T15:28:00.254298+00:00
14,Python Developer | Remote,linkedin,Senior Software Engineer - Backend / Python (m/f/x),Cara Care,Germany,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-backend-python-m-f-x-at-cara-care-4430995261,2026-06-22T15:28:00.254585+00:00
14,Python Developer | Remote,linkedin,Python Engineer,SME Careers,Germany,Remote,Contract,"Ci/Cd, Python","Senior, Contractor, Expert",English,"Contractor, Expert, Senior",,Recent,https://de.linkedin.com/jobs/view/python-engineer-at-sme-careers-4415382366,2026-06-22T15:28:00.255181+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,EPAM Systems,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-epam-systems-4288584951,2026-06-22T15:28:02.713360+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Data Scraping Engineer (Freelance),Mindrift,Slovakia,On-site,Contract,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-data-scraping-engineer-freelance-at-mindrift-4429904147,2026-06-22T15:28:02.713509+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Endava,"Warsaw, Mazowieckie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-endava-4428041568,2026-06-22T15:28:07.597922+00:00
14,Python Test | Switzerland,linkedin,Test Architect,Sixsentix,"Zurich, Switzerland",On-site,Full-time,,Architect,English,Architect,,Recent,https://ch.linkedin.com/jobs/view/test-architect-at-sixsentix-4417954098,2026-06-22T15:28:20.022614+00:00
14,Python Test | Switzerland,linkedin,Senior Test Engineer / Software Development Engineer in Test (SDET),PHOENIQS,"Basel, Basel, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-engineer-software-development-engineer-in-test-sdet-at-phoeniqs-4427950513,2026-06-22T15:28:20.022935+00:00
14,Python Test | Slovakia,linkedin,Medior/Senior Test Engineer (m/f/n),ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/medior-senior-test-engineer-m-f-n-at-eset-4382568751,2026-06-22T15:28:24.837231+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-06-22T15:28:27.246683+00:00
14,Python Test | United Kingdom,linkedin,Senior QA Engineer,Bright Purple,"Aberdeen, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-bright-purple-4427818781,2026-06-22T15:28:34.692798+00:00
14,Firmware Engineer | Germany,linkedin,Senior Embedded Engineer,Qwello,"Munich, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-at-qwello-4429316239,2026-06-22T15:28:37.155099+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),CycloTech GmbH,"Linz, Upper Austria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-cyclotech-gmbh-4428254680,2026-06-22T15:28:39.509190+00:00
14,Firmware Engineer | Austria,linkedin,Senior Firmware Engineer (f/m/d),Easelink,"Graz, Styria, Austria",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-firmware-engineer-f-m-d-at-easelink-4418331284,2026-06-22T15:28:39.509489+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded Engineer (m/w/d),QAVION GROUP,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-m-w-d-at-qavion-group-4421116002,2026-06-22T15:28:44.278946+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer (Remote) - Talent Pipeline,Forgotten Empires,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-remote-talent-pipeline-at-forgotten-empires-4424784782,2026-06-22T15:28:44.279249+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer (m/f/d) - Mobile,Code Compass 🧭,Berlin Metropolitan Area,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-m-f-d-mobile-at-code-compass-%F0%9F%A7%AD-4427341899,2026-06-22T15:28:44.279394+00:00
14,Firmware Engineer | Slovakia,linkedin,Embedded Software Developer,Kistler Group,Bratislava Metropolitan Area,Remote,Full-time,"C, C++, Can, Ci/Cd, Driver Development, Rust","Linux, Lead",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/embedded-software-developer-at-kistler-group-4422966621,2026-06-22T15:28:46.766671+00:00
14,Firmware Engineer | Slovakia,linkedin,Junior Software Engineer,Synpulse,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Can, Java","Internship, Junior, Agile, Senior, Scrum, Sql",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/junior-software-engineer-at-synpulse-4416235193,2026-06-22T15:28:46.767034+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer,Cisco,"Bratislava, Bratislava, Slovakia",Hybrid,Full-time,"C, C++, Cursor, Java, Javascript, Python","Postgresql, Junior, Devops, Lead, Mid-Level, Node.Js, Git, Mysql",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/software-engineer-at-cisco-4405449351,2026-06-22T15:28:46.767618+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Java Software Engineer,"Relivered, s.r.o.","Bratislava Old Town, Bratislava, Slovakia",Remote,Internship,"Ci/Cd, Java","Openshift, R, Linux, Azure, Senior, Kubernetes",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-java-software-engineer-at-relivered-s-r-o-4421949315,2026-06-22T15:28:46.767936+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer,Cisco,"Bratislava, Bratislava, Slovakia",Hybrid,Full-time,"C, C++, Cursor, Java, Javascript, Python","Postgresql, Junior, Devops, Lead, Mid-Level, Node.Js, Git, Mysql",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/software-engineer-at-cisco-4405447350,2026-06-22T15:28:46.768079+00:00
14,Firmware Engineer | Czech Republic,linkedin,"Lead Software Engineer (Hybrid, Santo Domingo, DO)",Parking Network B.V.,"Santo Domingo Este, Santo Domingo, Dominican Republic",Hybrid,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-hybrid-santo-domingo-do-at-parking-network-b-v-4428860564,2026-06-22T15:28:49.182962+00:00
