relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Test Automation | USA,linkedin,Software Tester/QA Analyst,Intellibee Inc,"Richmond, VA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-tester-qa-analyst-at-intellibee-inc-4388537345,2026-03-21T10:26:05.591699+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Germany,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385304449,2026-03-21T10:24:28.608127+00:00
14,Tester | Slovakia,linkedin,Senior Software Engineer in Test,Filevine,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-in-test-at-filevine-4380694723,2026-03-21T10:24:31.001863+00:00
14,Tester | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4356700885,2026-03-21T10:24:33.371206+00:00
14,QA Engineer | Remote,linkedin,Senior QA Engineer (m/w/d),Fairsource,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-m-w-d-at-fairsource-4382782610,2026-03-21T10:24:50.376207+00:00
14,QA Engineer | Remote,linkedin,Senior Quality Assurance Engineer,HiveMQ,"Berlin, Berlin, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-hivemq-4364406728,2026-03-21T10:24:50.376357+00:00
14,QA Engineer | Slovakia,linkedin,Expert Quality Assurance (QA) Engineer,Qualco Group,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Expert,English,Expert,,Recent,https://sk.linkedin.com/jobs/view/expert-quality-assurance-qa-engineer-at-qualco-group-4381409824,2026-03-21T10:24:52.766784+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Automation Engineer,Hotovo,"Košice, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-automation-engineer-at-hotovo-4384485200,2026-03-21T10:24:52.767463+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Engineer,Ness Digital Engineering,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-at-ness-digital-engineering-4388338182,2026-03-21T10:24:52.767776+00:00
14,QA Engineer | Slovakia,linkedin,"Senior QA Engineer, IMF",Bloomreach,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-imf-at-bloomreach-4383319917,2026-03-21T10:24:52.768073+00:00
14,QA Engineer | Czech Republic,linkedin,Senior QA Automation Engineer (Playwright) - Remote - Latin America,FullStack,Dominican Republic,Remote,Full-time,Playwright,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-engineer-playwright-remote-latin-america-at-fullstack-4387897440,2026-03-21T10:24:55.163818+00:00
14,QA Engineer | Poland,linkedin,Senior Manual QA Engineer for Mobile App (Tinder),Zoolatech,"Warsaw, Mazowieckie, Poland",Remote,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-qa-engineer-for-mobile-app-tinder-at-zoolatech-4384049516,2026-03-21T10:24:57.584558+00:00
14,QA Engineer | United Kingdom,linkedin,🚀 Senior QA Engineer (Playwright Specialist) — Remote (UK) — £60–65k,Venchr,"Manchester Area, United Kingdom",Remote,Full-time,Playwright,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/%F0%9F%9A%80-senior-qa-engineer-playwright-specialist-%E2%80%94-remote-uk-%E2%80%94-%C2%A360%E2%80%9365k-at-venchr-4385251493,2026-03-21T10:25:02.391093+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,White Rose Education,"Leeds, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-white-rose-education-4383701609,2026-03-21T10:25:02.391893+00:00
14,Testingenieur | Austria,linkedin,Test Manager (m/f/d),Deutsche Telekom,"Fünfkirchen, Lower Austria, Austria",On-site,Full-time,,,English,Test Manager,,Recent,https://at.linkedin.com/jobs/view/test-manager-m-f-d-at-deutsche-telekom-4376822062,2026-03-21T10:25:29.197651+00:00
14,Testingenieur | Slovakia,linkedin,Validačný Expert pre Alarm Function Testing,Valicare Slovakia,"Trenčianska Turná, Trenciansky, Slovakia",On-site,Full-time,,Expert,English,Expert,,Recent,https://sk.linkedin.com/jobs/view/valida%C4%8Dn%C3%BD-expert-pre-alarm-function-testing-at-valicare-slovakia-4387902758,2026-03-21T10:25:36.353198+00:00
14,Testingenieur | USA,linkedin,Application Engineer,InterImage,"Fort Meade, MD",Remote,Full-time,Java,"Agile, Postgresql, Senior, Oracle, Waterfall",English,Senior,,Recent,https://www.linkedin.com/jobs/view/application-engineer-at-interimage-4386396116,2026-03-21T10:25:43.701559+00:00
14,Testingenieur | USA,linkedin,Junior Software Integration/Test Engineer,DCS Corp,"Dayton, OH",On-site,Contract,"C, C++, Ci/Cd, Java, Python","Kubernetes, Contractor, Linux, Agile, Internship, Git, Junior",English,Contractor,,Recent,https://www.linkedin.com/jobs/view/junior-software-integration-test-engineer-at-dcs-corp-4386529245,2026-03-21T10:25:43.702202+00:00
14,Testingenieur | USA,linkedin,Test Engineer,Harley-Davidson Motor Company,"Wauwatosa, WI",On-site,Full-time,,"Staff, Senior",English,"Senior, Staff",,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-harley-davidson-motor-company-4385283970,2026-03-21T10:25:43.702509+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,AJ Bell,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-aj-bell-4385718700,2026-03-21T10:25:46.179552+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,BSI,"Hemel Hempstead, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-bsi-4366543025,2026-03-21T10:25:46.179868+00:00
14,Test Automation | Germany,linkedin,Senior Quality Assurance Engineer,SGI,"Berlin, Germany",Hybrid,Internship,"Continuous Testing, Python","Agile, Senior",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-sgi-4363260868,2026-03-21T10:25:48.617040+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4381213320,2026-03-21T10:25:48.617206+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (m/f/d),Deutsche Telekom,"Fünfkirchen, Lower Austria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-m-f-d-at-deutsche-telekom-4387865291,2026-03-21T10:25:50.986394+00:00
14,Test Automation | Austria,linkedin,Testing Manager (all genders),Viewpointsystem,"Vienna, Vienna, Austria",On-site,Internship,"Can, I2C, Python, Spi","Lead, Arduino",English,Lead,,Recent,https://at.linkedin.com/jobs/view/testing-manager-all-genders-at-viewpointsystem-4380292301,2026-03-21T10:25:50.987016+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer,AVILOO Battery Diagnostics,"Laxenburg, Lower Austria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-at-aviloo-battery-diagnostics-4378165473,2026-03-21T10:25:50.987167+00:00
14,Test Automation | Austria,linkedin,Senior Test Manager T Cloud Public (m/f/d),Deutsche Telekom,"Fünfkirchen, Lower Austria, Austria",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://at.linkedin.com/jobs/view/senior-test-manager-t-cloud-public-m-f-d-at-deutsche-telekom-4387421667,2026-03-21T10:25:50.987341+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Analyst,RBW Consulting,"Lachen, Schwyz, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-analyst-at-rbw-consulting-4353430000,2026-03-21T10:25:53.380541+00:00
14,Test Automation | Switzerland,linkedin,Test Lead (M/F),WIT PARTNERS SA,"Vaud, Switzerland",On-site,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/test-lead-m-f-at-wit-partners-sa-4385437606,2026-03-21T10:25:53.381005+00:00
14,Test Automation | Switzerland,linkedin,Test Lead Software (H/F),fortil,Lausanne Metropolitan Area,On-site,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/test-lead-software-h-f-at-fortil-4387291941,2026-03-21T10:25:53.381159+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Galaxi Consulting Group,"Geneva, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-galaxi-consulting-group-4387696996,2026-03-21T10:25:53.381332+00:00
14,Test Automation | Czech Republic,linkedin,QA Lead,Powdevs,Dominican Republic,On-site,Full-time,,Lead,English,"Lead, QA Lead",,Recent,https://do.linkedin.com/jobs/view/qa-lead-at-powdevs-4383781317,2026-03-21T10:26:00.600237+00:00
14,Test Automation | Poland,linkedin,Senior Automation Engineer,SOFTETA,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-engineer-at-softeta-4388345146,2026-03-21T10:26:03.025412+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Analyst (Customer Operations),Kroo Bank,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-analyst-customer-operations-at-kroo-bank-4387808621,2026-03-21T10:26:08.037430+00:00
14,Test Automation | United Kingdom,linkedin,Testing Lead,Deloitte,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/testing-lead-at-deloitte-4383546538,2026-03-21T10:26:08.037637+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Tester,Dlala Studios,"Witham, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-tester-at-dlala-studios-4378767706,2026-03-21T10:26:08.037976+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Analyst,Rebellion,"Oxford, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-analyst-at-rebellion-4383721363,2026-03-21T10:26:08.038306+00:00
14,Test Automation | United Kingdom,linkedin,"Senior Automation Tester - Flutter, Agentic AI & API Systems",DeliveryApp,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-tester-flutter-agentic-ai-api-systems-at-deliveryapp-4378790054,2026-03-21T10:26:08.038459+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Engineer,MILE,"Sheffield, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-mile-4385333171,2026-03-21T10:26:08.038861+00:00
14,Python Developer | Austria,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,Austria,On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4386732819,2026-03-21T10:26:12.967114+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,Bloomreach,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-bloomreach-4365530614,2026-03-21T10:26:20.206539+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Engineer,Ciklum,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-engineer-at-ciklum-4384050550,2026-03-21T10:26:20.206888+00:00
14,Python Developer | Czech Republic,linkedin,Senior Back End Engineer - Python (DR),Truelogic Software,Dominican Republic,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-back-end-engineer-python-dr-at-truelogic-software-4388365827,2026-03-21T10:26:22.592980+00:00
14,Python Developer | Czech Republic,linkedin,Senior Back-End Engineer (Python) - Mortgage Finance - Dominican Republic,Truelogic Software,Dominican Republic,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-back-end-engineer-python-mortgage-finance-dominican-republic-at-truelogic-software-4388128064,2026-03-21T10:26:22.593301+00:00
14,Python Developer | United Kingdom,linkedin,Senior Python Software Engineer,Tesco,"London, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-python-software-engineer-at-tesco-4385693172,2026-03-21T10:26:29.928687+00:00
14,Python Test | Switzerland,linkedin,Senior Test Automation Engineer / QA Lead (m/w/d),PEAX AG,"Lucerne, Lucerne, Switzerland",On-site,Full-time,Test Automation,"Lead, Senior",English,"Lead, QA Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-qa-lead-m-w-d-at-peax-ag-4385092784,2026-03-21T10:26:37.128785+00:00
14,Python Test | Remote,linkedin,Expert Quality Engineer,Sword Health,Germany,Remote,Full-time,,Expert,English,Expert,,Recent,https://de.linkedin.com/jobs/view/expert-quality-engineer-at-sword-health-4388315071,2026-03-21T10:26:39.536951+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-03-21T10:26:44.350506+00:00
14,Python Test | Poland,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Poland,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385316019,2026-03-21T10:26:46.762519+00:00
14,Python Test | USA,linkedin,Senior QA Analyst,Edify Technologies,"Oakbrook Terrace, IL",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-analyst-at-edify-technologies-4387431511,2026-03-21T10:26:49.598927+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Glasgow, Scotland, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385311160,2026-03-21T10:26:52.082651+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Birmingham, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385301654,2026-03-21T10:26:52.082809+00:00
14,Python Test | United Kingdom,linkedin,Senior QA Engineer,Anaplan,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-anaplan-4380285167,2026-03-21T10:26:52.082960+00:00
14,Firmware Engineer | Germany,linkedin,Senior Software Engineer - Nvidia Platform,Autobrains Technologies,"Munich, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-nvidia-platform-at-autobrains-technologies-4380448307,2026-03-21T10:26:54.491914+00:00
14,Firmware Engineer | Germany,linkedin,Senior Software Engineer (m/w/d),Buena,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-m-w-d-at-buena-4384063060,2026-03-21T10:26:54.492073+00:00
14,Firmware Engineer | Austria,linkedin,Software Engineer: Tech Lead (f/m/d),CELUM,"Vienna, Vienna, Austria",On-site,Full-time,,"Lead, Tech Lead",English,Lead,,Recent,https://at.linkedin.com/jobs/view/software-engineer-tech-lead-f-m-d-at-celum-4382999356,2026-03-21T10:26:56.862308+00:00
14,Firmware Engineer | Switzerland,linkedin,Software Engineer (m/f/d),MF Group AG,"Chiasso, Ticino, Switzerland",Remote,Contract,"Can, Java","Agile, Machine Learning, Senior",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/software-engineer-m-f-d-at-mf-group-ag-4384051588,2026-03-21T10:26:59.244699+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Software Support Engineer,OWT - a Swisscom company,"Lausanne, Vaud, Switzerland",On-site,Full-time,"Java, Typescript","Kubernetes, Linux, Sql, Transformer, R, Docker, Senior, React, Angular",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-support-engineer-at-owt-a-swisscom-company-4388342060,2026-03-21T10:26:59.245016+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Software Engineer,Ripple,"Geneva, Geneva, Switzerland",Remote,Internship,"Can, Java, Rust","Kubernetes, Agile, R, Docker, Senior, Lead, Scala, Azure, Aws",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-at-ripple-4377610063,2026-03-21T10:26:59.245358+00:00
14,Firmware Engineer | Switzerland,linkedin,"Senior Software Engineer, Capture",Advertima,"Zurich, Zurich, Switzerland",Hybrid,Internship,"C, C++, Can, Rust","Linux, Agile, Machine Learning, Architect, Senior, Computer Vision, Lead",English,"Architect, Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-capture-at-advertima-4381748584,2026-03-21T10:26:59.245664+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded Engineer (m/w/d),QAVION GROUP,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-m-w-d-at-qavion-group-4384798011,2026-03-21T10:27:01.647068+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer,Synmatch AI,Germany,On-site,Full-time,"Ai Agents, Can, Go, Python","Fastapi, Postgresql, Architect, Senior, Django",English,"Architect, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-at-synmatch-ai-4386322473,2026-03-21T10:27:01.648038+00:00
14,Firmware Engineer | Slovakia,linkedin,Principal Software Engineer,ITmatch,Slovakia,On-site,Full-time,,Principal,English,Principal,,Recent,https://sk.linkedin.com/jobs/view/principal-software-engineer-at-itmatch-4387699936,2026-03-21T10:27:04.032553+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Bloomreach,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-bloomreach-4289254318,2026-03-21T10:27:04.032857+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,CrecerLab,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-crecerlab-4386540400,2026-03-21T10:27:06.439289+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Spirit Technologies,"Santiago de los Caballeros, Santiago, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-spirit-technologies-4386360120,2026-03-21T10:27:06.439476+00:00
14,Firmware Engineer | Poland,linkedin,Senior Software Engineer,GeekSoft Consulting,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-at-geeksoft-consulting-4385202317,2026-03-21T10:27:08.878834+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Senior Software Engineer, Embedded C++",Roku,"Cambridge, England, United Kingdom",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-embedded-c%2B%2B-at-roku-4374730170,2026-03-21T10:27:13.966837+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Can, Ci/Cd, Go, Playwright, Typescript","Cypress, Manual Testing, Grafana, Datadog",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-03-21T10:24:21.490064+00:00
0,Tester | Germany,linkedin,(Junior) Software Tester / QA Engineer (f/m/d),ACCURIDS,"Cologne, North Rhine-Westphalia, Germany",Hybrid,Full-time,"Can, Test Automation","Regression Testing, Linux, Confluence, R, Jira, Junior",English,,,Recent,https://de.linkedin.com/jobs/view/junior-software-tester-qa-engineer-f-m-d-at-accurids-4385471018,2026-03-21T10:24:21.490289+00:00
0,Tester | Germany,linkedin,QA Engineer,Assemblio,"Stuttgart, Baden-Württemberg, Germany",On-site,Full-time,"Ci/Cd, Integration Testing","Grpc, Cypress, Devops",English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-at-assemblio-4376728345,2026-03-21T10:24:21.490456+00:00
0,Tester | Germany,linkedin,QA Tester (f/m/d),justDice,"Hamburg, Hamburg, Germany",Remote,Full-time,Test Automation,"Agile, React, Rest Api, Manual Testing",English,,,Recent,https://de.linkedin.com/jobs/view/qa-tester-f-m-d-at-justdice-4384028500,2026-03-21T10:24:21.490614+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking  (ID: 22229),Da Vinci Engineering GmbH,"Karlsruhe, Baden-Württemberg, Germany",On-site,Internship,,"Associate, Scrum, Confluence, R, Kanban, Jira, Postman",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22229-at-da-vinci-engineering-gmbh-4387962742,2026-03-21T10:24:21.490775+00:00
0,Tester | Germany,linkedin,Software Test Engineer (m/w/d) – Banking (ID: 22230),Da Vinci Engineering GmbH,"Münster, North Rhine-Westphalia, Germany",On-site,Internship,,"Associate, Scrum, Confluence, R, Kanban, Jira, Postman",German,,,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-%E2%80%93-banking-id-22230-at-da-vinci-engineering-gmbh-4387968513,2026-03-21T10:24:21.491115+00:00
