relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior Test Automation Engineer E-Mobility (Part-time) (m/f/d),GULP Client,"Location: Remote, Europaweit",Remote,Freelance,Test Automation,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/57d5bd386a4311f189e08e417b6a1e17,2026-06-18T14:11:08.639337+00:00
14,Python Developer | Germany,gulp,Senior BackendDeveloperE-Mobility (m/f/d),GULP Client,"Location: Remote, Europaweit",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e57956326b0511f189e08e417b6a1e17,2026-06-18T14:15:19.319315+00:00
14,Python Developer | Germany,gulp,Consultant Microsoft Copilot M365,GULP Client,Location: Munich,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01297586,2026-06-18T14:15:19.319726+00:00
14,Python Developer | Germany,gulp,Ivalua Procurement Suite Consultant (m/f/d),GULP Client,"Location: D3, / Remote",Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/3786b7646af511f189e08e417b6a1e17,2026-06-18T14:15:19.321461+00:00
14,Python Developer | Germany,gulp,(Senior) Project Manager Six Sigma Black Belt (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Senior, Project Manager",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a33aa55dcc9ebb45fc07491,2026-06-18T14:15:19.321954+00:00
14,Python Developer | Germany,gulp,IT Consultant SAP TM / Solution Architect (f/m/d),GULP Client,Location: Nuremberg,Remote,Freelance,,"Consultant, Architect, Solution Architect",English,"Architect, Consultant",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01297332,2026-06-18T14:15:19.323057+00:00
0,Tester | Germany,gulp,System Test Engineer Railway Technology / SIL4,GULP Client,Germany,Remote,Freelance,"Ci/Cd, System Testing, Test Automation",,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6a328ea4ea2688d473eca6e6,2026-06-18T14:11:08.638787+00:00
0,Tester | Germany,gulp,SeniorTester(m/f/d) Wiesbaden On-site deployment,GULP Client,Location: Wiesbaden,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a1ff98463e9c61f75dfdf3f,2026-06-18T14:11:08.640189+00:00
0,Tester | Germany,gulp,remote: Playwright Test Automation Engineer f/m/d POS73992n Test Automation,GULP Client,Location: remote,Remote,Freelance,"Playwright, Test Automation",,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a195abc1803eda9ada7da63,2026-06-18T14:11:08.641087+00:00
0,Tester | Germany,gulp,Tester / Test automation engineer (m/f/d),GULP Client,Germany,Hybrid,Freelance,"Java, Selenium, Test Automation","Confluence, Git, Sql, Jira",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-06-18T14:11:08.641808+00:00
0,QA Engineer | Germany,gulp,"DevOpsEngineer(m/f/d) - Terraform, Docker/Kubernetes/Openshift, Tekton - remote",GULP Client,Germany,Remote,Freelance,,"Terraform, Kubernetes, Openshift, Docker",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6d38f64c6b0e11f189e08e417b6a1e17,2026-06-18T14:11:59.002153+00:00
0,QA Engineer | Germany,gulp,Draftsman/Designer for Overhead Line Masts (m/f/d),GULP Client,Germany,Remote,Freelance,,Assembly,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/48db94266b0e11f189e08e417b6a1e17,2026-06-18T14:11:59.002703+00:00
0,QA Engineer | Germany,gulp,Project Manager/Construction Manager SanitaryEngineering(m/f/d),GULP Client,Location: Frankfurt,On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4aa4ce306b0e11f189e08e417b6a1e17,2026-06-18T14:11:59.003109+00:00
0,QA Engineer | Germany,gulp,Commissioning Engineer for Instrumentation and Control Systems (m/f/d),GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4c48041e6b0e11f189e08e417b6a1e17,2026-06-18T14:11:59.003509+00:00
0,QA Engineer | Germany,gulp,Business Analyst (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e869e6866b0511f189e08e417b6a1e17,2026-06-18T14:11:59.004002+00:00
0,QA Engineer | Germany,gulp,Construction Billing Specialist for ElectricalEngineering(m/f/d),GULP Client,"Location: D6, remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bbba4d106afb11f189e08e417b6a1e17,2026-06-18T14:11:59.004491+00:00
0,QA Engineer | Germany,gulp,Technical Project Manager (m/f/d),GULP Client,Location: D5,On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ad9c70826afb11f189e08e417b6a1e17,2026-06-18T14:11:59.004886+00:00
0,QA Engineer | Germany,gulp,Construction supervisor for railway signaling and safety technology (m/f/d),GULP Client,Location: siehe Beschreibung,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/3b91caa66af511f189e08e417b6a1e17,2026-06-18T14:11:59.005270+00:00
0,QA Engineer | Germany,gulp,DevOpsEngineer(m/f/d) - Azure DevOps / Terraform / Helm,GULP Client,Location: Remote,Remote,Freelance,,"Terraform, Azure, Devops",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a33a3dde5bd45e121ebeaa8,2026-06-18T14:11:59.005677+00:00
0,QA Engineer | Germany,gulp,AI / SAP AutomationEngineer(Finance / Accounting),GULP Client,Location: Mannheim,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6a339d06ea2688d473fa35fe,2026-06-18T14:11:59.006002+00:00
0,QA Engineer | Germany,gulp,PLC development with Twincat 3.1. (m/f/d),GULP Client,Location: D9,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/3eaca9846a5c11f189e08e417b6a1e17,2026-06-18T14:11:59.006804+00:00
0,QA Engineer | Germany,gulp,ProcessEngineerMTM / REFA (French-speaking) (m/f/d),GULP Client,Location: CH,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/41995db86a5c11f189e08e417b6a1e17,2026-06-18T14:11:59.007186+00:00
0,QA Engineer | Germany,gulp,Building Services Supervisor (m/f/d),GULP Client,Location: Kerpen,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7e1410c46a5411f189e08e417b6a1e17,2026-06-18T14:11:59.007565+00:00
0,QA Engineer | Germany,gulp,Construction Manager ElectricalEngineering(m/f/d),GULP Client,"Location: D6, Rhein-Main-Gebiet",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7c1b1eac6a5411f189e08e417b6a1e17,2026-06-18T14:11:59.007972+00:00
0,Test Automation | Germany,gulp,Application Developer (m/f/d),GULP Client,Location: Würzburg/Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/23580b48665a11f189e08e417b6a1e17,2026-06-18T14:14:30.867324+00:00
0,Test Automation | Germany,gulp,AI Data Engineer in the field of knowledge management bots (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0f455fd65e7411f189e08e417b6a1e17,2026-06-18T14:14:30.869275+00:00
0,Test Automation | Germany,gulp,Wiesbaden remote: PlaywrightTest AutomationEngineer (m/f/d) POS73992Test Automation,GULP Client,Location: Wiesbaden,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a1702371803eda9ada70948,2026-06-18T14:14:30.870258+00:00
0,Test Automation | Germany,gulp,Data Migration Engineer / SQL Developer (80-100%) (m/f/d) (16016),GULP Client,Location: Zürich Flughafen,Remote,Freelance,,Sql,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1bcb11f24a0511f189e08e417b6a1e17,2026-06-18T14:14:30.871048+00:00
0,Python Developer | Germany,gulp,PMO (m/f/d) property management software,GULP Client,"Location: Quickborn, Kreis Pinneberg",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01297631,2026-06-18T14:15:19.318476+00:00
0,Python Developer | Germany,gulp,Cisco Network Specialist (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ae430ed86afb11f189e08e417b6a1e17,2026-06-18T14:15:19.320991+00:00
0,Python Developer | Germany,gulp,CMMC 2.0 Level 2 Readiness Advisor / CMMC Sherpa (m/f/d),GULP Client,Location: D,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/31ee4d2a6a6511f189e08e417b6a1e17,2026-06-18T14:15:19.323437+00:00
0,Python Developer | Germany,gulp,COBOLDeveloper– Depot A Inventories (m/f/d),GULP Client,"Location: Frankfurt, Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/b1f61ae46a6411f189e08e417b6a1e17,2026-06-18T14:15:19.323922+00:00
0,Python Test | Germany,gulp,PMO / Project Manager for a software implementation in the real estate sector (m/f/d),GULP Client,"Location: Remote, D2",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a9e80e406b1611f189e08e417b6a1e17,2026-06-18T14:16:08.891766+00:00
0,Python Test | Germany,gulp,Embedded Software Engineer / Device Driver Development (Zephyr / Linux) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,Driver Development,"Zephyr, Linux",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/892ac73c6a5411f189e08e417b6a1e17,2026-06-18T14:16:08.893886+00:00
0,Python Test | Germany,gulp,"Data Engineer (m/f/d) - AWS, AWS Glue,Python",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Python,Aws,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01296921,2026-06-18T14:16:08.895096+00:00
0,Python Test | Germany,gulp,Process Engineer / Climate Chamber (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/aac47c1269b411f189e08e417b6a1e17,2026-06-18T14:16:08.895554+00:00
0,Python Test | Germany,gulp,Technical Project Manager / Systems Engineer for Climate Systems (m/f/d),GULP Client,"Location: D7, Remote",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a602dc8c69b411f189e08e417b6a1e17,2026-06-18T14:16:08.896035+00:00
0,Python Test | Germany,gulp,Software Engineer - PLC USA (m/f/d),GULP Client,Location: International,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bdca36d069b411f189e08e417b6a1e17,2026-06-18T14:16:08.896421+00:00
0,Python Test | Germany,gulp,Product Cyber ​​Security Engineer (PSE) (m/f/d),GULP Client,Location: Biberach,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/38ab4ec269a411f189e08e417b6a1e17,2026-06-18T14:16:08.896825+00:00
0,Python Test | Germany,gulp,Custom Software Engineer (m/f/d) - Smalltalk VisualWorks,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01296799,2026-06-18T14:16:08.897212+00:00
