relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior AI Engineer für die Entwicklung eines AI-basierten Assessment-Tool,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,"Senior, R",German,Senior,,28.06.2026,https://www.freelancermap.de/projekt/senior-ai-engineer-fuer-die-entwicklung-eines-ai-basierten-assessment-tool,2026-07-20T12:42:57.756195+00:00
0,Tester | Germany,freelancermap,Fullstack Entwickler (m/w/d) – AFRA-10760,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,,English,,,12:37,https://www.freelancermap.de/projekt/fullstack-entwickler-m-w-d-afra-10760,2026-07-20T12:42:57.756730+00:00
0,Tester | Germany,freelancermap,FPGA - Entwickler (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,Fpga,English,,,12:35,https://www.freelancermap.de/projekt/fpga-entwickler-m-w-d-3025436,2026-07-20T12:42:57.756834+00:00
0,Tester | Germany,freelancermap,Fachprojektberatung Geotechnik und Baugrund im Leitungstiefbau,Freelancermap Client,Berlin Remote  Deutschland,Remote,Freelance,,,German,,,12:32,https://www.freelancermap.de/projekt/fachprojektberatung-geotechnik-und-baugrund-im-leitungstiefbau-3025434,2026-07-20T12:42:57.757033+00:00
0,Tester | Germany,freelancermap,Process Engineering,Freelancermap Client,Ludwigsburg Deutschland,On-site,Freelance,,,English,,,12:28,https://www.freelancermap.de/projekt/process-engineering-3025433,2026-07-20T12:42:57.757120+00:00
0,Tester | Germany,freelancermap,"Entwickler Barrierefreiheit/Accessibility (Flutter, Dart, Spring Boot) (m/w/d) 100% remote ID03085",Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,"Spring Boot, Dart",English,,,12:20,https://www.freelancermap.de/projekt/entwickler-barrierefreiheit-accessibility-flutter-dart-spring-boot-m-w-d-100-prozent-remote-id03085,2026-07-20T12:42:57.757422+00:00
0,Tester | Germany,freelancermap,IT Network Engineer (m/f/d),Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,12:19,https://www.freelancermap.de/projekt/it-network-engineer-m-f-d,2026-07-20T12:42:57.757523+00:00
0,Tester | Germany,freelancermap,"PEGA CDH Systems Engineer (PEGA CDH, CI/CD, OpenAPI) (m/w/d) remote ID03105",mund consulting AG,Frankfurt am Main Deutschland,Remote,Freelance,Ci/Cd,R,German,,,12:15,https://www.freelancermap.de/projekt/pega-cdh-systems-engineer-pega-cdh-ci-cd-openapi-m-w-d-remote-id03105,2026-07-20T12:42:57.757713+00:00
0,Test Engineer | Switzerland,freelancermap,IT-Security Engineer (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,12:45,https://www.freelancermap.de/projekt/it-security-engineer-m-w-d-3025441,2026-07-20T12:45:45.004905+00:00
0,Test Engineer | Remote,freelancermap,B2B Telefonist / Terminierer gesucht – 25€/h + Bonus – Remote,Freelancermap Client,Germany,Remote,Freelance,,,English,,,12:45,https://www.freelancermap.de/projekt/b2b-telefonist-terminierer-gesucht-25euro-h-bonus-remote-3025442,2026-07-20T12:46:01.428612+00:00
0,Test Automation | Austria,freelancermap,SAP BW/4HANA Reporting-Templates auf Basis S/4Utilities,Freelancermap Client,Dortmund Deutschland,On-site,Freelance,,,German,,,12:47,https://www.freelancermap.de/projekt/sap-bw-4hana-reporting-templates-auf-basis-s-4utilities,2026-07-20T12:47:41.806072+00:00
0,Test Automation | Austria,freelancermap,Data Engineer / Power BI,Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,,English,,,12:47,https://www.freelancermap.de/projekt/data-engineer-power-bi,2026-07-20T12:47:41.806164+00:00
