relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-08-17T11:13:39.118224+00:00
14,Test Automation | Germany,gulp,Mid/Senior Android QA &Test AutomationEngineer - fraenk App - 90% remote,GULP Client,Location: Cologne,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316645,2026-08-17T11:17:08.787638+00:00
14,Python Developer | Germany,gulp,Shareflex ECM expert,GULP Client,Location: Siegen,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323901,2026-08-17T11:18:02.244764+00:00
14,Python Developer | Germany,gulp,Transformation & AI Process Consultant (m/f/d),GULP Client,Location: Eggenfelden,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323322,2026-08-17T11:18:02.249224+00:00
14,Python Test | Germany,gulp,IT Consultant (m/f/d) for Network Integration - Remote,GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a82df25c72c703a51b280ae,2026-08-17T11:18:53.555189+00:00
0,Tester | Germany,gulp,X-rayTester(m/f/d) with Experience,GULP Client,Location: remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7eec29c8f5c55084b14d06,2026-08-17T11:13:39.112282+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4a872a0e967111f194a5c6f993278132,2026-08-17T11:13:39.112973+00:00
0,Tester | Germany,gulp,System Tester for Battery Systems (m/f/d),GULP Client,Germany,On-site,Freelance,Hil,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/048cd124927611f194a5c6f993278132,2026-08-17T11:13:39.113493+00:00
0,Tester | Germany,gulp,Test engineer/ Metrology engineer with DIAdem knowledge (m/f/d),GULP Client,"Location: D8, GR Ravensburg",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/137b44ae91a911f194a5c6f993278132,2026-08-17T11:13:39.114025+00:00
0,Tester | Germany,gulp,Test engineer in the field of electrical drive technology (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/fbff195491a811f194a5c6f993278132,2026-08-17T11:13:39.114677+00:00
0,Tester | Germany,gulp,Test Engineer(m/f/x) - NI LabVIEW,GULP Client,Location: Freiburg im Breisgau,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01318868,2026-08-17T11:13:39.115177+00:00
0,Tester | Germany,gulp,ITTest Engineer(m/f/d) - Software Testing/E2E Testing,GULP Client,Location: Frankfurt am Main,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01317334,2026-08-17T11:13:39.115592+00:00
0,Tester | Germany,gulp,Electrical Engineer (m/f/d),GULP Client,"Location: D5, Nähe Dortmund",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9b83f0e48c3b11f194a5c6f993278132,2026-08-17T11:13:39.116092+00:00
0,Tester | Germany,gulp,SeniorTest EngineerSMC network management (m/f/d),GULP Client,Location: D6/remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/887a989e8c0011f194a5c6f993278132,2026-08-17T11:13:39.116707+00:00
0,Tester | Germany,gulp,Verification and Qualification Engineer in Signal Electronics in the Aviation Sector (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/370635de84f511f189e08e417b6a1e17,2026-08-17T11:13:39.117204+00:00
0,Tester | Germany,gulp,Testerfor an application in the banking sector (m/f/d),GULP Client,"Location: D7, Karlsruhe / Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8607de3e813111f189e08e417b6a1e17,2026-08-17T11:13:39.117826+00:00
0,Tester | Germany,gulp,Tester / Test automation engineer (m/f/d),GULP Client,Germany,Hybrid,Freelance,"Java, Selenium, Test Automation","Sql, Confluence, Jira, Git",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-08-17T11:13:39.118732+00:00
0,QA Engineer | Germany,gulp,IT Network and System Administrator (m/f/d),GULP Client,Location: Garching bei München,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01324182,2026-08-17T11:14:31.782862+00:00
0,QA Engineer | Germany,gulp,Machine VisionEngineer– RGBD & 3D Segmentation (m/f/d),GULP Client,Location: Constance,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323980,2026-08-17T11:14:31.783823+00:00
0,QA Engineer | Germany,gulp,"Fullstack developer (TypeScript, Java, Microservices, Spring Boot, etc.)(m/f/d)",GULP Client,Location: Frankfurt am Main,On-site,Freelance,"Java, Typescript","Spring Boot, Microservices",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322931,2026-08-17T11:14:31.784217+00:00
0,QA Engineer | Germany,gulp,"Fullstack Developer (Angular, SQL, Docker, Kubernetes etc.) (m/f/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Sql, Docker, Angular, Kubernetes",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322788,2026-08-17T11:14:31.784742+00:00
0,QA Engineer | Germany,gulp,IT Project Manager – Enterprise Delivery &amp; Cloud Rollout (m/f/d),GULP Client,Germany,Remote,Freelance,Ci/Cd,"Safe, Devops, Project Manager, Agile, Scrum, Kubernetes",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323264,2026-08-17T11:14:31.785236+00:00
0,QA Engineer | Germany,gulp,Fullstack Cloud DevOpsEngineer(m/f/d) Google Cloud Platform (GCP),GULP Client,Location: remote,Remote,Freelance,,"Gcp, Google Cloud",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7f263cc8f5c55084b15588,2026-08-17T11:14:31.785863+00:00
0,QA Engineer | Germany,gulp,Fullstack Cloud DevOpsEngineer(m/f/d) Google Cloud Platform (GCP),GULP Client,Location: remote,Remote,Freelance,,"Gcp, Google Cloud",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7f263bc8f5c55084b15570,2026-08-17T11:14:31.786448+00:00
0,QA Engineer | Germany,gulp,Python Backend Developer (m/f/d) – Network Control Technology & Protocol Analysis (100% Remote),GULP Client,Location: Dortmund,Remote,Freelance,Python,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323299,2026-08-17T11:14:31.786963+00:00
0,QA Engineer | Germany,gulp,Branded Project Manager - opnMe (m/f/d),GULP Client,Location: Mainz am Rhein,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323255,2026-08-17T11:14:31.787453+00:00
0,QA Engineer | Germany,gulp,4433 Tenable SC SecurityEngineer(m/f/d),GULP Client,Location: Berlin und Remote,Remote,Freelance,,,German,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7ece8ec72c703a519bddca,2026-08-17T11:14:31.788551+00:00
0,QA Engineer | Germany,gulp,"IT - InfrastructureEngineerincluding Windows, Linux, Backup, Recovery, Bash, Shell, Python... (f/m/d)",GULP Client,Location: Frankfurt am Main,On-site,Freelance,"Bash, Python, Shell",Linux,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322746,2026-08-17T11:14:31.789442+00:00
0,Test Automation | Germany,gulp,Test AutomationEngineer (m/f/d),GULP Client,Location: Bayern,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a797784e14658e1d76d70ea,2026-08-17T11:17:08.784076+00:00
0,Test Automation | Germany,gulp,Test/Quality Engineer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316821,2026-08-17T11:17:08.786532+00:00
0,Python Developer | Germany,gulp,"ABAPdeveloper(ABAp OO, OData, Nice-to-have: SAP PM) (m/f/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323025,2026-08-17T11:18:02.245743+00:00
0,Python Developer | Germany,gulp,iOS FrontendDeveloper(m/f/d),GULP Client,Location: Hamburg,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323388,2026-08-17T11:18:02.247110+00:00
0,Firmware Engineer | Germany,gulp,4432 Java Fullstack Developer (m/f/d),GULP Client,Location: Luxemburg und Remote,Remote,Freelance,Java,,German,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7cc640ea8bd086fe061f47,2026-08-17T11:19:43.406333+00:00
0,Firmware Engineer | Germany,gulp,Construction Manager / Construction Supervisor ProcessEngineering- Wastewater (m/f/d),GULP Client,"Location: D6, Saarland",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/df481fd0966811f194a5c6f993278132,2026-08-17T11:19:43.406839+00:00
0,Firmware Engineer | Germany,gulp,MaintenanceEngineerServices (m/f/d),GULP Client,"Location: Remote, D9",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/dfc34a16966811f194a5c6f993278132,2026-08-17T11:19:43.407404+00:00
0,Firmware Engineer | Germany,gulp,Electronics Technician / Mechatronics Technician (m/f/d),GULP Client,"Location: D8, -",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e3fe59c2966811f194a5c6f993278132,2026-08-17T11:19:43.407894+00:00
