relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
33,QA Engineer | Germany,hays,Senior Quality Assurance Engineer(m/f/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Lead",,"Senior, Lead",,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-assurance-engineer-duesseldorf-860017/1,2026-02-07T19:51:22.681595+00:00
20,Test Automation | Germany,hays,Savvy Berater(m/w/d),Hays Client,Remote,Remote,Contract,,,,Principal,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-savvy-berater--remote-860283/1,2026-02-07T19:52:12.362218+00:00
20,Test Automation | Germany,hays,Teamlead Quality Assurance(m/w/d),Hays Client,Hamburg,On-site,Contract,,R,,Lead,,15.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-quality-assurance--hamburg-854242/1,2026-02-07T19:52:12.363447+00:00
20,Test Automation | Germany,hays,Teamlead QA(m/w/d),Hays Client,Dortmund,On-site,Contract,,R,,Lead,,09.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-qa--dortmund-853539/1,2026-02-07T19:52:12.363845+00:00
20,Test Automation | Germany,hays,CI/CD/CT Expert Automotive(m/w/d),Hays Client,Chemnitz,On-site,Contract,"Hil, Ci/Cd, Jenkins","Devops, Gitlab, Autosar, R, Iso 26262, Gitlab Ci, Expert, Canoe, Azure",,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-automotive-chemnitz-847500/1,2026-02-07T19:52:12.364234+00:00
20,Test Automation | Germany,hays,CI/CD/CT Expert(m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Ci/Cd, Jenkins","Devops, Gitlab, Autosar, R, Iso 26262, Gitlab Ci, Expert, Canoe, Azure",,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-02-07T19:52:12.364441+00:00
20,Python Developer | Germany,hays,Senior Software Developer(m/w/d),Hays Client,Rheine,On-site,Contract,Python,"Senior, Junior, R",,Senior,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-rheine-852449/1,2026-02-07T19:52:30.181326+00:00
20,Python Developer | Germany,hays,"Senior Fullstack Engineer (Golang, C++, Python)(m/w/d)",Hays Client,Wien,On-site,Contract,"Python, C++, C","Senior, Golang",,Senior,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-fullstack-engineer-golang-c-python-wien-859612/1,2026-02-07T19:52:30.181552+00:00
20,Python Developer | Germany,hays,(Senior) C++ Developer for Audio Domain for a premium automotive company(m/f/d),Hays Client,Berlin,On-site,Contract,"Python, C++, C, Ci/Cd","Senior, Gitlab, Scrum, Agile, Docker, Git",,Senior,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-c-developer-for-audio-domain-for-a-premium-automotive-company-berlin-813356/1,2026-02-07T19:52:30.183128+00:00
20,Python Test | Germany,hays,Expert Integration & Test von Röntgendetektoren(m/w/d),Hays Client,Forchheim,On-site,Contract,,"Expert, R",,Expert,,02.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-expert-integration-test-von-roentgendetektoren-forchheim-855469/1,2026-02-07T19:52:45.948256+00:00
20,Python Test | Germany,hays,Senior Project Manager Clinical Supply Systems(m/w/d),Hays Client,Großraum Ludwigshafen,On-site,Contract,,"Senior, Project Manager, R",,Senior,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-project-manager-clinical-supply-systems-grossraum-ludwigshafen-800659/1,2026-02-07T19:52:45.950425+00:00
20,Python Test | Germany,hays,Experte KI Shopfloor(m/w/d),Hays Client,Remote,Remote,Contract,,"Aws, Azure, Deep Learning",,Expert,,16.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-ki-shopfloor-remote-844595/1,2026-02-07T19:52:45.951201+00:00
20,Python Test | Germany,hays,Senior Python Entwickler(m/w/d),Hays Client,München,On-site,Contract,Python,Senior,,Senior,,18.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-833642/1,2026-02-07T19:52:45.951852+00:00
20,Firmware Engineer | Germany,hays,Senior Firmware Engineer(m/w/d),Hays Client,Wien,On-site,Contract,Firmware,Senior,,Senior,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-firmware-engineer-wien-857249/1,2026-02-07T19:53:03.224902+00:00
0,Tester | Germany,hays,Tester Einführung TAP(m/w/d),Hays Client,remote,Remote,Contract,,,,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-tester-einfuehrung-tap-remote-859990/1,2026-02-07T19:51:05.415759+00:00
0,Tester | Germany,hays,Inbetriebnehmer(m/w/d),Hays Client,Guxhagen,On-site,Contract,,,,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-inbetriebnehmer-guxhagen-859882/1,2026-02-07T19:51:05.415992+00:00
0,Tester | Germany,hays,OBD Systemvalidierung(m/w/d),Hays Client,Affalterbach,On-site,Contract,Hil,R,,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-obd-systemvalidierung-affalterbach-859849/1,2026-02-07T19:51:05.416199+00:00
0,Tester | Germany,hays,Entwicklungsingenieur(m/w/d),Hays Client,Großraum Stuttgart,On-site,Contract,,,,,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-grossraum-stuttgart-859323/1,2026-02-07T19:51:05.416431+00:00
0,Tester | Germany,hays,Softwareentwickler/ eBike System-Tests(m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,,,,29.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler--ebike-system-tests--reutlingen-857277/1,2026-02-07T19:51:05.416635+00:00
0,Tester | Germany,hays,Embedded Python Tester(m/w/d),Hays Client,München/Stuttgart,On-site,Contract,Python,,,,,28.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-python-tester-muenchen-stuttgart-859116/1,2026-02-07T19:51:05.416838+00:00
0,Tester | Germany,hays,Test Engineer/Operator Dynamic Safety Testing(m/w/d),Hays Client,Oberding,On-site,Contract,,R,,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-operator-dynamic-safety-testing-oberding-856344/1,2026-02-07T19:51:05.417235+00:00
0,Tester | Germany,hays,Software Developer/Tester C++(m/w/d),Hays Client,Wedel,On-site,Contract,"C++, C",,,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-developer-tester-c-wedel-856479/1,2026-02-07T19:51:05.417447+00:00
0,Tester | Germany,hays,Elektroingenieur für Fahrzeugtechnik für Premium-Automobilhersteller(m/w/d),Hays Client,Ludwigsfelde,Remote,Contract,Hil,R,,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektroingenieur-fuer-fahrzeugtechnik-fuer-premium-automobilhersteller-ludwigsfelde-855681/1,2026-02-07T19:51:05.417643+00:00
0,Tester | Germany,hays,SAP Test- und Prozessingenieur(m/w/d),Hays Client,Markkleeberg/Halle (Saale)/Chemnitz,On-site,Contract,,"Confluence, R",,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sap-test--und-prozessingenieur-markkleeberg-halle-saale-chemnitz-851305/1,2026-02-07T19:51:05.417848+00:00
0,Tester | Germany,hays,Softwaretester für Steuergerätesoftware(m/w/d),Hays Client,Erlangen,On-site,Contract,Sil,R,,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwaretester-fuer-steuergeraetesoftware-erlangen-854576/1,2026-02-07T19:51:05.418041+00:00
0,Tester | Germany,hays,Softwaretester(m/w/d),Hays Client,Bundesland Wien,On-site,Contract,Java,,,,,09.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwaretester--bundesland-wien-852800/1,2026-02-07T19:51:05.418241+00:00
0,Tester | Germany,hays,Field Application Engineer - WIFI Specialist(m/w/d),Hays Client,Darmstadt,On-site,Contract,,Specialist,,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-field-application-engineer-wifi-specialist--darmstadt-849795/1,2026-02-07T19:51:05.418649+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation(m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Sil, Hil",Mil,,,,21.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-02-07T19:51:05.418840+00:00
0,Tester | Germany,hays,Bauüberwacher Tief- und Hochbau(m/w/d),Hays Client,Köln,On-site,Contract,,,,,,10.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauueberwacher-tief--und-hochbau-koeln-843837/1,2026-02-07T19:51:05.419035+00:00
0,Tester | Germany,hays,IT-Lager- und Asset Management Spezialist(m/w/d),Hays Client,Berlin,On-site,Contract,,R,,,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-lager--und-asset-management-spezialist-berlin-837799/1,2026-02-07T19:51:05.419240+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation(m/w/d),Hays Client,Chemnitz,On-site,Contract,"Sil, Hil",Mil,,,,29.08.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-chemnitz-837859/1,2026-02-07T19:51:05.419480+00:00
0,Tester | Germany,hays,Sachbearbeiter in der Wertpapierbesteuerung(m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,R,,,,15.08.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sachbearbeiter-in-der-wertpapierbesteuerung-frankfurt-am-main-835583/1,2026-02-07T19:51:05.419676+00:00
0,QA Engineer | Germany,hays,Product Quality Engineer QC(m/w/d),Hays Client,Zug,On-site,Contract,,R,,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-quality-engineer-qc-zug-856384/1,2026-02-07T19:51:22.682029+00:00
0,QA Engineer | Germany,hays,KI-Machbarkeits- & Prompt Engineer – Generative Bild & Video(m/w/d),Hays Client,Remote,Remote,Contract,Go,R,,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ki-machbarkeits--prompt-engineer--generative-bild-video-remote-855004/1,2026-02-07T19:51:22.682229+00:00
0,QA Engineer | Germany,hays,Chief Chemical Engineer / Manager(m/f/d),Hays Client,Denmark,On-site,Contract,,,,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-chief-chemical-engineer-manager-denmark-855248/1,2026-02-07T19:51:22.682457+00:00
0,QA Engineer | Germany,hays,Qualitätssicherung / QS(m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,,,,18.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherung-qs-hochtaunuskreis-836345/1,2026-02-07T19:51:22.683249+00:00
0,Test Engineer | Germany,hays,IT System Engineer(m/w/d),Hays Client,Siesdorf,On-site,Contract,,,,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-system-engineer--siesdorf-859011/1,2026-02-07T19:51:38.651158+00:00
0,Test Engineer | Germany,hays,Test Engineer(m/w/d),Hays Client,"Hennigsdorf, Salzgitter",On-site,Contract,,R,,,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-hennigsdorf-salzgitter-859796/1,2026-02-07T19:51:38.651420+00:00
0,Test Engineer | Germany,hays,Supplier Quality Engineer(m/w/d),Hays Client,Berlin,On-site,Contract,,,,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-quality-engineer-berlin-855096/1,2026-02-07T19:51:38.652044+00:00
0,Test Engineer | Germany,hays,IT Engineer(m/w/d),Hays Client,Nürnberg,On-site,Contract,,"Ansible, Kubernetes",,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-nuernberg-854391/1,2026-02-07T19:51:38.652241+00:00
0,Test Engineer | Germany,hays,IT Engineer(m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Ansible, Kubernetes",,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-02-07T19:51:38.652455+00:00
0,Test Engineer | Germany,hays,Industrial Engineer(m/w/d),Hays Client,Stuttgart,On-site,Contract,,,,,,11.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-industrial-engineer-stuttgart-852431/1,2026-02-07T19:51:38.652649+00:00
0,Test Engineer | Germany,hays,Test Automation Engineer(m/w/d),Hays Client,Dresden,On-site,Contract,"Test Automation, Ci/Cd",R,,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-dresden-852634/1,2026-02-07T19:51:38.653239+00:00
0,Test Engineer | Germany,hays,Security Engineer in Kiel(m/w/d),Hays Client,Security Engineer,On-site,Contract,,R,,,,28.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-engineer-in-kiel--security-engineer-846610/1,2026-02-07T19:51:38.653447+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol(m/w/d),Hays Client,Köln,On-site,Contract,,R,,,,20.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-850318/1,2026-02-07T19:51:38.653638+00:00
0,Test Engineer | Germany,hays,Supplier Development Engineer(m/w/d),Hays Client,Kirchheim/Teck-Nabern,On-site,Contract,,,,,,13.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-development-engineer-kirchheim-teck-nabern-833175/1,2026-02-07T19:51:38.653840+00:00
0,Test Engineer | Germany,hays,Quality Engineer(m/w/d),Hays Client,Ludwigshafen,On-site,Contract,,R,,,,24.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-engineer-ludwigshafen-845961/1,2026-02-07T19:51:38.654030+00:00
0,Test Engineer | Germany,hays,System Engineer Mainframe(m/w/d),Hays Client,"Karlsruhe, München, Münster oder Remote",Remote,Contract,,R,,,,01.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-mainframe-karlsruhe-muenchen-muenster-oder-remote-835149/1,2026-02-07T19:51:38.654667+00:00
0,Test Engineer | Germany,hays,Software Test Engineer(m/w/d),Hays Client,Bremen,On-site,Contract,,,,,,16.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer-bremen-821066/1,2026-02-07T19:51:38.654865+00:00
0,Test Engineer | Germany,hays,Test & Commissing Engineer(m/w/d),Hays Client,Berlin,On-site,Contract,,R,,,,08.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-commissing-engineer-berlin-838993/1,2026-02-07T19:51:38.655064+00:00
0,Testingenieur | Germany,hays,Prüfer Elektrotechnik(m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,,,,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pruefer-elektrotechnik-frankfurt-am-main-858287/1,2026-02-07T19:51:56.463558+00:00
0,Testingenieur | Germany,hays,EMV Testingineur(m/w/d),Hays Client,im Backnang,On-site,Contract,,"Mil, R",,,,21.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-emv-testingineur-im-backnang-856941/1,2026-02-07T19:51:56.463761+00:00
0,Testingenieur | Germany,hays,Ingenieur Testing(m/w/d),Hays Client,Laupheim,On-site,Contract,,,,,,14.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-testing-laupheim-856784/1,2026-02-07T19:51:56.463956+00:00
0,Testingenieur | Germany,hays,Entwicklungsingenieur(m/w/d),Hays Client,Ulm,On-site,Contract,,,,,,21.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-ulm-849555/1,2026-02-07T19:51:56.464356+00:00
0,Testingenieur | Germany,hays,Hardware-Testingenieur Elektronik – Inhouse und Lieferantenqualifikation(m/w/d),Hays Client,München,On-site,Contract,,R,,,,03.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-testingenieur-elektronik--inhouse-und-lieferantenqualifikation-muenchen-834852/1,2026-02-07T19:51:56.464750+00:00
0,Test Automation | Germany,hays,Software and Automation Engineer(m/w/d),Hays Client,Neubiberg // remote,Remote,Contract,"Python, Ci/Cd",R,,,,06.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-and-automation-engineer-neubiberg----remote-860528/1,2026-02-07T19:52:12.361788+00:00
0,Test Automation | Germany,hays,Projektleiter Entwicklung Automatisierungstechnik(m/w/d),Hays Client,Worms,On-site,Contract,,,,,,26.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektleiter-entwicklung-automatisierungstechnik-worms-858530/1,2026-02-07T19:52:12.362436+00:00
0,Test Automation | Germany,hays,Entwicklungsingenieur Automatisierungstechnik(m/w/d),Hays Client,Worms,On-site,Contract,,,,,,16.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-automatisierungstechnik-worms-857216/1,2026-02-07T19:52:12.362633+00:00
0,Test Automation | Germany,hays,Automation Engineer(m/w/d),Hays Client,Großraum Mainz,On-site,Contract,,R,,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automation-engineer--grossraum-mainz-855783/1,2026-02-07T19:52:12.362836+00:00
0,Test Automation | Germany,hays,Software-Entwickler für Software im Computer Design Umfeld(m/w/d),Hays Client,Erlangen,On-site,Contract,,R,,,,12.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-entwickler-fuer-software-im-computer-design-umfeld-erlangen-853858/1,2026-02-07T19:52:12.363643+00:00
0,Test Automation | Germany,hays,IT Service Operations Manager(m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Intern, R",,,,17.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-service-operations-manager-frankfurt-am-main-840199/1,2026-02-07T19:52:12.365020+00:00
0,Test Automation | Germany,hays,Energieanlagenelektroniker/ Elektroniker für Betriebstechnik(m/w/d),Hays Client,Krefeld,On-site,Contract,,R,,,,08.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energieanlagenelektroniker--elektroniker-fuer-betriebstechnik-krefeld-835007/1,2026-02-07T19:52:12.365214+00:00
0,Test Automation | Germany,hays,IT-Architekt(m/w/d),Hays Client,Hamburg,On-site,Contract,,,,,,14.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-architekt--hamburg-830234/1,2026-02-07T19:52:12.365427+00:00
0,Test Automation | Germany,hays,IT Architekt für IT-Lösungsdesign(m/w/d),Hays Client,Hamburg,On-site,Contract,,R,,,,21.05.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-architekt-fuer-it-loesungsdesign-hamburg-821502/1,2026-02-07T19:52:12.365623+00:00
0,Python Developer | Germany,hays,Python Developer(m/w/d),Hays Client,Wien,On-site,Contract,Python,,,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-python-developer-wien-859526/1,2026-02-07T19:52:30.181747+00:00
0,Python Developer | Germany,hays,Frontend Entwickler(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-frontend-entwickler--duesseldorf-854809/1,2026-02-07T19:52:30.181941+00:00
0,Python Developer | Germany,hays,Softwareentwickler(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-duesseldorf-851846/1,2026-02-07T19:52:30.182132+00:00
0,Python Developer | Germany,hays,Fullstack Developer(m/w/d),Hays Client,Dresden,On-site,Contract,,"Product Owner, R",,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-developer-dresden-854294/1,2026-02-07T19:52:30.182339+00:00
0,Python Developer | Germany,hays,Energie Trading Developer (Nearshore)(m/f/d),Hays Client,remote,Remote,Contract,Can,,,,,20.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energie-trading-developer-nearshore-remote-850232/1,2026-02-07T19:52:30.182725+00:00
0,Python Developer | Germany,hays,Software Developer Java(m/w/d),Hays Client,Niedersachsen,On-site,Contract,Java,R,,,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-developer-java-niedersachsen-844951/1,2026-02-07T19:52:30.182922+00:00
0,Python Test | Germany,hays,Prüffeldingenieur - ePropulsion(m/w/d),Hays Client,Nürnberg,On-site,Contract,,R,,,,08.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-prueffeldingenieur-epropulsion-nuernberg-855886/1,2026-02-07T19:52:45.948054+00:00
0,Python Test | Germany,hays,Entwicklungsingenieur Gesamtfahrzeugperformance Motorsport(m/w/d),Hays Client,Weissach,On-site,Contract,C,Data Science,,,,22.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-gesamtfahrzeugperformance-motorsport-weissach-828561/1,2026-02-07T19:52:45.948476+00:00
0,Python Test | Germany,hays,Entwicklungsingenieur(m/w/d),Hays Client,Duisburg,On-site,Contract,Python,"Matlab, R",,,,26.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-asic-charakterisierung-duisburg-851288/1,2026-02-07T19:52:45.949816+00:00
0,Python Test | Germany,hays,Design Engineer(m/w/d),Hays Client,Leipzig,On-site,Contract,,,,,,19.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-design-engineer-leipzig-849855/1,2026-02-07T19:52:45.950012+00:00
0,Python Test | Germany,hays,Credit Risk Specialist(m/w/d),Hays Client,Stuttgart,On-site,Contract,,"R, Specialist",,,,17.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-credit-risk-specialist-stuttgart-849578/1,2026-02-07T19:52:45.950209+00:00
0,Python Test | Germany,hays,Ingenieur Elektrotechnik Schwerpunkt Automatisierung(m/w/d),Hays Client,Hessen,On-site,Contract,,R,,,,29.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-elektrotechnik-schwerpunkt-automatisierung-hessen-846480/1,2026-02-07T19:52:45.951008+00:00
0,Python Test | Germany,hays,Datenbankadministrator(m/w/d),Hays Client,Kirchdorf,On-site,Contract,"Python, C, Java","C#, Postgresql, Mysql, Sql, Golang",,,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-datenbankadministrator-kirchdorf-840171/1,2026-02-07T19:52:45.951428+00:00
0,Python Test | Germany,hays,Energy Trader(m/w/d),Hays Client,Bremerhaven,On-site,Contract,,,,,,22.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trader--bremerhaven-840947/1,2026-02-07T19:52:45.951628+00:00
0,Firmware Engineer | Germany,hays,Hardware Design Engineer(m/w/d),Hays Client,Nürnberg,On-site,Contract,Firmware,R,,,,04.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-design-engineer-nuernberg-859548/1,2026-02-07T19:53:03.224678+00:00
