relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager / Test System Manager with experience GEVER / Acta Nova (22179 / 70-100%) NEW,GULP Client,"Location: Bern, Biel, Ittigen",Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab13bf240b5a3a29fd19e8c,2026-09-24T15:21:47.185143+00:00
14,Python Developer | Germany,gulp,1083721 PCIe / PCIexpress Expert,GULP Client,Location: Karlsbad,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4ea28239ca7551a53d247,2026-09-24T15:25:58.524870+00:00
14,Python Developer | Germany,gulp,1083724 Power Supply Expert Automotive (m/f/d),GULP Client,Location: Karlsbad,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4ea27239ca7551a53d0d2,2026-09-24T15:25:58.525136+00:00
14,Python Test | Germany,gulp,"Intermediate Data Architect (m/f/d) with programming experience in C++, Java andPython- Frankfurt and remote",GULP Client,"Location: 60% Frankfurt, 40% remote",Remote,Freelance,"C, C++, Java",Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab3fb0740b5a3a29fd539dd,2026-09-24T15:26:50.198445+00:00
14,Python Test | Germany,gulp,"Senior Backend Developer (m/f/d) – Node.js / TypeScript, PostgreSQL, data platform & AI",GULP Client,Location: Berlin,Remote,Freelance,Typescript,"Postgresql, Node.Js, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341141,2026-09-24T15:26:50.199114+00:00
0,Tester | Germany,gulp,1015668 CPETester,GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab0af57f169526c7efb9db9,2026-09-24T15:21:47.185397+00:00
0,Tester | Germany,gulp,1015670 CPE Testing,GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab0af55f169526c7efb9c50,2026-09-24T15:21:47.185622+00:00
0,Tester | Germany,gulp,Software Engineer (Operating System) in the SINEC OS environment (m/f/d),GULP Client,"Location: Karlsruhe, Baden",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01338978,2026-09-24T15:21:47.185885+00:00
0,Tester | Germany,gulp,1082763 Test engineer in the field of test bench technology,GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6aa8e3f4157cf169e489cba0,2026-09-24T15:21:47.186194+00:00
0,Tester | Germany,gulp,"SoftwareTester/ Test Automation Engineer (TestRail, Ranorex, Jira) (m/f/d) - remote",GULP Client,Location: Gelsenkirchen,Remote,Freelance,Test Automation,Jira,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a9fee36157cf169e4201b4f,2026-09-24T15:21:47.186452+00:00
0,Tester | Germany,gulp,CPE Testing (m/f/d),GULP Client,Location: keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/3343437e9b0211f194a5c6f993278132,2026-09-24T15:21:47.186713+00:00
0,Tester | Germany,gulp,Automotive Testing (m/f/d),GULP Client,Germany,On-site,Freelance,C,C#,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/252123749b0211f194a5c6f993278132,2026-09-24T15:21:47.186962+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/44206c129b0211f194a5c6f993278132,2026-09-24T15:21:47.187264+00:00
0,Tester | Germany,gulp,Test engineer/test mechanic for cartridges in vacuum pumps (m/f/d),GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5d667e149b0211f194a5c6f993278132,2026-09-24T15:21:47.187528+00:00
0,Tester | Germany,gulp,Software Tester (m/f/d),GULP Client,Germany,Remote,Freelance,Can,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4a872a0e967111f194a5c6f993278132,2026-09-24T15:21:47.187833+00:00
0,Tester | Germany,gulp,SystemTesterfor Battery Systems (m/f/d),GULP Client,"Location: D6, Darmstadt",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/048cd124927611f194a5c6f993278132,2026-09-24T15:21:47.188084+00:00
0,Tester | Germany,gulp,Test engineer/ Metrology engineer with DIAdem knowledge (m/f/d),GULP Client,"Location: D8, GR Ravensburg",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/137b44ae91a911f194a5c6f993278132,2026-09-24T15:21:47.188331+00:00
0,Tester | Germany,gulp,Test engineer in the field of electrical drive technology (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/fbff195491a811f194a5c6f993278132,2026-09-24T15:21:47.188646+00:00
0,Tester | Germany,gulp,Electrical Engineer (m/f/d),GULP Client,"Location: D5, Nähe Dortmund",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9b83f0e48c3b11f194a5c6f993278132,2026-09-24T15:21:47.188896+00:00
0,QA Engineer | Germany,gulp,1083751 HASP/Sub-project management rail transport infrastructure planning,GULP Client,Location: Remote & vor Ort,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab53e87239ca7551a5405e9,2026-09-24T15:22:36.430364+00:00
0,QA Engineer | Germany,gulp,1083750 Industrial OT NetworkEngineer,GULP Client,Location: A,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab53e86239ca7551a54047c,2026-09-24T15:22:36.430656+00:00
0,QA Engineer | Germany,gulp,1083749 ProjectEngineerUtility Scale BESS,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab53e85239ca7551a54030f,2026-09-24T15:22:36.430980+00:00
0,QA Engineer | Germany,gulp,1083743 Construction supervisor/contract manager for bridge construction on motorway projects under traffic or multi-lane federal highways,GULP Client,Location: D4,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab5307640b5a3a29fe3e6be,2026-09-24T15:22:36.431480+00:00
0,QA Engineer | Germany,gulp,1083738 Construction Manager / Construction Supervisor ProcessEngineering,GULP Client,Location: Saarland,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab5226640b5a3a29fe3e087,2026-09-24T15:22:36.432003+00:00
0,QA Engineer | Germany,gulp,1083715Quality AssuranceEngineer,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4dc1040b5a3a29fe3aca4,2026-09-24T15:22:36.432810+00:00
0,QA Engineer | Germany,gulp,"Construction Manager for Electrical, Instrumentation and Control Systems (m/f/d)",GULP Client,Location: Offenburg,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341182,2026-09-24T15:22:36.433011+00:00
0,QA Engineer | Germany,gulp,AI Developer (m/f/d),GULP Client,Location: Berlin,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341295,2026-09-24T15:22:36.433252+00:00
0,QA Engineer | Germany,gulp,1083705 Sub-project management road planning,GULP Client,Location: Remote & vor Ort,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab3def4239ca7551a5296cc,2026-09-24T15:22:36.433574+00:00
0,QA Engineer | Germany,gulp,1083703 Sub-project management drainage,GULP Client,Location: Remote & vor Ort,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab3def3239ca7551a52955f,2026-09-24T15:22:36.433883+00:00
0,Test Automation | Germany,gulp,1083681 PLATFORM BASE PLATFORM ENGINEERS,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab398a040b5a3a29fd4fd4d,2026-09-24T15:25:08.984368+00:00
0,Test Automation | Germany,gulp,BTP Full Stack Developer (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6ab29f8740b5a3a29fd3a775,2026-09-24T15:25:08.984668+00:00
0,Test Automation | Germany,gulp,PEGA DEVELOPER (M/F/D),GULP Client,Location: Basel bad,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6ab2340d239ca7551a436274,2026-09-24T15:25:08.984954+00:00
0,Test Automation | Germany,gulp,Only Nearshore: Cloud Backend Engineer (m/f/d),GULP Client,Location: Hamburg,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01335298,2026-09-24T15:25:08.986995+00:00
0,Test Automation | Germany,gulp,Frontend Developer (m/f/d),GULP Client,Location: Bochum,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01333500,2026-09-24T15:25:08.987567+00:00
0,Test Automation | Germany,gulp,Software Development (Unreal Engine) (m/f/d),GULP Client,Location: Hamburg,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/321161b69b0211f194a5c6f993278132,2026-09-24T15:25:08.988118+00:00
0,Python Developer | Germany,gulp,1083726 EDIDeveloper,GULP Client,Location: Waldenburg,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4f83440b5a3a29fe3c4d5,2026-09-24T15:25:58.523338+00:00
0,Python Developer | Germany,gulp,Cyber ​​Resilience Act (CRA) Specialist Advisor – Impact & Role Analysis (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341431,2026-09-24T15:25:58.523760+00:00
0,Python Developer | Germany,gulp,Full-StackDeveloper(m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341422,2026-09-24T15:25:58.524193+00:00
0,Python Developer | Germany,gulp,Business Analyst for EU-AMLA (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4eaa8e5eeaf46d05bfac0,2026-09-24T15:25:58.524603+00:00
0,Python Developer | Germany,gulp,ITCS Project Manager (m/f/d) System Integration in Public Transport - remote & 20% on-site in Hanover,GULP Client,Location: remote & Hannover,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4e6d0e5eeaf46d05bf85f,2026-09-24T15:25:58.525503+00:00
0,Python Developer | Germany,gulp,1083717Developerin the field of machine vision and recognition systems/RGBD segmentation,GULP Client,Location: Konstanz,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4dc1140b5a3a29fe3b0eb,2026-09-24T15:25:58.525772+00:00
0,Python Developer | Germany,gulp,1083713 Display ComponentDevelopment- Component Manager,GULP Client,Location: Remote + Aalen,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4dc1140b5a3a29fe3af7e,2026-09-24T15:25:58.526080+00:00
0,Python Test | Germany,gulp,Remote Gütersloh: PART-TIME SAP MDG S (Supplier) 78277 SAP BRF+ MDM Salesforce,GULP Client,Location: remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab51b7c53088c56cb351caa,2026-09-24T15:26:50.196504+00:00
0,Firmware Engineer | Germany,gulp,IT Product Owner EPC Project Delivery - MANDATORY previous EPC/BAU experience (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,Product Owner,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341234,2026-09-24T15:27:41.192073+00:00
0,Firmware Engineer | Germany,gulp,ProjectEngineer(m/f/d) for Charging Infrastructure,GULP Client,Location: Bonn,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341158,2026-09-24T15:27:41.192325+00:00
0,Firmware Engineer | Germany,gulp,ReguirementsEngineer(m/f/d) Domain Knowledge Neobroker,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab39e5353088c56cb3401e4,2026-09-24T15:27:41.192639+00:00
