relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Austria,xing,Senior Test Manager (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://www.xing.com/jobs/hannover-senior-test-manager-155410504,2026-07-02T12:47:10.385981+00:00
0,Testingenieur | Germany,xing,Kfz-Prüfingenieur (m/w/d) oder Unterschriftsberechtigter (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/limburg-lahn-kfz-pruefingenieur-unterschriftsberechtigter-154790431,2026-07-02T12:49:39.875487+00:00
0,Testingenieur | Germany,xing,Testingenieur*in Elektromechanik / Hardware Test Engineer,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/duesseldorf-testingenieur-elektromechanik-hardware-test-engineer-151516155,2026-07-02T12:49:39.875590+00:00
0,Test Automation | Germany,xing,Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/wien-test-automation-engineer-152320689,2026-07-02T12:50:34.478611+00:00
0,Test Automation | Germany,xing,Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/dorsten-test-automation-engineer-154030130,2026-07-02T12:50:34.478812+00:00
0,Test Automation | Germany,xing,Test Automation Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/wien-test-automation-engineer-155278570,2026-07-02T12:50:34.478970+00:00
0,Python Developer | Austria,xing,Full Stack Entwickler - Python / FastAPI / Docker / Kubernetes (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,"Kubernetes, Docker, Fastapi",English,,,Recent,https://www.xing.com/jobs/pforzheim-full-stack-entwickler-python-fastapi-docker-kubernetes-155597752,2026-07-02T12:51:43.516633+00:00
0,Python Developer | Austria,xing,Python-Entwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,,English,,,Recent,https://www.xing.com/jobs/muenchen-python-entwickler-154251369,2026-07-02T12:51:43.516714+00:00
0,Python Developer | Austria,xing,Python Entwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,,English,,,Recent,https://www.xing.com/jobs/eschborn-python-entwickler-155017477,2026-07-02T12:51:43.516771+00:00
0,Python Developer | Austria,xing,Python Developer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,,English,,,Recent,https://www.xing.com/jobs/koblenz-python-developer-155126904,2026-07-02T12:51:43.516825+00:00
0,Python Developer | Austria,xing,Softwareentwickler (m/w/d) Python & Linux // REMOTE,XING Employer,Germany/Remote,Remote,Full-time,Python,Linux,English,,,Recent,https://www.xing.com/jobs/duesseldorf-software-developer-python-linux-remote-151957732,2026-07-02T12:51:43.516880+00:00
0,Python Developer | Austria,xing,Python/Django (Bootstrap) Entwickler (m/w/d) nach Lindau Bodensee,XING Employer,Germany/Remote,Remote,Full-time,Python,Django,English,,,Recent,https://www.xing.com/jobs/lindau-python-django-bootstrap-entwickler-lindau-bodensee-146731824,2026-07-02T12:51:43.516946+00:00
0,Python Developer | Austria,xing,Python Entwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,,English,,,Recent,https://www.xing.com/jobs/luebeck-python-entwickler-155452577,2026-07-02T12:51:43.516995+00:00
0,Python Developer | Austria,xing,Duales Studium Informatik (B.Sc.) am virtuellen Campus - Interaktiv GmbH,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/kerpen-duales-studium-informatik-sc-virtuellen-campus-interaktiv-gmbh-154856812,2026-07-02T12:51:43.517044+00:00
0,Python Developer | Austria,xing,Softwareentwickler (m/w/d) - Python/Django,XING Employer,Germany/Remote,Remote,Full-time,Python,Django,English,,,Recent,https://www.xing.com/jobs/kulmbach-softwareentwickler-python-django-146649194,2026-07-02T12:51:43.517094+00:00
0,Python Developer | Austria,xing,PYTHON DEVELOPER – FOKUS AUF DATENANALYSE (M/W/D),XING Employer,Germany/Remote,Remote,Full-time,Python,,German,,,Recent,https://www.xing.com/jobs/klagenfurt-woerthersee-python-developer-fokus-datenanalyse-155723256,2026-07-02T12:51:43.517139+00:00
0,Python Test | Germany,xing,Tester Python (SIL 2) (w/m/d) in Braunschweig gesucht! ref. Nr. 4061!,XING Employer,Germany/Remote,Remote,Full-time,"Python, Sil",,English,,,Recent,https://www.xing.com/jobs/braunschweig-tester-python-sil-2-braunschweig-gesucht-ref-nr-4061-147001956,2026-07-02T12:52:27.286331+00:00
0,Python Test | Germany,xing,Embedded Python Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,,English,,,Recent,https://www.xing.com/jobs/muenchen-embedded-python-tester-149660806,2026-07-02T12:52:27.286411+00:00
0,Python Test | Germany,xing,Software Entwickler Python (m/w/d) - für das Test Engineering,XING Employer,Germany/Remote,Remote,Full-time,Python,R,German,,,Recent,https://www.xing.com/jobs/reichenberg-software-entwickler-python-test-engineering-151929809,2026-07-02T12:52:27.286468+00:00
0,Python Test | Germany,xing,Test Automation Engineer Software Systems (m/w/d) - J24300,XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/worms-test-automation-engineer-software-systems-j24300-155271086,2026-07-02T12:52:27.286521+00:00
0,Python Test | Germany,xing,Software Test Engineer System Testing (m/w/d) - J24300,XING Employer,Germany/Remote,Remote,Full-time,System Testing,,English,,,Recent,https://www.xing.com/jobs/worms-software-test-engineer-system-testing-j24300-155769474,2026-07-02T12:52:27.286570+00:00
0,Python Test | Germany,xing,Software Test Engineer (m/w/d) für Beatmungsgeräte - befristet für 2 Jahre,XING Employer,Germany/Remote,Remote,Full-time,,R,English,,,Recent,https://www.xing.com/jobs/luebeck-software-test-engineer-beatmungsgeraete-befristet-2-155113331,2026-07-02T12:52:27.286617+00:00
0,Python Test | Germany,xing,Software-Entwickler - Produktionstests (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/rottweil-senior-software-entwickler-146698763,2026-07-02T12:52:27.286664+00:00
0,Python Test | Germany,xing,Softwareentwickler Testautomatisierung C++ / Python (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,"C, C++, Python, Test Automation",,English,,,Recent,https://www.xing.com/jobs/kiel-softwareentwickler-testautomatisierung-python-155900917,2026-07-02T12:52:27.286711+00:00
0,Python Test | Germany,xing,Software Quality Engineer Automation Projects (m/w/d) - J24300,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/darmstadt-software-quality-engineer-automation-projects-j24300-155404662,2026-07-02T12:52:27.286755+00:00
0,Python Test | Germany,xing,Automation Engineer Software Systems (m/w/d) - J24300,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/darmstadt-automation-engineer-software-systems-j24300-155334411,2026-07-02T12:52:27.286800+00:00
0,Firmware Engineer | Germany,xing,Entwicklungsingenieur Elektronik und FPGA (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Fpga,German,,,Recent,https://www.xing.com/jobs/dresden-entwicklungsingenieur-elektronik-fpga-155685250,2026-07-02T12:53:22.637767+00:00
0,Firmware Engineer | Germany,xing,Firmware-Entwickler eingebettete Systeme (all gender),XING Employer,Germany/Remote,Remote,Full-time,"Embedded Systems, Firmware",,English,,,Recent,https://www.xing.com/jobs/muenchen-firmware-entwickler-eingebettete-systeme-all-gender-153274168,2026-07-02T12:53:22.637824+00:00
0,Firmware Engineer | Germany,xing,Firmware-Entwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Firmware,,English,,,Recent,https://www.xing.com/jobs/berlin-firmware-entwickler-154180275,2026-07-02T12:53:22.637879+00:00
0,Firmware Engineer | Germany,xing,Firmware Entwickler (m/w/d) - Schwerpunkt Produktionssoftware & Testsysteme,XING Employer,Germany/Remote,Remote,Full-time,Firmware,,English,,,Recent,https://www.xing.com/jobs/ravensburg-firmware-entwickler-schwerpunkt-produktionssoftware-testsysteme-155699938,2026-07-02T12:53:22.637995+00:00
0,Firmware Engineer | Germany,xing,Hardware Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/stuttgart-hardware-engineer-154960939,2026-07-02T12:53:22.638095+00:00
0,Firmware Engineer | Germany,xing,Embedded Engineer – Firmware & Systemintegration (m/w/d) - J35811,XING Employer,Germany/Remote,Remote,Full-time,Firmware,,English,,,Recent,https://www.xing.com/jobs/koeln-embedded-engineer-firmware-systemintegration-j35811-155270654,2026-07-02T12:53:22.638140+00:00
0,Firmware Engineer | Germany,xing,Firmware Engineer,XING Employer,Germany/Remote,Remote,Full-time,Firmware,,English,,,Recent,https://www.xing.com/jobs/au-der-traun-firmware-engineer-155427112,2026-07-02T12:53:22.638185+00:00
0,Firmware Engineer | Germany,xing,Find your dream job with XING Premium,XING Employer,Germany,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/leipzig-grimma-hardwareentwickler-155724769,2026-07-02T12:53:22.638230+00:00
