relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Testingenieur | USA,linkedin,Test Engineer,Google,"Mountain View, CA",Remote,Internship,"Firmware, Test Automation",Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-google-4434148716,2026-07-30T11:55:24.996400+00:00
14,Tester | Germany,linkedin,Softwaretester (m/w/d),FERCHAU,"Lübeck, Schleswig-Holstein, Germany",Remote,Contract,Test Automation,"Expert, R",German,Expert,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-ferchau-4438589012,2026-07-30T11:54:01.175031+00:00
14,Tester | Austria,linkedin,SOFTWARETESTER:IN (W/M/X),IT-Services der Sozialversicherung GmbH,"Vienna, Vienna, Austria",Remote,Full-time,"Java, Playwright, Selenium, Test Automation, Typescript","Bdd, Zephyr, Confluence, Architect, R, Associate, Expert, Postman, Restassured, Jira",German,"Architect, Expert",,Recent,https://at.linkedin.com/jobs/view/softwaretester-in-w-m-x-at-it-services-der-sozialversicherung-gmbh-4427933384,2026-07-30T11:54:03.618294+00:00
14,Tester | Austria,linkedin,Game Tester (m/f/d),MERKUR GROUP,"Vienna, Vienna, Austria",Hybrid,Full-time,Test Automation,"Senior, Lead, Junior, Agile, Scrum, Staff, Jira",English,"Lead, Senior, Staff",,Recent,https://at.linkedin.com/jobs/view/game-tester-m-f-d-at-merkur-group-4441487367,2026-07-30T11:54:03.618747+00:00
14,Tester | Switzerland,linkedin,Software Test Engineer (m/w/d),Nexplore AG,"Berne, Switzerland",Remote,Full-time,"Go, Test Automation","Azure, Senior, R, Devops, Jira",German,Senior,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-nexplore-ag-4437847459,2026-07-30T11:54:06.127425+00:00
14,Tester | Czech Republic,linkedin,Senior QA Automation & Mobile Testing Engineer - Remote Work,BairesDev,Dominican Republic,Remote,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-mobile-testing-engineer-remote-work-at-bairesdev-4445760295,2026-07-30T11:54:13.429613+00:00
14,Tester | Czech Republic,linkedin,Quality Assurance Senior,Grupo Ramos,"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-senior-at-grupo-ramos-4435802704,2026-07-30T11:54:13.429761+00:00
14,QA Engineer | Slovakia,linkedin,Senior Quality Assurance Engineer,UNIQA Group Services,"Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-uniqa-group-services-4431527332,2026-07-30T11:54:33.031646+00:00
14,QA Engineer | Czech Republic,linkedin,Quality Engineer II,Integer Holdings Corporation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Contract,Can,"Associate, Lead, Assembly",English,Lead,,Recent,https://do.linkedin.com/jobs/view/quality-engineer-ii-at-integer-holdings-corporation-4414629902,2026-07-30T11:54:35.477077+00:00
14,QA Engineer | Poland,linkedin,QA Engineer,Luxoft,Poland,On-site,Contract,"Ci/Cd, Github Actions, Javascript, Jenkins, Python, Selenium, Test Automation, Typescript","Senior, Postman, Manual Testing, Performance Testing, Postgresql, Aws, Scrum, Cypress, Regression Testing, Git",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/qa-engineer-at-luxoft-4441986313,2026-07-30T11:54:37.898521+00:00
14,QA Engineer | Poland,linkedin,QA Engineer,Luxoft Poland,Poland,On-site,Contract,"Ci/Cd, Github Actions, Javascript, Jenkins, Python, Typescript","Postgresql, Senior, Regression Testing, Github, Agile, Postman, Sql, Scrum, Cypress, Manual Testing",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/qa-engineer-at-luxoft-poland-4441978997,2026-07-30T11:54:37.899335+00:00
14,QA Engineer | United Kingdom,linkedin,Test Engineer,Sage,"Newcastle Upon Tyne, England, United Kingdom",Hybrid,Internship,"C, Javascript, Playwright, Typescript","Senior, Graduate, Lead, Principal, Aws, Mid-Level, Github, C#, Agile, Postman",English,"Lead, Principal, Senior",,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-sage-4437170352,2026-07-30T11:54:42.811503+00:00
14,QA Engineer | United Kingdom,linkedin,Software Quality Assurance Engineer,Cardstream,"Taunton, England, United Kingdom",On-site,Internship,"Javascript, Selenium, Test Automation","Bdd, Cypress, Staff, Php, Regression Testing",English,Staff,,Recent,https://uk.linkedin.com/jobs/view/software-quality-assurance-engineer-at-cardstream-4445952076,2026-07-30T11:54:42.811965+00:00
14,Test Engineer | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Group,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-group-4419248716,2026-07-30T11:54:55.101328+00:00
14,Test Engineer | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4421952597,2026-07-30T11:54:57.552836+00:00
14,Test Engineer | Poland,linkedin,Test & Validation Engineer,Lyten,"Gdańsk, Pomorskie, Poland",Remote,Internship,Python,Lead,English,Lead,,Recent,https://pl.linkedin.com/jobs/view/test-validation-engineer-at-lyten-4428074180,2026-07-30T11:55:00.022894+00:00
14,Test Engineer | United Kingdom,linkedin,Test Engineer,Össur,"Livingston, Scotland, United Kingdom",Remote,Contract,Can,"Staff, R",English,Staff,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-%C3%B6ssur-4439876828,2026-07-30T11:55:04.988988+00:00
14,Testingenieur | Slovakia,linkedin,Testovací inžinier senior (m/ž/d),Brose Slovakia,"Prievidza, Trenciansky, Slovakia",Remote,Internship,Can,"Intern, Senior, R",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/testovac%C3%AD-in%C5%BEinier-senior-m-%C5%BE-d-at-brose-slovakia-4433307490,2026-07-30T11:55:17.706500+00:00
14,Testingenieur | USA,linkedin,Test Engineer,Sanmina,"Fremont, CA",On-site,Contract,,"Lead, Assembly",English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-sanmina-4444989475,2026-07-30T11:55:24.996007+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer/Software Development Engineer in Test (d/f/m),Leapsome,"Berlin, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-software-development-engineer-in-test-d-f-m-at-leapsome-4319406597,2026-07-30T11:55:29.851959+00:00
14,Test Automation | Germany,linkedin,Senior Software Engineer in Test (f/m/d/x),EMIL Group,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-f-m-d-x-at-emil-group-4444389488,2026-07-30T11:55:29.852964+00:00
14,Test Automation | Germany,linkedin,(Senior) Test Automation Engineer,VisualVest,"Frankfurt, Hesse, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-at-visualvest-4443389371,2026-07-30T11:55:29.853300+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Graz],adesso Austria GmbH,"Graz, Styria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-graz-at-adesso-austria-gmbh-4370392579,2026-07-30T11:55:32.272298+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Automation Engineer (with test management skills),EPAM Systems,"Geneva, Geneva, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-with-test-management-skills-at-epam-systems-4431968126,2026-07-30T11:55:34.787250+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Automation Engineer,Hays,Switzerland,On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-at-hays-4442115032,2026-07-30T11:55:34.788251+00:00
14,Test Automation | Switzerland,linkedin,Senior Automation QA Engineer – Mobile Testing,Specialized Bicycle Components,"Cham, Zug, Switzerland",Remote,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-automation-qa-engineer-%E2%80%93-mobile-testing-at-specialized-bicycle-components-4419834911,2026-07-30T11:55:34.788570+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Test Automation Engineer (Full Stack),Solar Turbines,"Bratislava Old Town, Bratislava, Slovakia",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-full-stack-at-solar-turbines-4444573933,2026-07-30T11:55:39.720607+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Test Automation Engineer (Full stack),Solar Turbines,"Košice, Kosice, Slovakia",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-full-stack-at-solar-turbines-4414914904,2026-07-30T11:55:39.720772+00:00
14,Test Automation | Czech Republic,linkedin,Lead Software Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-in-test-sdet-at-flash-4414922814,2026-07-30T11:55:42.077828+00:00
14,Test Automation | Czech Republic,linkedin,Senior SDET -  GovTech Industry,Truelogic Software,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-govtech-industry-at-truelogic-software-4438505356,2026-07-30T11:55:42.078165+00:00
14,Test Automation | Czech Republic,linkedin,Senior Software Engineer,"Accolade, Inc.",Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-accolade-inc-4435448184,2026-07-30T11:55:42.078323+00:00
14,Test Automation | Czech Republic,linkedin,Senior Software Development Engineer in Test,Episode Six,"Santo Domingo Este, Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-development-engineer-in-test-at-episode-six-4446542170,2026-07-30T11:55:42.078476+00:00
14,Test Automation | Poland,linkedin,Senior Test Automation Engineer,AMD,"Gdańsk, Pomorskie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-at-amd-4427348897,2026-07-30T11:55:44.600329+00:00
14,Test Automation | Poland,linkedin,Test Automation Engineer,Deloitte,"Gdańsk, Pomorskie, Poland",Remote,Contract,"Ci/Cd, Claude, Github Actions, Github Copilot, Java, Javascript, Jenkins, Playwright, Python, Selenium, Test Automation, Typescript","Postman, Devops, Azure, Load Testing, Aws, Microservices, Cypress, Google Cloud, Gitlab, Github",English,Expert,,Recent,https://pl.linkedin.com/jobs/view/test-automation-engineer-at-deloitte-4433191963,2026-07-30T11:55:44.601002+00:00
14,Test Automation | Poland,linkedin,Test Automation Engineer/IT Test Manager (M/F/D),DSV - Global Transport and Logistics,"Warsaw, Mazowieckie, Poland",On-site,Full-time,Test Automation,,English,Test Manager,,Recent,https://pl.linkedin.com/jobs/view/test-automation-engineer-it-test-manager-m-f-d-at-dsv-global-transport-and-logistics-4439162204,2026-07-30T11:55:44.601680+00:00
14,Test Automation | USA,linkedin,Senior Automation Test Engineer,Motional,"Las Vegas, NV",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-automation-test-engineer-at-motional-4397062662,2026-07-30T11:55:47.060424+00:00
14,Test Automation | USA,linkedin,Test Automation Lead,G3. GG Tech Global,"Grand Rapids, MI",On-site,Full-time,"Ci/Cd, Java, Javascript, Jenkins, Playwright, Python, Robot Framework, Selenium, Test Automation","Azure, Git, Lead, Postman, Sql, Devops, Cypress, Junior, Jira",English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-automation-lead-at-g3-gg-tech-global-4439071370,2026-07-30T11:55:47.061045+00:00
14,Test Automation | USA,linkedin,Senior Test Automation Engineer,CGI,"Salt Lake City, UT",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-test-automation-engineer-at-cgi-4430734501,2026-07-30T11:55:47.061536+00:00
14,Test Automation | USA,linkedin,QA/SDET,Prophetic,"Portland, OR",Remote,Full-time,"Can, Ci/Cd, Playwright, Python, Selenium, Test Automation, Typescript","Load Testing, Lead, Cypress, Manual Testing, Performance Testing, Datadog",English,"Lead, QA Lead",,Recent,https://www.linkedin.com/jobs/view/qa-sdet-at-prophetic-4430270088,2026-07-30T11:55:47.061686+00:00
14,Test Automation | United Kingdom,linkedin,Test Automation Engineer,Motorola Solutions,"Glasgow, Scotland, United Kingdom",Hybrid,Contract,"Can, Java, Playwright, Test Automation","Git, Github, Agile, Sql, Devops, Cypress, Manual Testing, Jira, Regression Testing",English,Test Manager,,Recent,https://uk.linkedin.com/jobs/view/test-automation-engineer-at-motorola-solutions-4417300637,2026-07-30T11:55:49.553111+00:00
14,Test Automation | United Kingdom,linkedin,Automation Engineer,The Craneware Group,"Edinburgh, Scotland, United Kingdom",Hybrid,Full-time,C,"Azure, Angular, Senior, C#, Agile, Sql, Devops, Stress Testing",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/automation-engineer-at-the-craneware-group-4442834167,2026-07-30T11:55:49.553280+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Engineer,Bellrock Group,"Liverpool, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-bellrock-group-4442168127,2026-07-30T11:55:49.553590+00:00
14,Python Developer | Switzerland,linkedin,Python Software Engineer (Digital Assets),IMC Trading,"Zug, Switzerland",On-site,Contract,"C, C++, Can, Go, Java, Python","Tensorflow, Numpy, Machine Learning, Scala, Architect, Agile, Docker, Kubernetes, Pandas",English,Architect,,Recent,https://ch.linkedin.com/jobs/view/python-software-engineer-digital-assets-at-imc-trading-4443355342,2026-07-30T11:55:56.483555+00:00
14,Python Developer | Switzerland,linkedin,Python Software Engineer - Digital Assets,IMC Trading,"Zug, Zug, Switzerland",On-site,Contract,"C, C++, Can, Go, Java, Python","Tensorflow, Numpy, Machine Learning, Scala, Architect, Agile, Docker, Kubernetes, Pandas",English,Architect,,Recent,https://ch.linkedin.com/jobs/view/python-software-engineer-digital-assets-at-imc-trading-4320553182,2026-07-30T11:55:56.483717+00:00
14,Python Developer | Slovakia,linkedin,Analytics Engineer,Swiss Re,"Bratislava, Bratislava, Slovakia",On-site,Contract,"Can, Ci/Cd, Java, Python, Rag","Azure, Spark, Architect, Aws, Agile, Sql, Devops, Kubernetes",English,Architect,,Recent,https://sk.linkedin.com/jobs/view/analytics-engineer-at-swiss-re-4439836736,2026-07-30T11:56:01.348278+00:00
14,Python Developer | Czech Republic,linkedin,Senior Full Stack Engineer (Backend-Focused),Applaudo,Dominican Republic,On-site,Full-time,"Python, Typescript","Senior, Git, Serverless, Aws, Vue.Js, Agile, Intellij, Mongodb, Pycharm",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-full-stack-engineer-backend-focused-at-applaudo-4444988382,2026-07-30T11:56:03.779783+00:00
14,Python Developer | Czech Republic,linkedin,Senior Python & Golang Engineer - Remote Work,BairesDev,Dominican Republic,Remote,Full-time,Python,"Golang, Senior",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-python-golang-engineer-remote-work-at-bairesdev-4446363125,2026-07-30T11:56:03.780133+00:00
14,Python Developer | Poland,linkedin,"Python Engineer, Data Platform",Balyasny Asset Management L.P.,"Warsaw, Mazowieckie, Poland",On-site,Contract,"Can, Claude, Cursor, Python","Prometheus, Senior, Aws, Grafana, Sql, Kubernetes, Datadog",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/python-engineer-data-platform-at-balyasny-asset-management-l-p-4431598689,2026-07-30T11:56:06.222632+00:00
14,Python Test | Austria,linkedin,Home Assistant Python Developer for Hardware,Nabu Casa,Austria,Remote,Contract,"Can, Embedded Linux, Firmware, I2C, Python, Spi, Uart","Engineering Manager, Senior, Github, Linux",English,Senior,,Recent,https://at.linkedin.com/jobs/view/home-assistant-python-developer-for-hardware-at-nabu-casa-4437807280,2026-07-30T11:56:16.126287+00:00
14,Firmware Engineer | Switzerland,linkedin,Embedded Software Engineer / Consumer Electronics & Applied AI,Helbling Technik,"Liebefeld, Berne, Switzerland",On-site,Contract,"C, C++, Claude, Embedded Linux, Embedded Systems, Firmware, Github Copilot, Llm, Python, Rtos, Rust","Tensorflow, Senior, Github, Linux",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/embedded-software-engineer-consumer-electronics-applied-ai-at-helbling-technik-4441829743,2026-07-30T11:56:40.467604+00:00
14,Firmware Engineer | Switzerland,linkedin,IoT Embedded System Engineer,SwissPeak Partners,Greater Bern Area,Remote,Contract,"Embedded Linux, Embedded Systems, Firmware, Microcontroller","R, Freelancer, Linux",German,Freelancer,,Recent,https://ch.linkedin.com/jobs/view/iot-embedded-system-engineer-at-swisspeak-partners-4433181550,2026-07-30T11:56:40.467930+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior C/C++ Software Engineer,Frequentis,"Bratislava, Bratislava, Slovakia",Hybrid,Full-time,"C, C++, Github Copilot, Jenkins","Senior, Git, Github, R",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-c-c%2B%2B-software-engineer-at-frequentis-4439990845,2026-07-30T11:56:45.445490+00:00
14,Firmware Engineer | Slovakia,linkedin,"Builder Team Lead - SDKs Integration - (C++, Rust, Android)",Innovatrics,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Arm, C, C++, Can, Ci/Cd, Cortex-M, Embedded Linux, Embedded Systems, Github Actions, Java, Python, Rtos, Rust","Tensorflow, Senior, R, Linux, Kotlin, Gitlab, Team Lead, Git, Lead, Github",English,"Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/builder-team-lead-sdks-integration-c%2B%2B-rust-android-at-innovatrics-4444103403,2026-07-30T11:56:45.445658+00:00
14,Firmware Engineer | Slovakia,linkedin,Hardware Development Engineer (m/f),IEE Sensing,"Košice, Kosice, Slovakia",On-site,Contract,Python,"Lead, Matlab",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/hardware-development-engineer-m-f-at-iee-sensing-4137893590,2026-07-30T11:56:45.446175+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Embedded Linux OS Engineer,Nabu Casa,Dominican Republic,Remote,Contract,"Arm, C, C++, Can, Embedded Linux, Embedded Systems, Python","Engineering Manager, Senior, Github, Linux",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-embedded-linux-os-engineer-at-nabu-casa-4437792974,2026-07-30T11:56:47.742868+00:00
14,Firmware Engineer | Czech Republic,linkedin,Software Engineer C++ (m/f/d),Bruker,Dominican Republic,Remote,Contract,"Bash, C, C++, Can, Ci/Cd, Go, Python","Azure, Senior, Git, Architect, R, Expert, Ansible, Devops, Grpc, Junior",English,"Architect, Expert, Senior",,Recent,https://do.linkedin.com/jobs/view/software-engineer-c%2B%2B-m-f-d-at-bruker-4369277160,2026-07-30T11:56:47.743251+00:00
14,Firmware Engineer | United Kingdom,linkedin,Senior Firmware Engineer,Jackson Hogg,"Stockton-On-Tees, England, United Kingdom",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-firmware-engineer-at-jackson-hogg-4442035555,2026-07-30T11:56:55.050886+00:00
0,Tester | Germany,linkedin,Junior Quality Assurance Tester,Swift Games,"Berlin, Germany",Remote,Full-time,"Can, Cursor","Swift, Junior, Agile, Sql, Devops, Gitlab, Jira",English,,,Recent,https://de.linkedin.com/jobs/view/junior-quality-assurance-tester-at-swift-games-4441044199,2026-07-30T11:54:01.174000+00:00
0,Tester | Germany,linkedin,Junior QA Tester (f/m/d),Sunday,"Hamburg, Hamburg, Germany",Hybrid,Contract,,"Junior, Jira, Confluence",English,,,Recent,https://de.linkedin.com/jobs/view/junior-qa-tester-f-m-d-at-sunday-4436736639,2026-07-30T11:54:01.174227+00:00
0,Tester | Germany,linkedin,Test Engineer (f/m/d),think-cell Software,"Berlin, Germany",On-site,Internship,Can,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-f-m-d-at-think-cell-software-4440434564,2026-07-30T11:54:01.174395+00:00
0,Tester | Germany,linkedin,Software Tester (all genders),GK Software,"St. Ingbert, Saarland, Germany",Remote,Contract,,R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-gk-software-4375013194,2026-07-30T11:54:01.174553+00:00
0,Tester | Germany,linkedin,Manual Application Tester,ExpressVPN,"Übach-Palenberg, North Rhine-Westphalia, Germany",Remote,Contract,,"Linux, Appium, Entry-Level",English,,,Recent,https://de.linkedin.com/jobs/view/manual-application-tester-at-expressvpn-4436482503,2026-07-30T11:54:01.174713+00:00
0,Tester | Germany,linkedin,Softwaretester (m/w/d) - Berlin,Nexus AG,"Berlin, Berlin, Germany",On-site,Full-time,C,"Oracle, R, C#, Associate, Sql",German,,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-berlin-at-nexus-ag-4436748551,2026-07-30T11:54:01.174873+00:00
0,Tester | Germany,linkedin,(Junior) Quality Assurance Tester (m/w/d),HRworks GmbH,"Frankfurt, Hesse, Germany",On-site,Full-time,,Junior,English,,,Recent,https://de.linkedin.com/jobs/view/junior-quality-assurance-tester-m-w-d-at-hrworks-gmbh-4437773874,2026-07-30T11:54:01.175219+00:00
