relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,"C, Hil","Jira, C#, Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-04-27T11:58:56.869773+00:00
0,Test Engineer | Germany,solcom,Qua­li­täts­in­gen­ei­eur /QS-In­ge­nieur für Groß­bau­stel­le im Be­reich En­er­gie­tech­nik (m/w/d),SOLCOM Client,"D5, Gr Mainz 4 Tage Mo-Do",On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qualitaetsingeneieur-qs-ingenieur-fuer-grossbaustelle-im-bereich-energietechnik-m-w-d-105492,2026-04-27T12:01:04.430017+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer Si­mu­la­ti­on (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-simulation-m-w-d-105489,2026-04-27T12:01:04.430120+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pid-control-engineer-m-w-d-105468,2026-04-27T12:01:04.430246+00:00
0,Test Engineer | Germany,solcom,Data-Dri­ven Qua­li­ty En­gi­neer/ SAP QM (m/w/d),SOLCOM Client,"D0, Thüringen (40%)/ remote (60%)",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-entwickler-sap-qm-fiori-apps-m-w-d-105455,2026-04-27T12:01:04.430345+00:00
0,Test Engineer | Germany,solcom,Grid Code Test En­gi­neer (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/grid-code-test-engineer-m-w-d-105313,2026-04-27T12:01:04.430539+00:00
0,Test Engineer | Germany,solcom,Net­work En­gi­neer im Be­reich Ac­cess und CPE (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-04-27T12:01:04.430634+00:00
0,Test Engineer | Germany,solcom,Test-En­gi­neer Fly­ing Probe / ICT (m/w/d),SOLCOM Client,CH,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-04-27T12:01:04.430735+00:00
0,Test Engineer | Germany,solcom,Pro­ject Qua­li­ty En­gi­neer (Hard­ware / Soft­ware) - 50% Aus­las­tung (m/w/d),SOLCOM Client,"D9, & Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-27T12:01:04.430832+00:00
0,Test Automation | Germany,solcom,Soft­ware-Ent­wick­ler für Au­to­ma­ti­ons­sys­te­me (m/w/d),SOLCOM Client,D8,On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-entwickler-fuer-automationssysteme-m-w-d-105597,2026-04-27T12:03:11.989520+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,"Python, Test Automation","Associate, Fpga, Devops, R, Vhdl, Azure",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-27T12:03:11.989639+00:00
