relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,PHP Laravel Expert,Freelancermap Client,Koblenz Deutschland,On-site,Freelance,,"Expert, Php",English,Expert,,18.11.2025,https://www.freelancermap.de/projekt/php-laravel-expert,2026-04-20T11:46:29.065717+00:00
0,Tester | Germany,freelancermap,Konzernbuchhaltung im Bereich Abschlussprozesse,Freelancermap Client,Würzburg Deutschland,On-site,Freelance,,,English,,,11:43,https://www.freelancermap.de/projekt/konzernbuchhaltung-im-bereich-abschlussprozesse,2026-04-20T11:46:29.066287+00:00
0,Tester | Germany,freelancermap,Buchhaltungsservice/Steuerfachangestellter (gn)/Bilanzbuchhalter (gn)/Steuerfachwirt(gn),Freelancermap Client,Darmstadt Deutschland,On-site,Freelance,,,English,,,11:41,https://www.freelancermap.de/projekt/buchhaltungsservice-steuerfachangestellter-gn-bilanzbuchhalter-gn-steuerfachwirt-gn,2026-04-20T11:46:29.066382+00:00
0,Tester | Germany,freelancermap,Projektmanager für dreijähriges TYPO3-Entwicklungsprojekte gesucht,Freelancermap Client,Baden-Württemberg  Deutschland,On-site,Freelance,,R,English,,,11:40,https://www.freelancermap.de/projekt/projektmanager-fuer-dreijaehriges-typo3-entwicklungsprojekte-gesucht-2991816,2026-04-20T11:46:29.066494+00:00
0,Tester | Germany,freelancermap,Projektmanager für dreijähriges TYPO3-Entwicklungsprojekte gesucht,Freelancermap Client,Baden-Württemberg  Deutschland,On-site,Freelance,,R,English,,,11:40,https://www.freelancermap.de/projekt/projektmanager-fuer-dreijaehriges-typo3-entwicklungsprojekte-gesucht,2026-04-20T11:46:29.066619+00:00
0,Tester | Germany,freelancermap,Systemingenieur (m/w/d),Freelancermap Client,Norden Deutschland,On-site,Freelance,,,English,,,11:28,https://www.freelancermap.de/projekt/systemingenieur-m-w-d-2991810,2026-04-20T11:46:29.066919+00:00
0,Tester | Germany,freelancermap,Projektleitung TYPO3 (Typo 3 ist ein must-have!) (m/w/d),Freelancermap Client,95% Remote 5 % OnSite Stuttgart Deutschland,Remote,Freelance,,,German,,,11:21,https://www.freelancermap.de/projekt/projektleitung-typo3-typo-3-ist-ein-must-have-m-w-d,2026-04-20T11:46:29.067210+00:00
0,Tester | Germany,freelancermap,PMO / öffentlicher Dienst / SÜ2 / Arbeitnehmerüberlassung,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,11:16,https://www.freelancermap.de/projekt/pmo-oeffentlicher-dienst-sue2-arbeitnehmerueberlassung,2026-04-20T11:46:29.067401+00:00
0,Tester | Germany,freelancermap,LH-80303-Onsite IT-Techniker -Springer Darmstadt,Freelancermap Client,64295 Darmstadt Hessen Deutschland,On-site,Freelance,,,English,,,11:15,https://www.freelancermap.de/projekt/lh-80303-onsite-it-techniker-springer-darmstadt,2026-04-20T11:46:29.067501+00:00
0,Tester | Germany,freelancermap,ELT/GLT Ingenieur/-in,Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,11:10,https://www.freelancermap.de/projekt/elt-glt-ingenieur-in,2026-04-20T11:46:29.067621+00:00
0,Tester | Germany,freelancermap,Bauleiter (m/w/d) für Glasfaserausbau,Freelancermap Client,Magdeburg Deutschland,On-site,Freelance,,R,English,,,11:03,https://www.freelancermap.de/projekt/bauleiter-m-w-d-fuer-glasfaserausbau-2991801,2026-04-20T11:46:29.067719+00:00
0,Python Developer | Germany,freelancermap,JL 82189 IT Servicetechniker,Freelancermap Client,95032  Hof Deutschland,On-site,Freelance,,,English,,,11:53,https://www.freelancermap.de/projekt/jl-82189-it-servicetechniker,2026-04-20T11:53:51.403086+00:00
0,Python Developer | Remote,freelancermap,PMO / Magdeburg / öffentlicher Dienst / Arbeitnehmerüberlassung,Akkodis Germany Tech Freelance GmbH,Magdeburg Deutschland,Remote,Freelance,,"Associate, R",German,,,11:54,https://www.freelancermap.de/projekt/pmo-magdeburg-oeffentlicher-dienst-arbeitnehmerueberlassung,2026-04-20T11:54:43.410671+00:00
