relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Firmware Engineer | Austria,linkedin,Senior Embedded Crypto Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-crypto-software-developer-m-f-d-at-nxp-semiconductors-4431898495,2026-09-17T14:49:27.547916+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Engineer II, Ring, Ring",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-engineer-ii-ring-ring-at-amazon-4455780934,2026-09-17T14:49:39.516620+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Dev Engineer, Ring Devices",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-dev-engineer-ring-devices-at-amazon-4455785779,2026-09-17T14:49:39.516719+00:00
14,Tester | Germany,linkedin,Software Tester (all genders),Expleo Group,"Frankfurt am Main, Hesse, Germany",Remote,Internship,"Javascript, Python","Agile, R, Associate",German,Test Manager,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-expleo-group-4457339334,2026-09-17T14:46:51.679247+00:00
14,Tester | Germany,linkedin,Softwaretester (m/w/d),FERCHAU,"Lübeck, Schleswig-Holstein, Germany",Remote,Contract,Test Automation,"R, Expert",German,Expert,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-ferchau-4438589012,2026-09-17T14:46:51.679365+00:00
14,Tester | Austria,linkedin,Test Engineer,SCIENTIFIC GAMES,"Vienna, Austria",Remote,Contract,,"Agile, Expert, Jira, Linux, Scrum, Kanban, Cucumber",English,Expert,,Recent,https://at.linkedin.com/jobs/view/test-engineer-at-scientific-games-4463248823,2026-09-17T14:46:54.110729+00:00
14,Tester | Austria,linkedin,MOBILE TESTER:IN (W/M/X),IT-Services der Sozialversicherung GmbH,"Vienna, Vienna, Austria",Remote,Full-time,"Java, Test Automation","Architect, Zephyr, Jira, R, Associate, Confluence",German,Architect,,Recent,https://at.linkedin.com/jobs/view/mobile-tester-in-w-m-x-at-it-services-der-sozialversicherung-gmbh-4427933384,2026-09-17T14:46:54.111230+00:00
14,Tester | Austria,linkedin,Junior Game Tester (m/f/d),MERKUR GROUP,"Raaba, Styria, Austria",Remote,Full-time,,"Agile, Jira, Staff, Scrum, Junior",English,Staff,,Recent,https://at.linkedin.com/jobs/view/junior-game-tester-m-f-d-at-merkur-group-4465007021,2026-09-17T14:46:54.111438+00:00
14,Tester | Switzerland,linkedin,Senior Testingenieur:in,Hays,"Berne, Switzerland",Remote,Full-time,Java,"Splunk, Jira, R, Sql, Senior, Confluence",German,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-testingenieur-in-at-hays-4467045704,2026-09-17T14:46:56.547298+00:00
14,Tester | Switzerland,linkedin,Professional / Senior Test Engineer,ti&m,"Berne, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/professional-senior-test-engineer-at-ti-m-4464760814,2026-09-17T14:46:56.547641+00:00
14,Tester | Switzerland,linkedin,"ICT Test Engineer, Stufe Senior mit >5 Jahre Erfahrung (auch agil)",ALTEN,"Bern, Berne, Switzerland",On-site,Full-time,,Senior,German,Senior,,Recent,https://ch.linkedin.com/jobs/view/ict-test-engineer-stufe-senior-mit-5-jahre-erfahrung-auch-agil-at-alten-4353253328,2026-09-17T14:46:56.547744+00:00
14,Tester | Switzerland,linkedin,Senior Tester,MPower Plus,"Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-tester-at-mpower-plus-4464468101,2026-09-17T14:46:56.547842+00:00
14,Tester | Czech Republic,linkedin,Senior Test Engineer,Rockwell Automation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-test-engineer-at-rockwell-automation-4467414012,2026-09-17T14:47:03.764439+00:00
14,Tester | Poland,linkedin,Senior Manual Tester (f/m/x),Sii Poland,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-tester-f-m-x-at-sii-poland-4456925264,2026-09-17T14:47:06.202917+00:00
14,QA Engineer | Germany,linkedin,(Senior) QA Engineer (x/f/m),DKB Code Factory GmbH,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-x-f-m-at-dkb-code-factory-gmbh-4463017763,2026-09-17T14:47:13.583690+00:00
14,QA Engineer | Germany,linkedin,Senior Quality Assurance Engineer - Panels (all genders),ABOUT YOU,"Hamburg, Hamburg, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-panels-all-genders-at-about-you-4454767707,2026-09-17T14:47:13.584209+00:00
14,QA Engineer | Austria,linkedin,Senior QA Engineer (m/w/d) & Testautomation - Plattformservices,PKE,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-engineer-m-w-d-testautomation-plattformservices-at-pke-4434643740,2026-09-17T14:47:16.036551+00:00
14,QA Engineer | Austria,linkedin,Senior Software Test Engineer (w/m/d),Merkur Versicherung,"Graz, Styria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-test-engineer-w-m-d-at-merkur-versicherung-4417315986,2026-09-17T14:47:16.036650+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Automation Engineer,TXT GROUP,"Chiasso, Ticino, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-automation-engineer-at-txt-group-4463260307,2026-09-17T14:47:18.465949+00:00
14,QA Engineer | Slovakia,linkedin,Senior Quality Assurance Engineer,UNIQA Group Services,"Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-uniqa-group-services-4431527332,2026-09-17T14:47:23.204750+00:00
14,QA Engineer | Slovakia,linkedin,Senior Quality Engineer,Swiss Re,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-engineer-at-swiss-re-4465789396,2026-09-17T14:47:23.204848+00:00
14,QA Engineer | Slovakia,linkedin,Senior Software Test Automation Engineer (Full stack),Solar Turbines,"Košice, Kosice, Slovakia",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-full-stack-at-solar-turbines-4463369959,2026-09-17T14:47:23.205054+00:00
14,QA Engineer | Poland,linkedin,Senior Software Quality Engineer,Diebold Nixdorf,"Katowice, Śląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-quality-engineer-at-diebold-nixdorf-4433113302,2026-09-17T14:47:28.108728+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,GFT Technologies Poland,"Łódź, Łódzkie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-gft-technologies-poland-4453861461,2026-09-17T14:47:28.109305+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer - .NET / Test Automation,Billennium,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-net-test-automation-at-billennium-4467094959,2026-09-17T14:47:28.109416+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,GFT Technologies Poland,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-gft-technologies-poland-4453862557,2026-09-17T14:47:28.109720+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,Arcadis,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-arcadis-4432799090,2026-09-17T14:47:33.067676+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA/Test Engineer,iO Associates,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-at-io-associates-4462762886,2026-09-17T14:47:33.067976+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA / Test Engineer - AI & Platform,UBDS Digital,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-ai-platform-at-ubds-digital-4462743612,2026-09-17T14:47:33.068269+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Test Engineer,Client Server,"Bracknell, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-at-client-server-4468614576,2026-09-17T14:47:33.068375+00:00
14,Test Engineer | Germany,linkedin,(Senior) Test Automation Engineer (m/w/d),Loopario | vormals Logistikbude,"Dortmund, North Rhine-Westphalia, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-at-loopario-vormals-logistikbude-4455894376,2026-09-17T14:47:35.470585+00:00
14,Test Engineer | Germany,linkedin,(Senior) Test Engineer (m/w/d),Walbusch-Gruppe,"Solingen, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-engineer-m-w-d-at-walbusch-gruppe-4392752467,2026-09-17T14:47:35.471227+00:00
14,Test Engineer | Switzerland,linkedin,Senior Test Automation Engineer (m/f/x),Ekkiden,"Geneva, Geneva, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-m-f-x-at-ekkiden-4461088311,2026-09-17T14:47:40.544994+00:00
14,Test Engineer | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Group,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-group-4419248716,2026-09-17T14:47:45.238581+00:00
14,Test Engineer | Poland,linkedin,Senior Test Engineer - QA (UI & API),Diebold Nixdorf,"Katowice, Śląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-engineer-qa-ui-api-at-diebold-nixdorf-4395052117,2026-09-17T14:47:50.166662+00:00
14,Test Engineer | Poland,linkedin,Senior Test Automation Engineer (all genders),Lufthansa Systems,"Gdańsk, Pomorskie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-at-lufthansa-systems-4461160626,2026-09-17T14:47:50.167054+00:00
14,Test Engineer | Poland,linkedin,Senior Test Automation Engineer,Billennium,"Warsaw, Mazowieckie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-at-billennium-4465689303,2026-09-17T14:47:50.167154+00:00
14,Test Engineer | United Kingdom,linkedin,Senior QA Test Engineer,Client Server,"West Berkshire, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-at-client-server-4464588117,2026-09-17T14:47:55.044603+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer (Public Sector),Kainos,"Belfast, Northern Ireland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-public-sector-at-kainos-4447056173,2026-09-17T14:47:55.045127+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer (Public Sector),Kainos,"Birmingham, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-public-sector-at-kainos-4447056174,2026-09-17T14:47:55.045453+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer,Government Commercial Agency,"Liverpool, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-government-commercial-agency-4464321736,2026-09-17T14:47:55.045595+00:00
14,Testingenieur | Slovakia,linkedin,Testovací inžinier senior (m/ž/d),Brose Slovakia,"Horná Štefanovičová, Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/testovac%C3%AD-in%C5%BEinier-senior-m-%C5%BE-d-at-brose-slovakia-4433307490,2026-09-17T14:48:07.132972+00:00
14,Testingenieur | Poland,linkedin,Quality Assurance Engineer – Senior / Mid / Junior,Kidde Global Solutions,"Gdańsk, Pomorskie, Poland",On-site,Full-time,,"Senior, Junior",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-engineer-%E2%80%93-senior-mid-junior-at-kidde-global-solutions-4449856648,2026-09-17T14:48:12.046868+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,AJ Bell,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-aj-bell-4459522629,2026-09-17T14:48:16.969598+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,Scott Logic,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-scott-logic-4465053924,2026-09-17T14:48:16.970292+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer (m/w/d),Bundesdruckerei-Gruppe,"Berlin, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-at-bundesdruckerei-gruppe-4454508053,2026-09-17T14:48:19.516357+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer*,BarmeniaGothaer,"Wuppertal, North Rhine-Westphalia, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-at-barmeniagothaer-4461766317,2026-09-17T14:48:19.516763+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (m/w/d) – Gefahrenmanagementsysteme,PKE,"Vienna, Vienna, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-%E2%80%93-gefahrenmanagementsysteme-at-pke-4434656218,2026-09-17T14:48:21.950999+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Wien],adesso Austria GmbH,"Vienna, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-wien-at-adesso-austria-gmbh-4370386899,2026-09-17T14:48:21.951515+00:00
14,Test Automation | Austria,linkedin,"Test Automation Engineer mit TOSCA – Senior Consultant (m,w,d)",QESTIT DACH,"Vienna, Austria",On-site,Full-time,Test Automation,"Senior, Consultant",German,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-mit-tosca-%E2%80%93-senior-consultant-m-w-d-at-qestit-dach-4466250984,2026-09-17T14:48:21.951615+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Graz],adesso Austria GmbH,"Graz, Styria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-graz-at-adesso-austria-gmbh-4370392579,2026-09-17T14:48:21.951717+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Automation Engineer (TeamCity),Jobgether,Switzerland,Remote,Contract,"Ci/Cd, Java, Playwright, Selenium, Test Automation","Docker, Junit, Git, Kotlin, Senior, Testng",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-teamcity-at-jobgether-4465765630,2026-09-17T14:48:24.420077+00:00
14,Test Automation | Switzerland,linkedin,"Test Automation Engineer - (Senior) Consultant (m,w,d)",QESTIT DACH,"Zurich, Zurich, Switzerland",Remote,Internship,"Ci/Cd, Integration Testing, Jenkins, Playwright, Selenium, Test Automation","Zephyr, Jira, Kanban, Gitlab Ci, Appium, Gitlab, Scrum, Consultant, Azure, Devops",German,"Consultant, Senior",,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-senior-consultant-m-w-d-at-qestit-dach-4459202556,2026-09-17T14:48:24.420493+00:00
14,Test Automation | Switzerland,linkedin,Test Automation Engineer,Qim info,"Geneva, Switzerland",On-site,Internship,"C, Ci/Cd, Go, Java, Jenkins, Test Automation","Agile, Intellij, Junit, Openshift, Jira, R, Mongodb, Git, Confluence, Consultant",English,Consultant,,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-at-qim-info-4461173328,2026-09-17T14:48:24.420589+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Engineer in Test,SentinelOne,Slovakia,Remote,Full-time,"Can, Ci/Cd, Generative Ai, Java, Jenkins, Playwright, Prompt Engineering, Pytest, Python, Test Automation, Typescript","Agile, Lead, Github, Docker, Gitlab, Kubernetes, Gcp, Senior, Junior, Aws",English,"Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-in-test-at-sentinelone-4457700912,2026-09-17T14:48:29.100683+00:00
14,Test Automation | Czech Republic,linkedin,Data Quality Assurance Engineer (Temporary),Applaudo,Dominican Republic,On-site,Contract,"Python, Shell","Jira, Sql, Gcp, Contractor, Google Cloud",English,Contractor,,Recent,https://do.linkedin.com/jobs/view/data-quality-assurance-engineer-temporary-at-applaudo-4460146082,2026-09-17T14:48:31.488926+00:00
14,Test Automation | Poland,linkedin,Senior Test Automation Engineer with C# (f/m/x),Sii Poland,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,"C, Test Automation","Senior, C#",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-with-c%23-f-m-x-at-sii-poland-4459529123,2026-09-17T14:48:33.956814+00:00
14,Test Automation | USA,linkedin,Senior QA Automation Engineer,CGI,"Huntsville, AL",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-at-cgi-4464435333,2026-09-17T14:48:36.396869+00:00
14,Test Automation | USA,linkedin,Senior QA Automation Engineer (Playwright/Selenium),Cognizant,"Tampa, FL",On-site,Full-time,"Playwright, Selenium",Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-playwright-selenium-at-cognizant-4456039711,2026-09-17T14:48:36.397207+00:00
14,Test Automation | USA,linkedin,Senior Software Engineer in Test,CNN,"Atlanta, GA",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-software-engineer-in-test-at-cnn-4424742800,2026-09-17T14:48:36.397433+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Tester / Quality Engineer,Eden Scott,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-tester-quality-engineer-at-eden-scott-4465978344,2026-09-17T14:48:38.893292+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Test Engineer - eSC or eDV Clearance Required,IBM,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-test-engineer-esc-or-edv-clearance-required-at-ibm-4401657691,2026-09-17T14:48:38.893537+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Test Engineer - eSC or eDV Clearance Required,IBM,"Cheltenham, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-test-engineer-esc-or-edv-clearance-required-at-ibm-4401661667,2026-09-17T14:48:38.893642+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Automation Engineer,Version 1,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-automation-engineer-at-version-1-4449859259,2026-09-17T14:48:38.893742+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Automation Engineer,Version 1,"Belfast, Northern Ireland, United Kingdom",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-automation-engineer-at-version-1-4449870153,2026-09-17T14:48:38.893959+00:00
14,Test Automation | United Kingdom,linkedin,Test Automation Engineer - Principal & Senior Roles,Hastings Direct,"Leicester, England, United Kingdom",On-site,Full-time,Test Automation,"Senior, Principal",English,"Principal, Senior",,Recent,https://uk.linkedin.com/jobs/view/test-automation-engineer-principal-senior-roles-at-hastings-direct-4365486811,2026-09-17T14:48:38.894243+00:00
14,Python Developer | Germany,linkedin,(Senior) Software Developer Backend / Python,Athereon GRC GmbH,"Saarbrücken, Saarland, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-developer-backend-python-at-athereon-grc-gmbh-4467502615,2026-09-17T14:48:41.344011+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (all genders),adesso SE,"Nuremberg, Bavaria, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-all-genders-at-adesso-se-4137442830,2026-09-17T14:48:41.344263+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (m/f/d),casavi GmbH,"Munich, Bavaria, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-m-f-d-at-casavi-gmbh-4461718223,2026-09-17T14:48:41.344372+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (m/w/x) Aviation & Aerospace Systems,SII Germany,"Hamburg, Hamburg, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-m-w-x-aviation-aerospace-systems-at-sii-germany-4432416026,2026-09-17T14:48:41.344473+00:00
14,Python Developer | Germany,linkedin,"Senior Software Engineer, Python",Nelly Solutions,"Berlin, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-at-nelly-solutions-4434332752,2026-09-17T14:48:41.344761+00:00
14,Python Developer | Germany,linkedin,Senior Backend Engineer (m/f/d),Berliner Verlag,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-backend-engineer-m-f-d-at-berliner-verlag-4461883757,2026-09-17T14:48:41.344853+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer,DL Remote,"Klagenfurt, Carinthia, Austria",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-at-dl-remote-4464154720,2026-09-17T14:48:43.748668+00:00
14,Python Developer | Austria,linkedin,Senior Backend Engineer (Python),DL Remote,"Graz, Styria, Austria",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-backend-engineer-python-at-dl-remote-4466891647,2026-09-17T14:48:43.748805+00:00
14,Python Developer | Austria,linkedin,Senior Developer:in (m/w/d),Ubitec GmbH,"Linz, Upper Austria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-developer-in-m-w-d-at-ubitec-gmbh-4465938071,2026-09-17T14:48:43.748911+00:00
