relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-04-02T11:02:46.929218+00:00
0,Tester | Germany,hays,Systemintegration Ingenieur (m/w/d),Hays Client,Zug,On-site,Contract,,,German,,,25.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemintegration-ingenieur-zug-867455/1,2026-04-02T11:02:46.925432+00:00
0,Tester | Germany,hays,Systemingenieur (m/w/d),Hays Client,Großraum Bonn,On-site,Contract,,,German,,,25.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemingenieur-grossraum-bonn-867591/1,2026-04-02T11:02:46.925718+00:00
0,Tester | Germany,hays,Softwareingenieur  (m/w/d),Hays Client,Marburg,On-site,Contract,,R,German,,,25.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareingenieur--marburg-867599/1,2026-04-02T11:02:46.926001+00:00
0,Tester | Germany,hays,Test- und Fehler-Manager UI/UX und Telematik (m/w/d),Hays Client,Affalterbach,On-site,Contract,Test Automation,R,German,,,24.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test--und-fehler-manager-ui-ux-und-telematik-affalterbach-867526/1,2026-04-02T11:02:46.926264+00:00
0,Tester | Germany,hays,Multifunktionsoperator/Chemielaborant (m/w/d),Hays Client,Rotkreuz,On-site,Contract,,,German,,,24.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-multifunktionsoperator-chemielaborant-rotkreuz-867437/1,2026-04-02T11:02:46.926562+00:00
0,Tester | Germany,hays,Projekt Manager SAP VIM (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,20.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projekt-manager-sap-vim-berlin-867139/1,2026-04-02T11:02:46.926819+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Bremen,On-site,Contract,,"Gitlab, R",German,,,20.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-bremen-866167/1,2026-04-02T11:02:46.927088+00:00
0,Tester | Germany,hays,OBD Systemvalidierung (m/w/d),Hays Client,Affalterbach,On-site,Contract,Hil,R,German,,,19.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-obd-systemvalidierung-affalterbach-859849/1,2026-04-02T11:02:46.927366+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,17.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-04-02T11:02:46.927634+00:00
0,Tester | Germany,hays,Elektroniker/Tester (m/w/d),Hays Client,Bayern,On-site,Contract,,,German,,,16.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektroniker-tester-bayern-866330/1,2026-04-02T11:02:46.927894+00:00
0,Tester | Germany,hays,BTV Getriebe eBike Systems  (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-btv-getriebe-ebike-systems--reutlingen-865651/1,2026-04-02T11:02:46.928159+00:00
0,Tester | Germany,hays,Bauteilverantwortlicher (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauteilverantwortlicher-reutlingen-865633/1,2026-04-02T11:02:46.928440+00:00
0,Tester | Germany,hays,Testspezialist (m/w/d),Hays Client,Berlin,On-site,Contract,Java,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testspezialist-berlin-865551/1,2026-04-02T11:02:46.928698+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-864835/1,2026-04-02T11:02:46.928956+00:00
0,QA Engineer | Germany,hays,"Project Engineer, OCS Installation – Rail (m/f/d)",Hays Client,Ägypten & Remote,Remote,Contract,,,English,,,17.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-ocs-installation--rail-aegypten-remote-866273/1,2026-04-02T11:03:09.175223+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Spring Boot, Docker, Git, Intern, Devops, Angular",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-04-02T11:03:09.175549+00:00
0,Test Engineer | Germany,hays,Platform Engineer / DevOps Engineer (m/w/d),Hays Client,Schleswig-Holstein,Hybrid,Contract,"Ci/Cd, Claude, Cursor","Kubernetes, Terraform, Ansible, R, Devops",German,,,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-platform-engineer-devops-engineer-schleswig-holstein-868985/1,2026-04-02T11:03:35.583239+00:00
0,Test Engineer | Germany,hays,Product Security Engineer (m/w/d),Hays Client,Raum Schweinfurth,On-site,Contract,,R,German,,,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-security-engineer-raum-schweinfurth-863935/1,2026-04-02T11:03:35.583596+00:00
0,Test Engineer | Germany,hays,Resident Engineer (m/w/d),Hays Client,Soest,Remote,Contract,Can,,German,,,01.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-resident-engineer-soest-868817/1,2026-04-02T11:03:35.583888+00:00
0,Test Engineer | Germany,hays,Test Engineer(m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,English,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-schleswig-holstein-868559/1,2026-04-02T11:03:35.584158+00:00
0,Test Engineer | Germany,hays,Software Engineer (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-schleswig-holstein-868562/1,2026-04-02T11:03:35.584447+00:00
0,Test Engineer | Germany,hays,Quality Engineer Türverkleidungen (m/w/d),Hays Client,Neustadt an der Donau,On-site,Contract,,R,German,,,27.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-engineer-tuerverkleidungen-neustadt-an-der-donau-868192/1,2026-04-02T11:03:35.584981+00:00
0,Test Engineer | Germany,hays,DevOps Platform Engineer (m/w/d),Hays Client,Wiesbaden,On-site,Contract,,"R, Devops",German,,,26.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-platform-engineer-wiesbaden-867509/1,2026-04-02T11:03:35.585240+00:00
0,Test Engineer | Germany,hays,Validation Engineer (m/w/d),Hays Client,Laupheim,On-site,Contract,,,German,,,20.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-engineer-laupheim-867233/1,2026-04-02T11:03:35.585524+00:00
0,Test Engineer | Germany,hays,Manufacturing Product Industrialization Engineer (m/w/d),Hays Client,im Raum Böblingen,On-site,Contract,,,German,,,18.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-manufacturing-product-industrialization-engineer-im-raum-boeblingen-866458/1,2026-04-02T11:03:35.586043+00:00
0,Test Engineer | Germany,hays,KI - Engineer / AI - Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,"Python, Rag",R,German,,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ki-engineer-ai-engineer-frankfurt-am-main-866190/1,2026-04-02T11:03:35.586306+00:00
0,Test Engineer | Germany,hays,B&R Automation Engineer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-b-r-automation-engineer-baden-wuerttemberg-862947/1,2026-04-02T11:03:35.586591+00:00
0,Test Engineer | Germany,hays,Automation Engineer (m/w/d),Hays Client,Sachsen-Anhalt,On-site,Contract,,,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automation-engineer-sachsen-anhalt-865390/1,2026-04-02T11:03:35.586857+00:00
0,Test Engineer | Germany,hays,SOC Engineer  (m/w/d),Hays Client,Essen,On-site,Contract,,"Soc, R, Linux",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-soc-engineer--essen-863817/1,2026-04-02T11:03:35.587438+00:00
0,Test Engineer | Germany,hays,Software Engineer (Fokus: Input Management) (m/w/d),Hays Client,"Nürnberg, Hamburg oder Köln",On-site,Contract,C,C#,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-fokus--input-management-nuernberg-hamburg-oder-koeln-859399/1,2026-04-02T11:03:35.587988+00:00
0,Test Engineer | Germany,hays,Hardware Engineer (m/w/d),Hays Client,Lippstadt,On-site,Contract,,R,German,,,25.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-engineer-lippstadt-827402/1,2026-04-02T11:03:35.588548+00:00
0,Testingenieur | Germany,hays,Testingenieur - Inbetriebnehmer  (m/w/d),Hays Client,Guxhagen,On-site,Contract,,"R, Project Manager",German,,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-inbetriebnehmer--guxhagen-864290/1,2026-04-02T11:03:58.762081+00:00
0,Test Automation | Germany,hays,Controller (m/w/d),Hays Client,Reken,On-site,Contract,,R,German,,,01.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-controller-reken-868649/1,2026-04-02T11:04:21.203618+00:00
0,Test Automation | Germany,hays,Technischer Angebotsmanager (m/w/d),Hays Client,Berlin,On-site,Contract,,,German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-technischer-angebotsmanager-berlin-857493/1,2026-04-02T11:04:21.203892+00:00
0,Test Automation | Germany,hays,Qualitätsprüfer (Messtechnik) Schwerpunkt Wareneingang & 3D-Messtechnik (m/w/d),Hays Client,Ellerbek,On-site,Contract,,,German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetspruefer-messtechnik-schwerpunkt-wareneingang-3d-messtechnik-ellerbek-868210/1,2026-04-02T11:04:21.204148+00:00
0,Test Automation | Germany,hays,Automation Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,,"Powershell, Ansible, Openshift, Git",German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automation-engineer-berlin-868254/1,2026-04-02T11:04:21.204438+00:00
0,Test Automation | Germany,hays,IT Security Specialist – Regulatory & Technical Security  (m/w/d),Hays Client,München,On-site,Contract,,,German,,,26.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-security-specialist--regulatory-technical-security--muenchen-867614/1,2026-04-02T11:04:21.204963+00:00
0,Test Automation | Germany,hays,Softwareentwickler für Maschinensteuerungen (m/w/d),Hays Client,Chemnitz,On-site,Contract,,R,German,,,16.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-fuer-maschinensteuerungen-chemnitz-861923/1,2026-04-02T11:04:21.205769+00:00
0,Test Automation | Germany,hays,IT-Projektmanager  (m/w/d),Hays Client,Jettingen-Scheppach,On-site,Contract,,,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-projektmanager--jettingen-scheppach-851307/1,2026-04-02T11:04:21.207100+00:00
0,Test Automation | Germany,hays,Ingenieur Energietechnik Sekundärtechnik (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-energietechnik-sekundaertechnik-erlangen-830588/1,2026-04-02T11:04:21.207409+00:00
0,Test Automation | Germany,hays,Ingenieur Leittechnik Schaltanlagen (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-leittechnik-schaltanlagen-erlangen-852227/1,2026-04-02T11:04:21.207692+00:00
0,Test Automation | Germany,hays,Credit Analyst  (m/w/d),Hays Client,Bad Homburg,On-site,Contract,,R,German,,,18.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-credit-analyst--bad-homburg-862311/1,2026-04-02T11:04:21.208221+00:00
0,Test Automation | Germany,hays,Elektriker für Automatisierungstechnik (m/w/d),Hays Client,Mannheim,On-site,Contract,,R,German,,,18.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektriker-fuer-automatisierungstechnik-mannheim-826448/1,2026-04-02T11:04:21.208515+00:00
0,Python Developer | Germany,hays,Softwareentwickler (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,01.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-duesseldorf-851846/1,2026-04-02T11:04:44.844075+00:00
0,Python Developer | Germany,hays,Frontend Entwickler  (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,01.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-frontend-entwickler--duesseldorf-854809/1,2026-04-02T11:04:44.844385+00:00
0,Python Developer | Germany,hays,GitHub Enterprise Spezialist (m/w/d),Hays Client,Hannover,On-site,Contract,"Ci/Cd, Github Actions, Java, Python","Github, Kubernetes, R",German,,,12.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-github-enterprise-spezialist-hannover-840643/1,2026-04-02T11:04:44.844646+00:00
0,Python Developer | Germany,hays,UI Prototyping Developer (m/w/d),Hays Client,Affalterbach,On-site,Contract,,R,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ui-prototyping-developer-affalterbach-865539/1,2026-04-02T11:04:44.844903+00:00
0,Python Test | Germany,hays,Service Manager (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-service-manager-koeln-868139/1,2026-04-02T11:05:06.828399+00:00
0,Python Test | Germany,hays,Elektroniker Nachrichtentechnik (m/w/d),Hays Client,Stuttgart,On-site,Contract,,,German,,,23.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektroniker-nachrichtentechnik-stuttgart-865069/1,2026-04-02T11:05:06.829170+00:00
0,Python Test | Germany,hays,System Engineer (m/f/d),Hays Client,Zurich,On-site,Contract,,Matlab,English,,,19.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-zurich-866914/1,2026-04-02T11:05:06.829700+00:00
0,Python Test | Germany,hays,DevSecOps Engineer 60% (m/w/d),Hays Client,Bern,On-site,Contract,Python,"Gitlab, Ansible",German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devsecops-engineer-60-bern-865769/1,2026-04-02T11:05:06.830744+00:00
0,Python Test | Germany,hays,Development Engineer Manufacturing Processes (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,R,English,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-development-engineer-manufacturing-processes-rotkreuz-865639/1,2026-04-02T11:05:06.831253+00:00
0,Python Test | Germany,hays,Versicherungsmathematiker/in Leben (m/w/d),Hays Client,München,On-site,Contract,,R,German,,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versicherungsmathematiker-in-leben-muenchen-856545/1,2026-04-02T11:05:06.831796+00:00
