relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Software Tester (m/f/d) Verification &amp; Validation,GULP Client,Germany,Remote,Freelance,Test Automation,"R, Freelancer",German,Freelancer,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-03-13T11:10:21.168691+00:00
14,Python Developer | Germany,gulp,08866 Contract Application Architect in Digital Marketing/Experience - product is built in .net and next.js with interfaces - Remote working,GULP Client,Location: Remote for EU and USA,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a0fdc5f41e3611f189e08e417b6a1e17,2026-03-13T11:14:35.346948+00:00
14,Python Test | Germany,gulp,UFS Expert (m/f/d),GULP Client,Location: D7,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9d0d09461e3611f189e08e417b6a1e17,2026-03-13T11:15:24.103398+00:00
14,Python Test | Germany,gulp,SAP CPQ / SAP CX Consultant & Supporter (m/f/d) Parttime 30% Remote,GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b2bb3d058cee16a9344697,2026-03-13T11:15:24.105743+00:00
14,Python Test | Germany,gulp,SAP REA Expert (m/f/d),GULP Client,Location: Mannheim,Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253433,2026-03-13T11:15:24.107056+00:00
14,Python Test | Germany,gulp,Senior Cloud/Platform Architect (DevOps) OpenShift / Firewalls / DMZ - 50% Parttime Remote,GULP Client,Location: Remote,Remote,Freelance,,"Senior, Architect, Openshift, Devops",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b2ac11058cee16a93437b7,2026-03-13T11:15:24.108004+00:00
0,Tester | Germany,gulp,ITtesterfor Riester products (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253146,2026-03-13T11:10:21.167698+00:00
0,Tester | Germany,gulp,Test Technician / LabVIEW Test Bench (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8164693218a511f189e08e417b6a1e17,2026-03-13T11:10:21.168308+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-03-13T11:10:21.169181+00:00
0,Tester | Germany,gulp,4389 Banking applicationtester(m/f/d),GULP Client,Location: Münster,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/028cfdd410b411f196d7a2d1b5394681,2026-03-13T11:10:21.169653+00:00
0,Tester | Germany,gulp,Tester / Test automation engineer (m/f/d),GULP Client,Germany,Hybrid,Freelance,"Java, Selenium, Test Automation","Sql, Git, Confluence, Jira",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-03-13T11:10:21.170512+00:00
0,QA Engineer | Germany,gulp,SAFe IT Project Manager (m/f/d),GULP Client,"Location: D1, Berlin, remote",Remote,Freelance,,"Safe, Project Manager",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f94752221e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.387171+00:00
0,QA Engineer | Germany,gulp,Project Manager Construction/Renovation/Maintenance (m/f/d),GULP Client,Location: D1,On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e5cbde7a1e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.387666+00:00
0,QA Engineer | Germany,gulp,IndustrialEngineer(m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ebcea6181e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.389600+00:00
0,QA Engineer | Germany,gulp,Project Manager for Building ServicesEngineering(m/f/d),GULP Client,"Location: Remote, International",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e84a74541e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.390170+00:00
0,QA Engineer | Germany,gulp,Construction Manager/Project Manager in the field of specialist foundationengineering(m/f/d),GULP Client,"Location: D2, 100% vor Ort",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/fb7bd0721e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.390620+00:00
0,QA Engineer | Germany,gulp,Freelance Project: ProcessEngineer(m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/991d799c1e3611f189e08e417b6a1e17,2026-03-13T11:11:11.391172+00:00
0,QA Engineer | Germany,gulp,EngineerStrategic Network Planning - Electricity (m/f/d),GULP Client,"Location: D1, Potsdam",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/97a087f81e3611f189e08e417b6a1e17,2026-03-13T11:11:11.391616+00:00
0,QA Engineer | Germany,gulp,DataEngineer(m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253594,2026-03-13T11:11:11.392059+00:00
0,QA Engineer | Germany,gulp,Java Springboot Backend Developer (m/f/d) IAM Interfaces (SAML 2.0),GULP Client,Location: remote,Remote,Freelance,Java,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b2bfeb058cee16a9345034,2026-03-13T11:11:11.392957+00:00
0,Test Automation | Germany,gulp,AWS Platform Engineer (m/f/d),GULP Client,Location: remote,Remote,Freelance,,Aws,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b29f76058cee16a9343032,2026-03-13T11:13:45.477443+00:00
0,Test Automation | Germany,gulp,2Test AutomationEngineers Robot Framework / Python (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,"Python, Robot Framework",,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01252360,2026-03-13T11:13:45.478835+00:00
0,Test Automation | Germany,gulp,iOS Developer (m/f/d),GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247523,2026-03-13T11:13:45.481648+00:00
0,Test Automation | Germany,gulp,GIS Developer (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01236517,2026-03-13T11:13:45.483112+00:00
0,Python Developer | Germany,gulp,IT Specialist Systems and Data for FI/CO (m/f/d),GULP Client,Location: München,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b3bbd0268721d3fded8501,2026-03-13T11:14:35.341406+00:00
0,Python Developer | Germany,gulp,IT application support with a focus on hospital information systems (HIS) (m/f/d),GULP Client,Location: Munich,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253687,2026-03-13T11:14:35.341858+00:00
0,Python Developer | Germany,gulp,Embedded SoftwareDeveloper(m/f/d),GULP Client,"Location: Remote, D3",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f7cbf4fc1e3e11f189e08e417b6a1e17,2026-03-13T11:14:35.342422+00:00
0,Python Developer | Germany,gulp,Freelance cycling planner (m/f/d),GULP Client,Location: D2,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f17161281e3e11f189e08e417b6a1e17,2026-03-13T11:14:35.345925+00:00
0,Python Developer | Germany,gulp,Specialist / Project Manager for Records Management and DMS Implementation (m/f/d),GULP Client,Location: Hamburg,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253643,2026-03-13T11:14:35.347853+00:00
0,Python Test | Germany,gulp,IT Service Technician / Rollout Specialist (m/f/d) for Home Office Devices,GULP Client,Location: Berlin,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253601,2026-03-13T11:15:24.103760+00:00
0,Python Test | Germany,gulp,Full stack developer (m/f/d) - 100% remote,GULP Client,Location: Bonn,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253548,2026-03-13T11:15:24.104612+00:00
0,Python Test | Germany,gulp,"Full Stack Developer (m/f/d) - DevOps, GitlabCI",GULP Client,Location: Berlin,On-site,Freelance,,Devops,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253441,2026-03-13T11:15:24.107441+00:00
