relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,,"Lead, Devops, R, Azure",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-lead-tester-energiedatenmanagement-m-w-d-106076,2026-05-25T13:43:32.300240+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Regensburg,Remote,Freelance,"Can, Python, Test Automation","Zephyr, Jira, Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-05-25T13:43:32.301489+00:00
0,Test Engineer | Germany,solcom,IT En­gi­neer/De­v­Ops (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-engineer-devops-m-w-d-106052,2026-05-25T13:45:38.560166+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote/Biberach",Remote,Freelance,"C, C++, Can, Java","Jira, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-m-w-d-106030,2026-05-25T13:45:38.560279+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Nordschweiz",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektingenieur-leittechnik-unter-umspannwerke-energieanlagen-m-w-d-106029,2026-05-25T13:45:38.560373+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/netzwerk-ingenieur-windpark-controller-scada-m-w-d-105945,2026-05-25T13:45:38.560498+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,"Can, I2C, Shell, Uart","Jira, Soc, Express, Confluence",English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-105774,2026-05-25T13:45:38.560753+00:00
0,Test Engineer | Germany,solcom,Spe­zia­list für Adobe Acro­ba (m/w/d),SOLCOM Client,Braunschweig / Remote,Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/spezialist-fuer-adobe-acroba-m-w-d-1014770,2026-05-25T13:45:38.560839+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-3-person-en-m-w-d-105657,2026-05-25T13:45:38.561010+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-05-25T13:45:38.561185+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur - Em­bed­ded Sys­te­me (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-embedded-systeme-m-w-d-1014771,2026-05-25T13:46:44.422396+00:00
