relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager (m/f/d),GULP Client,"Location: D2, Bremen",On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0cd46e3c4b0411f189e08e417b6a1e17,2026-05-21T13:24:48.944624+00:00
14,Python Developer | Germany,gulp,Consultant (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/3179aaba550c11f189e08e417b6a1e17,2026-05-21T13:29:00.488938+00:00
14,Python Developer | Germany,gulp,SAP DM (MES) Consultant (m/f/d),GULP Client,Location: Pfaffenhofen an der Ilm,Remote,Freelance,,Consultant,German,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283753,2026-05-21T13:29:00.490135+00:00
14,Python Developer | Germany,gulp,Senior Solution Architect AWS Cloud (m/f/d),GULP Client,Location: Frankfurt am Main,On-site,Freelance,,"Solution Architect, Aws, Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283077,2026-05-21T13:29:00.490439+00:00
14,Python Developer | Germany,gulp,Redhat Openshift Expert (m/f/d),GULP Client,Location: keine Angabe,On-site,Freelance,,"Expert, Openshift",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/93fd535654ff11f189e08e417b6a1e17,2026-05-21T13:29:00.490867+00:00
14,Python Test | Germany,gulp,Consultant (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/31111810550c11f189e08e417b6a1e17,2026-05-21T13:29:51.735321+00:00
14,Python Test | Germany,gulp,Infrastructure Consultant (m/f/d),GULP Client,Location: Remote / Rhein Main Gebiet,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/3230be30550c11f189e08e417b6a1e17,2026-05-21T13:29:51.735789+00:00
14,Python Test | Germany,gulp,Senior Backend Developer (m/f/d) – Generative AI / RAG,GULP Client,Location: Munich,Remote,Freelance,"Generative Ai, Rag",Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283239,2026-05-21T13:29:51.737748+00:00
14,Firmware Engineer | Remote,gulp,"Senior SoftwareEngineerAWS, CDK, TypeScript, Spring (SMV-AWS Migration) (m/f/d)",GULP Client,Location: Wiesbaden,Remote,Freelance,Typescript,"Senior, Aws",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01284000,2026-05-21T13:31:06.951633+00:00
0,Tester | Germany,gulp,Test Analyst (m/f/d) TAP-TSI,GULP Client,Germany,Remote,Freelance,"Javascript, Test Automation, Typescript","Git, Node.Js, Gitlab, Scrum, Agile",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01281549,2026-05-21T13:24:48.942906+00:00
0,Tester | Germany,gulp,Commissioning Engineer (m/f/d),GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f43a36764ef111f189e08e417b6a1e17,2026-05-21T13:24:48.943387+00:00
0,Tester | Germany,gulp,Test engineerin the field of test bench technology (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a3cbc9a64e2011f189e08e417b6a1e17,2026-05-21T13:24:48.943800+00:00
0,Tester | Germany,gulp,Test Engineer(m/f/d),GULP Client,"Location: D2, Bremen",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0c38e3364b0411f189e08e417b6a1e17,2026-05-21T13:24:48.944220+00:00
0,Tester | Germany,gulp,HILTesterin the field of E/E (m/f/d),GULP Client,"Location: D3, Großraum Wolfsburg",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4d790e8a4a0911f189e08e417b6a1e17,2026-05-21T13:24:48.945035+00:00
0,Tester | Germany,gulp,Mobile Test Engineer (m/f/d) – Appium &amp; qTest,GULP Client,Germany,Remote,Freelance,,Appium,German,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01277602,2026-05-21T13:24:48.945434+00:00
0,Tester | Germany,gulp,Test Engineer- Embedded Systems (m/f/d),GULP Client,Location: D4,On-site,Freelance,Embedded Systems,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0051b8c843e211f189e08e417b6a1e17,2026-05-21T13:24:48.946252+00:00
0,Tester | Germany,gulp,Software Qualification Engineer (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7c641a4a3f3311f189e08e417b6a1e17,2026-05-21T13:24:48.946639+00:00
0,Tester | Germany,gulp,Tester / Test automation engineer (m/f/d),GULP Client,Germany,Hybrid,Freelance,"Java, Selenium, Test Automation","Git, Sql, Jira, Confluence",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-05-21T13:24:48.947346+00:00
0,QA Engineer | Germany,gulp,SAP S/4HANA developer (m/f/d) (ABAP Cloud / RAP / CDS),GULP Client,Location: remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a0eff05a26fd17027da2a11,2026-05-21T13:25:38.648844+00:00
0,QA Engineer | Germany,gulp,SAP S/4HANA developer (m/f/d) (ABAP Cloud / RAP / CDS),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a0eff03a26fd17027da29f1,2026-05-21T13:25:38.649342+00:00
0,QA Engineer | Germany,gulp,Project Controller (m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/fbeefb8a550f11f189e08e417b6a1e17,2026-05-21T13:25:38.649731+00:00
0,QA Engineer | Germany,gulp,NetworkEngineeringCisco Data Center (m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/079945da551011f189e08e417b6a1e17,2026-05-21T13:25:38.650211+00:00
0,QA Engineer | Germany,gulp,"Project Manager for Building Construction, specializing in Conversion/Expansion Solutions (m/f/d)",GULP Client,"Location: D2, Hamburg, Remote",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9a2f9a6a550711f189e08e417b6a1e17,2026-05-21T13:25:38.650672+00:00
0,QA Engineer | Germany,gulp,Logistics Specialist (Heavy Haulage / Construction Site Logistics) (m/f/d),GULP Client,Location: D2,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8e08760654ff11f189e08e417b6a1e17,2026-05-21T13:25:38.651441+00:00
0,QA Engineer | Germany,gulp,PLM IntegrationEngineer(m/f/d),GULP Client,"Location: D8, München",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d63e654c54f611f189e08e417b6a1e17,2026-05-21T13:25:38.652454+00:00
0,QA Engineer | Germany,gulp,Construction project manager in steel hall construction (m/f/d),GULP Client,Location: D4,On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d76a636c54f611f189e08e417b6a1e17,2026-05-21T13:25:38.652840+00:00
0,QA Engineer | Germany,gulp,Infrastructure planner (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/daa24d3854f611f189e08e417b6a1e17,2026-05-21T13:25:38.653242+00:00
0,QA Engineer | Germany,gulp,ProjectEngineer(m/f/d) Plant Construction & Operation of Gas and Oil Plants,GULP Client,Location: Leipzig,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01282481,2026-05-21T13:25:38.653552+00:00
0,QA Engineer | Germany,gulp,Fiber Optic Construction Manager (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/82d00fe654dd11f189e08e417b6a1e17,2026-05-21T13:25:38.653928+00:00
0,Test Automation | Germany,gulp,"Frontend developer (HTML/CSS/JavaScript/TypeScript, Vue.js) remote (m/f/d)",GULP Client,Germany,Remote,Freelance,"Javascript, Typescript",Vue.Js,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/af889000537d11f189e08e417b6a1e17,2026-05-21T13:28:09.009792+00:00
0,Test Automation | Germany,gulp,"Backend developer (Java + Spring Boot, REST, PostgreSQL) remote (m/f/d)",GULP Client,Germany,Remote,Freelance,Java,"Spring Boot, Postgresql",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/aff41014537d11f189e08e417b6a1e17,2026-05-21T13:28:09.010171+00:00
0,Test Automation | Germany,gulp,Data Migration Engineer / SQL Developer (80-100%) (m/f/d) (16016),GULP Client,Location: Zürich Flughafen,Remote,Freelance,,Sql,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1bcb11f24a0511f189e08e417b6a1e17,2026-05-21T13:28:09.013423+00:00
0,Test Automation | Germany,gulp,Java Software Engineer (m/f/d),GULP Client,Location: Kiel,Remote,Freelance,Java,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01275053,2026-05-21T13:28:09.014212+00:00
0,Python Developer | Germany,gulp,Programmer (m/f/d),GULP Client,Location: Würzburg/Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/2f46813c550c11f189e08e417b6a1e17,2026-05-21T13:29:00.487524+00:00
0,Python Developer | Germany,gulp,ApplicationDeveloper(m/f/d),GULP Client,"Location: Remote/FFM,Münster,Hannover",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/3084bc76550c11f189e08e417b6a1e17,2026-05-21T13:29:00.488481+00:00
0,Python Developer | Germany,gulp,Sofico MilesDeveloper- Configurator,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6a0de594ba560b1248dd9ebb,2026-05-21T13:29:00.489358+00:00
0,Python Test | Germany,gulp,SAP Project Manager (m/f/d) for the implementation of SAP BDC Remote & Essen,GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a0e9c171803eda9ada4fe85,2026-05-21T13:29:51.736978+00:00
0,Python Test | Germany,gulp,"Data Engineer (Python, Azure, FastAPI, AI, MS Fabric, Power BI etc.) (m/f/d)",GULP Client,Location: Berlin,Remote,Freelance,Python,"Fastapi, Azure",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01282469,2026-05-21T13:29:51.737370+00:00
0,Python Test | Germany,gulp,Software Engineer (m/f/d),GULP Client,"Location: D8, remote/Biberach",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6571a9cc547011f189e08e417b6a1e17,2026-05-21T13:29:51.738288+00:00
0,Python Test | Germany,gulp,Coordinator of Software Requests and License Management (22162 / 20-40% workload for 4 years),GULP Client,Location: Bern und Homeoffice,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d7c69798546c11f189e08e417b6a1e17,2026-05-21T13:29:51.738679+00:00
0,Python Test | Germany,gulp,"Project Engineer Control Technology (Substations/Upgrade Stations, Energy Plants) (m/f/d)",GULP Client,"Location: CH, Nordschweiz",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/25d47450546811f189e08e417b6a1e17,2026-05-21T13:29:51.739085+00:00
0,Python Test | Germany,gulp,SAP Developer PSM / FI / PSCD / CO (m/f/d),GULP Client,"Location: Remote, D9",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1b3ce1e4546811f189e08e417b6a1e17,2026-05-21T13:29:51.739545+00:00
0,Firmware Engineer | Germany,gulp,"Technical Due Diligence, Planning and Construction Supervision (Administrative Building) (m/f/d)",GULP Client,Location: Südlich von Hamburg,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/19a5b0be54d511f189e08e417b6a1e17,2026-05-21T13:30:43.032911+00:00
0,Firmware Engineer | Germany,gulp,Construction supervision for residential building renovation in Thuringia (m/f/d),GULP Client,"Location: Bad Salzungen, Thüringen",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e103ffa6547811f189e08e417b6a1e17,2026-05-21T13:30:43.033694+00:00
0,Firmware Engineer | Remote,gulp,C# .NET Developer (m/f/d),GULP Client,"Location: Eschborn, Taunus",Remote,Freelance,C,C#,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01283997,2026-05-21T13:31:06.952086+00:00
