relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Poland,linkedin,Quality Assurance Automation Engineer,Intellias,Poland,On-site,Full-time,"Javascript, Pytest, Python, Test Automation","Azure, Gitlab, Pandas",English,,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-intellias-4413456323,2026-05-18T13:52:05.972203+00:00
14,Tester | Czech Republic,linkedin,Software Development Engineer in Test,Origami Risk,"Santo Domingo, Distrito Nacional, Dominican Republic",Remote,Contract,"C, Ci/Cd, Java, Javascript, Playwright, Python, Selenium, Test Automation, Typescript","Appium, Manual Testing, Agile, Architect, Scrum, C#, Kanban, Associate, Cypress, Sql",English,Architect,,Recent,https://do.linkedin.com/jobs/view/software-development-engineer-in-test-at-origami-risk-4390621348,2026-05-18T13:51:41.670109+00:00
14,Tester | Czech Republic,linkedin,Analista Senior Calidad de Software,Banco Santa Cruz RD,"Distrito Nacional, Dominican Republic",On-site,Full-time,C,"Senior, Principal, Confluence, Scrum, Jira",English,"Principal, Senior",,Recent,https://do.linkedin.com/jobs/view/analista-senior-calidad-de-software-at-banco-santa-cruz-rd-4415566243,2026-05-18T13:51:41.670443+00:00
14,Tester | Czech Republic,linkedin,Lead Software Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",Remote,Contract,"C, Ci/Cd, Github Copilot, Java, Playwright, Python, Selenium, Test Automation, Typescript","Appium, Docker, Github, Oracle, Expert, Consultant, Principal, Agile, Lead, Architect",English,"Architect, Consultant, Expert, Lead, Principal, Senior",,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-in-test-sdet-at-flash-4414922814,2026-05-18T13:51:41.670600+00:00
14,Tester | Czech Republic,linkedin,Coordinator.MFG.Maintenance,Eaton,"Santiago de los Caballeros, Santiago, Dominican Republic",On-site,Full-time,,"Principal, Mil",English,Principal,,Recent,https://do.linkedin.com/jobs/view/coordinator-mfg-maintenance-at-eaton-4391057283,2026-05-18T13:51:41.671076+00:00
14,Tester | Poland,linkedin,Junior Game Tester,8Bit - Games Industry Recruitment,"Warsaw, Mazowieckie, Poland",Remote,Contract,Can,"Junior, Lead, Regression Testing",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/junior-game-tester-at-8bit-games-industry-recruitment-4408840330,2026-05-18T13:51:44.065111+00:00
14,Tester | Poland,linkedin,Manual Tester,Jit Team,"Gdańsk, Pomorskie, Poland",Remote,Contract,Java,"Zephyr, Mid-Level, Confluence, Rest Api, Manual Testing, Jira, Lead, Postman, React, Sql",English,"Lead, QA Lead",,Recent,https://pl.linkedin.com/jobs/view/manual-tester-at-jit-team-4404941000,2026-05-18T13:51:44.065296+00:00
14,Tester | Poland,linkedin,Senior QA Tester / Future Deputy QA Lead - Space Engineers 2,Keen Software House,Poland,Hybrid,Contract,,"Senior, Lead, Regression Testing",English,"Lead, QA Lead, Senior",,Recent,https://pl.linkedin.com/jobs/view/senior-qa-tester-future-deputy-qa-lead-space-engineers-2-at-keen-software-house-4405689271,2026-05-18T13:51:44.066109+00:00
14,Tester | USA,linkedin,Junior Tester,Sparksoft Corporation,"Columbia, MD",Hybrid,Contract,"Continuous Testing, Selenium","Senior, Zephyr, Azure, Scrum, Devops, Jira, Junior, Agile, Waterfall, Scrum Master",English,"Senior, Staff, Test Manager",,Recent,https://www.linkedin.com/jobs/view/junior-tester-at-sparksoft-corporation-4415366934,2026-05-18T13:51:46.593237+00:00
14,Tester | USA,linkedin,Mid-Level Tester,Sparksoft Corporation,"Columbia, MD",Hybrid,Contract,"Continuous Testing, Selenium","Senior, Zephyr, Mid-Level, Azure, Scrum, Devops, Jira, Agile, Waterfall, Scrum Master",English,"Senior, Staff, Test Manager",,Recent,https://www.linkedin.com/jobs/view/mid-level-tester-at-sparksoft-corporation-4415385396,2026-05-18T13:51:46.593600+00:00
14,Tester | USA,linkedin,QA Tester,Maagsoft Inc.,"Albany, NY",On-site,Contract,Selenium,"Lead, Jira",English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-tester-at-maagsoft-inc-4412905187,2026-05-18T13:51:46.594074+00:00
14,Tester | USA,linkedin,QA Tester,Maagsoft Inc.,"Albany, NY",On-site,Internship,,"Stress Testing, Lead, Performance Testing, Manual Testing",English,"Lead, QA Lead",,Recent,https://www.linkedin.com/jobs/view/qa-tester-at-maagsoft-inc-4412133256,2026-05-18T13:51:46.594565+00:00
14,Tester | United Kingdom,linkedin,Software Test Engineer,Coforge,"Leeds, England, United Kingdom",On-site,Contract,,,English,Test Manager,,Recent,https://uk.linkedin.com/jobs/view/software-test-engineer-at-coforge-4412661998,2026-05-18T13:51:49.074811+00:00
14,Tester | United Kingdom,linkedin,Junior Software Test Engineer,targetjobs UK,"London, England, United Kingdom",Remote,Contract,"C, Can, Java","Graduate, Devops, Junior, Agile, Expert, C#",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/junior-software-test-engineer-at-targetjobs-uk-4409337337,2026-05-18T13:51:49.075301+00:00
14,Tester | United Kingdom,linkedin,Senior QA Tester - 12 Month FTC - UK Only (Remote/Hybrid/Brighton),eTAGZ,"Brighton, England, United Kingdom",Remote,Contract,,"Junior, Senior",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-tester-12-month-ftc-uk-only-remote-hybrid-brighton-at-etagz-4405102231,2026-05-18T13:51:49.075968+00:00
14,QA Engineer | Germany,linkedin,Senior QA Manual Engineer,Jobgether,Germany,Remote,Contract,Integration Testing,"Senior, Confluence, Jira, Postman, Sql",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413521286,2026-05-18T13:51:51.468756+00:00
14,QA Engineer | Germany,linkedin,Quality Assurance Engineer (f/m/d),Renesas Electronics,"Nabern, Baden-Württemberg, Germany",Remote,Internship,Can,"Agile, Safe, Expert",English,Expert,,Recent,https://de.linkedin.com/jobs/view/quality-assurance-engineer-f-m-d-at-renesas-electronics-4389742869,2026-05-18T13:51:51.469893+00:00
14,QA Engineer | Austria,linkedin,Senior QA Manual Engineer,Jobgether,Austria,Remote,Contract,Integration Testing,"Senior, Confluence, Jira, Postman, Sql",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413513618,2026-05-18T13:51:53.844528+00:00
14,QA Engineer | Austria,linkedin,QA Engineer,Bybit EU,"Vienna, Austria",On-site,Full-time,"C, C++, Can, Java, Python","Perl, Lead",English,Lead,,Recent,https://at.linkedin.com/jobs/view/qa-engineer-at-bybit-eu-4413552498,2026-05-18T13:51:53.844708+00:00
14,QA Engineer | Austria,linkedin,Senior Quality Assurance Engineer,Bybit EU,"Vienna, Austria",Remote,Internship,"C, C++, Can, Java, Python","Senior, Perl, Lead",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-bybit-eu-4408647231,2026-05-18T13:51:53.844867+00:00
14,QA Engineer | Austria,linkedin,Quality Assurance Engineer,AAA Global,"Vienna, Austria",On-site,Full-time,"C, C++, Java, Python","Perl, Lead",English,Lead,,Recent,https://at.linkedin.com/jobs/view/quality-assurance-engineer-at-aaa-global-4416095694,2026-05-18T13:51:53.845027+00:00
14,QA Engineer | Austria,linkedin,Senior QA Automation Engineer,Jobgether,Austria,Remote,Contract,"Integration Testing, Java","Senior, Confluence, Manual Testing, Jira, Postman, Sql",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-automation-engineer-at-jobgether-4413505594,2026-05-18T13:51:53.845182+00:00
14,QA Engineer | Austria,linkedin,QA Automation Engineer @ 3-S-IT Dienstleistungen GmbH,DEVjobs,"Vienna, Austria",Remote,Full-time,"Ci/Cd, Playwright, Test Automation, Typescript","Senior, Zephyr, Regression Testing, R, Bdd, Cucumber",German,Senior,,Recent,https://at.linkedin.com/jobs/view/qa-automation-engineer-%40-3-s-it-dienstleistungen-gmbh-at-devjobs-4413876059,2026-05-18T13:51:53.845968+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Manual Engineer,Jobgether,Switzerland,Remote,Contract,Integration Testing,"Senior, Confluence, Jira, Postman, Sql",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413524177,2026-05-18T13:51:56.224217+00:00
14,QA Engineer | Switzerland,linkedin,Quality Assurance Engineer (QA),YAPEAL,"Zurich, Zurich, Switzerland",Remote,Full-time,"Ci/Cd, Integration Testing, Python, Test Automation","Microservices, Agile, Expert",English,Expert,,Recent,https://ch.linkedin.com/jobs/view/quality-assurance-engineer-qa-at-yapeal-4409796702,2026-05-18T13:51:56.224894+00:00
14,QA Engineer | Switzerland,linkedin,ICT Test Engineer (80–100%) – Bern (hybrid),Randstad Digital,"Bern, Berne, Switzerland",Remote,Full-time,Test Automation,"Senior, Splunk, R, Jira",German,Senior,,Recent,https://ch.linkedin.com/jobs/view/ict-test-engineer-80%E2%80%93100%25-%E2%80%93-bern-hybrid-at-randstad-digital-4413443964,2026-05-18T13:51:56.225189+00:00
14,QA Engineer | Remote,linkedin,Senior QA Automation Engineer,Jobgether,Germany,Remote,Contract,"Integration Testing, Java","Senior, Confluence, Manual Testing, Jira, Postman, Sql",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-automation-engineer-at-jobgether-4413502689,2026-05-18T13:51:58.763668+00:00
14,QA Engineer | Remote,linkedin,Lead QA Engineer,World Food Programme,"Berlin, Berlin, Germany",Remote,Contract,Python,"Manual Testing, Head Of, Agile, Lead, Consultant, Cypress",English,"Consultant, Lead",,Recent,https://de.linkedin.com/jobs/view/lead-qa-engineer-at-world-food-programme-4410562515,2026-05-18T13:51:58.763967+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Engineer,Touch4IT,Bratislava Metropolitan Area,On-site,Full-time,"C, Ci/Cd, Playwright, Selenium","Senior, Postman, Junit, R, Junior, Gitlab Ci, Testng, Cypress, Gitlab",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-at-touch4it-4411595294,2026-05-18T13:52:01.136609+00:00
14,QA Engineer | Slovakia,linkedin,QA Engineer,Ruby Labs,Slovakia,Remote,Contract,"Go, Playwright, Pytest, Test Automation","Grafana, Manual Testing, Ruby, Postman, Postgresql, Kanban, Contractor, Sql",English,Contractor,,Recent,https://sk.linkedin.com/jobs/view/qa-engineer-at-ruby-labs-4405231899,2026-05-18T13:52:01.136772+00:00
14,QA Engineer | Slovakia,linkedin,Senior Automation QA Engineer (Python),GoReel,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Can, Ci/Cd, Claude, Jenkins, Playwright, Pytest, Python","Senior, Docker, Jira, Postman, Git",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-automation-qa-engineer-python-at-goreel-4408845014,2026-05-18T13:52:01.136928+00:00
14,QA Engineer | Slovakia,linkedin,QA Engineer (Hybrid set up),Swiss Re,"Bratislava, Bratislava, Slovakia",Hybrid,Full-time,"Can, Ci/Cd, Generative Ai, Github Actions, Java, Jenkins, Selenium","Docker, Github, Bdd, Stress Testing, Devops, Agile, Lead, Postman, Azure, Performance Testing",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/qa-engineer-hybrid-set-up-at-swiss-re-4409358923,2026-05-18T13:52:01.137085+00:00
14,QA Engineer | Poland,linkedin,Sr QA Engineer (Manual Focus),Renesas Electronics,"Wrocław, Dolnośląskie, Poland",On-site,Contract,"Can, Jenkins","Senior, Regression Testing, Agile, Postman, Git, Sql",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/sr-qa-engineer-manual-focus-at-renesas-electronics-4407456681,2026-05-18T13:52:05.971837+00:00
14,QA Engineer | Poland,linkedin,Junior Manual QA Engineer for IOS Application,Zoolatech,Poland,Remote,Contract,Can,"Regression Testing, Confluence, Scrum, Swift, Jira, Junior, Agile, Contractor",English,Contractor,,Recent,https://pl.linkedin.com/jobs/view/junior-manual-qa-engineer-for-ios-application-at-zoolatech-4408104353,2026-05-18T13:52:05.972555+00:00
14,QA Engineer | Poland,linkedin,"Quality Assurance Engineer - Katowice, Poland (F/M)",Astek,"Katowice, Śląskie, Poland",Hybrid,Contract,"C, Can, Javascript, Jenkins, Test Automation","Postman, Azure, Powershell, Confluence, Tdd, Jira, Agile, C#, Bdd, Git",English,Test Manager,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-engineer-katowice-poland-f-m-at-astek-4399530990,2026-05-18T13:52:05.972713+00:00
14,QA Engineer | Poland,linkedin,Senior QA Manual Engineer,Jobgether,Cracow Metropolitan Area,Remote,Contract,Integration Testing,"Senior, Confluence, Jira, Postman, Sql",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413512652,2026-05-18T13:52:05.973034+00:00
14,QA Engineer | USA,linkedin,Junior QA Engineer,Snoonu,United States,Remote,Contract,Can,"Spark, Scrum, Safe, Junior, Agile, Lead",English,Lead,,Recent,https://www.linkedin.com/jobs/view/junior-qa-engineer-at-snoonu-4405924353,2026-05-18T13:52:08.417883+00:00
14,QA Engineer | USA,linkedin,Sr QA Analyst/Test Engineer,DMI,"McLean, VA",Remote,Contract,"Ci/Cd, System Testing","Load Testing, Scrum, Devops, Jira, Agile, Lead, Kanban, Sql",English,Lead,,Recent,https://www.linkedin.com/jobs/view/sr-qa-analyst-test-engineer-at-dmi-4413498790,2026-05-18T13:52:08.418067+00:00
14,QA Engineer | USA,linkedin,Senior Manual QA Engineer,Faro,"New York, NY",Remote,Contract,"Generative Ai, Llm","Senior, Google Cloud, Azure, Devops, Manual Testing, Jira, Junior, Lead, Expert, Aws",English,"Contractor, Expert, Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-faro-4415547636,2026-05-18T13:52:08.418226+00:00
14,QA Engineer | USA,linkedin,Senior Manual QA Engineer,Faro,"California, United States",Remote,Contract,"Generative Ai, Llm","Senior, Google Cloud, Azure, Devops, Manual Testing, Jira, Junior, Lead, Expert, Aws",English,"Contractor, Expert, Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-faro-4415554285,2026-05-18T13:52:08.418723+00:00
14,QA Engineer | USA,linkedin,Senior Manual QA Engineer,Faro,"Florida, United States",Remote,Contract,"Generative Ai, Llm","Senior, Google Cloud, Azure, Devops, Manual Testing, Jira, Junior, Lead, Expert, Aws",English,"Contractor, Expert, Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-faro-4415562130,2026-05-18T13:52:08.419020+00:00
14,QA Engineer | USA,linkedin,Quality Assurance Automation Engineer,Flybridge Staffing,"Boca Raton, FL",Remote,Contract,"Javascript, Jenkins, Pytest, Python, Selenium","Regression Testing, Rest Api, Jira",English,Test Manager,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-flybridge-staffing-4413554888,2026-05-18T13:52:08.419169+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,Breakthrough Talent,"Greater Bristol Area, United Kingdom",Remote,Full-time,"Ci/Cd, Playwright, Typescript","Senior, Golang, Graphql, Microservices, Agile, Lead, Postgresql, Mongodb",English,"Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-breakthrough-talent-4413561574,2026-05-18T13:52:10.807833+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Indra Group UK & Ireland,"Market Deeping, England, United Kingdom",On-site,Contract,Can,"Senior, Staff, Lead",English,"Lead, Senior, Staff",,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-indra-group-uk-ireland-4395293172,2026-05-18T13:52:10.807998+00:00
14,QA Engineer | United Kingdom,linkedin,Quality Assurance Engineer,Navantia UK,"Fife, Scotland, United Kingdom",On-site,Contract,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-engineer-at-navantia-uk-4409023628,2026-05-18T13:52:10.808155+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Manual Engineer,Jobgether,United Kingdom,Remote,Contract,Integration Testing,"Senior, Confluence, Jira, Postman, Sql",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413517422,2026-05-18T13:52:10.808305+00:00
14,QA Engineer | United Kingdom,linkedin,Staff QA Engineer,Matillion,"Manchester, England, United Kingdom",Remote,Full-time,"Ai Agents, Ci/Cd, Java, Javascript, Test Automation","Senior, Azure, Gcp, Junior, Data Science, Performance Testing, Cypress, Aws, Machine Learning, Staff",English,"Senior, Staff",,Recent,https://uk.linkedin.com/jobs/view/staff-qa-engineer-at-matillion-4401769212,2026-05-18T13:52:10.808647+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Spacelabs Healthcare,"Edinburgh, Scotland, United Kingdom",Remote,Internship,,"Senior, Safe, R, Lead, Expert",English,"Expert, Lead, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-spacelabs-healthcare-4370274131,2026-05-18T13:52:10.808794+00:00
14,QA Engineer | United Kingdom,linkedin,QA Engineer (Manchester),Tilo Consulting,"Manchester, England, United Kingdom",Hybrid,Full-time,"Ci/Cd, Playwright","Microservices, Agile, Lead, Performance Testing",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/qa-engineer-manchester-at-tilo-consulting-4412798462,2026-05-18T13:52:10.809088+00:00
14,Test Engineer | Slovakia,linkedin,Solution Design Engineer,Freshfields,"Bratislava, Slovakia",Remote,Internship,"C, Can, Ci/Cd, Javascript, Python","Architect, Azure, Scrum, Devops, Gcp, Agile, C#, Sql",English,Architect,,Recent,https://sk.linkedin.com/jobs/view/solution-design-engineer-at-freshfields-4393519997,2026-05-18T13:52:23.024598+00:00
14,Test Engineer | Czech Republic,linkedin,"Software Engineer (remote, startup)",Meadow Memorials,"Santo Domingo, Distrito Nacional, Dominican Republic",Remote,Contract,"Can, Python, Typescript","Senior, Tech Lead, Head Of, Lead, React, Contractor, Fastapi",English,"Contractor, Lead, Senior",,Recent,https://do.linkedin.com/jobs/view/software-engineer-remote-startup-at-meadow-memorials-4406809438,2026-05-18T13:52:25.442098+00:00
14,Test Engineer | Poland,linkedin,"Software Engineer, FinOps",Samba TV,"Warsaw, Mazowieckie, Poland",On-site,Contract,Python,"Terraform, Gcp, Databricks, Lead, Aws, Snowflake, Kubernetes, Sql",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-finops-at-samba-tv-4312933080,2026-05-18T13:52:27.917267+00:00
14,Test Engineer | USA,linkedin,"Engineer, Test Manufacturing",Celestica,"Richardson, TX",On-site,Full-time,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/engineer-test-manufacturing-at-celestica-4413594967,2026-05-18T13:52:30.502251+00:00
14,Test Engineer | USA,linkedin,"Engineer, Test Manufacturing",Celestica,"Richardson, TX",On-site,Full-time,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/engineer-test-manufacturing-at-celestica-4413594945,2026-05-18T13:52:30.502429+00:00
14,Test Engineer | United Kingdom,linkedin,Software Engineer,Zego,"London Area, United Kingdom",Hybrid,Full-time,"Can, Go, Python","Senior, Expert",English,"Expert, Senior",,Recent,https://uk.linkedin.com/jobs/view/software-engineer-at-zego-4406958979,2026-05-18T13:52:32.939843+00:00
14,Test Engineer | United Kingdom,linkedin,Software Quality Engineer,Hlx Life Sciences,"London Area, United Kingdom",Hybrid,Contract,"C, C++, Ci/Cd, Python, Test Automation",Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/software-quality-engineer-at-hlx-life-sciences-4413408044,2026-05-18T13:52:32.940327+00:00
14,Testingenieur | Germany,linkedin,Tester / Testmanager (m/w/d) - ORU & GOB,Martin Technology GmbH,"Großmehring, Bavaria, Germany",Remote,Full-time,Can,"R, Canoe",German,Test Manager,,Recent,https://de.linkedin.com/jobs/view/tester-testmanager-m-w-d-oru-gob-at-martin-technology-gmbh-4412232569,2026-05-18T13:52:35.387498+00:00
14,Testingenieur | Austria,linkedin,Test Engineer (m/w/d),TE Connectivity,"Waidhofen an der Thaya, Lower Austria, Austria",Hybrid,Internship,,"Senior, Associate, R",German,Senior,,Recent,https://at.linkedin.com/jobs/view/test-engineer-m-w-d-at-te-connectivity-4405108937,2026-05-18T13:52:37.753227+00:00
14,Testingenieur | Austria,linkedin,SPS-Programmierer:in PRO-SENIOR,MECHATRONIK AUSTRIA,"Saalfelden, Salzburg, Austria",Remote,Full-time,,"Senior, R",German,Senior,,Recent,https://at.linkedin.com/jobs/view/sps-programmierer-in-pro-senior-at-mechatronik-austria-4406064530,2026-05-18T13:52:37.753405+00:00
14,Testingenieur | Switzerland,linkedin,Senior Testingenieur:in,Coopers Group AG,"Bern, Berne, Switzerland",Remote,Full-time,"Robot Framework, Test Automation","Senior, Splunk, R, Jira",German,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-testingenieur-in-at-coopers-group-ag-4413044212,2026-05-18T13:52:40.151397+00:00
14,Testingenieur | Switzerland,linkedin,Ingénieur tests/Ingénieure tests,CLEEVEN,"Vaud, Switzerland",On-site,Internship,C,Consultant,English,Consultant,,Recent,https://ch.linkedin.com/jobs/view/ing%C3%A9nieur-tests-ing%C3%A9nieure-tests-at-cleeven-4411895121,2026-05-18T13:52:40.151721+00:00
14,Testingenieur | Switzerland,linkedin,Ingénieur tests/Ingénieure tests,Qim info,"Geneva, Switzerland",On-site,Internship,"C, Ci/Cd, Go, Java, Jenkins, Playwright, Test Automation","Nosql, Consultant, Confluence, Devops, R, Jira, Agile, Mongodb, Junit, Openshift",English,Consultant,,Recent,https://ch.linkedin.com/jobs/view/ing%C3%A9nieur-tests-ing%C3%A9nieure-tests-at-qim-info-4403745789,2026-05-18T13:52:40.151880+00:00
14,Testingenieur | Switzerland,linkedin,Senior Test Engineer,adesso Schweiz AG,"Lausanne, Vaud, Switzerland",On-site,Full-time,,"Senior, R",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-engineer-at-adesso-schweiz-ag-4412759610,2026-05-18T13:52:40.152180+00:00
14,Testingenieur | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Slovakia,"Prievidza, Trenciansky, Slovakia",On-site,Contract,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-slovakia-4402472552,2026-05-18T13:52:44.887533+00:00
14,Testingenieur | Czech Republic,linkedin,Design Engineer,duvo.ai,Dominican Republic,Remote,Internship,"Ai Agents, Can, Go, Typescript","Gcp, Head Of, Lead, React",English,Lead,,Recent,https://do.linkedin.com/jobs/view/design-engineer-at-duvo-ai-4414523914,2026-05-18T13:52:47.226165+00:00
14,Testingenieur | Poland,linkedin,Junior Test Engineer,GRYFTEC Embedded Systems Sp. z o.o.,"Szczecin, Zachodniopomorskie, Poland",On-site,Contract,"C, Embedded Systems, Python","Graduate, Junior",English,Test Manager,,Recent,https://pl.linkedin.com/jobs/view/junior-test-engineer-at-gryftec-embedded-systems-sp-z-o-o-4404338934,2026-05-18T13:52:49.644063+00:00
