relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Kubernetes, Postgresql, Mongodb, Microservices, Senior, Spring Boot",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-19T10:47:45.896903+00:00
14,Python Test | Germany,hays,Senior Project Manager Clinical Supply Systems (m/w/d),Hays Client,Großraum Ludwigshafen,On-site,Contract,,"Project Manager, Senior, R",German,Senior,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-project-manager-clinical-supply-systems-grossraum-ludwigshafen-800659/1,2026-02-19T10:49:55.201574+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,Senior,German,Senior,,18.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-833642/1,2026-02-19T10:49:55.203332+00:00
0,Tester | Germany,hays,Qualitätsingenieur für Safety Master Projekt (m/w/d),Hays Client,Neuhausen a.d.F:,On-site,Contract,,R,German,,,19.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetsingenieur-fuer-safety-master-projekt-neuhausen-adf--861977/1,2026-02-19T10:47:14.229042+00:00
0,Tester | Germany,hays,Scrum Master (m/w/d),Hays Client,Hamburg/Remote,Remote,Contract,,"Agile, R, Scrum, Safe, Scrum Master",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-scrum-master-hamburg-remote-861597/1,2026-02-19T10:47:14.229345+00:00
0,Tester | Germany,hays,Quality Assurance Tester (m/w/d),Hays Client,Bayern,On-site,Contract,,R,German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-assurance-tester-bayern-861542/1,2026-02-19T10:47:14.229635+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-02-19T10:47:14.229899+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-02-19T10:47:14.230165+00:00
0,Tester | Germany,hays,Biocomp Manager (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-biocomp-manager-schleswig-holstein-860740/1,2026-02-19T10:47:14.230418+00:00
0,Tester | Germany,hays,Tester Einführung TAP (m/w/d),Hays Client,remote,Remote,Contract,,,German,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-tester-einfuehrung-tap-remote-859990/1,2026-02-19T10:47:14.230688+00:00
0,Tester | Germany,hays,Inbetriebnehmer (m/w/d),Hays Client,Guxhagen,On-site,Contract,,,German,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-inbetriebnehmer-guxhagen-859882/1,2026-02-19T10:47:14.230942+00:00
0,Tester | Germany,hays,OBD Systemvalidierung (m/w/d),Hays Client,Affalterbach,On-site,Contract,Hil,R,German,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-obd-systemvalidierung-affalterbach-859849/1,2026-02-19T10:47:14.231200+00:00
0,Tester | Germany,hays,Softwareentwickler/ eBike System-Tests  (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,29.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler--ebike-system-tests--reutlingen-857277/1,2026-02-19T10:47:14.231451+00:00
0,Tester | Germany,hays,Embedded Python Tester (m/w/d),Hays Client,München/Stuttgart,On-site,Contract,Python,,German,,,28.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-python-tester-muenchen-stuttgart-859116/1,2026-02-19T10:47:14.231711+00:00
0,Tester | Germany,hays,Test Engineer/Operator Dynamic Safety Testing (m/w/d),Hays Client,Oberding,On-site,Contract,,R,German,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-operator-dynamic-safety-testing-oberding-856344/1,2026-02-19T10:47:14.231957+00:00
0,Tester | Germany,hays,Software Developer/Tester C++ (m/w/d),Hays Client,Wedel,On-site,Contract,"C, C++",,German,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-developer-tester-c-wedel-856479/1,2026-02-19T10:47:14.232204+00:00
0,Tester | Germany,hays,Elektroingenieur für Fahrzeugtechnik für Premium-Automobilhersteller (m/w/d),Hays Client,Ludwigsfelde,Remote,Contract,Hil,R,German,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektroingenieur-fuer-fahrzeugtechnik-fuer-premium-automobilhersteller-ludwigsfelde-855681/1,2026-02-19T10:47:14.232456+00:00
0,Tester | Germany,hays,SAP Test- und Prozessingenieur (m/w/d),Hays Client,Markkleeberg/Halle (Saale)/Chemnitz,On-site,Contract,,"Confluence, R",German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sap-test--und-prozessingenieur-markkleeberg-halle-saale-chemnitz-851305/1,2026-02-19T10:47:14.232761+00:00
0,Tester | Germany,hays,Field Application Engineer - WIFI Specialist  (m/w/d),Hays Client,Darmstadt,On-site,Contract,,,German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-field-application-engineer-wifi-specialist--darmstadt-849795/1,2026-02-19T10:47:14.233017+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Sil",Mil,German,,,21.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-02-19T10:47:14.233264+00:00
0,Tester | Germany,hays,IT-Lager- und Asset Management Spezialist (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-lager--und-asset-management-spezialist-berlin-837799/1,2026-02-19T10:47:14.233521+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Chemnitz,On-site,Contract,"Hil, Sil",Mil,German,,,29.08.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-chemnitz-837859/1,2026-02-19T10:47:14.233793+00:00
0,Tester | Germany,hays,Sachbearbeiter in der Wertpapierbesteuerung (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,R,German,,,15.08.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sachbearbeiter-in-der-wertpapierbesteuerung-frankfurt-am-main-835583/1,2026-02-19T10:47:14.234042+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Docker, Git, Devops, Angular, Spring Boot, Intern",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-02-19T10:47:45.896325+00:00
0,QA Engineer | Germany,hays,Product Quality Engineer QC (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-quality-engineer-qc-zug-856384/1,2026-02-19T10:47:45.897167+00:00
0,QA Engineer | Germany,hays,KI-Machbarkeits- & Prompt Engineer – Generative Bild & Video (m/w/d),Hays Client,Remote,Remote,Contract,Go,R,German,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ki-machbarkeits--prompt-engineer--generative-bild-video-remote-855004/1,2026-02-19T10:47:45.897425+00:00
0,QA Engineer | Germany,hays,Chief Chemical Engineer / Manager (m/f/d),Hays Client,Denmark,On-site,Contract,,,English,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-chief-chemical-engineer-manager-denmark-855248/1,2026-02-19T10:47:45.897714+00:00
0,QA Engineer | Germany,hays,DevOps Engineer / Data Engineer for Data Platform Solutions  (m/w/d),Hays Client,Poing,On-site,Contract,,"Devops, R",German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-data-engineer-for-data-platform-solutions--poing-852646/1,2026-02-19T10:47:45.898218+00:00
0,QA Engineer | Germany,hays,Qualitätssicherung / QS (m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,German,,,18.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherung-qs-hochtaunuskreis-836345/1,2026-02-19T10:47:45.898726+00:00
0,Test Engineer | Germany,hays,IT System Engineer  (m/w/d),Hays Client,Siesdorf,Remote,Contract,,,German,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-system-engineer--siesdorf-859011/1,2026-02-19T10:48:10.687182+00:00
0,Test Engineer | Germany,hays,Test Engineer (m/w/d),Hays Client,"Hennigsdorf, Salzgitter",On-site,Contract,,R,German,,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-hennigsdorf-salzgitter-859796/1,2026-02-19T10:48:10.687441+00:00
0,Test Engineer | Germany,hays,Supplier Quality Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,,,German,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-quality-engineer-berlin-855096/1,2026-02-19T10:48:10.687973+00:00
0,Test Engineer | Germany,hays,IT Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Ansible, Kubernetes",German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-02-19T10:48:10.688221+00:00
0,Test Engineer | Germany,hays,Industrial Engineer (m/w/d),Hays Client,Stuttgart,On-site,Contract,,,German,,,11.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-industrial-engineer-stuttgart-852431/1,2026-02-19T10:48:10.688467+00:00
0,Test Engineer | Germany,hays,Software Engineer DSL / JetBrainsMPS (m/w/d),Hays Client,Nürnberg,On-site,Contract,,,German,,,08.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-dsl-jetbrainsmps-nuernberg-835102/1,2026-02-19T10:48:10.688740+00:00
0,Test Engineer | Germany,hays,Test Automation Engineer (m/w/d),Hays Client,Dresden,On-site,Contract,"Ci/Cd, Test Automation",R,German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-dresden-852634/1,2026-02-19T10:48:10.689246+00:00
0,Test Engineer | Germany,hays,Security Engineer in Kiel  (m/w/d),Hays Client,Security Engineer,On-site,Contract,,"Associate, R",German,,,28.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-engineer-in-kiel--security-engineer-846610/1,2026-02-19T10:48:10.689765+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,20.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-850318/1,2026-02-19T10:48:10.690012+00:00
0,Test Engineer | Germany,hays,Supplier Development Engineer (m/w/d),Hays Client,Kirchheim/Teck-Nabern,On-site,Contract,,,German,,,13.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-development-engineer-kirchheim-teck-nabern-833175/1,2026-02-19T10:48:10.690263+00:00
0,Test Engineer | Germany,hays,Quality Engineer (m/w/d),Hays Client,Ludwigshafen,On-site,Contract,,R,German,,,24.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-engineer-ludwigshafen-845961/1,2026-02-19T10:48:10.690522+00:00
0,Test Engineer | Germany,hays,Software Test Engineer (m/w/d),Hays Client,Bremen,On-site,Contract,,,German,,,16.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer-bremen-821066/1,2026-02-19T10:48:10.691329+00:00
0,Test Engineer | Germany,hays,Test & Commissing Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,08.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-commissing-engineer-berlin-838993/1,2026-02-19T10:48:10.691576+00:00
0,Test Engineer | Austria,hays,System Engineer Mainframe (m/w/d),Hays Client,"Karlsruhe, München, Münster oder Remote",Remote,Contract,,R,German,,,01.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-mainframe-karlsruhe-muenchen-muenster-oder-remote-835149/1,2026-02-19T10:48:16.310192+00:00
0,Test Engineer | Austria,hays,Hardware Engineer (m/w/d),Hays Client,Lippstadt,On-site,Contract,,R,German,,,25.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-engineer-lippstadt-827402/1,2026-02-19T10:48:16.310986+00:00
0,Testingenieur | Germany,hays,Testingenieur IMU (m/w/d),Hays Client,Kusterdingen,On-site,Contract,,R,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-imu-kusterdingen-859228/1,2026-02-19T10:48:37.656499+00:00
0,Testingenieur | Germany,hays,Prüfer Elektrotechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,,German,,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pruefer-elektrotechnik-frankfurt-am-main-858287/1,2026-02-19T10:48:37.656798+00:00
0,Testingenieur | Germany,hays,Ingenieur Testing (m/w/d),Hays Client,Laupheim,On-site,Contract,,,German,,,14.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-testing-laupheim-856784/1,2026-02-19T10:48:37.657055+00:00
0,Testingenieur | Germany,hays,Entwicklungsingenieur (m/w/d),Hays Client,Ulm,On-site,Contract,,,German,,,21.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-ulm-849555/1,2026-02-19T10:48:37.657309+00:00
0,Test Automation | Germany,hays,Softwareentwickler für Maschinensteuerungen (m/w/d),Hays Client,Chemnitz,On-site,Contract,,R,German,,,16.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-fuer-maschinensteuerungen-chemnitz-861923/1,2026-02-19T10:49:02.292771+00:00
0,Test Automation | Germany,hays,Validation & Qualification Engineer – IT/OT Robotics (m/w/d),Hays Client,Mannheim,On-site,Contract,,R,German,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-qualification-engineer--it-ot-robotics-mannheim-858088/1,2026-02-19T10:49:02.293365+00:00
0,Test Automation | Germany,hays,IT Engineer (m/w/d),Hays Client,Nürnberg,On-site,Contract,,"Ansible, Kubernetes",German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-nuernberg-854391/1,2026-02-19T10:49:02.294137+00:00
0,Test Automation | Germany,hays,Teamlead Quality Assurance  (m/w/d),Hays Client,Hamburg,On-site,Contract,,R,German,,,15.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-quality-assurance--hamburg-854242/1,2026-02-19T10:49:02.294653+00:00
0,Test Automation | Germany,hays,Teamlead QA  (m/w/d),Hays Client,Dortmund,On-site,Contract,,R,German,,,09.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-qa--dortmund-853539/1,2026-02-19T10:49:02.294912+00:00
0,Test Automation | Germany,hays,Entwicklungsingenieur (m/w/d) ASIC-Charakterisierung (m/w/d),Hays Client,Duisburg,On-site,Contract,Python,"Matlab, R",German,,,26.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-asic-charakterisierung-duisburg-851288/1,2026-02-19T10:49:02.295685+00:00
0,Test Automation | Germany,hays,Design Engineer (m/w/d),Hays Client,Leipzig,On-site,Contract,,,German,,,19.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-design-engineer-leipzig-849855/1,2026-02-19T10:49:02.295941+00:00
0,Test Automation | Germany,hays,Labormitarbeiter (m/w/d),Hays Client,Großraum Ludwigshafen,On-site,Contract,,"Gcp, R",German,,,09.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-labormitarbeiter-grossraum-ludwigshafen-731654/1,2026-02-19T10:49:02.296950+00:00
0,Test Automation | Germany,hays,IT Service Operations Manager (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Intern, R",German,,,17.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-service-operations-manager-frankfurt-am-main-840199/1,2026-02-19T10:49:02.297443+00:00
0,Test Automation | Germany,hays,Energieanlagenelektroniker/ Elektroniker für Betriebstechnik (m/w/d),Hays Client,Krefeld,On-site,Contract,,R,German,,,08.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energieanlagenelektroniker--elektroniker-fuer-betriebstechnik-krefeld-835007/1,2026-02-19T10:49:02.297707+00:00
0,Test Automation | Remote,hays,Finance Process Specialist (m/w/d),Hays Client,Fellbach,On-site,Contract,,R,German,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-finance-process-specialist-fellbach-850217/1,2026-02-19T10:49:25.366332+00:00
0,Python Developer | Germany,hays,Python Developer (m/w/d),Hays Client,Wien,On-site,Contract,Python,,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-python-developer-wien-859526/1,2026-02-19T10:49:29.946867+00:00
0,Python Developer | Germany,hays,Frontend Entwickler  (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-frontend-entwickler--duesseldorf-854809/1,2026-02-19T10:49:29.947129+00:00
0,Python Developer | Germany,hays,Softwareentwickler (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-duesseldorf-851846/1,2026-02-19T10:49:29.947382+00:00
0,Python Developer | Germany,hays,Fullstack Developer (m/w/d),Hays Client,Dresden,On-site,Contract,,"Product Owner, R",German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-developer-dresden-854294/1,2026-02-19T10:49:29.947649+00:00
0,Python Developer | Germany,hays,Energie Trading Developer (Nearshore) (m/f/d),Hays Client,remote,Remote,Contract,Can,,English,,,20.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energie-trading-developer-nearshore-remote-850232/1,2026-02-19T10:49:29.948154+00:00
0,Python Test | Germany,hays,System Ingenieur- Integration & Tests / Funkkommunikationssysteme / Rohde &Schwarz (m/w/d),Hays Client,Stuttgart,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-ingenieur--integration-tests-funkkommunikationssysteme-rohde--schwarz-stuttgart-860763/1,2026-02-19T10:49:55.198756+00:00
0,Python Test | Germany,hays,Software Ingenieur für das Labor (LabVIEW) (m/w/d),Hays Client,Raum Köln,On-site,Contract,Can,R,German,,,26.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-ingenieur-fuer-das-labor-labview-raum-koeln-858587/1,2026-02-19T10:49:55.199037+00:00
0,Python Test | Germany,hays,Entwicklungsingenieur Gesamtfahrzeugperformance Motorsport (m/w/d),Hays Client,Weissach,On-site,Contract,C,Data Science,German,,,22.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-gesamtfahrzeugperformance-motorsport-weissach-828561/1,2026-02-19T10:49:55.199296+00:00
0,Python Test | Germany,hays,DevOps Engineer (m/w/d),Hays Client,Dresden,On-site,Contract,Ci/Cd,"Devops, R",German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-dresden-854313/1,2026-02-19T10:49:55.199546+00:00
0,Python Test | Germany,hays,Credit Risk Specialist (m/w/d),Hays Client,Stuttgart,On-site,Contract,,R,German,,,17.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-credit-risk-specialist-stuttgart-849578/1,2026-02-19T10:49:55.201319+00:00
0,Python Test | Germany,hays,Softwareentwickler Interface (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,31.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-interface-schleswig-holstein-846864/1,2026-02-19T10:49:55.202333+00:00
0,Python Test | Germany,hays,Ingenieur Elektrotechnik Schwerpunkt Automatisierung (m/w/d),Hays Client,Hessen,On-site,Contract,,R,German,,,29.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-elektrotechnik-schwerpunkt-automatisierung-hessen-846480/1,2026-02-19T10:49:55.202576+00:00
0,Python Test | Germany,hays,Datenbankadministrator (m/w/d),Hays Client,Kirchdorf,On-site,Contract,"C, Java, Python","Postgresql, Sql, C#, Golang, Mysql",German,,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-datenbankadministrator-kirchdorf-840171/1,2026-02-19T10:49:55.202836+00:00
0,Python Test | Germany,hays,Energy Trader  (m/w/d),Hays Client,Bremerhaven,Hybrid,Contract,,,German,,,22.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trader--bremerhaven-840947/1,2026-02-19T10:49:55.203088+00:00
0,Firmware Engineer | Germany,hays,Hardware Design Engineer (m/w/d),Hays Client,Nürnberg,On-site,Contract,Firmware,R,German,,,04.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-design-engineer-nuernberg-859548/1,2026-02-19T10:50:25.349893+00:00
