relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,On-site,Freelance,"C, C++, Can, Python","Aspice, Agile, Autosar, R, Scrum, Freelancer, Safe",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-04-06T11:18:05.838722+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-06T11:14:57.060015+00:00
0,Test Engineer | Germany,solcom,Test Ana­lyst & Au­to­ma­ti­on En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-analyst-automation-engineer-m-w-d-1014661,2026-04-06T11:14:57.060246+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Go,"R, Azure",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-application-developer-m-w-d-105146,2026-04-06T11:14:57.060442+00:00
0,Test Engineer | Germany,solcom,Se­ni­or AV (Audio Vi­su­al) De­li­ve­ry Spe­cia­list (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-04-06T11:14:57.060853+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/anforderungsmanager-doors-m-w-d-104967,2026-04-06T11:14:57.061088+00:00
0,Test Engineer | Germany,solcom,Pro­jekt­ma­na­ger für Pro­dukt­ent­wick­lung mit Schwer­punkt Wind­kraft­an­la­gen (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-04-06T11:14:57.061299+00:00
0,Test Engineer | Germany,solcom,Java Test En­gi­neer (m/w/d),SOLCOM Client,"D7, Remote",Remote,Freelance,Java,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-04-06T11:14:57.061695+00:00
0,Test Automation | Germany,solcom,FPGA Ex­per­te (m/w/d),SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,,Fpga,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-06T11:17:05.659449+00:00
0,Test Automation | Germany,solcom,Elek­tro­nik-In­ge­nieur La­bor­au­to­ma­ti­on (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-06T11:17:05.659684+00:00
0,Test Automation | Germany,solcom,Se­ni­or Power Plat­form / In­te­gra­ti­on De­ve­l­oper (m/w/d),SOLCOM Client,keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-04-06T11:17:05.659788+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-04-06T11:17:05.659887+00:00
0,Python Developer | Germany,solcom,De­ve­l­oper/Con­sul­tant Mi­croSt­ra­te­gy BI (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/developer-consultant-microstrategy-bi-m-w-d-104926,2026-04-06T11:18:05.838593+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Docker, Gitlab, R, Devops, Node.Js, Gitlab Ci, Safe",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-04-06T11:19:09.558596+00:00
