relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,"C, Hil","C#, R, Jira, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-testingenieur-m-w-d-105449,2026-05-21T13:00:06.874533+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/netzwerk-ingenieur-windpark-controller-scada-m-w-d-105945,2026-05-21T13:02:10.832973+00:00
0,Test Engineer | Germany,solcom,Re­qui­re­ment En­gi­neer / Prüf­spe­zi­fi­ka­tio­nen (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineer-pruefspezifikationen-m-w-d-1014854,2026-05-21T13:02:10.833132+00:00
0,Test Engineer | Germany,solcom,Com­mis­sio­ning of bio­gas plants (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/commissioning-of-biogas-plants-m-w-d-105822,2026-05-21T13:02:10.833283+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,"Can, I2C, Shell, Uart","Express, Confluence, Jira, Soc",English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-105774,2026-05-21T13:02:10.833436+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Braunschweig / Remote,Remote,Freelance,Javascript,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/spezialist-fuer-adobe-acroba-m-w-d-1014770,2026-05-21T13:02:10.833573+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-05-21T13:02:10.833754+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-3-person-en-m-w-d-105657,2026-05-21T13:02:10.833905+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pid-control-engineer-m-w-d-105468,2026-05-21T13:02:10.834205+00:00
0,Test Engineer | Germany,solcom,Net­work En­gi­neer im Be­reich Ac­cess und CPE (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-05-21T13:02:10.834352+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D2, Bremen",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-105841,2026-05-21T13:03:16.708140+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur - Em­bed­ded Sys­te­me (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-embedded-systeme-m-w-d-1014771,2026-05-21T13:03:16.708255+00:00
