relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,Expert,German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-16T11:22:33.072747+00:00
0,Test Engineer | Germany,solcom,Test-En­gi­neer Fly­ing Probe / ICT (m/w/d),SOLCOM Client,CH,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-04-16T11:20:30.729350+00:00
0,Test Engineer | Germany,solcom,Pro­ject Qua­li­ty En­gi­neer (Hard­ware / Soft­ware) - 50% Aus­las­tung (m/w/d),SOLCOM Client,"D9, & Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-16T11:20:30.729852+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Stuttgart",Remote,Freelance,,"R, Safe, Iso 26262",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/functional-safety-engineer-automotive-m-w-d-105215,2026-04-16T11:20:30.730060+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-16T11:20:30.730380+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Playwright, Pytest, Selenium, Test Automation","Gitlab Ci, Postman, Associate, R, Cypress, Gitlab",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-analyst-automation-engineer-m-w-d-1014661,2026-04-16T11:20:30.730538+00:00
0,Test Engineer | Germany,solcom,Se­ni­or AV (Audio Vi­su­al) De­li­ve­ry Spe­cia­list (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-04-16T11:20:30.731083+00:00
0,Test Engineer | Germany,solcom,Pro­jekt­ma­na­ger für Pro­dukt­ent­wick­lung mit Schwer­punkt Wind­kraft­an­la­gen (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-04-16T11:20:30.731271+00:00
0,Testingenieur | Germany,solcom,Ve­ri­fi­ka­ti­ons­in­ge­nieur (m/w/d),SOLCOM Client,"D7, GR Freiburg im Breisgau",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikationsingenieur-m-w-d-105283,2026-04-16T11:21:33.677823+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,"Python, Test Automation","Vhdl, Azure, Associate, R, Fpga, Devops",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-16T11:22:33.072552+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Gitlab Ci, Devops, Safe, R, Gitlab, Node.Js, Docker",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-04-16T11:24:36.009349+00:00
