relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, München",Remote,Freelance,,"Freelancer, Senior, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-15T10:35:35.624426+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, Meiningen/Pfersdorf",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-15T10:35:35.624312+00:00
0,Tester | Germany,solcom,Prü­fer zur QA/QC-Un­ter­stüt­zung (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pruefer-zur-qa-qc-unterstuetzung-m-w-d-104151,2026-02-15T10:35:35.624532+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Darmstadt",Remote,Freelance,,"Azure, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lab-equipment-integration-consulting-and-implementation-m-w-d-104094,2026-02-15T10:35:35.624773+00:00
0,Tester | Germany,solcom,CE-Ko­or­di­na­tor (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ce-koordinator-m-w-d-104059,2026-02-15T10:35:35.624980+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-spezialtiefbau-m-w-d-103970,2026-02-15T10:35:35.625078+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote",Remote,Freelance,,"Jira, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-testmanager-fuer-eine-s-4-hana-migration-m-w-d-103563,2026-02-15T10:35:35.625463+00:00
0,QA Engineer | Germany,solcom,Qua­li­ty Ma­na­ger - Ma­ri­ne / Schiff­bau (m/w/d),SOLCOM Client,"D2, GR Bremen",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/quality-manager-marine-schiffbau-m-w-d-103733,2026-02-15T10:36:37.746588+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Em­bed­ded Com­mu­ni­ca­ti­ons En­gi­neer (C/C++ / ARM/FPGA) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,"Arm, C, C++",Fpga,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-communications-engineer-c-c-arm-fpga-m-w-d-104265,2026-02-15T10:37:39.459052+00:00
0,Test Engineer | Germany,solcom,Sys­tem­ver­ant­wort­li­cher- Ma­ri­ti­me Sub­sys­te­me - Werft­um­feld (Na­vi­ga­ti­on/Kom­mu­ni­ka­ti­on/Com­bat) (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-15T10:37:39.459560+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"Can, System Testing, Test Automation","Canoe, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-15T10:37:39.460008+00:00
0,Test Engineer | Germany,solcom,Re­si­dent En­gi­neer (Teil­zeit/part time 80%) (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-15T10:37:39.460241+00:00
0,Test Engineer | Germany,solcom,HPC Sys­tem/Soft­ware En­gi­neer (m/w/d),SOLCOM Client,"Remote, D4",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-15T10:37:39.460477+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-103885,2026-02-15T10:37:39.460917+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Stuttgart",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-104254,2026-02-15T10:38:40.735984+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,Deutschland,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-datenerfassungssoftware-fuer-pruefstaende-m-w-d-103986,2026-02-15T10:38:40.736150+00:00
0,Testingenieur | Germany,solcom,Soft­ware-/Sys­tem Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D8, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-15T10:38:40.736257+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler CI/CD Pipe­lines (Git­Lab) (m/w/d),SOLCOM Client,"D3, remote",Remote,Freelance,Ci/Cd,Git,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-ci-cd-pipelines-gitlab-m-w-d-104229,2026-02-15T10:41:39.476653+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Bodensee Region",Remote,Freelance,Python,"R, Linux",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/messtechnikingenieur-optik-m-w-d-104217,2026-02-15T10:41:39.476758+00:00
