relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Poland,linkedin,Quality Assurance Automation Engineer,Intellias,Poland,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-intellias-4413456323,2026-05-14T11:56:13.869730+00:00
14,QA Engineer | Austria,linkedin,Senior Quality Assurance Engineer,Bybit EU,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-bybit-eu-4408647231,2026-05-14T11:56:02.112006+00:00
14,QA Engineer | Austria,linkedin,Senior QA Automation Engineer,Jobgether,Austria,On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-automation-engineer-at-jobgether-4413505594,2026-05-14T11:56:02.112408+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Manual Engineer,Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413524177,2026-05-14T11:56:04.470538+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Software Engineer,Swissquote,"Gland, Vaud, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-software-engineer-at-swissquote-4405273698,2026-05-14T11:56:04.471753+00:00
14,QA Engineer | Remote,linkedin,Senior QA Manual Engineer,Jobgether,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413521286,2026-05-14T11:56:06.811013+00:00
14,QA Engineer | Remote,linkedin,Senior QA Automation Engineer,Jobgether,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-automation-engineer-at-jobgether-4413502689,2026-05-14T11:56:06.811286+00:00
14,QA Engineer | Remote,linkedin,Senior Quality Assurance Engineer,HiveMQ,"Berlin, Berlin, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-hivemq-4364406728,2026-05-14T11:56:06.811538+00:00
14,QA Engineer | Slovakia,linkedin,Senior Automation QA Engineer (Python),GoReel,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-automation-qa-engineer-python-at-goreel-4408845014,2026-05-14T11:56:09.149983+00:00
14,QA Engineer | Poland,linkedin,Sr QA Engineer (Manual Focus),Renesas Electronics,"Wrocław, Dolnośląskie, Poland",On-site,Contract,"Can, Jenkins","Git, Sql, Agile, Senior, Regression Testing, Postman",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/sr-qa-engineer-manual-focus-at-renesas-electronics-4407456681,2026-05-14T11:56:13.869132+00:00
14,QA Engineer | Poland,linkedin,Senior QA Tester / Future Deputy QA Lead - Space Engineers 2,Keen Software House,Poland,Hybrid,Contract,,"Lead, Senior, Regression Testing",English,"Lead, QA Lead, Senior",,Recent,https://pl.linkedin.com/jobs/view/senior-qa-tester-future-deputy-qa-lead-space-engineers-2-at-keen-software-house-4405689271,2026-05-14T11:56:13.869598+00:00
14,QA Engineer | Poland,linkedin,Senior QA Manual Engineer,Jobgether,Cracow Metropolitan Area,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413512652,2026-05-14T11:56:13.870000+00:00
14,QA Engineer | Poland,linkedin,Senior Mobile QA Engineer,payabl.,"Warsaw, Mazowieckie, Poland",Remote,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-mobile-qa-engineer-at-payabl-4402959462,2026-05-14T11:56:13.870263+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,Breakthrough Talent,"Greater Bristol Area, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-breakthrough-talent-4413561574,2026-05-14T11:56:18.644163+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Manual Engineer,Jobgether,United Kingdom,Remote,Contract,Integration Testing,"Sql, Jira, Confluence, Senior, Postman",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413517422,2026-05-14T11:56:18.644447+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Indra Group UK & Ireland,"Market Deeping, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-indra-group-uk-ireland-4395293172,2026-05-14T11:56:18.644849+00:00
14,QA Engineer | United Kingdom,linkedin,Staff QA Engineer,Matillion,"Manchester, England, United Kingdom",On-site,Full-time,,Staff,English,Staff,,Recent,https://uk.linkedin.com/jobs/view/staff-qa-engineer-at-matillion-4401769212,2026-05-14T11:56:18.645115+00:00
14,Testingenieur | Austria,linkedin,SPS-Programmierer:in PRO-SENIOR,MECHATRONIK AUSTRIA,"Saalfelden, Salzburg, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/sps-programmierer-in-pro-senior-at-mechatronik-austria-4406064530,2026-05-14T11:56:46.070469+00:00
14,Testingenieur | Switzerland,linkedin,Senior Testingenieur:in,Coopers Group AG,"Bern, Berne, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-testingenieur-in-at-coopers-group-ag-4413044212,2026-05-14T11:56:49.966702+00:00
14,Testingenieur | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Slovakia,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-slovakia-4402472552,2026-05-14T11:56:54.686877+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer,CSafe,"Long Crendon, England, United Kingdom",On-site,Full-time,,"Lead, Assembly",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-csafe-4410726362,2026-05-14T11:57:04.673020+00:00
14,Testingenieur | United Kingdom,linkedin,Test Lead,NHS Scotland,"Tan Office, England, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-lead-at-nhs-scotland-4414160522,2026-05-14T11:57:04.673804+00:00
14,Test Automation | Germany,linkedin,QA Field Testing Lead,1GLOBAL,"Berlin, Berlin, Germany",Remote,Internship,Can,"Lead, Senior, R",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/qa-field-testing-lead-at-1global-4404790875,2026-05-14T11:57:07.121576+00:00
14,Test Automation | Germany,linkedin,Senior Mobile Test Automation Engineer,Bragi,Germany,Remote,Contract,"Can, Ci/Cd, Firmware, Pytest, Python, Test Automation","Gitlab, Senior, Gitlab Ci, Appium, Aws",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-mobile-test-automation-engineer-at-bragi-4410620231,2026-05-14T11:57:07.122123+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",Remote,Contract,"Can, Ci/Cd, Github Actions, Go, Java, Playwright, Python, Selenium, Test Automation, Typescript","Git, Github, Agile, Senior, Datadog, Cypress, Kotlin",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4408875755,2026-05-14T11:57:07.122378+00:00
14,Test Automation | Germany,linkedin,Test Automation Specialist,microTECH Global LTD,"Bavaria, Germany",Remote,Contract,"C, C++, Can, Microcontroller, Python, Test Automation","Git, Expert, Contractor, Jira, Freelancer, Senior",English,"Contractor, Expert, Freelancer, Senior",,Recent,https://de.linkedin.com/jobs/view/test-automation-specialist-at-microtech-global-ltd-4411609460,2026-05-14T11:57:07.122507+00:00
14,Test Automation | Austria,linkedin,Test Automation Engineer (d/w/m),EBCONT,"Vienna, Vienna, Austria",Remote,Full-time,"C, Java, Python, Selenium, Test Automation","Associate, Kanban, Consultant, Senior, Scrum, R, Devops, C#, Junior",German,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-d-w-m-at-ebcont-4410477698,2026-05-14T11:57:09.468448+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Engineer,Xsensio,"Lausanne, Vaud, Switzerland",On-site,Contract,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-engineer-at-xsensio-4411412873,2026-05-14T11:57:11.826198+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Sixsentix,"Zurich, Switzerland",On-site,Contract,Can,"Consultant, Agile, Expert",English,"Consultant, Expert, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-sixsentix-4392279589,2026-05-14T11:57:11.826366+00:00
14,Test Automation | Switzerland,linkedin,Senior QA Automation Engineer,Jobgether,Switzerland,Remote,Contract,"Integration Testing, Java","Sql, Jira, Confluence, Senior, Manual Testing, Postman",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-automation-engineer-at-jobgether-4413502691,2026-05-14T11:57:11.826629+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Qim info,"Bern, Berne, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-qim-info-4408183628,2026-05-14T11:57:11.827299+00:00
14,Test Automation | Remote,linkedin,Senior Quality Assurance Automation Engineer,teamative,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-automation-engineer-at-teamative-4404066700,2026-05-14T11:57:14.245287+00:00
14,Test Automation | Remote,linkedin,(Senior) Software Quality Engineer (f/x/m) in Tech & Data Team,Thomann.io,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-quality-engineer-f-x-m-in-tech-data-team-at-thomann-io-4413992169,2026-05-14T11:57:14.245672+00:00
14,Test Automation | Remote,linkedin,Testmanager:in,CPU Softwarehouse AG,Germany,Remote,Full-time,,,English,Test Manager,,Recent,https://de.linkedin.com/jobs/view/testmanager-in-at-cpu-softwarehouse-ag-4410986561,2026-05-14T11:57:14.245805+00:00
14,Test Automation | Slovakia,linkedin,Test Manager,Bencor s.r.o.,Bratislava Metropolitan Area,On-site,Full-time,,R,English,Test Manager,,Recent,https://sk.linkedin.com/jobs/view/test-manager-at-bencor-s-r-o-4408401409,2026-05-14T11:57:16.664915+00:00
14,Test Automation | Slovakia,linkedin,Senior Mobile Engineer (Flutter + iOS),N-iX,Slovakia,Remote,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-mobile-engineer-flutter-%2B-ios-at-n-ix-4413549873,2026-05-14T11:57:16.665916+00:00
14,Test Automation | Slovakia,linkedin,Automation Test Lead,Ampstek,"Bratislava, Slovakia",On-site,Full-time,,Lead,English,Lead,,Recent,https://sk.linkedin.com/jobs/view/automation-test-lead-at-ampstek-4407368844,2026-05-14T11:57:16.666066+00:00
14,Test Automation | Czech Republic,linkedin,Senior QA Automation  - Advertising,Truelogic Software,Dominican Republic,Remote,Contract,"Ci/Cd, Java, Javascript, Playwright, Python, Robot Framework, Selenium, System Testing, Typescript","Jira, Senior, Regression Testing, Manual Testing, Confluence, Agile, Cypress, Staff, Php, Performance Testing",English,"Lead, Senior, Staff",,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-advertising-at-truelogic-software-4410341221,2026-05-14T11:57:19.059437+00:00
14,Test Automation | Czech Republic,linkedin,"Senior Quality Manager / LA VEGA, DR.",Champro,"La Vega, La Vega, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-quality-manager-la-vega-dr-at-champro-4407851794,2026-05-14T11:57:19.059723+00:00
14,Test Automation | Czech Republic,linkedin,Quality Assurance Senior,Grupo Ramos,"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-senior-at-grupo-ramos-4404109408,2026-05-14T11:57:19.060267+00:00
14,Test Automation | Czech Republic,linkedin,Senior SDET,Encora Inc.,"Santo Domingo Este, Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-encora-inc-4409064327,2026-05-14T11:57:19.060393+00:00
14,Test Automation | Poland,linkedin,Senior Quality Assurance Engineer,Webellian,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-webellian-4403748470,2026-05-14T11:57:21.433911+00:00
14,Test Automation | USA,linkedin,"Senior Engineer, Test and Automation (Remote, US)",Renew Home,United States,Remote,Internship,"Ci/Cd, Github Actions, Llm, Playwright, Pytest, Python, Selenium, Test Automation, Typescript","Postgresql, Github, Sql, React, Senior, Fastapi, Gcp, Aws",English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-engineer-test-and-automation-remote-us-at-renew-home-4411807318,2026-05-14T11:57:24.023373+00:00
14,Test Automation | USA,linkedin,QA Automation Lead,The Value Maximizer,"New York, NY",On-site,Full-time,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-automation-lead-at-the-value-maximizer-4410069189,2026-05-14T11:57:24.024281+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager - Public Sector,KPMG UK,"London Area, United Kingdom",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-public-sector-at-kpmg-uk-4403745457,2026-05-14T11:57:26.458997+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Tester - 12 Month FTC - UK Only (Remote/Hybrid/Brighton),eTAGZ,"Brighton, England, United Kingdom",Remote,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-tester-12-month-ftc-uk-only-remote-hybrid-brighton-at-etagz-4405102231,2026-05-14T11:57:26.459261+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager- Financial Services,KPMG UK,"London Area, United Kingdom",On-site,Contract,"Can, Test Automation","Expert, Senior, Director, Junior",English,"Expert, Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-financial-services-at-kpmg-uk-4407206674,2026-05-14T11:57:26.459396+00:00
14,Test Automation | United Kingdom,linkedin,Junior Quality Assurance Analyst,Crowe UK,"West Midlands, England, United Kingdom",On-site,Internship,Can,"Expert, Agile, Head Of, Junior",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/junior-quality-assurance-analyst-at-crowe-uk-4392768413,2026-05-14T11:57:26.459788+00:00
14,Python Developer | Germany,linkedin,Senior Python Engineer,Trust In SODA,"Berlin, Germany",Remote,Contract,Python,"Machine Learning, Senior, Fastapi, Docker",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-at-trust-in-soda-4413544028,2026-05-14T11:57:28.870029+00:00
14,Python Developer | Austria,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,Austria,On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4414229086,2026-05-14T11:57:31.213665+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer - Code Migration Specialist,Mindrift,Austria,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-code-migration-specialist-at-mindrift-4414206230,2026-05-14T11:57:31.214089+00:00
14,Python Developer | Austria,linkedin,Senior Backend Developer (m/f/d) - Python & Java,REWE International AG,"Vienna, Vienna, Austria",On-site,Internship,"Java, Python",Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-backend-developer-m-f-d-python-java-at-rewe-international-ag-4413029838,2026-05-14T11:57:31.214493+00:00
14,Python Developer | Austria,linkedin,Full Stack Engineer,JTM digital GmbH,"Vienna, Austria",Remote,Internship,"Ci/Cd, Java, Javascript, Typescript","Spring Boot, Microservices, Sql, React, Machine Learning, Consultant, Senior, R, Mlops, Hibernate",German,"Consultant, Senior",EUR,Recent,https://at.linkedin.com/jobs/view/full-stack-engineer-at-jtm-digital-gmbh-4403244170,2026-05-14T11:57:31.214620+00:00
14,Python Developer | Switzerland,linkedin,Python Game Developer (Panda3D) - Remote,YO IT Consulting,Switzerland,Remote,Contract,"C, C++, Python","Github, Expert, Agile",English,Expert,,Recent,https://ch.linkedin.com/jobs/view/python-game-developer-panda3d-remote-at-yo-it-consulting-4403361444,2026-05-14T11:57:33.605680+00:00
14,Python Developer | Switzerland,linkedin,Senior Frontend Software Engineer,Coopers Group AG,"Aargau, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-frontend-software-engineer-at-coopers-group-ag-4410170975,2026-05-14T11:57:33.605850+00:00
14,Python Developer | Switzerland,linkedin,Python Developer - Contractor,Nordwand Group - the IT & Finance Recruitment Company,"Zurich, Switzerland",On-site,Contract,Python,Contractor,English,Contractor,,Recent,https://ch.linkedin.com/jobs/view/python-developer-contractor-at-nordwand-group-the-it-finance-recruitment-company-4401619590,2026-05-14T11:57:33.606147+00:00
14,Python Developer | Switzerland,linkedin,Senior/Lead Backend Engineer (Remote),Fuse Energy,Switzerland,Remote,Full-time,,"Lead, Senior",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-lead-backend-engineer-remote-at-fuse-energy-4404833645,2026-05-14T11:57:33.606283+00:00
14,Python Developer | Switzerland,linkedin,Senior Full Stack Engineer (Remote),over99,"Fully, Valais, Switzerland",Remote,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-full-stack-engineer-remote-at-over99-4413425059,2026-05-14T11:57:33.606797+00:00
14,Python Developer | Switzerland,linkedin,Senior Backend Developer,Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-backend-developer-at-jobgether-4413523940,2026-05-14T11:57:33.606920+00:00
14,Python Developer | Remote,linkedin,Python Software Engineer,Mercor,"Berlin, Berlin, Germany",Remote,Contract,Python,"Contractor, Fastapi",English,Contractor,,Recent,https://de.linkedin.com/jobs/view/python-software-engineer-at-mercor-4403969380,2026-05-14T11:57:35.989313+00:00
14,Python Developer | Remote,linkedin,Python Game Developer (Panda3D) - Remote,YO IT Consulting,Germany,Remote,Contract,"C, C++, Python","Github, Expert, Agile",English,Expert,,Recent,https://de.linkedin.com/jobs/view/python-game-developer-panda3d-remote-at-yo-it-consulting-4403353541,2026-05-14T11:57:35.989569+00:00
14,Python Developer | Slovakia,linkedin,Python Software Developer,Nokia,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Generative Ai, Python","Git, Senior, R, Linux, Junior",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/python-software-developer-at-nokia-4289894545,2026-05-14T11:57:38.369738+00:00
14,Python Developer | Slovakia,linkedin,"AI Engineer – Python, GenAI & Machine Learning (m/f)",PwC Slovakia,"Košice, Kosice, Slovakia",Hybrid,Contract,"Can, Generative Ai, Nlp, Python","Lead, Data Science, Expert, Sql, Scikit-Learn, Machine Learning, Architect, Senior, Pandas, Computer Vision",English,"Architect, Expert, Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/ai-engineer-%E2%80%93-python-genai-machine-learning-m-f-at-pwc-slovakia-4328290382,2026-05-14T11:57:38.370470+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Data Scraping Engineer (Freelance),Mindrift,Slovakia,On-site,Contract,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-data-scraping-engineer-freelance-at-mindrift-4411168400,2026-05-14T11:57:38.370604+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,EPAM Systems,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-epam-systems-4288584951,2026-05-14T11:57:38.370878+00:00
14,Python Developer | Slovakia,linkedin,Software Engineer - Backend & Data (Eastern Europe),SPATE,Slovakia,Remote,Contract,"Can, Python","Data Science, Contractor, Sql, Pandas, Staff, Aws, Gcp, Azure",English,"Contractor, Staff",,Recent,https://sk.linkedin.com/jobs/view/software-engineer-backend-data-eastern-europe-at-spate-4413840911,2026-05-14T11:57:38.371030+00:00
14,Python Developer | Czech Republic,linkedin,Backend Python Developer (APIs & Integrations),Segadty,Dominican Republic,Remote,Internship,Python,"Postgresql, Github, Mysql, Architect, Aws",English,Architect,,Recent,https://do.linkedin.com/jobs/view/backend-python-developer-apis-integrations-at-segadty-4402614381,2026-05-14T11:57:40.755573+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Ocean Technologies Group,Poland,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-ocean-technologies-group-4413592113,2026-05-14T11:57:43.203506+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Berlin, Berlin, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4414227125,2026-05-14T11:57:57.823878+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Hamburg, Hamburg, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4414233006,2026-05-14T11:57:57.824198+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,"C, Java, Javascript, Playwright, Test Automation","Senior, Gcp, C#, Aws",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-05-14T11:58:02.728346+00:00
14,Python Test | USA,linkedin,Senior Manual QA Engineer,Seekr,"Austin, TX",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-seekr-4411638818,2026-05-14T11:58:07.738500+00:00
14,Python Test | USA,linkedin,Senior Manual QA Engineer,Seekr,"Reston, VA",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-manual-qa-engineer-at-seekr-4411643759,2026-05-14T11:58:07.738641+00:00
14,Python Test | USA,linkedin,Senior QA Manual Engineer,Jobgether,United States,On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-manual-engineer-at-jobgether-4413522234,2026-05-14T11:58:07.739298+00:00
14,Firmware Engineer | Germany,linkedin,Senior Firmware Engineer,STABL Energy,"Munich, Bavaria, Germany",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-firmware-engineer-at-stabl-energy-4410616408,2026-05-14T11:58:12.593704+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),Deutsche Telekom IT Solutions Slovakia,"Linz, Upper Austria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-deutsche-telekom-it-solutions-slovakia-4402515620,2026-05-14T11:58:14.917580+00:00
14,Firmware Engineer | Austria,linkedin,Senior Firmware Engineer (f/m/d),Easelink,"Graz, Styria, Austria",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-firmware-engineer-f-m-d-at-easelink-4406481314,2026-05-14T11:58:14.917849+00:00
