relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior Fullstack Entwickler (m/w/d) - Wertpapierhandel | Frankfurt | Befristete Festanstellung,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,25.08.2026,https://www.freelancermap.de/projekt/senior-fullstack-entwickler-m-w-d-wertpapierhandel-frankfurt-befristete-festanstellung-3039586,2026-09-10T14:33:55.155142+00:00
14,Tester | Germany,freelancermap,Freelancer für Finance (m/w/d) Fakturierung & Abrechnungsfehler,Freelancermap Client,München Deutschland,On-site,Freelance,,"R, Freelancer",English,Freelancer,,08.09.2026,https://www.freelancermap.de/projekt/freelancer-fuer-finance-m-w-d-fakturierung-und-abrechnungsfehler,2026-09-10T14:33:55.155418+00:00
0,Tester | Germany,freelancermap,UX/UI Designer für B2B-Webanwendung / SaaS gesucht,Freelancermap Client,Germany,On-site,Freelance,,R,English,,,08.09.2026,https://www.freelancermap.de/projekt/ux-ui-designer-fuer-b2b-webanwendung-saas-gesucht,2026-09-10T14:33:55.154920+00:00
0,Tester | Germany,freelancermap,Java Entwickler (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,Java,,English,,,08.09.2026,https://www.freelancermap.de/projekt/java-entwickler-m-w-d-3044983,2026-09-10T14:33:55.155044+00:00
0,Tester | Germany,freelancermap,"Projektleiter Inventur vor Ort – Scanning, Datenerfassung & Teamsteuerung",Freelancermap Client,Bundesweit Deutschland,On-site,Freelance,,Project Manager,English,,,08:06,https://www.freelancermap.de/projekt/projektleiter-inventur-vor-ort-scanning-datenerfassung-und-teamsteuerung,2026-09-10T14:33:55.155228+00:00
0,Tester | Germany,freelancermap,Finanzbuchhalter mit D365 F&O-Kenntnissen für Jahresabschluss gesucht,Freelancermap Client,54497 Morbach Deutschland,On-site,Freelance,,R,German,,,09.09.2026,https://www.freelancermap.de/projekt/finanzbuchhalter-mit-d365-f-und-o-kenntnissen-fuer-jahresabschluss-gesucht,2026-09-10T14:33:55.155318+00:00
0,Tester | Germany,freelancermap,DevOps Engineer (m/w/d) – Java EE / OpenShift / Kubernetes / Ansible,Freelancermap Client,Hannover Deutschland,On-site,Freelance,Java,"Openshift, Ansible, Devops, Kubernetes",English,,,08.09.2026,https://www.freelancermap.de/projekt/devops-engineer-m-w-d-java-ee-openshift-kubernetes-ansible,2026-09-10T14:33:55.155754+00:00
0,Tester | Germany,freelancermap,HSE Manager für Baustellenbetreuung im Großraum Berlin gesucht,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,R,English,,,14:32,https://www.freelancermap.de/projekt/hse-manager-fuer-baustellenbetreuung-im-grossraum-berlin-gesucht,2026-09-10T14:33:55.155909+00:00
0,Tester | Germany,freelancermap,HP NonStop DevOps Engineer (m/w/d) Remote / ZCTA238293,Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,Devops,English,,,14:24,https://www.freelancermap.de/projekt/hp-nonstop-devops-engineer-m-w-d-remote-zcta238293,2026-09-10T14:33:55.156294+00:00
0,Tester | Germany,freelancermap,DevOps & Release Automation Engineer (AWS/Linux) (m/w/d) Remote / ZCTA238294,Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,"Aws, Devops, Linux",English,,,14:24,https://www.freelancermap.de/projekt/devops-und-release-automation-engineer-aws-linux-m-w-d-remote-zcta238294,2026-09-10T14:33:55.156361+00:00
0,Tester | Germany,freelancermap,Bauleiter Wohnungsbau (m/w/d) 76-42970-KA-CO,Freelancermap Client,Rastatt Deutschland,On-site,Freelance,,,English,,,14:17,https://www.freelancermap.de/projekt/bauleiter-wohnungsbau-m-w-d-76-42970-ka-co,2026-09-10T14:33:55.156523+00:00
0,QA Engineer | Austria,freelancermap,PCS7 Automation Engineer (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,14:15,https://www.freelancermap.de/projekt/pcs7-automation-engineer-m-w-d,2026-09-10T14:35:21.153194+00:00
0,Python Developer | Remote,freelancermap,Projekt Manager Rollout Digitaler Arbeitsplatz (m/w/d) – AFRA-11031,Randstad Digital Germany AG,Frankfurt Deutschland,Remote,Freelance,Go,"Confluence, Jira, R",German,,,14:40,https://www.freelancermap.de/projekt/projekt-manager-rollout-digitaler-arbeitsplatz-m-w-d-afra-11031,2026-09-10T14:40:53.638767+00:00
