relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
0,Test Engineer | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,"Scrum, R, Intern, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/495223/system-test-engineer,2026-02-25T12:10:57.937481+00:00
0,Python Developer | Remote,freelance_de,Freelance // Frontend Developer // Drupal // 100% Remote,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256244-Freelance-Frontend-Developer-Drupal-100-Remote,2026-02-27T11:46:42.499105+00:00
0,Python Developer | Remote,freelance_de,Openstack Cinder & Manila Developer (w/m/d) - Remote,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256268-Openstack-Cinder-Manila-Developer-w-m-d-Remote,2026-02-27T11:46:42.499561+00:00
0,Python Developer | Remote,freelance_de,Magento Web Developer (w/m/d) Baden Württemberg / remote,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1244815-Magento-Web-Developer-w-m-d-Baden-Wuerttemberg-remote,2026-02-27T11:46:42.504864+00:00
14,Tester | Germany,xing,(Senior) Penetration Tester / Red Teamer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/garching-muenchen-senior-penetration-tester-red-teamer-151325751,2026-02-27T11:22:02.370724+00:00
14,Tester | Germany,xing,(Senior) Software-Testerin / Software-Tester (m/w/d) - Digitaler Behördenzugang,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/koeln-senior-software-testerin-software-tester-digitaler-behoerdenzugang-151386053,2026-02-27T11:22:02.371024+00:00
14,Tester | Austria,xing,Test Automation Architect (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Architect,English,Architect,,Recent,https://www.xing.com/jobs/wien-test-automation-architect-151373716,2026-02-27T11:22:16.504519+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-qa-engineer-151387110,2026-02-27T11:22:57.003173+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/essen-senior-qa-engineer-151373885,2026-02-27T11:22:57.003316+00:00
14,QA Engineer | Switzerland,xing,"Senior QA Specialist, DPS (Drug Product Services) 80-100% (f/m/d)",XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/visp-senior-qa-specialist-dps-drug-product-services-80-100-151342820,2026-02-27T11:23:24.844151+00:00
14,QA Engineer | Switzerland,xing,"Senior QA Specialist, Batch Release 80-100% (f/m/d)",XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/visp-senior-qa-specialist-batch-release-80-100-151348260,2026-02-27T11:23:24.844248+00:00
14,Testingenieur | Germany,xing,Senior Testingenieur*in Antriebstechnik (m//d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/augsburg-senior-testingenieur-antriebstechnik-151373799,2026-02-27T11:24:57.005897+00:00
14,Python Developer | Austria,xing,IT Systems Architect & Software Developer (d/m/f),XING Employer,Germany/Remote,Remote,Full-time,,Architect,English,Architect,,Recent,https://www.xing.com/jobs/premstaetten-bei-vasoldsberg-systems-architect-software-developer-151369068,2026-02-27T11:27:04.855734+00:00
14,Python Test | Germany,xing,(Senior-)Softwareentwickler Python (m/w/d) | DSIADI,XING Employer,Germany/Remote,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://www.xing.com/jobs/aschheim-senior-softwareentwickler-python-dsiadi-151377556,2026-02-27T11:27:47.751279+00:00
14,Python Test | Austria,xing,Principal Embedded Software Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,,Principal,English,Principal,,Recent,https://www.xing.com/jobs/gratkorn-principal-embedded-software-engineer-151373594,2026-02-27T11:28:02.140286+00:00
14,Python Test | Remote,xing,Senior Python Automation & DevOps Engineer (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,Python,"Devops, Senior",English,Senior,,Recent,https://www.xing.com/jobs/remote-deutschland-senior-python-automation-devops-engineer-151340283,2026-02-27T11:28:30.067172+00:00
14,Firmware Engineer | Switzerland,xing,Senior Cyber Security Engineer / PentesterIn,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/bern-senior-cyber-security-engineer-pentesterin-151371352,2026-02-27T11:29:15.442151+00:00
0,Tester | Germany,xing,QA Tester (Russian)*,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/frankfurt-main-qa-tester-russian-151367042,2026-02-27T11:22:02.370624+00:00
0,Tester | Germany,xing,UjV_Tester  (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/frankfurt-main-ujv-tester-151321202,2026-02-27T11:22:02.370808+00:00
0,Tester | Germany,xing,Werkstudent als Lokomotiven-Tester / Produkterfasser (m/w/d) für Online Shop,XING Employer,Germany/Remote,Remote,Full-time,,"R, Working Student",English,,,Recent,https://www.xing.com/jobs/viersen-werkstudent-lokomotiven-tester-produkterfasser-online-shop-151379225,2026-02-27T11:22:02.370882+00:00
0,Tester | Germany,xing,Software Tester,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-software-tester-151387112,2026-02-27T11:22:02.370957+00:00
0,Tester | Germany,xing,Software Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/ingolstadt-software-tester-151383501,2026-02-27T11:22:02.371086+00:00
0,Tester | Germany,xing,Software Tester (m/w/d) Verifikation Validierung,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/muenchen-software-tester-verifikation-validierung-151359263,2026-02-27T11:22:02.371170+00:00
0,Tester | Germany,xing,Junior Tester PKI Services (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Junior,English,,,Recent,https://www.xing.com/jobs/bonn-junior-tester-pki-services-151365278,2026-02-27T11:22:02.371236+00:00
0,Tester | Switzerland,xing,Test Engineer 80-100%,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/muri-guemligen-test-engineer-80-100-151323794,2026-02-27T11:22:30.003864+00:00
0,QA Engineer | Germany,xing,QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-qa-engineer-151387109,2026-02-27T11:22:57.003066+00:00
0,QA Engineer | Germany,xing,QA Specialist / QA Engineer - Freelanceship - 100% remote,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/hamburg-qa-specialist-qa-engineer-freelanceship-100-remote-151354326,2026-02-27T11:22:57.003247+00:00
0,QA Engineer | Germany,xing,Software Testautomatisierer / QA Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/niedernberg-software-testautomatisierer-qa-engineer-151351533,2026-02-27T11:22:57.003387+00:00
0,QA Engineer | Germany,xing,"QA Engineer (freelance contract, full-time)",XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-qa-engineer-freelance-contract-full-time-151358940,2026-02-27T11:22:57.003649+00:00
0,QA Engineer | Austria,xing,Supplier Quality Engineer:in,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/krems-donau-supplier-quality-engineer-151361614,2026-02-27T11:23:11.075233+00:00
0,QA Engineer | Austria,xing,Supplier Quality Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/krems-donau-supplier-quality-engineer-151372642,2026-02-27T11:23:11.075303+00:00
0,QA Engineer | Austria,xing,Supplier Quality Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/krems-donau-supplier-quality-engineer-151362984,2026-02-27T11:23:11.075369+00:00
0,QA Engineer | Switzerland,xing,QA Specialist - Pharma Complaints Quality Schaffhausen Save Saved,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/schaffhausen-qa-specialist-pharma-complaints-quality-schaffhausen-save-saved-151376844,2026-02-27T11:23:24.843847+00:00
0,QA Engineer | Switzerland,xing,"QA Specialist, Batch Record Review 80-100% (f/m/d)",XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/visp-qa-specialist-batch-record-review-80-100-151342819,2026-02-27T11:23:24.843948+00:00
0,QA Engineer | Switzerland,xing,QA Manager,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/kaiseraugst-qa-manager-151364640,2026-02-27T11:23:24.844040+00:00
0,QA Engineer | Switzerland,xing,Third Party Manufacturer and Technical Transfer QA Manager- EMEA,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/basel-party-manufacturer-technical-transfer-qa-manager-emea-151368214,2026-02-27T11:23:24.844337+00:00
0,QA Engineer | Switzerland,xing,Quality Engineer – Automotive (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/heerbrugg-quality-engineer-automotive-151399140,2026-02-27T11:23:24.844425+00:00
0,QA Engineer | Switzerland,xing,Quality Engineer – Automotive (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/heerbrugg-quality-engineer-automotive-151398830,2026-02-27T11:23:24.844517+00:00
0,Test Engineer | Germany,xing,Test Automation Engineer (m/w/d) Robot Framework,XING Employer,Germany/Remote,Remote,Full-time,"Robot Framework, Test Automation",,English,,,Recent,https://www.xing.com/jobs/grasbrunn-test-automation-engineer-robot-framework-151368844,2026-02-27T11:23:54.418901+00:00
0,Test Engineer | Germany,xing,Softwaretester / Test Automation Engineer m/w/d,XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/kassel-softwaretester-test-automation-engineer-151330756,2026-02-27T11:23:54.418990+00:00
0,Test Engineer | Germany,xing,Test Automation Engineer (m/w/d) - Datenbanken,XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/duesseldorf-test-automation-engineer-datenbanken-151354514,2026-02-27T11:23:54.419058+00:00
0,Test Engineer | Germany,xing,Test Automation Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/osnabrueck-test-automation-engineer-151324575,2026-02-27T11:23:54.419224+00:00
0,Test Engineer | Germany,xing,Test Automation Engineer (m/w/d) Robot Framework,XING Employer,Germany/Remote,Remote,Full-time,"Robot Framework, Test Automation",,English,,,Recent,https://www.xing.com/jobs/muenchen-test-automation-engineer-robot-framework-151378477,2026-02-27T11:23:54.419307+00:00
0,Test Engineer | Austria,xing,Test Automation Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/wien-test-automation-engineer-151362557,2026-02-27T11:24:13.696367+00:00
0,Test Engineer | Switzerland,xing,Software Test Automation Engineer (Professional),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/zuerich-software-test-automation-engineer-professional-151398725,2026-02-27T11:24:28.719702+00:00
0,Test Engineer | Switzerland,xing,Professional Test Engineer (m/w/d) - Frontend & Backend (80%) (Ref.Nr.: 46233),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/bern-professional-test-engineer-frontend-backend-80-ref-nr-46233-151359286,2026-02-27T11:24:28.719940+00:00
0,Testingenieur | Germany,xing,Testingenieur (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/niederwinkling-testingenieur-151381774,2026-02-27T11:24:57.005698+00:00
0,Testingenieur | Germany,xing,Junior Entwicklungs- und Testingenieur für aktive Mikrowellengeräte (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,"Junior, R",German,,,Recent,https://www.xing.com/jobs/backnang-junior-entwicklungs-testingenieur-aktive-mikrowellengeraete-151387796,2026-02-27T11:24:57.005960+00:00
0,Testingenieur | Germany,xing,Software-Testingenieur mit Schwerpunkt Automatisierung (m/w/d) - J21391,XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/potsdam-software-testingenieur-mit-schwerpunkt-automatisierung-j21391-151393853,2026-02-27T11:24:57.006061+00:00
0,Testingenieur | Germany,xing,Testingenieur:in (m/w/d) Remote-Update-Funktion,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wolfsburg-testingenieur-remote-update-funktion-151352840,2026-02-27T11:24:57.006202+00:00
0,Testingenieur | Switzerland,xing,Testengineer,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/bern-testengineer-151394821,2026-02-27T11:25:25.654538+00:00
0,Test Automation | Remote,xing,Test Automation Developer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/augsburg-test-automation-developer-151340288,2026-02-27T11:26:36.325855+00:00
0,Test Automation | Remote,xing,Werkstudent Test Automation (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Working Student,English,,,Recent,https://www.xing.com/jobs/berlin-werkstudent-test-automation-151385912,2026-02-27T11:26:36.326109+00:00
0,Python Developer | Germany,xing,ID: 16127 - Python Entwickler (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Python,,English,,,Recent,https://www.xing.com/jobs/leipzig-id-16127-python-entwickler-151399710,2026-02-27T11:26:49.817970+00:00
0,Python Developer | Switzerland,xing,Platform Engineer - Developer Experience (w/m/d) - mit Erfahrung und noch viel mehr Pioniergeist,XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/bern-platform-engineer-developer-experience-erfahrung-pioniergeist-151364398,2026-02-27T11:27:18.372820+00:00
0,Python Developer | Switzerland,xing,Platform Engineer - Developer Experience (w/m/d) - mit Erfahrung und noch viel mehr Pioniergeist,XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/bern-platform-engineer-developer-experience-erfahrung-pioniergeist-151359034,2026-02-27T11:27:18.372889+00:00
0,Python Test | Austria,xing,"Development Engineer, Digital Signal Processing (m/f/d)",XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/innsbruck-development-engineer-digital-signal-processing-151330092,2026-02-27T11:28:02.140356+00:00
0,Firmware Engineer | Germany,xing,Firmware Engineer FPGA/SoC (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Firmware,"Soc, Fpga",English,,,Recent,https://www.xing.com/jobs/berlin-firmware-engineer-fpga-soc-151331441,2026-02-27T11:28:45.230539+00:00
0,Firmware Engineer | Switzerland,xing,Validation Engineer für Laborgeräte 80-100% (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,R,English,,,Recent,https://www.xing.com/jobs/herisau-validation-engineer-laborgeraete-80-100-151369996,2026-02-27T11:29:15.442070+00:00
14,QA Engineer | Germany,gulp,Business Architect Defense / Product Strategy (m/f/d),GULP Client,"Location: D8, München",On-site,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e859258a13cb11f196d7a2d1b5394681,2026-02-27T11:12:41.015136+00:00
14,QA Engineer | Germany,gulp,Dynamics 365 CRM Consultant & Developer (m/f/d),GULP Client,Location: Cologne,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247281,2026-02-27T11:12:41.015704+00:00
14,QA Engineer | Germany,gulp,Devops / CI /CD System Architect (m/f/d) - Harness,GULP Client,Germany,Remote,Freelance,,"Architect, Senior, System Architect, Contractor, Github, Agile, Safe, Confluence, Devops, Scrum",English,"Architect, Contractor, Senior, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1683456a1fcd7b6545877,2026-02-27T11:12:41.016178+00:00
14,QA Engineer | Germany,gulp,"Senior Embedded Linux Software Engineer (Yocto, C++14, ARM) (m/f/d)",GULP Client,Germany,On-site,Freelance,"Arm, C, C++, Embedded Linux","Senior, Linux",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/71e7ebaa13c311f196d7a2d1b5394681,2026-02-27T11:12:41.016654+00:00
14,QA Engineer | Germany,gulp,Senior SoftwareEngineer/Architect for the greater Ulm-Lake Constance area,GULP Client,Location: Großraum Ulm-Bodensee,Remote,Freelance,,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69a064e4e83356962745a998,2026-02-27T11:12:41.019046+00:00
14,Python Developer | Germany,gulp,Senior C#/.NETDeveloper(Cloud / AI focus possible) (16009),GULP Client,Location: siehe Beschreibung,On-site,Freelance,C,"C#, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/55bdb47813c811f196d7a2d1b5394681,2026-02-27T11:15:59.206592+00:00
14,Python Developer | Germany,gulp,CI/CD System Architect (m/f/d) JFrog Artifactory - Berlin/FFM & remote,GULP Client,Location: Berlin/FFM & remote,Remote,Freelance,Ci/Cd,"Architect, System Architect",English,"Architect, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1724556a1fcd7b6546b0f,2026-02-27T11:15:59.207208+00:00
14,Python Developer | Germany,gulp,Senior Change Manager (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1093818213bb11f196d7a2d1b5394681,2026-02-27T11:15:59.210155+00:00
14,Python Developer | Germany,gulp,Expert SAP IS-U network side (m/f/d),GULP Client,Location: D3,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/2256bd9e13bb11f196d7a2d1b5394681,2026-02-27T11:15:59.210631+00:00
14,Python Developer | Germany,gulp,Design Lead / Senior Solution Architect (m/f/d) - SAP FS-PM (P&C) / 100% Remote,GULP Client,Location: Frankfurt am Main,Remote,Freelance,C,"Architect, Lead, Senior, Solution Architect",English,"Architect, Lead, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01246762,2026-02-27T11:15:59.211968+00:00
14,Python Developer | Germany,gulp,SAP HCM Consultant (m/f/d) Partner Company,GULP Client,Location: remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a0583856a1fcd7b653ff8d,2026-02-27T11:15:59.213346+00:00
14,Firmware Engineer | Germany,gulp,HSSE expert (m/f/d),GULP Client,Location: D6,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/aae80a22127c11f196d7a2d1b5394681,2026-02-27T11:17:38.603942+00:00
0,Tester | Germany,gulp,Test Engineer ICT (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bb69b54e127c11f196d7a2d1b5394681,2026-02-27T11:11:50.871838+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-02-27T11:11:50.872358+00:00
0,QA Engineer | Germany,gulp,Junior AnalyticsEngineer(m/f/d),GULP Client,Location: Munich,On-site,Freelance,,Junior,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247150,2026-02-27T11:12:41.017032+00:00
0,QA Engineer | Germany,gulp,Site Manager for Pipeline & CivilEngineering(m/f/d),GULP Client,"Location: D8, Amerdingen",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d3f512e2132c11f196d7a2d1b5394681,2026-02-27T11:12:41.017501+00:00
0,QA Engineer | Germany,gulp,Revit planner civilengineering+ structuralengineering(creation of object and building plans) (m/f/d),GULP Client,"Location: Remote, Schorndorf",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d5fcd624132c11f196d7a2d1b5394681,2026-02-27T11:12:41.018094+00:00
0,QA Engineer | Germany,gulp,Project Engineer Automation/Manufacturing (m/f/d),GULP Client,Germany,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/c33a61c8132c11f196d7a2d1b5394681,2026-02-27T11:12:41.018573+00:00
0,QA Engineer | Germany,gulp,SAP BTP Fiori Developer (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247134,2026-02-27T11:12:41.019494+00:00
0,QA Engineer | Germany,gulp,Sub-project manager for market communications (m/f/d),GULP Client,Location: Köln,On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69a05a7be83356962745a2e8,2026-02-27T11:12:41.019879+00:00
0,QA Engineer | Germany,gulp,Calculator Pipeline Construction (m/f/d),GULP Client,"Location: D8, remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ad7ef4f4130211f196d7a2d1b5394681,2026-02-27T11:12:41.020423+00:00
0,QA Engineer | Germany,gulp,Scrum Master (m/f/d),GULP Client,Location: Ratisbon,Remote,Freelance,,"Scrum Master, Scrum",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01246842,2026-02-27T11:12:41.020894+00:00
0,QA Engineer | Germany,gulp,EMSR Project Manager (m/f/d),GULP Client,"Location: D5, Leverkusen",On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ffd97a5a12f111f196d7a2d1b5394681,2026-02-27T11:12:41.021349+00:00
