relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,"Agile, Lead, R",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-03-07T10:31:59.302573+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Front­end Ent­wick­ler React / next.​js (m/w/d),SOLCOM Client,"Remote, remote only",Remote,Freelance,,React,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-frontend-entwickler-react-next-js-m-w-d-104725,2026-03-07T10:33:59.810169+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/cnc-systems-engineer-fuer-netzwerkmigration-m-w-d-104712,2026-03-07T10:33:59.810270+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,"R, Entry-Level",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-steuerungstechniker-m-w-d-104709,2026-03-07T10:33:59.810377+00:00
0,Test Engineer | Germany,solcom,Prüf­tech­ni­ker / Prüf­stand Lab­view (m/w/d),SOLCOM Client,"D7, Südschwarzwald, 2 Tage remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-07T10:33:59.810475+00:00
0,Test Engineer | Germany,solcom,Py­thon Pro­gram­mie­rer / Test­au­to­ma­ti­sie­rung (m/w/d),SOLCOM Client,"D7, Südschwarzwald",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/python-programmierer-m-w-d-104678,2026-03-07T10:33:59.810579+00:00
0,Test Engineer | Germany,solcom,Au­to­ma­ti­on En­gi­neer / Con­t­rol Sys­tems En­gi­neer (B&R) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automation-engineer-control-systems-engineer-b-r-m-w-d-104648,2026-03-07T10:33:59.810777+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Azure, Devops",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineering-for-cra-migration-project-m-w-d-104575,2026-03-07T10:33:59.810902+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-104533,2026-03-07T10:33:59.811011+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"CH, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-03-07T10:33:59.811112+00:00
0,Test Engineer | Germany,solcom,Sys­tem­ver­ant­wort­li­cher- Ma­ri­ti­me Sub­sys­te­me - Werft­um­feld (Na­vi­ga­ti­on/Kom­mu­ni­ka­ti­on/Com­bat) (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-03-07T10:33:59.811214+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-03-07T10:35:02.706787+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-07T10:36:05.047215+00:00
0,Test Automation | Germany,solcom,Pro­gram­mie­rer für Allen Brad­ley im Stu­dio 5000 von Rock­well (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/programmierer-fuer-allen-bradley-im-studio-5000-von-rockwell-m-w-d-104551,2026-03-07T10:36:05.047315+00:00
0,Test Automation | Germany,solcom,IT-Ex­per­te (De­ve­l­oper / Pro­ject Ana­lyst) (m/w/d),SOLCOM Client,D1,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-experte-developer-project-analyst-m-w-d-104379,2026-03-07T10:36:05.047507+00:00
0,Test Automation | Germany,solcom,SPS/PLC CODE­SYS & Twin­CAT (Be­ck­hoff) Ent­wick­ler mit ST (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-03-07T10:36:05.047602+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","R, Machine Learning, Esp32",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-03-07T10:39:05.288356+00:00
