relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior Java Backend Entwickler (Spring Boot / REST / PostgreSQL) – Remote),Freelancermap Client,Stuttgart Deutschland,Remote,Freelance,Java,"Postgresql, Senior, Spring Boot",English,Senior,,16.04.2026,https://www.freelancermap.de/projekt/senior-java-backend-entwickler-spring-boot-rest-postgresql-remote,2026-04-23T11:36:55.823606+00:00
0,Tester | Germany,freelancermap,Information Developer / Technical Documentation Specialist (m/w/d),Freelancermap Client,Berlin Dresden Deutschland,On-site,Freelance,,,English,,,20.04.2026,https://www.freelancermap.de/projekt/information-developer-technical-documentation-specialist-m-w-d,2026-04-23T11:36:55.823365+00:00
0,Tester | Germany,freelancermap,Fachplaner HLS/ TGA (m/w/d) - Bremen,Freelancermap Client,Bremen Deutschland,On-site,Freelance,,,English,,,15.04.2026,https://www.freelancermap.de/projekt/fachplaner-hls-tga-m-w-d,2026-04-23T11:36:55.823471+00:00
0,Tester | Germany,freelancermap,Bauingenieur (m/w/d) – Schwerpunkt Stahlbau / Konstruktion – ANÜ,Freelancermap Client,Leverkusen  Deutschland,On-site,Freelance,,,English,,,11:29,https://www.freelancermap.de/projekt/bauingenieur-m-w-d-schwerpunkt-stahlbau-konstruktion-anue,2026-04-23T11:36:55.823933+00:00
0,Tester | Germany,freelancermap,Netzwerkadministrator IT-Infrastruktur (m/w/d) 44-46579-F-CO,Freelancermap Client,Bonn Deutschland,On-site,Freelance,,,English,,,11:25,https://www.freelancermap.de/projekt/netzwerkadministrator-it-infrastruktur-m-w-d-44-46579-f-co,2026-04-23T11:36:55.824242+00:00
0,Tester | Germany,freelancermap,KI Developer (m/w/d) -  Java/Phyton/Ai // Arbeitnehmerüberlassung,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,Java,,English,,,11:21,https://www.freelancermap.de/projekt/ki-developer-m-w-d-java-phyton-ai-arbeitnehmerueberlassung,2026-04-23T11:36:55.824446+00:00
0,Tester | Germany,freelancermap,System Integration Engineer UAV / Drone (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,11:19,https://www.freelancermap.de/projekt/system-integration-engineer-uav-drone-m-w-d,2026-04-23T11:36:55.824563+00:00
0,Tester | Germany,freelancermap,Mechatronikingenieur (m/w/d) - Marine Robotics  Unterwasser Drohnen,Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,11:19,https://www.freelancermap.de/projekt/mechatronikingenieur-m-w-d-marine-robotics-unterwasser-drohnen,2026-04-23T11:36:55.824770+00:00
0,Tester | Germany,freelancermap,Technische Redaktion im Maschinenbau nach SCHEMA ST4,Freelancermap Client,Würzburg Deutschland,On-site,Freelance,,,English,,,11:19,https://www.freelancermap.de/projekt/technische-redaktion-im-maschinenbau-nach-schema-st4,2026-04-23T11:36:55.824866+00:00
0,Tester | Germany,freelancermap,IT-Supporter (m/w/d) 2nd Level   ---   Remote/Bonn,Freelancermap Client,Bonn Deutschland,Remote,Freelance,,,English,,,11:17,https://www.freelancermap.de/projekt/it-supporter-m-w-d-2nd-level-remote-bonn,2026-04-23T11:36:55.824968+00:00
0,Tester | Switzerland,freelancermap,GitLab CI Entwickler (m/w/d) – ANÜ – Bankenumfeld / Reguliertes Umfeld,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,"Gitlab, Gitlab Ci",English,,,11:37,https://www.freelancermap.de/projekt/gitlab-ci-entwickler-m-w-d-anue-bankenumfeld-reguliertes-umfeld,2026-04-23T11:37:29.310395+00:00
0,Python Developer | Germany,freelancermap,Junior IT-Supporter (2nd-Level) (m/w/d) --- Remote/Bonn,Freelancermap Client,Bonn Deutschland,Remote,Freelance,,Junior,English,,,11:45,https://www.freelancermap.de/projekt/junior-it-supporter-2nd-level-m-w-d-remote-bonn,2026-04-23T11:46:27.914126+00:00
0,Python Test | Germany,freelancermap,Freiberuflicher Microsoft Dynamics 365 Business Central Developer (m/w/d),YER Deutschland,Hamburg Deutschland,Remote,Freelance,C,"R, Sql",German,,,11:47,https://www.freelancermap.de/projekt/freiberuflicher-microsoft-dynamics-365-business-central-developer-m-w-d,2026-04-23T11:47:35.962246+00:00
