relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Testingenieur | USA,linkedin,Test Engineer,Google,"Mountain View, CA",Remote,Internship,"Firmware, Test Automation",Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-google-4434148716,2026-07-27T12:58:20.696860+00:00
14,Test Engineer | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Group,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-group-4419248716,2026-07-27T12:57:51.115106+00:00
14,Test Engineer | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4421952597,2026-07-27T12:57:53.525616+00:00
14,Testingenieur | Slovakia,linkedin,Testovací inžinier senior (m/ž/d),Brose Slovakia,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/testovac%C3%AD-in%C5%BEinier-senior-m-%C5%BE-d-at-brose-slovakia-4433307490,2026-07-27T12:58:13.249989+00:00
14,Testingenieur | USA,linkedin,QS-Engineer (m/w/d),ZDF Digital Medienproduktion GmbH,Mobile Metropolitan Area,Remote,Contract,"Ci/Cd, Javascript, Test Automation, Typescript","Expert, R",German,Expert,,Recent,https://www.linkedin.com/jobs/view/qs-engineer-m-w-d-at-zdf-digital-medienproduktion-gmbh-4438269391,2026-07-27T12:58:20.696373+00:00
14,Testingenieur | USA,linkedin,Autonomous Vehicle Test Engineer,General Motors,"Sunnyvale, CA",On-site,Contract,"C, C++, Can, Integration Testing, Java, Javascript, Jenkins, Python, Typescript","Internship, Qnx, Jira, Lead, Confluence, Regression Testing, Linux, Staff, Senior",English,"Lead, Senior, Staff",,Recent,https://www.linkedin.com/jobs/view/autonomous-vehicle-test-engineer-at-general-motors-4438514424,2026-07-27T12:58:20.696610+00:00
14,Testingenieur | USA,linkedin,Test Engineer,Sanmina,"Fremont, CA",On-site,Contract,,"Assembly, Lead",English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-engineer-at-sanmina-4444989475,2026-07-27T12:58:20.696745+00:00
14,Testingenieur | United Kingdom,linkedin,Test Automation Engineer,Motorola Solutions,"Glasgow, Scotland, United Kingdom",Hybrid,Contract,"Can, Java, Playwright, Test Automation","Manual Testing, Devops, Sql, Jira, Agile, Github, Cypress, Git, Regression Testing",English,Test Manager,,Recent,https://uk.linkedin.com/jobs/view/test-automation-engineer-at-motorola-solutions-4443930025,2026-07-27T12:58:23.213371+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer/Software Development Engineer in Test (d/f/m),Leapsome,"Berlin, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-software-development-engineer-in-test-d-f-m-at-leapsome-4319406597,2026-07-27T12:58:25.702160+00:00
14,Test Automation | Germany,linkedin,Senior Software Engineer in Test (f/m/d/x),EMIL Group,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-f-m-d-x-at-emil-group-4444389488,2026-07-27T12:58:25.702625+00:00
14,Test Automation | Germany,linkedin,(Senior) Test Automation Engineer,VisualVest,"Frankfurt, Hesse, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-at-visualvest-4443389371,2026-07-27T12:58:25.702870+00:00
14,Test Automation | Austria,linkedin,Senior QA Engineer (All Genders),zooplus,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-engineer-all-genders-at-zooplus-4441806629,2026-07-27T12:58:28.158734+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Graz],adesso Austria GmbH,"Graz, Styria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-graz-at-adesso-austria-gmbh-4370392579,2026-07-27T12:58:28.158962+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Automation Engineer (with test management skills),EPAM Systems,"Geneva, Geneva, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-with-test-management-skills-at-epam-systems-4431968126,2026-07-27T12:58:30.708570+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Automation Engineer,Hays,Switzerland,On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-at-hays-4442115032,2026-07-27T12:58:30.708822+00:00
14,Test Automation | Switzerland,linkedin,Senior Automation QA Engineer – Mobile Testing,Specialized Bicycle Components,"Cham, Zug, Switzerland",Remote,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-automation-qa-engineer-%E2%80%93-mobile-testing-at-specialized-bicycle-components-4419834911,2026-07-27T12:58:30.709186+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Test Automation Engineer (Full Stack),Solar Turbines,"Bratislava Old Town, Bratislava, Slovakia",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-full-stack-at-solar-turbines-4445944123,2026-07-27T12:58:35.626720+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Test Automation Engineer (Full stack),Solar Turbines,"Košice, Kosice, Slovakia",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-full-stack-at-solar-turbines-4414914904,2026-07-27T12:58:35.626840+00:00
14,Test Automation | Czech Republic,linkedin,Lead Software Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-in-test-sdet-at-flash-4414922814,2026-07-27T12:58:37.991520+00:00
14,Test Automation | Czech Republic,linkedin,Senior SDET -  GovTech Industry,Truelogic Software,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-govtech-industry-at-truelogic-software-4438505356,2026-07-27T12:58:37.991772+00:00
14,Test Automation | Czech Republic,linkedin,Senior Software Engineer,"Accolade, Inc.",Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-accolade-inc-4435448184,2026-07-27T12:58:37.991893+00:00
14,Test Automation | Czech Republic,linkedin,Senior QA Automation Engineer (Playwright & Mobile),Applaudo,Dominican Republic,Remote,Full-time,Playwright,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-engineer-playwright-mobile-at-applaudo-4436168334,2026-07-27T12:58:37.992118+00:00
14,Test Automation | Poland,linkedin,Senior Test Automation Engineer,AMD,"Gdańsk, Pomorskie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-at-amd-4427348897,2026-07-27T12:58:40.487769+00:00
14,Test Automation | Poland,linkedin,Test Automation Engineer/IT Test Manager (M/F/D),DSV - Global Transport and Logistics,"Warsaw, Mazowieckie, Poland",On-site,Full-time,Test Automation,,English,Test Manager,,Recent,https://pl.linkedin.com/jobs/view/test-automation-engineer-it-test-manager-m-f-d-at-dsv-global-transport-and-logistics-4439162204,2026-07-27T12:58:40.488753+00:00
14,Test Automation | USA,linkedin,Senior Automation Test Engineer,Motional,"Las Vegas, NV",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-automation-test-engineer-at-motional-4397062662,2026-07-27T12:58:42.964394+00:00
14,Test Automation | USA,linkedin,Test Automation Lead,G3. GG Tech Global,"Grand Rapids, MI",On-site,Full-time,Test Automation,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/test-automation-lead-at-g3-gg-tech-global-4439071370,2026-07-27T12:58:42.964901+00:00
14,Test Automation | USA,linkedin,Senior Test Automation Engineer,CGI,"Salt Lake City, UT",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-test-automation-engineer-at-cgi-4430734501,2026-07-27T12:58:42.965238+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Engineer,Bellrock Group,"Liverpool, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-bellrock-group-4442168127,2026-07-27T12:58:45.442507+00:00
14,Python Developer | Slovakia,linkedin,Principal Python Engineer for Agentic AI,Deutsche Telekom Services Europe - Slovakia,"Bratislava, Slovakia",On-site,Full-time,Python,Principal,English,Principal,,Recent,https://sk.linkedin.com/jobs/view/principal-python-engineer-for-agentic-ai-at-deutsche-telekom-services-europe-slovakia-4435957635,2026-07-27T12:58:57.846141+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Engineer (EU or LATAM),Windsor.ai,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-engineer-eu-or-latam-at-windsor-ai-4438676034,2026-07-27T12:58:57.846251+00:00
14,Python Developer | Czech Republic,linkedin,Lead Python Software Engineer,EPAM Systems,Dominican Republic,On-site,Full-time,Python,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-python-software-engineer-at-epam-systems-4442845372,2026-07-27T12:59:00.272334+00:00
14,Python Developer | Czech Republic,linkedin,Lead Python Backend Developer,EPAM Systems,Dominican Republic,On-site,Full-time,Python,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-python-backend-developer-at-epam-systems-4442833635,2026-07-27T12:59:00.272456+00:00
14,Python Developer | Czech Republic,linkedin,Senior Full Stack Engineer (Backend-Focused),Applaudo,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-full-stack-engineer-backend-focused-at-applaudo-4444988382,2026-07-27T12:59:00.272835+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Embedded Engineer,Ciklum Czech Republic & Slovakia,"Bratislava, Slovakia",Remote,Contract,"C, C++, Can, Python, Rust","Agile, Senior, C#, Git, Docker",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-embedded-engineer-at-ciklum-czech-republic-slovakia-4437769182,2026-07-27T12:59:42.190157+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior C/C++ Software Engineer,Frequentis,"Bratislava, Bratislava, Slovakia",Hybrid,Full-time,"C, C++, Github Copilot, Jenkins","Github, Senior, R, Git",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-c-c%2B%2B-software-engineer-at-frequentis-4439990845,2026-07-27T12:59:42.190521+00:00
14,Firmware Engineer | Slovakia,linkedin,Hardware Development Engineer (m/f),IEE Sensing,"Košice, Kosice, Slovakia",On-site,Contract,Python,"Matlab, Lead",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/hardware-development-engineer-m-f-at-iee-sensing-4137893590,2026-07-27T12:59:42.190890+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Embedded Linux OS Engineer,Nabu Casa,Dominican Republic,On-site,Full-time,Embedded Linux,"Linux, Senior",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-embedded-linux-os-engineer-at-nabu-casa-4437792974,2026-07-27T12:59:44.543396+00:00
14,Firmware Engineer | United Kingdom,linkedin,Senior Firmware Engineer,Jackson Hogg,"Stockton-On-Tees, England, United Kingdom",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-firmware-engineer-at-jackson-hogg-4442035555,2026-07-27T12:59:51.983529+00:00
0,Tester | Germany,linkedin,Junior Quality Assurance Tester,Swift Games,"Berlin, Germany",Remote,Full-time,"Can, Cursor","Devops, Swift, Jira, Sql, Agile, Gitlab, Junior",English,,,Recent,https://de.linkedin.com/jobs/view/junior-quality-assurance-tester-at-swift-games-4441044199,2026-07-27T12:56:56.926436+00:00
0,Tester | Germany,linkedin,Junior QA Tester (f/m/d),Sunday,"Hamburg, Hamburg, Germany",Hybrid,Contract,,"Junior, Jira, Confluence",English,,,Recent,https://de.linkedin.com/jobs/view/junior-qa-tester-f-m-d-at-sunday-4436736639,2026-07-27T12:56:56.926591+00:00
0,Tester | Germany,linkedin,Test Engineer (f/m/d),think-cell Software,"Berlin, Germany",On-site,Internship,Can,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-f-m-d-at-think-cell-software-4440434564,2026-07-27T12:56:56.926732+00:00
0,Tester | Germany,linkedin,Software Tester (all genders),GK Software,"St. Ingbert, Saarland, Germany",Remote,Contract,,R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-gk-software-4375013194,2026-07-27T12:56:56.926852+00:00
0,Tester | Germany,linkedin,Manual Application Tester,ExpressVPN,"Übach-Palenberg, North Rhine-Westphalia, Germany",Remote,Contract,,"Entry-Level, Linux, Appium",English,,,Recent,https://de.linkedin.com/jobs/view/manual-application-tester-at-expressvpn-4436482503,2026-07-27T12:56:56.926969+00:00
0,Tester | Germany,linkedin,Test Analyst:in,zollsoft GmbH,"Jena, Thuringia, Germany",Remote,Internship,"Claude, Test Automation","Spark, R, Git, Associate",German,,,Recent,https://de.linkedin.com/jobs/view/test-analyst-in-at-zollsoft-gmbh-4431516762,2026-07-27T12:56:56.927087+00:00
0,Tester | Germany,linkedin,Softwaretester (m/w/d) - Berlin,Nexus AG,"Berlin, Berlin, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-berlin-at-nexus-ag-4436748551,2026-07-27T12:56:56.927195+00:00
0,Tester | Germany,linkedin,(Junior) Quality Assurance Tester (m/w/d),HRworks GmbH,"Frankfurt, Hesse, Germany",Remote,Full-time,Test Automation,"R, Junior, Associate",German,,,Recent,https://de.linkedin.com/jobs/view/junior-quality-assurance-tester-m-w-d-at-hrworks-gmbh-4437773874,2026-07-27T12:56:56.927421+00:00
0,Tester | Germany,linkedin,Test Analyst*in (d/m/w) – End-to-End & Integration,Toll Collect GmbH,"Berlin, Berlin, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-analyst-in-d-m-w-%E2%80%93-end-to-end-integration-at-toll-collect-gmbh-4440462888,2026-07-27T12:56:56.927530+00:00
0,Tester | Austria,linkedin,Software Tester (Analytics & GUI),MXP,"Graz, Styria, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/software-tester-analytics-gui-at-mxp-4443115368,2026-07-27T12:56:59.374032+00:00
0,Tester | Austria,linkedin,"(Junior) Software Tester
Product Quality Engineer",SPIE Austria GmbH,"Sankt Ruprecht an der Raab, Styria, Austria",On-site,Full-time,,Junior,German,,,Recent,https://at.linkedin.com/jobs/view/junior-software-tester%0Aproduct-quality-engineer-at-spie-austria-gmbh-4439083000,2026-07-27T12:56:59.374216+00:00
0,Tester | Austria,linkedin,Software Tester (f/m/d),GE HealthCare,"Vöcklamarkt, Upper Austria, Austria",Remote,Contract,Integration Testing,"Entry-Level, Associate, R",German,,,Recent,https://at.linkedin.com/jobs/view/software-tester-f-m-d-at-ge-healthcare-4416658855,2026-07-27T12:56:59.374466+00:00
0,Tester | Austria,linkedin,Software Tester,FB Consulting & Trade GmbH,"Vienna, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/software-tester-at-fb-consulting-trade-gmbh-4440672135,2026-07-27T12:56:59.374583+00:00
0,Tester | Austria,linkedin,Software Test Engineer,CNH,"Sankt Valentin, Lower Austria, Austria",On-site,Internship,Can,Safe,English,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-at-cnh-4437443661,2026-07-27T12:56:59.374712+00:00
0,Tester | Austria,linkedin,Testing Manager (all genders) - Bug Hunter,Viewpointsystem,"Vienna, Vienna, Austria",On-site,Internship,"Can, Firmware, I2C, Python, Spi","Assembly, Arduino",English,,,Recent,https://at.linkedin.com/jobs/view/testing-manager-all-genders-bug-hunter-at-viewpointsystem-4436603546,2026-07-27T12:56:59.374827+00:00
0,Tester | Austria,linkedin,Software Test Engineer (f/m/x),Anton Paar,"Graz, Styria, Austria",On-site,Internship,"C, Java, Python, Selenium, Test Automation","Agile, Junit, Kanban, Testng, Scrum, C#",English,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-f-m-x-at-anton-paar-4434326687,2026-07-27T12:56:59.375049+00:00
0,Tester | Austria,linkedin,Test Specialist (w/m/d),WienIT GmbH,"Vienna, Vienna, Austria",Remote,Full-time,"Playwright, Test Automation","Jira, Confluence, Zephyr, R, Postman, Associate",German,,,Recent,https://at.linkedin.com/jobs/view/test-specialist-w-m-d-at-wienit-gmbh-4436818440,2026-07-27T12:56:59.375158+00:00
0,Tester | Switzerland,linkedin,PeopleSoft Tester- Time and Labor,"Bart & Associates, Inc.","Fully, Valais, Switzerland",On-site,Full-time,"Ci/Cd, Test Automation","Sql, Agile, Waterfall",English,,,Recent,https://ch.linkedin.com/jobs/view/peoplesoft-tester-time-and-labor-at-bart-associates-inc-4410843014,2026-07-27T12:57:01.864133+00:00
0,Tester | Switzerland,linkedin,Test Analyst,itecor,"Lausanne, Vaud, Switzerland",On-site,Internship,Selenium,"Jira, Agile, Bdd, Scrum, R, Cucumber",English,,,Recent,https://ch.linkedin.com/jobs/view/test-analyst-at-itecor-4436302806,2026-07-27T12:57:01.864286+00:00
0,Tester | Switzerland,linkedin,Software Tester gesucht (m/w/d),Rocken®,"Winterthur, Zurich, Switzerland",On-site,Full-time,,R,German,,,Recent,https://ch.linkedin.com/jobs/view/software-tester-gesucht-m-w-d-at-rocken%C2%AE-4445126383,2026-07-27T12:57:01.864407+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer (m/w/d),Nexplore AG,"Berne, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-nexplore-ag-4437847459,2026-07-27T12:57:01.864529+00:00
0,Tester | Switzerland,linkedin,Junior Product Test Engineer,Swisslinx,"Zurich, Zurich, Switzerland",On-site,Full-time,,Junior,English,,,Recent,https://ch.linkedin.com/jobs/view/junior-product-test-engineer-at-swisslinx-4442654399,2026-07-27T12:57:01.864680+00:00
0,Tester | Switzerland,linkedin,Test and Verification Engineer,ARTIDIS,"Basel, Basel, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-and-verification-engineer-at-artidis-4439890167,2026-07-27T12:57:01.864799+00:00
0,Tester | Switzerland,linkedin,Testeur QA - Automatisation H/F,Extia,"Lausanne, Vaud, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/testeur-qa-automatisation-h-f-at-extia-4438737235,2026-07-27T12:57:01.864915+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer,Nexplore AG,Greater Bern Area,On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-at-nexplore-ag-4438418267,2026-07-27T12:57:01.865031+00:00
0,Tester | Switzerland,linkedin,QA Engineer – Mobile Testing,Specialized Bicycle Components,"Cham, Zug, Switzerland",Remote,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/qa-engineer-%E2%80%93-mobile-testing-at-specialized-bicycle-components-4419855030,2026-07-27T12:57:01.865148+00:00
0,Tester | Switzerland,linkedin,Tester Sr,Spindox,"Ticino, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/tester-sr-at-spindox-4389272616,2026-07-27T12:57:01.865267+00:00
0,Tester | Slovakia,linkedin,Test Engineer,EZMID,Bratislava Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-engineer-at-ezmid-4433787518,2026-07-27T12:57:06.782531+00:00
0,Tester | Slovakia,linkedin,Integration Tester,Avenga,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/integration-tester-at-avenga-4331424497,2026-07-27T12:57:06.782661+00:00
0,Tester | Slovakia,linkedin,Software QA Specialist,Descartes Systems Group,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/software-qa-specialist-at-descartes-systems-group-4382115365,2026-07-27T12:57:06.782781+00:00
0,Tester | Slovakia,linkedin,Software Test Analyst,Descartes Systems Group,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/software-test-analyst-at-descartes-systems-group-4438273257,2026-07-27T12:57:06.782898+00:00
