relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Tester | Austria,linkedin,Internship: Software Test Engineer - JavaCard Applications,NXP Semiconductors,"Gratkorn, Styria, Austria",Remote,Contract,"Can, Java, Jenkins, Test Automation","Senior, Internship",English,Senior,,Recent,https://at.linkedin.com/jobs/view/internship-software-test-engineer-javacard-applications-at-nxp-semiconductors-4390378393,2026-05-07T11:51:59.830866+00:00
14,QA Engineer | Austria,linkedin,Senior QA Automation Engineer @ 3-S-IT Dienstleistungen GmbH,DEVjobs,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-automation-engineer-%40-3-s-it-dienstleistungen-gmbh-at-devjobs-4410469493,2026-05-07T11:52:21.735496+00:00
14,QA Engineer | Remote,linkedin,Senior / Tech Lead QA,Jobgether,Germany,Remote,Full-time,,"Tech Lead, Lead, Senior",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/senior-tech-lead-qa-at-jobgether-4408654995,2026-05-07T11:52:26.509130+00:00
14,QA Engineer | Remote,linkedin,Lead QA Engineer,World Food Programme,"Berlin, Berlin, Germany",Remote,Full-time,,Lead,English,Lead,,Recent,https://de.linkedin.com/jobs/view/lead-qa-engineer-at-world-food-programme-4410562515,2026-05-07T11:52:26.509391+00:00
14,QA Engineer | Slovakia,linkedin,Quality Assurance Engineer,"NESS KE, s.r.o.","Kosice, Slovakia",Remote,Full-time,"Java, Python, Selenium, Test Automation","Cucumber, Linux, Visual Studio Code, Git, Unix, Scrum, Jira, Staff, Graduate, Kanban",English,Staff,,Recent,https://sk.linkedin.com/jobs/view/quality-assurance-engineer-at-ness-ke-s-r-o-4399546808,2026-05-07T11:52:28.876942+00:00
14,QA Engineer | Slovakia,linkedin,Senior Automation QA Engineer (Python),GoReel,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-automation-qa-engineer-python-at-goreel-4408845014,2026-05-07T11:52:28.877227+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Engineer (Native Apps),Alex Staff,Slovakia,On-site,Full-time,,"Staff, Senior",English,"Senior, Staff",,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-native-apps-at-alex-staff-4401043963,2026-05-07T11:52:28.877364+00:00
14,QA Engineer | Poland,linkedin,Senior QA Tester / Future Deputy QA Lead - Space Engineers 2,Keen Software House,Poland,On-site,Full-time,,"Lead, Senior",English,"Lead, QA Lead, Senior",,Recent,https://pl.linkedin.com/jobs/view/senior-qa-tester-future-deputy-qa-lead-space-engineers-2-at-keen-software-house-4405689271,2026-05-07T11:52:33.618827+00:00
14,QA Engineer | Poland,linkedin,"Quality Assurance Engineer - Katowice, Poland (F/M)",Astek,"Katowice, Śląskie, Poland",Hybrid,Contract,"C, Can, Javascript, Jenkins, Test Automation","C#, Bdd, Azure, Sql, Git, Tdd, Powershell, Postman, Jira, Confluence",English,Test Manager,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-engineer-katowice-poland-f-m-at-astek-4399530990,2026-05-07T11:52:33.618965+00:00
14,QA Engineer | Poland,linkedin,Senior Quality Assurance Engineer,Webellian,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-webellian-4403748470,2026-05-07T11:52:33.619117+00:00
14,QA Engineer | Poland,linkedin,Senior Mobile QA Engineer,payabl.,"Warsaw, Mazowieckie, Poland",Remote,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-mobile-qa-engineer-at-payabl-4402959462,2026-05-07T11:52:33.619249+00:00
14,QA Engineer | Poland,linkedin,Senior Mobile QA Engineer,payabl.,"Cracow, Małopolskie, Poland",Remote,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-mobile-qa-engineer-at-payabl-4402957479,2026-05-07T11:52:33.619379+00:00
14,QA Engineer | USA,linkedin,Quality Assurance Lead,SSi People,"Pittsburgh, PA",On-site,Full-time,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-lead-at-ssi-people-4408458085,2026-05-07T11:52:36.142861+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Spacelabs Healthcare,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-spacelabs-healthcare-4370274131,2026-05-07T11:52:38.544362+00:00
14,QA Engineer | United Kingdom,linkedin,Staff QA Engineer,Matillion,"Manchester, England, United Kingdom",Remote,Full-time,"Ai Agents, Ci/Cd, Java, Javascript, Test Automation","Cypress, Performance Testing, Gcp, Azure, Aws, Senior, Sql, Machine Learning, Junior, Staff",English,"Senior, Staff",,Recent,https://uk.linkedin.com/jobs/view/staff-qa-engineer-at-matillion-4401769212,2026-05-07T11:52:38.544763+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Quality Assurance Engineer,Indra Group UK & Ireland,"Market Deeping, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-indra-group-uk-ireland-4395293172,2026-05-07T11:52:38.544895+00:00
14,Testingenieur | Austria,linkedin,SPS-Programmierer:in PRO-SENIOR,MECHATRONIK AUSTRIA,"Saalfelden, Salzburg, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/sps-programmierer-in-pro-senior-at-mechatronik-austria-4406064530,2026-05-07T11:53:05.348568+00:00
14,Testingenieur | Switzerland,linkedin,Ingénieur tests/Ingénieure tests,Qim info,"Geneva, Switzerland",On-site,Internship,"C, Ci/Cd, Go, Java, Jenkins, Playwright, Test Automation","Junit, Nosql, Devops, Jira, Confluence, Git, Consultant, Intellij, Openshift, Mongodb",English,Consultant,,Recent,https://ch.linkedin.com/jobs/view/ing%C3%A9nieur-tests-ing%C3%A9nieure-tests-at-qim-info-4403745789,2026-05-07T11:53:07.743552+00:00
14,Testingenieur | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Slovakia,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-slovakia-4402472552,2026-05-07T11:53:12.524303+00:00
14,Testingenieur | USA,linkedin,"Software Engineer, Localization, Calibration & Mapping",AeroVect,"Atlanta, GA",On-site,Full-time,"C, C++, Ci/Cd, Python","Linux, Staff",English,Staff,,Recent,https://www.linkedin.com/jobs/view/software-engineer-localization-calibration-mapping-at-aerovect-4410757762,2026-05-07T11:53:19.941634+00:00
14,Testingenieur | USA,linkedin,Quality Assurance & Manufacturing Engineer/Tech,"Hannay Reels, Inc.","Westerlo, NY",On-site,Internship,,"Engineering Manager, Associate, Assembly, Lead",English,Lead,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-manufacturing-engineer-tech-at-hannay-reels-inc-4411224421,2026-05-07T11:53:19.941918+00:00
14,Testingenieur | USA,linkedin,Quality Assurance Engineer (Medical Device),LSI SOLUTIONS®,"Victor, NY",On-site,Contract,,"Team Lead, Lead, Expert, Senior",English,"Expert, Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/quality-assurance-engineer-medical-device-at-lsi-solutions%C2%AE-4407053270,2026-05-07T11:53:19.942205+00:00
14,Testingenieur | USA,linkedin,ADAS Test Engineer (100045),Honda South Carolina Manufacturing,"Raymond, OH",Remote,Contract,Can,"Expert, Intern, Senior, R",English,"Expert, Senior",,Recent,https://www.linkedin.com/jobs/view/adas-test-engineer-100045-at-honda-south-carolina-manufacturing-4402646468,2026-05-07T11:53:19.942482+00:00
14,Testingenieur | United Kingdom,linkedin,Vehicle Testing Engineer,Applus+ IDIADA,"Nuneaton, England, United Kingdom",Remote,Contract,,"Lead, Swift",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/vehicle-testing-engineer-at-applus%2B-idiada-4399994009,2026-05-07T11:53:22.446611+00:00
14,Test Automation | Germany,linkedin,Test Analyst (Senior),Jobgether,Germany,On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/test-analyst-senior-at-jobgether-4408683186,2026-05-07T11:53:24.997181+00:00
14,Test Automation | Germany,linkedin,QA Field Testing Lead,1GLOBAL,"Berlin, Berlin, Germany",On-site,Full-time,,Lead,English,Lead,,Recent,https://de.linkedin.com/jobs/view/qa-field-testing-lead-at-1global-4404790875,2026-05-07T11:53:24.997754+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4408875755,2026-05-07T11:53:24.998292+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Engineer,Xsensio,"Lausanne, Vaud, Switzerland",On-site,Contract,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-engineer-at-xsensio-4411412873,2026-05-07T11:53:29.732599+00:00
14,Test Automation | Switzerland,linkedin,Senior / Tech Lead QA,Jobgether,Switzerland,Remote,Contract,,"Grafana, Tech Lead, Lead, Manual Testing, Senior, Load Testing, Postman, Agile",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-tech-lead-qa-at-jobgether-4408650999,2026-05-07T11:53:29.732743+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Sixsentix,"Zurich, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-sixsentix-4392279589,2026-05-07T11:53:29.732874+00:00
14,Test Automation | Switzerland,linkedin,Senior Test manager Automation,ITech Consult AG,"Berne, Switzerland",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/senior-test-manager-automation-at-itech-consult-ag-4409913981,2026-05-07T11:53:29.733675+00:00
14,Test Automation | Remote,linkedin,Senior Quality Assurance Automation Engineer,teamative,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-automation-engineer-at-teamative-4404066700,2026-05-07T11:53:32.173037+00:00
14,Test Automation | Slovakia,linkedin,"Mobile QA Automation Lead (Remote, Full-Time) EU [AS226]",Smart Working,Slovakia,Remote,Full-time,,Lead,English,Lead,,Recent,https://sk.linkedin.com/jobs/view/mobile-qa-automation-lead-remote-full-time-eu-as226-at-smart-working-4403218238,2026-05-07T11:53:34.581357+00:00
14,Test Automation | Slovakia,linkedin,Test Manager,Bencor s.r.o.,Bratislava Metropolitan Area,On-site,Full-time,,R,English,Test Manager,,Recent,https://sk.linkedin.com/jobs/view/test-manager-at-bencor-s-r-o-4408401409,2026-05-07T11:53:34.582205+00:00
14,Test Automation | Slovakia,linkedin,Automation Test Lead,Ampstek,"Bratislava, Slovakia",On-site,Full-time,,Lead,English,Lead,,Recent,https://sk.linkedin.com/jobs/view/automation-test-lead-at-ampstek-4407368844,2026-05-07T11:53:34.582340+00:00
14,Test Automation | Czech Republic,linkedin,"Senior Quality Manager / LA VEGA, DR.",Champro,"La Vega, La Vega, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-quality-manager-la-vega-dr-at-champro-4407851794,2026-05-07T11:53:37.017547+00:00
14,Test Automation | Czech Republic,linkedin,Quality Assurance Senior,Grupo Ramos,"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-senior-at-grupo-ramos-4404109408,2026-05-07T11:53:37.018371+00:00
14,Test Automation | Czech Republic,linkedin,Senior SDET,Encora Inc.,"Santo Domingo Este, Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-encora-inc-4409064327,2026-05-07T11:53:37.018627+00:00
14,Test Automation | Poland,linkedin,Senior QA Engineer (Native Apps),Alex Staff,Poland,On-site,Full-time,,"Staff, Senior",English,"Senior, Staff",,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-native-apps-at-alex-staff-4401060294,2026-05-07T11:53:39.441960+00:00
14,Test Automation | Poland,linkedin,Test Lead,Experis,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Lead,English,Lead,,Recent,https://pl.linkedin.com/jobs/view/test-lead-at-experis-4407872860,2026-05-07T11:53:39.442112+00:00
14,Test Automation | Poland,linkedin,Quality Assurance Team Lead,Sphera,Poland,On-site,Full-time,,"Team Lead, Lead",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-team-lead-at-sphera-4399637584,2026-05-07T11:53:39.442389+00:00
14,Test Automation | USA,linkedin,QA Automation Lead,The Value Maximizer,"New York, NY",On-site,Full-time,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-automation-lead-at-the-value-maximizer-4410069189,2026-05-07T11:53:42.090123+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager,KPMG UK,"London Area, United Kingdom",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-at-kpmg-uk-4403745457,2026-05-07T11:53:44.532927+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager- Financial Services,KPMG UK,"London Area, United Kingdom",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-financial-services-at-kpmg-uk-4407206674,2026-05-07T11:53:44.533123+00:00
14,Test Automation | United Kingdom,linkedin,Test Automation Engineer,Deloitte,"Glasgow, Scotland, United Kingdom",Hybrid,Contract,"Can, Ci/Cd, Java, Python, Test Automation","Contractor, Gcp, Azure, Aws, Associate",English,Contractor,,Recent,https://uk.linkedin.com/jobs/view/test-automation-engineer-at-deloitte-4383541540,2026-05-07T11:53:44.533268+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Tester - 12 Month FTC - UK Only (Remote/Hybrid/Brighton),eTAGZ,"Brighton, England, United Kingdom",Remote,Contract,,"Junior, Senior",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-tester-12-month-ftc-uk-only-remote-hybrid-brighton-at-etagz-4405102231,2026-05-07T11:53:44.533411+00:00
14,Python Developer | Germany,linkedin,Senior Python Developer (all genders),Sunday Natural,"Berlin, Berlin, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-developer-all-genders-at-sunday-natural-4387397879,2026-05-07T11:53:47.002712+00:00
14,Python Developer | Austria,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,Austria,Remote,Contract,"Bash, C, C++, Can, Claude, Cursor, Go, Llm, Pytest, Python, Rust","Expert, Linux, Senior, Git, Github, Docker",English,"Expert, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4409807991,2026-05-07T11:53:49.390965+00:00
14,Python Developer | Austria,linkedin,Senior Full Stack Engineer — Platform Extensions,Jobgether,Austria,On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-full-stack-engineer-%E2%80%94-platform-extensions-at-jobgether-4409319747,2026-05-07T11:53:49.391121+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer - Code Migration Specialist,Mindrift,Austria,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-code-migration-specialist-at-mindrift-4409811880,2026-05-07T11:53:49.391265+00:00
14,Python Developer | Austria,linkedin,Senior Backend & AI Developer – Vienna,Teachino,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-backend-ai-developer-%E2%80%93-vienna-at-teachino-4403238280,2026-05-07T11:53:49.391957+00:00
14,Python Developer | Switzerland,linkedin,Senior Full Stack Engineer — Platform Extensions,Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-full-stack-engineer-%E2%80%94-platform-extensions-at-jobgether-4409327449,2026-05-07T11:53:51.776632+00:00
14,Python Developer | Switzerland,linkedin,Co-Tech Lead & Senior Python Engineer,LocalBini,Sankt Gallen Metropolitan Area,On-site,Full-time,Python,"Tech Lead, Lead, Senior",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/co-tech-lead-senior-python-engineer-at-localbini-4401058340,2026-05-07T11:53:51.776899+00:00
14,Python Developer | Switzerland,linkedin,Python Developer - Contractor,Nordwand Group - the IT & Finance Recruitment Company,"Zurich, Switzerland",On-site,Contract,Python,Contractor,English,Contractor,,Recent,https://ch.linkedin.com/jobs/view/python-developer-contractor-at-nordwand-group-the-it-finance-recruitment-company-4401619590,2026-05-07T11:53:51.777028+00:00
14,Python Developer | Slovakia,linkedin,"AI Engineer – Python, GenAI & Machine Learning (m/f)",PwC Slovakia,"Košice, Kosice, Slovakia",Hybrid,Contract,"Can, Generative Ai, Nlp, Python","Lead, Expert, Nosql, Azure, Sql, Senior, Machine Learning, Junior, Architect, Pandas",English,"Architect, Expert, Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/ai-engineer-%E2%80%93-python-genai-machine-learning-m-f-at-pwc-slovakia-4328290382,2026-05-07T11:53:56.635707+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,EPAM Systems,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-epam-systems-4288584951,2026-05-07T11:53:56.635984+00:00
14,Python Developer | USA,linkedin,Freelance Data Science Engineer (Python & SQL),Mindrift,United States,On-site,Contract,"Can, Langchain, Prompt Engineering, Python, Rag","Expert, Sql, Pytorch, Machine Learning, Pandas, Data Science, Scikit-Learn, Mlops, Numpy, Tensorflow",English,Expert,,Recent,https://www.linkedin.com/jobs/view/freelance-data-science-engineer-python-sql-at-mindrift-4410563126,2026-05-07T11:54:04.069264+00:00
14,Python Test | Switzerland,linkedin,Senior QA Software Engineer,Swissquote,"Gland, Vaud, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-software-engineer-at-swissquote-4405273698,2026-05-07T11:54:13.831709+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Berlin, Berlin, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4409808989,2026-05-07T11:54:16.270947+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Frankfurt am Main, Hesse, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4409817077,2026-05-07T11:54:16.271091+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-05-07T11:54:21.079873+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),Deutsche Telekom IT Solutions Slovakia,"Linz, Upper Austria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-deutsche-telekom-it-solutions-slovakia-4402515620,2026-05-07T11:54:33.404801+00:00
14,Firmware Engineer | Austria,linkedin,Senior Firmware Engineer (f/m/d),Easelink,"Graz, Styria, Austria",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-firmware-engineer-f-m-d-at-easelink-4406481314,2026-05-07T11:54:33.404950+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),CycloTech GmbH,"Linz, Upper Austria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-cyclotech-gmbh-4405104196,2026-05-07T11:54:33.405102+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Software Engineer (C/C++) (m/w/d),Onyx Circle,"Thurgau, Switzerland",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-software-engineer-c-c%2B%2B-m-w-d-at-onyx-circle-4400512305,2026-05-07T11:54:35.862802+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer,Portless,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-at-portless-4409469106,2026-05-07T11:54:38.294120+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded Engineer (m/w/d),QAVION GROUP,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-m-w-d-at-qavion-group-4409238551,2026-05-07T11:54:38.294296+00:00
14,Firmware Engineer | Remote,linkedin,Embedded Senior Hardware Engineer,Jobgether,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/embedded-senior-hardware-engineer-at-jobgether-4410465206,2026-05-07T11:54:38.294710+00:00
14,Firmware Engineer | Remote,linkedin,Principal Software Engineer | Upto $150/hr,Mercor,"Berlin, Berlin, Germany",Remote,Full-time,,Principal,English,Principal,,Recent,https://de.linkedin.com/jobs/view/principal-software-engineer-upto-%24150-hr-at-mercor-4408353631,2026-05-07T11:54:38.295248+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Cast AI,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-cast-ai-4411452915,2026-05-07T11:54:40.683688+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer - Infrastructure,Cast AI,Slovakia,Remote,Contract,"Arm, Go","Spark, Lead, Linux, Gcp, Azure, Aws, Grpc, Senior, Kubernetes",English,"Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-infrastructure-at-cast-ai-4411463400,2026-05-07T11:54:40.683854+00:00
14,Firmware Engineer | Slovakia,linkedin,"Staff / Senior Software Engineer, DepoLive",Filevine,"Bratislava, Bratislava, Slovakia",On-site,Contract,Python,"Aws, Senior, React, Architect, Terraform, Staff, Kubernetes",English,"Architect, Senior, Staff",,Recent,https://sk.linkedin.com/jobs/view/staff-senior-software-engineer-depolive-at-filevine-4404569463,2026-05-07T11:54:40.684148+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Bloomreach,Slovakia,Remote,Contract,"Ai Agents, Can, Go, Python","Gcp, Redis, Sql, Senior, Engineering Manager, Google Cloud, Gitlab, Mongodb, Kubernetes",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-bloomreach-4289254318,2026-05-07T11:54:40.684283+00:00
