relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,"R, Agile, Lead",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-02-27T10:45:58.304105+00:00
0,Tester | Germany,solcom,"Busi­ness Ana­ly­se / Custo­mi­zing SAP (Pro­duk­te Kasse, Kre­dit, Kau­ti­on - FS-CD) (m/w/d)",SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-02-27T10:45:58.304194+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-27T10:45:58.304357+00:00
0,Tester | Germany,solcom,Em­bed­ded Soft­ware-Tes­ter (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-27T10:45:58.304529+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104586,2026-02-27T10:48:01.776036+00:00
0,Test Engineer | Germany,solcom,Re­qui­re­ment En­gi­nee­ring for CRA & Mi­gra­ti­on Pro­ject (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineering-for-cra-migration-project-m-w-d-104575,2026-02-27T10:48:01.776155+00:00
0,Test Engineer | Germany,solcom,Test En­gi­neer ICT (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-104533,2026-02-27T10:48:01.776247+00:00
0,Test Engineer | Germany,solcom,Ve­ri­fi­ka­ti­ons- / Qua­li­fi­ka­ti­ons- / Va­li­die­rungs­in­ge­nieur im Be­reich Luft­fahrt (m/w/d),SOLCOM Client,"Remote, Lindau am Bodensee",Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikations-qualifikations-validierungsingenieur-im-bereich-luftfahrt-m-w-d-104465,2026-02-27T10:48:01.776329+00:00
0,Test Engineer | Germany,solcom,En­gi­neer Wind­park Steue­rung/Con­fi­gu­ra­ti­on En­gi­neer (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-configuration-engineer-m-w-d-104410,2026-02-27T10:48:01.776414+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"CH, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-27T10:48:01.776511+00:00
0,Test Engineer | Germany,solcom,Sys­tem­ver­ant­wort­li­cher- Ma­ri­ti­me Sub­sys­te­me - Werft­um­feld (Na­vi­ga­ti­on/Kom­mu­ni­ka­ti­on/Com­bat) (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-27T10:48:01.776594+00:00
0,Test Engineer | Germany,solcom,Au­to­mo­ti­ve Sys­tem Test En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-27T10:48:01.776754+00:00
0,Test Engineer | Germany,solcom,Re­si­dent En­gi­neer (Teil­zeit/part time 80%) (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-27T10:48:01.776834+00:00
0,Test Engineer | Germany,solcom,HPC Sys­tem/Soft­ware En­gi­neer (m/w/d),SOLCOM Client,"Remote, D4",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-27T10:48:01.776913+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur im Be­reich Spreng­stoff (m/w/d),SOLCOM Client,"D2, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-02-27T10:49:07.611880+00:00
0,Testingenieur | Germany,solcom,Soft­ware-/Sys­tem Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,"D8, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-27T10:49:07.611992+00:00
0,Test Automation | Germany,solcom,Jira & At­las­si­an Ex­per­te (m/w/d),SOLCOM Client,"D2, Lüneburg",On-site,Freelance,,Jira,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-02-27T10:50:07.765407+00:00
0,Test Automation | Germany,solcom,SPS/PLC CODE­SYS & Twin­CAT (Be­ck­hoff) Ent­wick­ler mit ST (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-02-27T10:50:07.765588+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-27T10:50:07.765673+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-02-27T10:52:08.587643+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","Machine Learning, R, Esp32",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-02-27T10:53:08.552710+00:00
