relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,Ci/Cd,"Jira, Lead, R, Freelancer, Safe, Scrum, Zephyr, Rest Api",German,"Freelancer, Lead, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104100,2026-02-11T20:36:23.684631+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Em­bed­ded Com­mu­ni­ca­ti­ons En­gi­neer (C/C++ / ARM/FPGA) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,"Arm, C, C++",Fpga,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-communications-engineer-c-c-arm-fpga-m-w-d-104265,2026-02-11T20:38:25.181214+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"CH, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-11T20:38:25.181349+00:00
0,Test Engineer | Germany,solcom,Sys­tem En­gi­neer Ma­ri­ne Sys­te­me (Na­vi­ga­ti­on / Kom­mu­ni­ka­ti­on / Com­bat) (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-11T20:38:25.181458+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"Can, System Testing, Test Automation","R, Canoe",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-11T20:38:25.181697+00:00
0,Test Engineer | Germany,solcom,Test En­gi­neer ICT (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-103885,2026-02-11T20:38:25.182094+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D6, Frankfurt am Main",Remote,Freelance,"C, Java, Javascript, Python","Sql, R, Snowflake, C#",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-ot-daten-und-automatisierungsspezialist-fuer-arc-eoee-integration-m-w-d-103862,2026-02-11T20:38:25.182192+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Stuttgart",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-104254,2026-02-11T20:39:27.240146+00:00
0,Testingenieur | Germany,solcom,Soft­ware­ent­wick­ler- Da­ten­er­fas­sungs­soft­ware für Prüf­stän­de (m/w/d),SOLCOM Client,Deutschland,On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-datenerfassungssoftware-fuer-pruefstaende-m-w-d-103986,2026-02-11T20:39:27.240309+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-11T20:40:26.757025+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, remote",Remote,Freelance,"C, C++, Ci/Cd, Python","Jira, Confluence, Git, Linux, R, Docker, Gitlab, Powershell",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-ci-cd-pipelines-gitlab-m-w-d-104229,2026-02-11T20:42:28.568178+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Bodensee Region",Remote,Freelance,Python,"R, Linux",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/messtechnikingenieur-optik-m-w-d-104217,2026-02-11T20:42:28.568298+00:00
