relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
33,QA Engineer | Germany,gulp,SeniorQAEngineer(m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,"Specialist, Senior",,"Senior, Architect, Expert",,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e417f7e4059811f196d7a2d1b5394681,2026-02-09T11:21:16.855816+00:00
20,Python Test | Germany,gulp,Citrix Expert (m/f/d),SOLCOM GmbH,"D4, Essen (Ruhr)",On-site,Freelance,,Expert,,Expert,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/extern/a4aedb2a05a911f196d7a2d1b5394681,2026-02-09T11:23:00.211021+00:00
20,Firmware Engineer | Germany,gulp,CommissioningEngineer- PLC Programmer (m/f/d),SOLCOM GmbH,D8,On-site,Freelance,,Expert,,Expert,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/extern/a3c03c7c05a911f196d7a2d1b5394681,2026-02-09T11:23:13.659668+00:00
0,Tester | Germany,gulp,Testerfor QA/QC support (m/f/d),SOLCOM GmbH,D7,On-site,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e367270c059811f196d7a2d1b5394681,2026-02-09T11:21:02.730684+00:00
0,Tester | Germany,gulp,Automotive SystemTest Engineer(m/f/d),SOLCOM GmbH,D7,On-site,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/f4ffe8dc059811f196d7a2d1b5394681,2026-02-09T11:21:02.731275+00:00
0,Tester | Germany,gulp,Frontendtester(m/f/d) - 100% Onsite,GULP Client,Darmstadt,On-site,Freelance,,"Confluence, Git, Jira","German, English",,,5 days ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01236422,2026-02-09T11:21:02.736007+00:00
0,Tester | Germany,gulp,Embedded SoftwareTester(m/f/d),SOLCOM GmbH,D7,On-site,Freelance,Can,Manual Testing,"German, English",,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/555761aefb7311f096d7a2d1b5394681,2026-02-09T11:21:02.736558+00:00
0,Tester | Germany,gulp,Test EngineerICT (m/f/d),SOLCOM GmbH,D4,On-site,Freelance,,,,,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/44c67122fb7311f096d7a2d1b5394681,2026-02-09T11:21:02.740174+00:00
0,Tester | Germany,gulp,Software/SystemTest Engineer(m/f/d),SOLCOM GmbH,"D8, remote",Remote,Freelance,,"Aspice, Iso 26262, Specialist",English,,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/1b236690fb7311f096d7a2d1b5394681,2026-02-09T11:21:02.740797+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),VOQUZ IT Solutions GmbH,Wien/remote,Remote,Freelance,"Selenium, Test Automation, Java","Confluence, Git, Jira, Sql",,,,25.09.2024,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-02-09T11:21:02.744190+00:00
0,QA Engineer | Germany,gulp,"Designengineerfor product development, mechanical and plantengineering(m/f/d)",SOLCOM GmbH,"D7, Stuttgart",On-site,Freelance,,,,,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/extern/6a471f5e05a111f196d7a2d1b5394681,2026-02-09T11:21:16.851527+00:00
0,QA Engineer | Germany,gulp,Inventor DesignEngineer(m/f/d),SOLCOM GmbH,D7,On-site,Freelance,,,,,,22 minutes ago,https://www.gulp.de/gulp2/g/projekte/extern/6f10de8005a111f196d7a2d1b5394681,2026-02-09T11:21:16.853441+00:00
0,QA Engineer | Germany,gulp,Calculator civilengineeringand road construction (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/db253c82059811f196d7a2d1b5394681,2026-02-09T11:21:16.854425+00:00
0,QA Engineer | Germany,gulp,Project Manager Reserve Transformer (Pumped Storage Power Plant) (m/f/d),SOLCOM GmbH,"D7, Remote",Remote,Freelance,,"Transformer, Project Manager",German,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e3c041ca059811f196d7a2d1b5394681,2026-02-09T11:21:16.855328+00:00
0,QA Engineer | Germany,gulp,PLC Programmer Beckhoff TwinCAT and/or WAGO CODESYS (m/f/d),SOLCOM GmbH,siehe Beschreibung,On-site,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e1f57fae059811f196d7a2d1b5394681,2026-02-09T11:21:16.856438+00:00
0,QA Engineer | Germany,gulp,ProjectEngineer/ Work Preparation (m/f/d),SOLCOM GmbH,"D2, Remote",Remote,Freelance,Can,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/f0313cc0059811f196d7a2d1b5394681,2026-02-09T11:21:16.857524+00:00
0,QA Engineer | Germany,gulp,CivilEngineeringSupervisor (m/f/d),SOLCOM GmbH,D9,On-site,Freelance,C,,German,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/dda7f97c059811f196d7a2d1b5394681,2026-02-09T11:21:16.858445+00:00
0,Test Automation | Germany,gulp,Angular Developer (m/f/d),SOLCOM GmbH,"D6, Frankfurt am Main",On-site,Freelance,"Test Automation, Jenkins, Java, Typescript","Soapui, Angular, Spring",,,,23 minutes ago,https://www.gulp.de/gulp2/g/projekte/extern/691dc5ce05a111f196d7a2d1b5394681,2026-02-09T11:22:28.554506+00:00
0,Test Automation | Germany,gulp,GIS Developer (m/f/d),GULP Client,Hanover,Remote,Freelance,Python,Postgresql,,,,5 days ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01236517,2026-02-09T11:22:28.555465+00:00
0,Test Automation | Germany,gulp,4378 Business Analyst (m/f/d),ACG GmbH,Frankfurt am Main & Remote,Remote,Freelance,Test Automation,,"German, English",,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/a9f46f8afb6f11f0b973a2d1b5394681,2026-02-09T11:22:28.558349+00:00
0,Test Automation | Germany,gulp,Test automationengineer for archive systems,GULP Client,"Frankfurt, überwiegend remote",Remote,Freelance,Test Automation,,,,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/direkt/6978598a7ada91e76a3ef86d,2026-02-09T11:22:28.559470+00:00
0,Test Automation | Germany,gulp,Wallstreet Suite (WSS) - Multiple roles (f/m/d),GULP Client,Frankfurt am Main,Remote,Freelance,Test Automation,,,,,3 weeks ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01229760,2026-02-09T11:22:28.560028+00:00
0,Python Developer | Germany,gulp,FrontendDeveloper(m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,"C, Javascript",".Net Core, Azure, Bootstrap, Tailwind, C#, Asp.Net",,,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/extern/9faa6b3005a911f196d7a2d1b5394681,2026-02-09T11:22:45.692204+00:00
0,Python Developer | Germany,gulp,VBA SoftwareDeveloper(m/f/d),SOLCOM GmbH,"D5, Köln",On-site,Freelance,,,,,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/extern/6b9444f405a111f196d7a2d1b5394681,2026-02-09T11:22:45.693219+00:00
0,Python Developer | Germany,gulp,SAP BWDeveloper(m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,,,,,23 minutes ago,https://www.gulp.de/gulp2/g/projekte/extern/6bf3903005a111f196d7a2d1b5394681,2026-02-09T11:22:45.693920+00:00
0,Python Developer | Germany,gulp,ABAP/FormDeveloper(m/f/d),SOLCOM GmbH,"D2, remote",Remote,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e4f7d9e0059811f196d7a2d1b5394681,2026-02-09T11:22:45.694728+00:00
0,Python Developer | Germany,gulp,"Frontend FullstackDeveloperFocus Frontend Vue 3, Backend Node.js (m/f/d)",SOLCOM GmbH,Remote,Remote,Freelance,,Node.Js,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/f408dcae059811f196d7a2d1b5394681,2026-02-09T11:22:45.695386+00:00
0,Python Developer | Germany,gulp,Product designer/CAD designer for prototype (drinking cup) (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e5a4b552059811f196d7a2d1b5394681,2026-02-09T11:22:45.695928+00:00
0,Python Developer | Germany,gulp,JAVA / ABAP ApplicationDeveloper(m/f/d),SOLCOM GmbH,"Remote, München",Remote,Freelance,Java,"Spring, Hibernate, Specialist",,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/cff266f0059811f196d7a2d1b5394681,2026-02-09T11:22:45.696448+00:00
0,Python Test | Germany,gulp,IT Security Specialist (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,Specialist,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/f59e7222059811f196d7a2d1b5394681,2026-02-09T11:23:00.217002+00:00
0,Python Test | Germany,gulp,SAP Business Analyst (m/f/d),SOLCOM GmbH,"Remote, München",Remote,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/f6f00c94059811f196d7a2d1b5394681,2026-02-09T11:23:00.217429+00:00
0,Python Test | Germany,gulp,Commissioning engineer / technician with experience in synchronous machines/synchronous generators/turbines (m/f/d),SOLCOM GmbH,"D2, Kiel",On-site,Freelance,,,,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/d9cd5e6e059811f196d7a2d1b5394681,2026-02-09T11:23:00.217955+00:00
