relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Germany,On-site,Freelance,"Integration Testing, Unit Testing",Regression Testing,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-03-09T11:19:11.528079+00:00
0,QA Engineer | Germany,gulp,Construction Manager - Refinery (m/f/d),GULP Client,Location: Karlsruhe,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/618cbabc1ba011f189e08e417b6a1e17,2026-03-09T11:20:02.819680+00:00
0,QA Engineer | Germany,gulp,Pipeline planner/designer (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f4b483281b9711f189e08e417b6a1e17,2026-03-09T11:20:02.821066+00:00
0,QA Engineer | Germany,gulp,Siclimat X - CommissioningEngineer(m/f/d),GULP Client,Location: Deutschland,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/767d6886197f11f189e08e417b6a1e17,2026-03-09T11:20:02.822500+00:00
0,QA Engineer | Germany,gulp,Project Estimator for CivilEngineeringProjects (m/f/d),GULP Client,Location: Dortmund,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/75fc4904197f11f189e08e417b6a1e17,2026-03-09T11:20:02.822977+00:00
0,QA Engineer | Germany,gulp,Aurea CRM Developers & Consultants (m/f/d) Remote,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69aafa86268721d3fdea4f67,2026-03-09T11:20:02.823555+00:00
0,QA Engineer | Germany,gulp,DevOps PlatformEngineer(m/f/d) - 90% remote,GULP Client,Location: Cologne,Remote,Freelance,,Devops,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250750,2026-03-09T11:20:02.824018+00:00
0,QA Engineer | Germany,gulp,Project Manager in Risk Management (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/b17cc398196e11f189e08e417b6a1e17,2026-03-09T11:20:02.824582+00:00
0,QA Engineer | Germany,gulp,Technical Product Owner (m/f/d) CMS System,GULP Client,Location: Bielefeld,Remote,Freelance,,Product Owner,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250398,2026-03-09T11:20:02.825057+00:00
0,Test Automation | Germany,gulp,iOS Developer (m/f/d),GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247523,2026-03-09T11:22:30.928820+00:00
0,Test Automation | Germany,gulp,GIS Developer (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01236517,2026-03-09T11:22:30.930265+00:00
0,Python Developer | Germany,gulp,ExperiencedDeveloper- GEO Data (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/b05e7db21ba811f189e08e417b6a1e17,2026-03-09T11:23:19.878191+00:00
0,Python Developer | Germany,gulp,"Backenddeveloper(m/f/d) - SAP, ABAP/CDS views, SQLScript",GULP Client,Location: Frankfurt am Main,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250442,2026-03-09T11:23:19.881018+00:00
0,Python Developer | Germany,gulp,SAP SuccessFactors / SAP HCM Integration Specialist (m/f/d) Parttime 25% Remote,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69aaf518268721d3fdea4d0a,2026-03-09T11:23:19.884914+00:00
0,Python Test | Germany,gulp,"Data Scientist (m/f/d) (AI Agents, LangChain/LangGraph &Python)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,"Ai Agents, Langchain, Python",,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01248973,2026-03-09T11:24:10.848740+00:00
0,Python Test | Germany,gulp,IT Project Manager in the Insurance Sector (m/f/d),GULP Client,Location: München,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69aaa3b7058cee16a93178c7,2026-03-09T11:24:10.850210+00:00
0,Python Test | Germany,gulp,Construction supervisor for civil engineering (m/f/d),GULP Client,Location: D9,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6a4acbb4193c11f189e08e417b6a1e17,2026-03-09T11:24:10.850671+00:00
0,Python Test | Germany,gulp,Software Developer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250187,2026-03-09T11:24:10.851106+00:00
0,Firmware Engineer | Germany,gulp,ProjectEngineer/Work Preparation (m/f/d),GULP Client,"Location: D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8e0643b2195511f189e08e417b6a1e17,2026-03-09T11:25:02.188672+00:00
