relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior RPA Entwickler – UiPath Automation Cloud & Prozessautomatisierung,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,11:23,https://www.freelancermap.de/projekt/senior-rpa-entwickler-uipath-automation-cloud-und-prozessautomatisierung,2026-04-09T11:27:05.584678+00:00
0,Tester | Germany,freelancermap,COBOL Entwickler (m/w/d) – Öffentlicher Sektor,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,,English,,,05.04.2026,https://www.freelancermap.de/projekt/cobol-entwickler-m-w-d-oeffentlicher-sektor,2026-04-09T11:27:05.584592+00:00
0,Tester | Germany,freelancermap,Business Process Owner (m/w/d) – SAP / Data & UAT / 6 Monate + Freiberuflich,Freelancermap Client,Köln Deutschland,On-site,Freelance,,,English,,,11:18,https://www.freelancermap.de/projekt/business-process-owner-m-w-d-sap-data-und-uat-6-monate-freiberuflich,2026-04-09T11:27:05.584845+00:00
0,Tester | Germany,freelancermap,"Wissenschaftliche Begleitung (m/w/d) für Evaluation, Datenanalyse und Transfer von KI-PoCs (6402)",Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,,R,German,,,11:16,https://www.freelancermap.de/projekt/wissenschaftliche-begleitung-m-w-d-fuer-evaluation-datenanalyse-und-transfer-von-ki-pocs-6402,2026-04-09T11:27:05.585098+00:00
0,Tester | Germany,freelancermap,Orbis - KIS - Krankenhaus - Klinik Beratung (m/w/d),Freelancermap Client,Köln Deutschland,On-site,Freelance,,,English,,,11:09,https://www.freelancermap.de/projekt/orbis-kis-krankenhaus-klinik-beratung-m-w-d,2026-04-09T11:27:05.585265+00:00
0,Tester | Germany,freelancermap,Interim PMO (m/w/d) – Wholesale Banking - Frankfurt,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,,English,,,11:00,https://www.freelancermap.de/projekt/interim-pmo-m-w-d-wholesale-banking-frankfurt,2026-04-09T11:27:05.585350+00:00
0,Tester | Germany,freelancermap,Projektassistenz  / Project Management Office (PMO) (m/w/d),Freelancermap Client,D6 Deutschland,On-site,Freelance,,,English,,,10:59,https://www.freelancermap.de/projekt/projektassistenz-project-management-office-pmo-m-w-d,2026-04-09T11:27:05.585439+00:00
0,Tester | Germany,freelancermap,Projektleiter Fahrleitungsbau (m/w/d),Freelancermap Client,D9 Deutschland,On-site,Freelance,,Project Manager,English,,,10:59,https://www.freelancermap.de/projekt/projektleiter-fahrleitungsbau-m-w-d,2026-04-09T11:27:05.585516+00:00
0,Tester | Germany,freelancermap,Flutter / Dart Entwickler (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,Dart,English,,,10:59,https://www.freelancermap.de/projekt/flutter-dart-entwickler-m-w-d-2988135,2026-04-09T11:27:05.585597+00:00
0,Tester | Germany,freelancermap,IT Server Spezialist (m/w/d),Freelancermap Client,keine Angabe Deutschland,On-site,Freelance,,,English,,,10:59,https://www.freelancermap.de/projekt/it-server-spezialist-m-w-d-2988133,2026-04-09T11:27:05.585755+00:00
0,Tester | Germany,freelancermap,Oberbauleiter Netzanschlussgebäude (m/w/d),Freelancermap Client,D2 Deutschland,On-site,Freelance,,,English,,,10:59,https://www.freelancermap.de/projekt/oberbauleiter-netzanschlussgebaeude-m-w-d,2026-04-09T11:27:05.585836+00:00
0,Tester | Germany,freelancermap,Freelance Inbetriebnahmeingenieur:in Leit- und Schutztechnik Umspannwerke,Freelancermap Client,Freiburg Deutschland,On-site,Freelance,,,German,,,10:51,https://www.freelancermap.de/projekt/freelance-inbetriebnahmeingenieur-in-leit-und-schutztechnik-umspannwerke,2026-04-09T11:27:05.585918+00:00
