relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,IT Service Process & Provider Management Expert,Freelancermap Client,Berlin Dresden Potsdam Deutschland,On-site,Freelance,,Expert,English,Expert,,09:57,https://www.freelancermap.de/projekt/it-service-process-und-provider-management-expert,2026-07-13T12:57:04.565450+00:00
0,Tester | Germany,freelancermap,Requirements Engineer Middleware / eCommerce (m/w/d) 50-50020-F-CO,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,,English,,,12:43,https://www.freelancermap.de/projekt/requirements-engineer-middleware-ecommerce-m-w-d-50-50020-f-co,2026-07-13T12:57:04.566100+00:00
0,Tester | Germany,freelancermap,PMO (m/w/d) mit Versicherungserfahrung - 2 Tage vor in Ort Dortmund,Freelancermap Client,Dortmund Deutschland,On-site,Freelance,,,German,,,12:43,https://www.freelancermap.de/projekt/pmo-m-w-d-mit-versicherungserfahrung-2-tage-vor-in-ort-dortmund,2026-07-13T12:57:04.566156+00:00
0,Tester | Germany,freelancermap,Cloud Spezialist KMS (m/w/d) - Fullremote,Freelancermap Client,Stuttgart Deutschland,Remote,Freelance,,,English,,,12:40,https://www.freelancermap.de/projekt/cloud-spezialist-kms-m-w-d-fullremote,2026-07-13T12:57:04.566209+00:00
0,Tester | Germany,freelancermap,Neues Projekt: Beratung im Kubernetesumfeld (m/w/x),Freelancermap Client,München Deutschland,On-site,Freelance,,,English,,,12:40,https://www.freelancermap.de/projekt/neues-projekt-beratung-im-kubernetesumfeld-m-w-x,2026-07-13T12:57:04.566267+00:00
0,Tester | Germany,freelancermap,Microsoft Purview Administrator / Data Security Specialist (m/w/d),Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,12:38,https://www.freelancermap.de/projekt/microsoft-purview-administrator-data-security-specialist-m-w-d,2026-07-13T12:57:04.566326+00:00
0,Tester | Germany,freelancermap,Deputy Manager EUC & Digital Workplace (m/w/d),Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,12:34,https://www.freelancermap.de/projekt/deputy-manager-euc-und-digital-workplace-m-w-d,2026-07-13T12:57:04.566393+00:00
0,Tester | Germany,freelancermap,PMO (m/w/d) mit Versicherungserfahrungen,Freelancermap Client,Dortmund Deutschland,On-site,Freelance,,,German,,,12:32,https://www.freelancermap.de/projekt/pmo-m-w-d-mit-versicherungserfahrungen,2026-07-13T12:57:04.566460+00:00
0,Tester | Germany,freelancermap,Versicherungsspezialist (m/w/d),Freelancermap Client,Osnabrück Deutschland,On-site,Freelance,,,English,,,12:29,https://www.freelancermap.de/projekt/versicherungsspezialist-m-w-d,2026-07-13T12:57:04.566576+00:00
0,Tester | Germany,freelancermap,Prozess- und Governance-Spezialist Konzernrichtlinien & Kontrollsysteme (m/w/d),Freelancermap Client,Eschborn Deutschland,On-site,Freelance,,,German,,,12:27,https://www.freelancermap.de/projekt/prozess-und-governance-spezialist-konzernrichtlinien-und-kontrollsysteme-m-w-d,2026-07-13T12:57:04.566636+00:00
0,Test Engineer | Switzerland,freelancermap,AFRA-10727-Full Stack Entwickler (m/w/d),Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,,English,,,12:59,https://www.freelancermap.de/projekt/afra-10727-full-stack-entwickler-m-w-d,2026-07-13T12:59:58.847339+00:00
0,Testingenieur | Remote,freelancermap,Junior Solution Cybersecurity Coordinator (m/w/d),Freelancermap Client,Düsseldorf Deutschland,On-site,Freelance,,Junior,English,,,13:01,https://www.freelancermap.de/projekt/junior-solution-cybersecurity-coordinator-m-w-d,2026-07-13T13:01:27.324293+00:00
0,Test Automation | Germany,freelancermap,IT-Support / Systemtechniker (m/w/d) in Rotenburg a. d. Fulda gesucht,Freelancermap Client,Rotenburg an der Fulda Deutschland,On-site,Freelance,,,German,,,13:01,https://www.freelancermap.de/projekt/it-support-systemtechniker-m-w-d-in-rotenburg-a-d-fulda-gesucht,2026-07-13T13:01:44.445790+00:00
0,Test Automation | Germany,freelancermap,EPLAN ProD Konstrukteur (w/m/d),Freelancermap Client,Koblenz Deutschland,On-site,Freelance,,,English,,,13:01,https://www.freelancermap.de/projekt/eplan-prod-konstrukteur-w-m-d,2026-07-13T13:01:44.445846+00:00
0,Test Automation | Switzerland,freelancermap,Interim IT-Leiter (m/w/d),Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,,English,,,13:01,https://www.freelancermap.de/projekt/interim-it-leiter-m-w-d-3022654,2026-07-13T13:02:18.898832+00:00
0,Python Test | Germany,freelancermap,"DevOps Entwickler (.NET, React, OpenShift) (m/w/d) 100% remote ID03063",Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,"Devops, React, Openshift",English,,,13:03,https://www.freelancermap.de/projekt/devops-entwickler-net-react-openshift-m-w-d-100-prozent-remote-id03063,2026-07-13T13:04:01.926530+00:00
0,Python Test | Switzerland,freelancermap,System Engineer (m/w/d) mit Sophos-Kenntnissen in Festanstellung gesucht! Budget: *****€,Freelancermap Client,Frankfurt Bornheim Deutschland,On-site,Freelance,,,German,,,13:04,https://www.freelancermap.de/projekt/system-engineer-m-w-d-mit-sophos-kenntnissen-in-festanstellung-gesucht-budget-euro,2026-07-13T13:04:36.928062+00:00
0,Firmware Engineer | Germany,freelancermap,Software Entwickler (m/w/d) Tool Update VS17 - Arbeitnehmerüberlassung - Stuttgart,APRIORI - business solutions AG,Stuttgart Deutschland,Hybrid,Freelance,"C, C++, Ci/Cd, Jenkins, Python","Devops, R, Powershell, Gitlab Ci, Gitlab",German,,,13:04,https://www.freelancermap.de/projekt/software-entwickler-m-w-d-tool-update-vs17-arbeitnehmerueberlassung-stuttgart,2026-07-13T13:05:12.061420+00:00
