relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,SAP EWM Consultant (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255434,2026-03-19T11:15:14.421720+00:00
14,Python Developer | Germany,gulp,Technical Consultant Camunda 8 (m/f/d) - BPMN/DMN - Remote / Part-time up to 75%,GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bab0f605864ab5b2e739cb,2026-03-19T11:19:24.957618+00:00
14,Python Test | Germany,gulp,Cloud Consultant (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255959,2026-03-19T11:20:15.403818+00:00
14,Firmware Engineer | Germany,gulp,Pega System Architect / SeniorEngineer(m/f/d) Kubernetes Openshift - Parttime Remote,GULP Client,Location: Remote,Remote,Freelance,,"Architect, System Architect, Kubernetes, Openshift",English,"Architect, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b7b6da268721d3fdee118b,2026-03-19T11:21:04.716537+00:00
0,Tester | Germany,gulp,Integrationtester(m/f/d),GULP Client,Location: Bonn,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255245,2026-03-19T11:15:14.422633+00:00
0,Tester | Germany,gulp,SoftwareTesterOSPlus Credit (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255033,2026-03-19T11:15:14.423066+00:00
0,Tester | Germany,gulp,Softwaretesterspecializing in automation (ISTQB),GULP Client,Location: Lemwerder,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255150,2026-03-19T11:15:14.423477+00:00
0,Tester | Germany,gulp,Quality /Test Engineer(m/f/d) - Spock or Fitnesse,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253694,2026-03-19T11:15:14.423885+00:00
0,Tester | Germany,gulp,Test Technician / LabVIEW Test Bench (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8164693218a511f189e08e417b6a1e17,2026-03-19T11:15:14.424373+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d) Verification & Validation,GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-03-19T11:15:14.424693+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-03-19T11:15:14.425108+00:00
0,Tester | Germany,gulp,4389 Banking applicationtester(m/f/d),GULP Client,Location: Münster,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/028cfdd410b411f196d7a2d1b5394681,2026-03-19T11:15:14.425509+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-03-19T11:15:14.426235+00:00
0,QA Engineer | Germany,gulp,"IT SystemEngineer- Storage, Backup & Virtualization (m/f/d)",GULP Client,"Location: Gilching, Erlangen",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bacc8805864ab5b2e77d32,2026-03-19T11:16:05.828220+00:00
0,QA Engineer | Germany,gulp,Technical Business Analyst (m/f/d) – Grid Analysis & Control Center Systems,GULP Client,Location: Neuenhagen bei Berlin,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256142,2026-03-19T11:16:05.829572+00:00
0,QA Engineer | Germany,gulp,DevOps / Cloud Native Engineer (m/f/d) with IAM &amp; Jboss Know How - Remote &amp; Stuttgart,GULP Client,Germany,Remote,Freelance,"Bash, Ci/Cd, Go, Java, Python","Devops, Kubernetes, Prometheus, Gitlab, Grafana, Terraform, Github",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69ba998205864ab5b2e715af,2026-03-19T11:16:05.831527+00:00
0,QA Engineer | Germany,gulp,Codebeamer Update to Version 3.2.x (m/f/d),GULP Client,Location: Böblingen,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255910,2026-03-19T11:16:05.833311+00:00
0,QA Engineer | Germany,gulp,Microsoft 365 Copilot Trainer (m/f/d),GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255411,2026-03-19T11:16:05.835131+00:00
0,Test Automation | Germany,gulp,Fullstack Developer (m/f/d) C# (ASP.Net) and Typescript (Angular),GULP Client,Location: Hanover,Remote,Freelance,"C, Typescript","C#, Angular",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256381,2026-03-19T11:18:35.023437+00:00
0,Test Automation | Germany,gulp,"Developer (m/f/d) - MS SQL database, ASP.net",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Sql,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255174,2026-03-19T11:18:35.024401+00:00
0,Test Automation | Germany,gulp,iOS Developer (m/f/d),GULP Client,"Location: Essen, Ruhr",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247523,2026-03-19T11:18:35.028415+00:00
0,Python Developer | Germany,gulp,PMO Support (m/f/d) - with experience in a corporate environment,GULP Client,Location: Herzogenaurach,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256220,2026-03-19T11:19:24.953576+00:00
0,Python Developer | Germany,gulp,PythonDeveloperML (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bbca1f05864ab5b2e7f932,2026-03-19T11:19:24.954086+00:00
0,Python Developer | Germany,gulp,Application Specialist (m/f/d),GULP Client,Location: Wien,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bbc5905b755535eac40b5c,2026-03-19T11:19:24.954558+00:00
0,Python Developer | Germany,gulp,PythonDeveloperNLP,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bbbfad05864ab5b2e7b6c2,2026-03-19T11:19:24.955062+00:00
0,Python Developer | Germany,gulp,Remote: Lotus NotesDeveloper(m/f/d) POS180301d Project in the Finance/Banking Environment,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bae9d65b755535eac3dcf2,2026-03-19T11:19:24.955557+00:00
0,Python Developer | Germany,gulp,"BackendDeveloper(m/f/d) -Python, FastAPI or Flask",GULP Client,Location: Munich,Remote,Freelance,Python,"Flask, Fastapi",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255947,2026-03-19T11:19:24.958019+00:00
0,Python Test | Germany,gulp,2PythonDevelopers for expanding AI portfolio infrastructure (financial models) ML / NLP (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,Nlp,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255853,2026-03-19T11:20:15.404994+00:00
0,Firmware Engineer | Germany,gulp,"Trainer on the topic of ""Effective drafting of construction contracts""",GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69b7d304fda4e803b5202b81,2026-03-19T11:21:04.716070+00:00
0,Firmware Engineer | Germany,gulp,SystemEngineer(m/f/d) Microsoft / Linux / Citrix App Layering,GULP Client,Location: remote,Remote,Freelance,,Linux,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b44564058cee16a934e7f7,2026-03-19T11:21:04.717405+00:00
