relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Location: D3,On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-02-15T11:00:52.742022+00:00
14,Python Developer | Germany,gulp,Senior Project Manager (m/f/d) - Global HR Data Migration (SAP SF/HCM),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Senior, Project Manager",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240880,2026-02-15T11:04:57.658088+00:00
14,Python Developer | Germany,gulp,SAP ISU Consultant Device Change (m/f/d),GULP Client,"Location: Remote, GR Düsseldorf",Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ba49b88208c511f196d7a2d1b5394681,2026-02-15T11:04:57.659592+00:00
14,Python Developer | Germany,gulp,SAP-ISU Consultant Measurement Complaints (m/f/d),GULP Client,"Location: Remote, GR Düsseldorf",Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/beefc62408c511f196d7a2d1b5394681,2026-02-15T11:04:57.660136+00:00
14,Python Developer | Germany,gulp,AI Systems Architect (Industrial ML) (m/f/d),GULP Client,"Location: Remote, Konstanz",Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4afe71fa08bd11f196d7a2d1b5394681,2026-02-15T11:04:57.660694+00:00
14,Python Developer | Germany,gulp,"Solutions Architect for an IT architecture for connections, feeders and MSB (m/f/d)",GULP Client,Location: Remote,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7141e190083f11f196d7a2d1b5394681,2026-02-15T11:04:57.661706+00:00
14,Python Developer | Germany,gulp,SAP FI-CA / SAP for Utilities Consultant (m/f/d),GULP Client,"Location: Karlsruhe, Baden",Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240611,2026-02-15T11:04:57.663112+00:00
14,Python Test | Germany,gulp,"SAP Consultant e.g. SAP HCM PY, SAP HCM PA, SAP Solution Manager, etc. (f/m/d)",GULP Client,Location: Munich,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240554,2026-02-15T11:05:48.047085+00:00
14,Python Test | Germany,gulp,"SAP S/4 HANA CSV Consultant, e-Compliance / IT Governance, QA (m/f/d)",GULP Client,Location: Munich,On-site,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240607,2026-02-15T11:05:48.047466+00:00
0,Tester | Germany,gulp,Test engineer (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4888478206ad11f196d7a2d1b5394681,2026-02-15T11:00:52.742557+00:00
0,Tester | Germany,gulp,Tester for QA/QC support (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e367270c059811f196d7a2d1b5394681,2026-02-15T11:00:52.743044+00:00
0,Tester | Germany,gulp,Automotive SystemTest Engineer(m/f/d),GULP Client,Location: D7,On-site,Freelance,System Testing,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f4ffe8dc059811f196d7a2d1b5394681,2026-02-15T11:00:52.743610+00:00
0,Tester | Germany,gulp,Embedded SoftwareTester(m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/555761aefb7311f096d7a2d1b5394681,2026-02-15T11:00:52.744652+00:00
0,Tester | Germany,gulp,Test EngineerICT (m/f/d),GULP Client,Location: D4,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/44c67122fb7311f096d7a2d1b5394681,2026-02-15T11:00:52.745102+00:00
0,Tester | Germany,gulp,Software/System Test Engineer (m/f/d),GULP Client,Germany,Remote,Freelance,,"Iso 26262, Aspice",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1b236690fb7311f096d7a2d1b5394681,2026-02-15T11:00:52.745682+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-02-15T11:00:52.746529+00:00
0,QA Engineer | Germany,gulp,Product Designer/Designer (m/f/d),GULP Client,"Location: Remote, D7",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/fe271282092111f196d7a2d1b5394681,2026-02-15T11:01:39.788737+00:00
0,QA Engineer | Germany,gulp,Construction Supervisor Track Construction / Superstructure / Rail Lining (m/f/d),GULP Client,"Location: D1, D9, D8",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/14712480091111f196d7a2d1b5394681,2026-02-15T11:01:39.789221+00:00
0,QA Engineer | Germany,gulp,Capital Project Procurement Manager (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d656b046090811f196d7a2d1b5394681,2026-02-15T11:01:39.789709+00:00
0,QA Engineer | Germany,gulp,ElectricalEngineer/ Generator CommissioningEngineer(m/f/d),GULP Client,"Location: D2, Kiel",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d2c2ce7e090811f196d7a2d1b5394681,2026-02-15T11:01:39.790171+00:00
0,QA Engineer | Germany,gulp,"DevOpsEngineer(m/f/d) Backstage.io, Typescript, Node & React Skills - Remote & FFM or Berlin",GULP Client,"Location: Remote, Berlin, FFM",Remote,Freelance,Typescript,React,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698f5c6eb86aec35538f1396,2026-02-15T11:01:39.790744+00:00
0,QA Engineer | Germany,gulp,Document controller (m/f/d),GULP Client,"Location: Remote, Cottbus",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/053bd26c08f811f196d7a2d1b5394681,2026-02-15T11:01:39.791290+00:00
0,QA Engineer | Germany,gulp,HPC & Algorithm Specialist (m/f/d),GULP Client,Location: Berlin,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240993,2026-02-15T11:01:39.791764+00:00
0,QA Engineer | Germany,gulp,Technical Product Designer / CAD Designer (CATIA V5) (m/f/d),GULP Client,Location: D3,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ae354bfe08ef11f196d7a2d1b5394681,2026-02-15T11:01:39.792207+00:00
0,QA Engineer | Germany,gulp,Site Manager - Substations (High Voltage) (m/f/d),GULP Client,Location: Deutschland,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/b09b484408ef11f196d7a2d1b5394681,2026-02-15T11:01:39.792678+00:00
0,QA Engineer | Germany,gulp,CivilEngineerRoad Planning (m/f/d),GULP Client,Location: D4,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/b14e1b9a08ef11f196d7a2d1b5394681,2026-02-15T11:01:39.793131+00:00
0,QA Engineer | Germany,gulp,CAD Designer (CATIA V5) (m/f/d),GULP Client,Location: D3,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a444762e08ef11f196d7a2d1b5394681,2026-02-15T11:01:39.793601+00:00
0,QA Engineer | Germany,gulp,Overhead line planner / routing (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a540d75208ef11f196d7a2d1b5394681,2026-02-15T11:01:39.794140+00:00
0,QA Engineer | Germany,gulp,SystemEngineerfor complex systems in the defense sector (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9af226fc08d611f196d7a2d1b5394681,2026-02-15T11:01:39.795725+00:00
0,Test Automation | Germany,gulp,Application Developer Basic Services (m/f/d),GULP Client,Location: 100% Remote (ca. 147h/Monat),Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/698c94a4096e02712b9e6f87,2026-02-15T11:04:07.488244+00:00
0,Test Automation | Germany,gulp,QA & Test Management Specialist,GULP Client,Location: Bonn,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01239722,2026-02-15T11:04:07.488735+00:00
0,Test Automation | Germany,gulp,GIS Developer (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01236517,2026-02-15T11:04:07.489769+00:00
0,Test Automation | Germany,gulp,Test automationengineer for archive systems,GULP Client,"Location: Frankfurt, überwiegend remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6978598a7ada91e76a3ef86d,2026-02-15T11:04:07.491041+00:00
0,Python Developer | Germany,gulp,Specialist (m/f/d) for Analytics & Dashboarding (Qualtrics / Data Focus) - 100% Remote,GULP Client,Location: Hamburg,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240966,2026-02-15T11:04:57.657056+00:00
0,Python Developer | Germany,gulp,BackendDeveloper(m/f/d),GULP Client,"Location: Remote, , München",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9e5da5e608d611f196d7a2d1b5394681,2026-02-15T11:04:57.657630+00:00
0,Python Developer | Germany,gulp,Technical coordinator (m/f/d) - SQL-Development/Azure Synapse Migration - 10h/week - remote,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Azure, Sql",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240798,2026-02-15T11:04:57.658569+00:00
0,Python Developer | Germany,gulp,2 SQL-Developers(m/f/d) with at least basic skills in Azure Synapse - remote,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Azure, Sql",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240651,2026-02-15T11:04:57.659033+00:00
0,Python Developer | Germany,gulp,Interim Accountant / Bookkeeper (m/f/d),GULP Client,"Location: Münster, Westfalen",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/698ed26f295bf531e8a0ee63,2026-02-15T11:04:57.661143+00:00
0,Python Developer | Germany,gulp,System Engineer - Antennas and Antenna Distribution System (m/f/d),GULP Client,Location: D2,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6488b6ae083f11f196d7a2d1b5394681,2026-02-15T11:04:57.662157+00:00
0,Python Developer | Germany,gulp,IT Project Manager (m/f/d),GULP Client,Location: Munich,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240641,2026-02-15T11:04:57.662660+00:00
0,Python Test | Germany,gulp,Project Manager - Benchmarking (m/f/d),GULP Client,"Location: Remote, Bodensee Region",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/00a8df5608f811f196d7a2d1b5394681,2026-02-15T11:05:48.041666+00:00
0,Python Test | Germany,gulp,Technical Application Management,GULP Client,Location: remote - Düsseldorf,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698f01227f42557b82e04b9b,2026-02-15T11:05:48.045146+00:00
0,Python Test | Germany,gulp,Project Manager IT Infrastructure (m/f/d) with knowledge of statutory accident insurance,GULP Client,Location: Munich,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240602,2026-02-15T11:05:48.046628+00:00
0,Firmware Engineer | Germany,gulp,Site manager/sub-project manager civilengineering(m/f/d),GULP Client,"Location: Deutschland, Nordwest",On-site,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/88aace0408d611f196d7a2d1b5394681,2026-02-15T11:06:38.883817+00:00
