relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Bauüberwacher Tief- und Hochbau (m/w/d),Hays Client,Köln,On-site,Contract,,,German,Contractor,,10.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauueberwacher-tief--und-hochbau-koeln-843837/1,2026-02-21T10:30:07.273418+00:00
14,Python Developer | Germany,hays,(Senior) C++ Developer for Audio Domain for a premium automotive company (m/f/d),Hays Client,Berlin,On-site,Contract,"C, C++, Ci/Cd, Python","Senior, Gitlab, Git, Scrum, Agile, Docker",English,Senior,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-c-developer-for-audio-domain-for-a-premium-automotive-company-berlin-813356/1,2026-02-21T10:32:16.309753+00:00
14,Python Test | Germany,hays,Senior Project Manager Clinical Supply Systems (m/w/d),Hays Client,Großraum Ludwigshafen,On-site,Contract,,"Project Manager, R, Senior",German,Senior,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-project-manager-clinical-supply-systems-grossraum-ludwigshafen-800659/1,2026-02-21T10:32:39.209437+00:00
14,Python Test | Germany,hays,Experte KI Shopfloor (m/w/d),Hays Client,Remote,Remote,Contract,,"Deep Learning, Aws, Expert, Azure",German,Expert,,16.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-ki-shopfloor-remote-844595/1,2026-02-21T10:32:39.210684+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,Senior,German,Senior,,18.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-833642/1,2026-02-21T10:32:39.211446+00:00
0,Tester | Germany,hays,Scrum Master (m/w/d),Hays Client,Hamburg/Remote,Remote,Contract,,"R, Scrum Master, Safe, Agile, Scrum",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-scrum-master-hamburg-remote-861597/1,2026-02-21T10:30:07.269142+00:00
0,Tester | Germany,hays,Quality Assurance Tester (m/w/d),Hays Client,Bayern,On-site,Contract,,R,German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-assurance-tester-bayern-861542/1,2026-02-21T10:30:07.269439+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-02-21T10:30:07.269713+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-02-21T10:30:07.270020+00:00
0,Tester | Germany,hays,Biocomp Manager (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-biocomp-manager-schleswig-holstein-860740/1,2026-02-21T10:30:07.270294+00:00
0,Tester | Germany,hays,Tester Einführung TAP (m/w/d),Hays Client,remote,Remote,Contract,,,German,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-tester-einfuehrung-tap-remote-859990/1,2026-02-21T10:30:07.270553+00:00
0,Tester | Germany,hays,Inbetriebnehmer (m/w/d),Hays Client,Guxhagen,On-site,Contract,,,German,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-inbetriebnehmer-guxhagen-859882/1,2026-02-21T10:30:07.270813+00:00
0,Tester | Germany,hays,OBD Systemvalidierung (m/w/d),Hays Client,Affalterbach,On-site,Contract,Hil,R,German,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-obd-systemvalidierung-affalterbach-859849/1,2026-02-21T10:30:07.271090+00:00
0,Tester | Germany,hays,Softwareentwickler/ eBike System-Tests  (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,29.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler--ebike-system-tests--reutlingen-857277/1,2026-02-21T10:30:07.271355+00:00
0,Tester | Germany,hays,Embedded Python Tester (m/w/d),Hays Client,München/Stuttgart,On-site,Contract,Python,,German,,,28.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-python-tester-muenchen-stuttgart-859116/1,2026-02-21T10:30:07.271608+00:00
0,Tester | Germany,hays,Test Engineer/Operator Dynamic Safety Testing (m/w/d),Hays Client,Oberding,On-site,Contract,,R,German,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-operator-dynamic-safety-testing-oberding-856344/1,2026-02-21T10:30:07.271861+00:00
0,Tester | Germany,hays,Software Developer/Tester C++ (m/w/d),Hays Client,Wedel,On-site,Contract,"C, C++",,German,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-developer-tester-c-wedel-856479/1,2026-02-21T10:30:07.272133+00:00
0,Tester | Germany,hays,Elektroingenieur für Fahrzeugtechnik für Premium-Automobilhersteller (m/w/d),Hays Client,Ludwigsfelde,Remote,Contract,Hil,R,German,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektroingenieur-fuer-fahrzeugtechnik-fuer-premium-automobilhersteller-ludwigsfelde-855681/1,2026-02-21T10:30:07.272391+00:00
0,Tester | Germany,hays,SAP Test- und Prozessingenieur (m/w/d),Hays Client,Markkleeberg/Halle (Saale)/Chemnitz,On-site,Contract,,"R, Confluence",German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sap-test--und-prozessingenieur-markkleeberg-halle-saale-chemnitz-851305/1,2026-02-21T10:30:07.272642+00:00
0,Tester | Germany,hays,Field Application Engineer - WIFI Specialist  (m/w/d),Hays Client,Darmstadt,On-site,Contract,,,German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-field-application-engineer-wifi-specialist--darmstadt-849795/1,2026-02-21T10:30:07.272910+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Sil",Mil,German,,,21.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-02-21T10:30:07.273165+00:00
0,Tester | Germany,hays,IT-Lager- und Asset Management Spezialist (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-lager--und-asset-management-spezialist-berlin-837799/1,2026-02-21T10:30:07.273680+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Chemnitz,On-site,Contract,"Hil, Sil",Mil,German,,,29.08.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-chemnitz-837859/1,2026-02-21T10:30:07.273971+00:00
0,Tester | Germany,hays,Sachbearbeiter in der Wertpapierbesteuerung (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,R,German,,,15.08.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sachbearbeiter-in-der-wertpapierbesteuerung-frankfurt-am-main-835583/1,2026-02-21T10:30:07.274238+00:00
0,QA Engineer | Germany,hays,Qualitätssicherer / QS / Qualitätssicherung (m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,German,,,19.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherer-qs-qualitaetssicherung-hochtaunuskreis-862506/1,2026-02-21T10:30:31.480867+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Devops, Intern, Spring Boot, Git, Angular, Docker",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-02-21T10:30:31.481166+00:00
0,QA Engineer | Germany,hays,Product Quality Engineer QC (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,13.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-quality-engineer-qc-zug-856384/1,2026-02-21T10:30:31.481975+00:00
0,QA Engineer | Germany,hays,KI-Machbarkeits- & Prompt Engineer – Generative Bild & Video (m/w/d),Hays Client,Remote,Remote,Contract,Go,R,German,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ki-machbarkeits--prompt-engineer--generative-bild-video-remote-855004/1,2026-02-21T10:30:31.482233+00:00
0,QA Engineer | Germany,hays,Chief Chemical Engineer / Manager (m/f/d),Hays Client,Denmark,On-site,Contract,,,English,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-chief-chemical-engineer-manager-denmark-855248/1,2026-02-21T10:30:31.482506+00:00
0,QA Engineer | Germany,hays,DevOps Engineer / Data Engineer for Data Platform Solutions  (m/w/d),Hays Client,Poing,On-site,Contract,,"R, Devops",German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-data-engineer-for-data-platform-solutions--poing-852646/1,2026-02-21T10:30:31.483035+00:00
0,QA Engineer | Germany,hays,Qualitätssicherung / QS (m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,German,,,18.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherung-qs-hochtaunuskreis-836345/1,2026-02-21T10:30:31.483536+00:00
0,Test Engineer | Germany,hays,Test Engineer (m/w/d),Hays Client,"Hennigsdorf, Salzgitter",On-site,Contract,,R,German,,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-hennigsdorf-salzgitter-859796/1,2026-02-21T10:30:55.868403+00:00
0,Test Engineer | Germany,hays,Supplier Quality Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,,,German,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-quality-engineer-berlin-855096/1,2026-02-21T10:30:55.868930+00:00
0,Test Engineer | Germany,hays,IT Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Kubernetes, Ansible",German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-02-21T10:30:55.869185+00:00
0,Test Engineer | Germany,hays,Industrial Engineer (m/w/d),Hays Client,Stuttgart,On-site,Contract,,,German,,,11.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-industrial-engineer-stuttgart-852431/1,2026-02-21T10:30:55.869434+00:00
0,Test Engineer | Germany,hays,Software Engineer DSL / JetBrainsMPS (m/w/d),Hays Client,Nürnberg,On-site,Contract,,,German,,,08.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-dsl-jetbrainsmps-nuernberg-835102/1,2026-02-21T10:30:55.869680+00:00
0,Test Engineer | Germany,hays,Test Automation Engineer (m/w/d),Hays Client,Dresden,On-site,Contract,"Ci/Cd, Test Automation",R,German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-dresden-852634/1,2026-02-21T10:30:55.870202+00:00
0,Test Engineer | Germany,hays,Security Engineer in Kiel  (m/w/d),Hays Client,Security Engineer,On-site,Contract,,"Associate, R",German,,,28.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-engineer-in-kiel--security-engineer-846610/1,2026-02-21T10:30:55.870709+00:00
0,Test Engineer | Germany,hays,Supplier Development Engineer (m/w/d),Hays Client,Kirchheim/Teck-Nabern,On-site,Contract,,,German,,,13.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-development-engineer-kirchheim-teck-nabern-833175/1,2026-02-21T10:30:55.870985+00:00
0,Test Engineer | Germany,hays,Quality Engineer (m/w/d),Hays Client,Ludwigshafen,On-site,Contract,,R,German,,,24.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-engineer-ludwigshafen-845961/1,2026-02-21T10:30:55.871242+00:00
0,Test Engineer | Germany,hays,System Engineer Mainframe (m/w/d),Hays Client,"Karlsruhe, München, Münster oder Remote",Remote,Contract,,R,German,,,01.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-mainframe-karlsruhe-muenchen-muenster-oder-remote-835149/1,2026-02-21T10:30:55.872029+00:00
0,Test Engineer | Germany,hays,Software Test Engineer (m/w/d),Hays Client,Bremen,On-site,Contract,,,German,,,16.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer-bremen-821066/1,2026-02-21T10:30:55.872289+00:00
0,Test Engineer | Germany,hays,Test & Commissing Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,08.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-commissing-engineer-berlin-838993/1,2026-02-21T10:30:55.872536+00:00
0,Test Engineer | Germany,hays,Hardware Engineer (m/w/d),Hays Client,Lippstadt,On-site,Contract,,R,German,,,25.06.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-engineer-lippstadt-827402/1,2026-02-21T10:30:55.872793+00:00
0,Testingenieur | Germany,hays,Testingenieur IMU (m/w/d),Hays Client,Kusterdingen,On-site,Contract,,R,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-imu-kusterdingen-859228/1,2026-02-21T10:31:21.245540+00:00
0,Testingenieur | Germany,hays,Prüfer Elektrotechnik (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,,German,,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pruefer-elektrotechnik-frankfurt-am-main-858287/1,2026-02-21T10:31:21.245809+00:00
0,Testingenieur | Germany,hays,Ingenieur Testing (m/w/d),Hays Client,Laupheim,On-site,Contract,,,German,,,14.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-testing-laupheim-856784/1,2026-02-21T10:31:21.246097+00:00
0,Test Automation | Germany,hays,Automatisierungstechniker  (m/w/d),Hays Client,Mannheim,On-site,Contract,,,German,,,20.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automatisierungstechniker--mannheim-862607/1,2026-02-21T10:31:42.863601+00:00
0,Test Automation | Germany,hays,Softwareentwickler für Maschinensteuerungen (m/w/d),Hays Client,Chemnitz,On-site,Contract,,R,German,,,16.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-fuer-maschinensteuerungen-chemnitz-861923/1,2026-02-21T10:31:42.863878+00:00
0,Test Automation | Germany,hays,Validation & Qualification Engineer – IT/OT Robotics (m/w/d),Hays Client,Mannheim,On-site,Contract,,R,German,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-qualification-engineer--it-ot-robotics-mannheim-858088/1,2026-02-21T10:31:42.864420+00:00
0,Test Automation | Germany,hays,IT Engineer (m/w/d),Hays Client,Nürnberg,On-site,Contract,,"Kubernetes, Ansible",German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-nuernberg-854391/1,2026-02-21T10:31:42.865184+00:00
0,Test Automation | Germany,hays,Teamlead Quality Assurance  (m/w/d),Hays Client,Hamburg,On-site,Contract,,R,German,,,15.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-quality-assurance--hamburg-854242/1,2026-02-21T10:31:42.865693+00:00
0,Test Automation | Germany,hays,Teamlead QA  (m/w/d),Hays Client,Dortmund,On-site,Contract,,R,German,,,09.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-teamlead-qa--dortmund-853539/1,2026-02-21T10:31:42.865961+00:00
0,Test Automation | Germany,hays,Entwicklungsingenieur (m/w/d) ASIC-Charakterisierung (m/w/d),Hays Client,Duisburg,On-site,Contract,Python,"R, Matlab",German,,,26.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-asic-charakterisierung-duisburg-851288/1,2026-02-21T10:31:42.866722+00:00
0,Test Automation | Germany,hays,Labormitarbeiter (m/w/d),Hays Client,Großraum Ludwigshafen,On-site,Contract,,"R, Gcp",German,,,09.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-labormitarbeiter-grossraum-ludwigshafen-731654/1,2026-02-21T10:31:42.867736+00:00
0,Test Automation | Germany,hays,IT Service Operations Manager (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"R, Intern",German,,,17.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-service-operations-manager-frankfurt-am-main-840199/1,2026-02-21T10:31:42.868256+00:00
0,Test Automation | Germany,hays,Energieanlagenelektroniker/ Elektroniker für Betriebstechnik (m/w/d),Hays Client,Krefeld,On-site,Contract,,R,German,,,08.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energieanlagenelektroniker--elektroniker-fuer-betriebstechnik-krefeld-835007/1,2026-02-21T10:31:42.868508+00:00
0,Python Developer | Germany,hays,Python Developer (m/w/d),Hays Client,Wien,On-site,Contract,Python,,German,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-python-developer-wien-859526/1,2026-02-21T10:32:16.308221+00:00
0,Python Developer | Germany,hays,Frontend Entwickler  (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-frontend-entwickler--duesseldorf-854809/1,2026-02-21T10:32:16.308476+00:00
0,Python Developer | Germany,hays,Softwareentwickler (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,R,German,,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-duesseldorf-851846/1,2026-02-21T10:32:16.308729+00:00
0,Python Developer | Germany,hays,Fullstack Developer (m/w/d),Hays Client,Dresden,On-site,Contract,,"R, Product Owner",German,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-developer-dresden-854294/1,2026-02-21T10:32:16.308994+00:00
0,Python Developer | Germany,hays,Energie Trading Developer (Nearshore) (m/f/d),Hays Client,remote,Remote,Contract,Can,,English,,,20.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energie-trading-developer-nearshore-remote-850232/1,2026-02-21T10:32:16.309496+00:00
0,Python Test | Germany,hays,System Ingenieur- Integration & Tests / Funkkommunikationssysteme / Rohde &Schwarz (m/w/d),Hays Client,Stuttgart,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-ingenieur--integration-tests-funkkommunikationssysteme-rohde--schwarz-stuttgart-860763/1,2026-02-21T10:32:39.206762+00:00
0,Python Test | Germany,hays,Software Ingenieur für das Labor (LabVIEW) (m/w/d),Hays Client,Raum Köln,On-site,Contract,Can,R,German,,,26.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-ingenieur-fuer-das-labor-labview-raum-koeln-858587/1,2026-02-21T10:32:39.207062+00:00
0,Python Test | Germany,hays,Entwicklungsingenieur Gesamtfahrzeugperformance Motorsport (m/w/d),Hays Client,Weissach,On-site,Contract,C,Data Science,German,,,22.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-gesamtfahrzeugperformance-motorsport-weissach-828561/1,2026-02-21T10:32:39.207374+00:00
0,Python Test | Germany,hays,Design Engineer (m/w/d),Hays Client,Leipzig,On-site,Contract,,,German,,,19.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-design-engineer-leipzig-849855/1,2026-02-21T10:32:39.209179+00:00
0,Python Test | Germany,hays,Softwareentwickler Interface (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,31.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-interface-schleswig-holstein-846864/1,2026-02-21T10:32:39.210196+00:00
0,Python Test | Germany,hays,Ingenieur Elektrotechnik Schwerpunkt Automatisierung (m/w/d),Hays Client,Hessen,On-site,Contract,,R,German,,,29.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-elektrotechnik-schwerpunkt-automatisierung-hessen-846480/1,2026-02-21T10:32:39.210438+00:00
0,Python Test | Germany,hays,Datenbankadministrator (m/w/d),Hays Client,Kirchdorf,On-site,Contract,"C, Java, Python","Postgresql, Golang, Mysql, C#, Sql",German,,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-datenbankadministrator-kirchdorf-840171/1,2026-02-21T10:32:39.210948+00:00
0,Python Test | Germany,hays,Energy Trader  (m/w/d),Hays Client,Bremerhaven,Hybrid,Contract,,,German,,,22.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trader--bremerhaven-840947/1,2026-02-21T10:32:39.211201+00:00
