relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Nähe von Lörrach, vereinzelt Rostock/Koblenz",Remote,Freelance,,"Senior, Project Manager, R",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-projektmanager-anlagenbau-wasserstoff-m-w-d-104737,2026-03-11T10:47:44.701964+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Front­end Ent­wick­ler React / next.​js (m/w/d),SOLCOM Client,"Remote, remote only",Remote,Freelance,,React,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-frontend-entwickler-react-next-js-m-w-d-104725,2026-03-11T10:49:44.552079+00:00
0,Test Engineer | Germany,solcom,CNC Sys­tems En­gi­neer für Netz­werk­mi­gra­ti­on (m/w/d),SOLCOM Client,keine Angabe,On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/cnc-systems-engineer-fuer-netzwerkmigration-m-w-d-104712,2026-03-11T10:49:44.552199+00:00
0,Test Engineer | Germany,solcom,En­gi­neer Wind­park Steue­rung/ Steue­rungs­tech­ni­ker (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-steuerungstechniker-m-w-d-104709,2026-03-11T10:49:44.552318+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Südschwarzwald, 2 Tage remote",Remote,Freelance,"C, Can, Python","C#, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-11T10:49:44.552422+00:00
0,Test Engineer | Germany,solcom,Py­thon Pro­gram­mie­rer / Test­au­to­ma­ti­sie­rung (m/w/d),SOLCOM Client,"D7, Südschwarzwald",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/python-programmierer-m-w-d-104678,2026-03-11T10:49:44.552523+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automation-engineer-control-systems-engineer-b-r-m-w-d-104648,2026-03-11T10:49:44.552720+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Devops, Azure, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineering-for-cra-migration-project-m-w-d-104575,2026-03-11T10:49:44.552817+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-104533,2026-03-11T10:49:44.552920+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-03-11T10:49:44.553109+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-03-11T10:50:45.022354+00:00
0,Test Automation | Germany,solcom,Jira & At­las­si­an Ex­per­te (m/w/d),SOLCOM Client,"D2, Lüneburg",On-site,Freelance,,Jira,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-11T10:51:43.512741+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-11T10:53:45.540703+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","R, Machine Learning, Esp32",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-03-11T10:54:46.624371+00:00
