relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Python Test | Germany,linkedin,Senior Software Developer Test (m/w/d),Rohde & Schwarz,"Stuttgart, Baden-Württemberg, Germany",On-site,Full-time,"C, C++, Ci/Cd","Senior, Gitlab Ci, R, Gitlab, Jira, Linux, Git",German,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-developer-test-m-w-d-at-rohde-schwarz-4468519132,2026-09-24T14:47:01.480033+00:00
14,Test Engineer | Germany,linkedin,(Senior) Test Engineer (m/w/d),Walbusch-Gruppe,"Solingen, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-engineer-m-w-d-at-walbusch-gruppe-4392752467,2026-09-24T14:45:11.697642+00:00
14,Test Engineer | Germany,linkedin,Senior Test Engineer (m/w/d),infodas,"Cologne, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-engineer-m-w-d-at-infodas-4469306546,2026-09-24T14:45:11.697980+00:00
14,Test Engineer | Austria,linkedin,Senior Test Automation Engineer (all genders) [Wien],adesso Austria GmbH,"Vienna, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-wien-at-adesso-austria-gmbh-4370386899,2026-09-24T14:45:15.209680+00:00
14,Test Engineer | Switzerland,linkedin,Senior Test Automation Engineer (m/f/x),Ekkiden,"Geneva, Geneva, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-m-f-x-at-ekkiden-4461088311,2026-09-24T14:45:18.784191+00:00
14,Test Engineer | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Group,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-group-4419248716,2026-09-24T14:45:24.241372+00:00
14,Test Engineer | Czech Republic,linkedin,Senior Test Engineer,Rockwell Automation,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-test-engineer-at-rockwell-automation-4467414012,2026-09-24T14:45:26.800201+00:00
14,Test Engineer | Poland,linkedin,Senior Test Engineer - QA (UI & API),Diebold Nixdorf,"Katowice, Śląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-engineer-qa-ui-api-at-diebold-nixdorf-4395052117,2026-09-24T14:45:29.335051+00:00
14,Test Engineer | Poland,linkedin,Senior Test Automation Engineer (all genders),Lufthansa Systems,"Gdańsk, Pomorskie, Poland",Hybrid,Contract,"Ci/Cd, Embedded Linux, Javascript, Jenkins, Playwright, Python, Robot Framework, Test Automation, Typescript","Senior, Cypress, Linux, Sql, Kubernetes, Git, Agile, Github, Devops, Docker",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-at-lufthansa-systems-4461160626,2026-09-24T14:45:29.335704+00:00
14,Test Engineer | Poland,linkedin,Senior Test Automation Engineer,Billennium,"Warsaw, Mazowieckie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-at-billennium-4465689303,2026-09-24T14:45:29.335887+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer,CACI Ltd,"London Area, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-caci-ltd-4466694211,2026-09-24T14:45:34.580579+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer,CACI Digital Experience (formerly Cyber-Duck),"Cheltenham, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-caci-digital-experience-formerly-cyber-duck-4468015969,2026-09-24T14:45:34.580765+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer,AJ Bell,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-aj-bell-4459522629,2026-09-24T14:45:34.581733+00:00
14,Testingenieur | Germany,linkedin,Testingenieur Powertrain / E-Powertrain (m/w/d),FERCHAU,"Stuttgart, Baden-Württemberg, Germany",Remote,Full-time,,"Expert, R, Lead",German,"Expert, Lead",,Recent,https://de.linkedin.com/jobs/view/testingenieur-powertrain-e-powertrain-m-w-d-at-ferchau-4438570794,2026-09-24T14:45:37.040814+00:00
14,Testingenieur | Slovakia,linkedin,Testovací inžinier senior (m/ž/d),Brose Slovakia,"Horná Štefanovičová, Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/testovac%C3%AD-in%C5%BEinier-senior-m-%C5%BE-d-at-brose-slovakia-4433307490,2026-09-24T14:45:49.352990+00:00
14,Testingenieur | Czech Republic,linkedin,VTA Engineer,Alstom,"Santiago de los Caballeros, Santiago, Dominican Republic",Remote,Full-time,C,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/vta-engineer-at-alstom-4468951180,2026-09-24T14:45:52.845500+00:00
14,Testingenieur | Poland,linkedin,Test Engineer - Manual 4G/5G - Tieto Tech Consulting (m/f/d),Tieto,"Wrocław, Dolnośląskie, Poland",Remote,Contract,Python,"Perl, R, Linux, Agile, Lead",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/test-engineer-manual-4g-5g-tieto-tech-consulting-m-f-d-at-tieto-4430457757,2026-09-24T14:45:56.070443+00:00
14,Testingenieur | Poland,linkedin,Test Engineer- Manual 4G/5G - Tieto Tech Consulting (m/f/d),Tieto,"Szczecin, Zachodniopomorskie, Poland",Remote,Contract,Python,"Perl, R, Linux, Agile, Lead",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/test-engineer-manual-4g-5g-tieto-tech-consulting-m-f-d-at-tieto-4430474499,2026-09-24T14:45:56.070602+00:00
14,Testingenieur | Poland,linkedin,Test Engineer - Aviation/Flight Safety (all genders),Lufthansa Systems,"Gdańsk, Pomorskie, Poland",Hybrid,Contract,"C, C++, Pytest, Robot Framework, Test Automation","Senior, Kubernetes, Safe, K8S",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/test-engineer-aviation-flight-safety-all-genders-at-lufthansa-systems-4460733861,2026-09-24T14:45:56.070754+00:00
14,Testingenieur | Poland,linkedin,Quality Assurance Engineer – Senior / Mid / Junior,Kidde Global Solutions,"Gdańsk, Pomorskie, Poland",Hybrid,Contract,"Embedded Systems, Firmware, Python, Test Automation","Senior, R, Mid-Level, Jira, Performance Testing, Confluence, Internship, Junior",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-engineer-%E2%80%93-senior-mid-junior-at-kidde-global-solutions-4449856648,2026-09-24T14:45:56.071095+00:00
14,Testingenieur | USA,linkedin,Software Test Engineer,Visa,"Austin, TX",Hybrid,Full-time,"Ci/Cd, Generative Ai, Java, Jenkins, Prompt Engineering, Selenium","Github, Scrum, Senior, Zephyr, Agile, Rest Api, Kubernetes, Postman, Performance Testing, Jira",English,Senior,,Recent,https://www.linkedin.com/jobs/view/software-test-engineer-at-visa-4467463430,2026-09-24T14:45:59.587142+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer - BundesMessenger (m/w/d),BWI GmbH,"Berlin, Berlin, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-bundesmessenger-m-w-d-at-bwi-gmbh-4470464239,2026-09-24T14:46:04.866654+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer - BundesMessenger (m/w/d),BWI GmbH,"Hamburg, Hamburg, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-bundesmessenger-m-w-d-at-bwi-gmbh-4470465202,2026-09-24T14:46:04.867001+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer (m/w/d),Bundesdruckerei-Gruppe,"Berlin, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-at-bundesdruckerei-gruppe-4454508053,2026-09-24T14:46:04.867317+00:00
14,Test Automation | Germany,linkedin,Senior Quality Assurance Engineer,Trading 212,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-trading-212-4468924202,2026-09-24T14:46:04.867470+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (m/w/d) – Gefahrenmanagementsysteme,PKE,"Vienna, Vienna, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-%E2%80%93-gefahrenmanagementsysteme-at-pke-4434656218,2026-09-24T14:46:08.365877+00:00
14,Test Automation | Austria,linkedin,"Test Automation Engineer mit TOSCA – Senior Consultant (m,w,d)",QESTIT DACH,"Vienna, Austria",On-site,Full-time,Test Automation,"Consultant, Senior",German,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-mit-tosca-%E2%80%93-senior-consultant-m-w-d-at-qestit-dach-4467365729,2026-09-24T14:46:08.366649+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Graz],adesso Austria GmbH,"Graz, Styria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-graz-at-adesso-austria-gmbh-4370392579,2026-09-24T14:46:08.366830+00:00
14,Test Automation | Austria,linkedin,"Test Automation Engineer - Senior Consultant (m,w,d)",QESTIT DACH,"Vienna, Vienna, Austria",On-site,Full-time,Test Automation,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-senior-consultant-m-w-d-at-qestit-dach-4467333526,2026-09-24T14:46:08.367143+00:00
14,Test Automation | Switzerland,linkedin,"Test Automation Engineer - (Senior) Consultant (m,w,d)",QESTIT DACH,"Zurich, Zurich, Switzerland",Remote,Internship,"Ci/Cd, Integration Testing, Jenkins, Playwright, Selenium, Test Automation","Junit, Scrum, Senior, Zephyr, Gitlab Ci, Cypress, Appium, R, Gitlab, Devops",German,"Consultant, Senior",,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-senior-consultant-m-w-d-at-qestit-dach-4459202556,2026-09-24T14:46:11.849150+00:00
14,Test Automation | Switzerland,linkedin,"Test Automation Engineer - (Senior) Consultant (m,w,d) BFSI",QESTIT DACH,"Zurich, Switzerland",On-site,Full-time,Test Automation,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-senior-consultant-m-w-d-bfsi-at-qestit-dach-4467365862,2026-09-24T14:46:11.849450+00:00
14,Test Automation | Czech Republic,linkedin,QA Automation Engineer Lead - Remote - Latin America,FullStack,"Santo Domingo Oeste, Santo Domingo, Dominican Republic",Remote,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/qa-automation-engineer-lead-remote-latin-america-at-fullstack-4468654859,2026-09-24T14:46:20.117144+00:00
14,Test Automation | Czech Republic,linkedin,QA Automation Engineer Lead - Remote - Latin America,FullStack,"Santo Domingo Este, Santo Domingo, Dominican Republic",Remote,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/qa-automation-engineer-lead-remote-latin-america-at-fullstack-4468667574,2026-09-24T14:46:20.117299+00:00
14,Test Automation | Czech Republic,linkedin,Lead AEM QA Automation Engineer - Work from home,Nortal,"Santo Domingo, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-aem-qa-automation-engineer-work-from-home-at-nortal-4468118389,2026-09-24T14:46:20.117597+00:00
14,Test Automation | Poland,linkedin,Senior Test Automation Engineer with C# (f/m/x),Sii Poland,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,"C, Test Automation","Senior, C#",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-with-c%23-f-m-x-at-sii-poland-4468993099,2026-09-24T14:46:22.654049+00:00
14,Test Automation | Poland,linkedin,Senior Test Automation Engineer (Java/Selenium),DCG,"Warsaw, Mazowieckie, Poland",On-site,Full-time,"Java, Selenium, Test Automation",Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-java-selenium-at-dcg-4469134815,2026-09-24T14:46:22.654550+00:00
14,Test Automation | Poland,linkedin,Senior QA Automation,Luxoft Poland,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-automation-at-luxoft-poland-4464465706,2026-09-24T14:46:22.655199+00:00
14,Test Automation | USA,linkedin,Senior QA Automation Engineer,CGI,"Huntsville, AL",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-at-cgi-4464435333,2026-09-24T14:46:25.231639+00:00
14,Test Automation | USA,linkedin,Senior Software Engineer in Test,CNN,"Atlanta, GA",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-software-engineer-in-test-at-cnn-4424742800,2026-09-24T14:46:25.232341+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Tester / Quality Engineer,Eden Scott,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-tester-quality-engineer-at-eden-scott-4465978344,2026-09-24T14:46:28.518357+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Test Engineer - eSC or eDV Clearance Required,IBM,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-test-engineer-esc-or-edv-clearance-required-at-ibm-4401657691,2026-09-24T14:46:28.518880+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Test Engineer - eSC or eDV Clearance Required,IBM,"Cheltenham, England, United Kingdom",Hybrid,Full-time,"Ci/Cd, Continuous Testing, Java, Jenkins, Python, Selenium, Test Automation","Scrum, Senior, Agile, Postman, Devops, Associate",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-test-engineer-esc-or-edv-clearance-required-at-ibm-4401661667,2026-09-24T14:46:28.519043+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Automation Engineer,Version 1,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-automation-engineer-at-version-1-4449859259,2026-09-24T14:46:28.519193+00:00
