relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,Expert,German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-09T11:18:47.716888+00:00
0,Test Engineer | Germany,solcom,Elek­tro­kon­struk­teur Hard­ware - EPLAN P8 (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektrokonstrukteur-hardware-eplan-p8-m-w-d-105212,2026-04-09T11:16:40.644680+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-09T11:16:40.644777+00:00
0,Test Engineer | Germany,solcom,Test Ana­lyst & Au­to­ma­ti­on En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-analyst-automation-engineer-m-w-d-1014661,2026-04-09T11:16:40.644874+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer / Ap­pli­ca­ti­on De­ve­l­oper (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-application-developer-m-w-d-105146,2026-04-09T11:16:40.645037+00:00
0,Test Engineer | Germany,solcom,Se­ni­or AV (Audio Vi­su­al) De­li­ve­ry Spe­cia­list (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-04-09T11:16:40.645242+00:00
0,Test Engineer | Germany,solcom,An­for­de­rungs­ma­na­ger DOORS (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/anforderungsmanager-doors-m-w-d-104967,2026-04-09T11:16:40.645339+00:00
0,Test Engineer | Germany,solcom,Pro­jekt­ma­na­ger für Pro­dukt­ent­wick­lung mit Schwer­punkt Wind­kraft­an­la­gen (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-04-09T11:16:40.645436+00:00
0,Test Engineer | Germany,solcom,Java Test En­gi­neer (m/w/d),SOLCOM Client,"D7, Remote",Remote,Freelance,Java,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-04-09T11:16:40.645628+00:00
0,Testingenieur | Germany,solcom,Ve­ri­fi­ka­ti­ons­in­ge­nieur (m/w/d),SOLCOM Client,"D7, GR Freiburg im Breisgau",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikationsingenieur-m-w-d-105283,2026-04-09T11:17:44.784146+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,"Python, Test Automation","Associate, R, Azure, Fpga, Devops, Vhdl",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-09T11:18:47.716654+00:00
0,Python Developer | Germany,solcom,Soft­ware Ar­chi­tekt / Sen. De­ve­l­oper / SW Ar­chi­tekt - Med­Tech (m/w/d),SOLCOM Client,D9,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-04-09T11:19:47.985298+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Node.Js, R, Devops, Gitlab, Docker, Gitlab Ci, Safe",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-04-09T11:20:49.901520+00:00
