relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
20,AI Engineer Python | Slovakia,hays,ADAS System and Integration Engineer(m/f/d),Hays Client,Munich,On-site,Contract,"C, Python, Can, C++, Arm","Ethernet, Linux",,Architect,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-adas-system-and-integration-engineer--munich-859687/1,2026-02-06T17:28:05.473406+00:00
3,Test Automation Engineer | Slovakia,hays,Validation & Qualification Engineer – IT/OT Robotics(m/w/d),Hays Client,Mannheim,On-site,Contract,,R,,Expert,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-qualification-engineer--it-ot-robotics-mannheim-858088/1,2026-02-06T17:27:17.955455+00:00
3,Test Automation Engineer | Slovakia,hays,Senior Process Engineer(m/w/d),Hays Client,München,On-site,Contract,,"R, Senior",,Senior,,23.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-process-engineer-muenchen-852498/1,2026-02-06T17:27:17.956516+00:00
3,Test Automation Engineer | Slovakia,hays,DevOps Engineer / Data Engineer for Data Platform Solutions(m/w/d),Hays Client,Poing,On-site,Contract,,"Devops, R",,Expert,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-data-engineer-for-data-platform-solutions--poing-852646/1,2026-02-06T17:27:17.957476+00:00
3,Test Automation Engineer | Slovakia,hays,Automation Engineer(m/f/d),Hays Client,Lake Constance,On-site,Contract,,,,Expert,,28.05.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automation-engineer-lake-constance-819257/1,2026-02-06T17:27:17.958993+00:00
3,Embedded Software Tester | Slovakia,hays,Embedded Python Tester(m/w/d),Hays Client,München/Stuttgart,On-site,Contract,Python,,,,,28.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-python-tester-muenchen-stuttgart-859116/1,2026-02-06T17:27:35.312219+00:00
3,Senior Test Engineer | Slovakia,hays,Senior NDT Engineer (Tomography / Industrial Radiography)(m/f/d),Hays Client,Denmark,On-site,Contract,,Senior,,Senior,,23.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-ndt-engineer-tomography-industrial-radiography-denmark-855437/1,2026-02-06T17:27:50.100316+00:00
3,Senior Test Engineer | Slovakia,hays,Senior Electrical Engineer(m/f/d),Hays Client,Norderstedt,On-site,Contract,,Senior,,Senior,,18.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-electrical-engineer--norderstedt-849507/1,2026-02-06T17:27:50.100909+00:00
3,Senior Test Engineer | Slovakia,hays,(Senior) IT-Security Engineer(m/w/d),Hays Client,Hamburg und Hannover,On-site,Contract,,"R, Senior",,Senior,,08.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-it-security-engineer-hamburg-und-hannover-793840/1,2026-02-06T17:27:50.102087+00:00
3,Senior Test Engineer | Slovakia,hays,Senior Quality Engineer(m/w/d),Hays Client,Gießen,On-site,Contract,,Senior,,Senior,,02.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-engineer-giessen-828402/1,2026-02-06T17:27:50.102295+00:00
3,AI Engineer Python | Slovakia,hays,Data Architect & Engineer mit Fokus auf KI(m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Agile, R, Architect",,Architect,,17.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-architect-engineer-mit-fokus-auf-ki-frankfurt-am-main-851091/1,2026-02-06T17:28:05.473993+00:00
3,ML Engineer | Slovakia,hays,Senior Machine Learning Engineer(m/w/d),Hays Client,München,On-site,Contract,,"Machine Learning, Senior",,Senior,,11.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-machine-learning-engineer-muenchen-848244/1,2026-02-06T17:28:20.108780+00:00
3,ML Engineer | Slovakia,hays,AI-Governance Engineer(m/w/d),Hays Client,Düsseldorf,On-site,Contract,Go,R,,,,15.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-governance-engineer-duesseldorf-844512/1,2026-02-06T17:28:20.108971+00:00
3,Python Developer Remote | Slovakia,hays,Python Developer(m/w/d),Hays Client,Wien,On-site,Contract,Python,,,,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-python-developer-wien-859526/1,2026-02-06T17:28:34.463437+00:00
0,Test Automation Engineer | Slovakia,hays,Digital Service Manager M365(m/w/d),Hays Client,Berlin,On-site,Contract,,"Powershell, Azure",,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-service-manager-m365-berlin-858701/1,2026-02-06T17:27:17.955661+00:00
0,Test Automation Engineer | Slovakia,hays,Software Quality Assurance Engineer(m/f/d),Hays Client,Grünheide,On-site,Contract,,,,,,28.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-quality-assurance-engineer-gruenheide-858980/1,2026-02-06T17:27:17.956054+00:00
0,Test Automation Engineer | Slovakia,hays,Automation Engineer(m/w/d),Hays Client,Großraum Mainz,On-site,Contract,,R,,,,07.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-automation-engineer--grossraum-mainz-855783/1,2026-02-06T17:27:17.956310+00:00
0,Test Automation Engineer | Slovakia,hays,IT Engineer(m/w/d),Hays Client,Nürnberg,On-site,Contract,,"Ansible, Kubernetes",,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-nuernberg-854391/1,2026-02-06T17:27:17.956886+00:00
0,Test Automation Engineer | Slovakia,hays,IT Engineer(m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Ansible, Kubernetes",,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-02-06T17:27:17.957070+00:00
0,Test Automation Engineer | Slovakia,hays,Design Engineer(m/w/d),Hays Client,Leipzig,On-site,Contract,,,,,,19.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-design-engineer-leipzig-849855/1,2026-02-06T17:27:17.958228+00:00
0,Test Automation Engineer | Slovakia,hays,System Engineer Mainframe(m/w/d),Hays Client,"Karlsruhe, München, Münster oder Remote",Remote,Contract,,R,,,,01.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-mainframe-karlsruhe-muenchen-muenster-oder-remote-835149/1,2026-02-06T17:27:17.958606+00:00
0,AI Engineer Python | Slovakia,hays,Compiler & AI Engineer(m/f/d),Hays Client,Munich OR HAMBURG (on site),On-site,Contract,,"Pytorch, Intermediate, Tensorflow",,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-compiler-ai-engineer-munich-or-hamburg-on-site-860059/1,2026-02-06T17:28:05.473185+00:00
0,AI Engineer Python | Slovakia,hays,AI Enablement / AI Engineering(m/f/d),Hays Client,Remote,Remote,Contract,,,,,,29.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-enablement-ai-engineering-remote-858870/1,2026-02-06T17:28:05.473595+00:00
0,AI Engineer Python | Slovakia,hays,Data Engineer(m/w/d),Hays Client,Mannheim,On-site,Contract,,,,,,21.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-engineer-mannheim-857984/1,2026-02-06T17:28:05.473799+00:00
