relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Tester | Germany,linkedin,Software Tester (w/m/d),Burmester Audiosysteme GmbH,"Berlin, Berlin, Germany",Remote,Full-time,"Pytest, Python, Test Automation",R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-w-m-d-at-burmester-audiosysteme-gmbh-4414871671,2026-06-08T14:13:31.828169+00:00
29,Firmware Engineer | Slovakia,linkedin,C++ Developer (ž/m),Siemens,"Žilina, Zilina, Slovakia",On-site,Full-time,"C, C++",,English,,,Recent,https://sk.linkedin.com/jobs/view/c%2B%2B-developer-%C5%BE-m-at-siemens-4404730366,2026-06-08T14:16:15.632078+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Engineer II, Ring",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-engineer-ii-ring-at-amazon-4384888307,2026-06-08T14:16:20.368383+00:00
14,Tester | Germany,linkedin,QA Software Tester (m/f/x),Atolls,"Berlin, Germany",Remote,Contract,"Can, Go","Agile, Regression Testing, Jira, Lead",English,Lead,,Recent,https://de.linkedin.com/jobs/view/qa-software-tester-m-f-x-at-atolls-4415334890,2026-06-08T14:13:31.828034+00:00
14,Tester | Austria,linkedin,Junior Game Tester (m/f/d),MERKUR GROUP,"Raaba, Styria, Austria",Remote,Full-time,,"Junior, Agile, Scrum, Staff, Jira",English,Staff,,Recent,https://at.linkedin.com/jobs/view/junior-game-tester-m-f-d-at-merkur-group-4414014817,2026-06-08T14:13:34.291070+00:00
14,Tester | Austria,linkedin,Associate Software Quality Assurance Engineer (P2),International Atomic Energy Agency (IAEA),"Vienna, Austria",On-site,Contract,Can,"Agile, Associate, Senior, Staff",English,"Senior, Staff",,Recent,https://at.linkedin.com/jobs/view/associate-software-quality-assurance-engineer-p2-at-international-atomic-energy-agency-iaea-4423355534,2026-06-08T14:13:34.291206+00:00
14,Tester | Austria,linkedin,QA Test Analyst - Manual Exploratory Testing,Client Server,"Vienna, Vienna, Austria",Remote,Contract,"Ci/Cd, Python, Test Automation","Agile, Linux, Senior, R, Lead, Powershell",English,"Lead, Senior",,Recent,https://at.linkedin.com/jobs/view/qa-test-analyst-manual-exploratory-testing-at-client-server-4422376021,2026-06-08T14:13:34.291669+00:00
14,Tester | Austria,linkedin,Associate Software Quality Assurance Engineer(P2),International Atomic Energy Agency (IAEA),"Innere Stadt, Vienna, Austria",On-site,Contract,Can,"Agile, Associate, Senior, Staff",English,"Senior, Staff",,Recent,https://at.linkedin.com/jobs/view/associate-software-quality-assurance-engineer-p2-at-international-atomic-energy-agency-iaea-4415242102,2026-06-08T14:13:34.292054+00:00
14,Testingenieur | United Kingdom,linkedin,"System Test Engineer, HIL",Wayve,"London, England, United Kingdom",Hybrid,Full-time,"Can, Ci/Cd, Hil, Jenkins, Pytest, Python, System Testing, Test Automation","Gitlab, Aspice, Git, Machine Learning, Gitlab Ci, Jira, Lead, Datadog, Grafana, Azure",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/system-test-engineer-hil-at-wayve-4413362327,2026-06-08T14:14:58.037565+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,Empresaria Group plc,"West Lothian, Scotland, United Kingdom",Hybrid,Contract,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-empresaria-group-plc-4414483406,2026-06-08T14:14:58.037817+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer/Software Development Engineer in Test (d/f/m),Leapsome,"Berlin, Germany",Hybrid,Contract,"Can, Ci/Cd, Github Actions, Go, Integration Testing, Playwright, Rag, Test Automation, Typescript","Docker, Manual Testing, Vue.Js, React, Angular, Mongodb, Senior, Nosql, Datadog, Node.Js",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-software-development-engineer-in-test-d-f-m-at-leapsome-4319406597,2026-06-08T14:15:00.530386+00:00
14,Test Automation | Austria,linkedin,SENIOR TEST AUTOMATION ENGINEER  (F/M/O),Flightkeys GmbH,"Vienna, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-f-m-o-at-flightkeys-gmbh-4420103541,2026-06-08T14:15:02.918496+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Graz],adesso Austria GmbH,"Graz, Styria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-graz-at-adesso-austria-gmbh-4370392579,2026-06-08T14:15:02.918628+00:00
14,Test Automation | Austria,linkedin,Software Test Engineer & Guild Lead (w/m/d),Bachmann electronic GmbH,"Innsbruck, Tyrol, Austria",On-site,Full-time,,Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-guild-lead-w-m-d-at-bachmann-electronic-gmbh-4420905466,2026-06-08T14:15:02.919008+00:00
14,Test Automation | Austria,linkedin,Senior Software Test Engineer (w/m/d),Merkur Versicherung,"Graz, Styria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-test-engineer-w-m-d-at-merkur-versicherung-4417315986,2026-06-08T14:15:02.919137+00:00
14,Test Automation | Austria,linkedin,"Test Automation Engineer – Senior Consultant (m,w,d)",QESTIT DACH,"Vienna, Austria",On-site,Full-time,Test Automation,"Senior, Consultant",English,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-%E2%80%93-senior-consultant-m-w-d-at-qestit-dach-4417949138,2026-06-08T14:15:02.919406+00:00
14,Test Automation | Switzerland,linkedin,Senior Software Engineer in Test,ANYbotics,"Zurich, Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-in-test-at-anybotics-4415501872,2026-06-08T14:15:05.366650+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Automation Engineer,Merkle,"Zurich, Zurich, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-at-merkle-4402358978,2026-06-08T14:15:05.366958+00:00
14,Test Automation | Switzerland,linkedin,Senior QA Automation Engineer,TXT GROUP,"Chiasso, Ticino, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-automation-engineer-at-txt-group-4406576069,2026-06-08T14:15:05.367616+00:00
14,Test Automation | Switzerland,linkedin,Senior Automation QA Engineer – Mobile Testing,Specialized Bicycle Components,"Cham, Zug, Switzerland",Remote,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-automation-qa-engineer-%E2%80%93-mobile-testing-at-specialized-bicycle-components-4419834911,2026-06-08T14:15:05.367741+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Automation Engineer,Fincons Group,"Lugano, Ticino, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-at-fincons-group-4419860435,2026-06-08T14:15:05.367873+00:00
14,Test Automation | Slovakia,linkedin,Senior Quality Assurance Automation Engineer,NATEK,"Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-automation-engineer-at-natek-4418750286,2026-06-08T14:15:10.022413+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Test Automation Engineer (Python & AI),Solar Turbines,"Bratislava Old Town, Bratislava, Slovakia",On-site,Full-time,"Python, Test Automation",Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-python-ai-at-solar-turbines-4425478731,2026-06-08T14:15:10.022545+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Test Automation Engineer (Python & AI),Solar Turbines,"Košice, Kosice, Slovakia",On-site,Full-time,"Python, Test Automation",Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-python-ai-at-solar-turbines-4414914904,2026-06-08T14:15:10.022676+00:00
14,Test Automation | Slovakia,linkedin,Senior Test Developer,Kistler Group,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-developer-at-kistler-group-4420290304,2026-06-08T14:15:10.023071+00:00
14,Test Automation | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-06-08T14:15:12.359468+00:00
14,Test Automation | USA,linkedin,Senior Automation Test Engineer,Motional,"Las Vegas, NV",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-automation-test-engineer-at-motional-4397062662,2026-06-08T14:15:17.510049+00:00
14,Test Automation | USA,linkedin,Automation Test Lead,PIXIE,"Waukesha, WI",On-site,Full-time,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/automation-test-lead-at-pixie-4413360839,2026-06-08T14:15:17.510327+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Engineer,Opus 2,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-engineer-at-opus-2-4424736421,2026-06-08T14:15:20.064793+00:00
14,Test Automation | United Kingdom,linkedin,Test Automation Lead,Motorola Solutions,"Glasgow, Scotland, United Kingdom",On-site,Full-time,Test Automation,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-automation-lead-at-motorola-solutions-4415276510,2026-06-08T14:15:20.065313+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Test Engineer,Version 1,"Newcastle Upon Tyne, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-test-engineer-at-version-1-4373469439,2026-06-08T14:15:20.065443+00:00
14,Python Developer | Slovakia,linkedin,Senior Application Developer (m/f/d) Python,Deutsche Telekom,"Košice, Kosice, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-application-developer-m-f-d-python-at-deutsche-telekom-4420450681,2026-06-08T14:15:32.111395+00:00
14,Python Developer | Slovakia,linkedin,Lead Software Engineer - Python,Caterpillar Inc.,"Košice, Kosice, Slovakia",On-site,Full-time,Python,Lead,English,Lead,,Recent,https://sk.linkedin.com/jobs/view/lead-software-engineer-python-at-caterpillar-inc-4414609673,2026-06-08T14:15:32.111659+00:00
14,Python Test | United Kingdom,linkedin,Test Automation Consultant,SRMD Ltd.,"Stafford, England, United Kingdom",On-site,Full-time,Test Automation,Consultant,English,Consultant,,Recent,https://uk.linkedin.com/jobs/view/test-automation-consultant-at-srmd-ltd-4424181837,2026-06-08T14:16:03.503614+00:00
14,Python Test | United Kingdom,linkedin,Automation Test Lead,Coforge,"Sheffield, England, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/automation-test-lead-at-coforge-4418579907,2026-06-08T14:16:03.503992+00:00
14,Firmware Engineer | Germany,linkedin,Firmware Engineer (m/w/d) / Senior Firmware Engineer (m/w/d),Eve Systems,"Munich, Bavaria, Germany",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/firmware-engineer-m-w-d-senior-firmware-engineer-m-w-d-at-eve-systems-4410138748,2026-06-08T14:16:06.057606+00:00
14,Firmware Engineer | Slovakia,linkedin,Embedded Software Developer,Kistler Group,Bratislava Metropolitan Area,Remote,Full-time,"C, C++, Can, Ci/Cd, Driver Development, Rust","Linux, Lead",English,Lead,,Recent,https://sk.linkedin.com/jobs/view/embedded-software-developer-at-kistler-group-4422966621,2026-06-08T14:16:15.630838+00:00
14,Firmware Engineer | Slovakia,linkedin,C/C++ Software Developer,Nokia,"Bratislava, Bratislava, Slovakia",Remote,Contract,"C, C++, Generative Ai","Junior, Linux, Senior, R, Git",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/c-c%2B%2B-software-developer-at-nokia-4290301367,2026-06-08T14:16:15.631817+00:00
14,Firmware Engineer | Poland,linkedin,Senior Firmware Engineer,Kidde Global Solutions,"Gdańsk, Pomorskie, Poland",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-firmware-engineer-at-kidde-global-solutions-4408414900,2026-06-08T14:16:20.368772+00:00
14,Firmware Engineer | United Kingdom,linkedin,Staff Firmware Engineer,Smith+Nephew,"Kingston Upon Hull, England, United Kingdom",On-site,Full-time,Firmware,Staff,English,Staff,,Recent,https://uk.linkedin.com/jobs/view/staff-firmware-engineer-at-smith%2Bnephew-4381322655,2026-06-08T14:16:25.557423+00:00
0,Tester | Germany,linkedin,QA-Tester,TillerStack,Berlin Metropolitan Area,Remote,Internship,"Playwright, Selenium, Test Automation","Agile, Manual Testing, Scrum, Kanban, Postman",English,,,Recent,https://de.linkedin.com/jobs/view/qa-tester-at-tillerstack-4420433657,2026-06-08T14:13:31.827855+00:00
0,Tester | Germany,linkedin,Manual Application Tester,ExpressVPN,"Übach-Palenberg, North Rhine-Westphalia, Germany",Remote,Contract,Can,"Appium, Linux, Entry-Level",English,,,Recent,https://de.linkedin.com/jobs/view/manual-application-tester-at-expressvpn-4424031539,2026-06-08T14:13:31.828329+00:00
0,Tester | Germany,linkedin,Software Tester (m/w/d),Bizerba,"Balingen, Baden-Württemberg, Germany",Hybrid,Full-time,Test Automation,"R, Linux",German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-m-w-d-at-bizerba-4369545776,2026-06-08T14:13:31.828519+00:00
0,Tester | Germany,linkedin,Software Tester,Haystack,"Munich, Bavaria, Germany",On-site,Contract,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-at-haystack-4418703521,2026-06-08T14:13:31.828656+00:00
0,Tester | Germany,linkedin,Software Tester (all genders),GK Software,"St. Ingbert, Saarland, Germany",Remote,Contract,,R,German,,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-gk-software-4375013194,2026-06-08T14:13:31.828792+00:00
0,Tester | Germany,linkedin,QA Analyst (f/m/d),adjoe,"Hamburg, Hamburg, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/qa-analyst-f-m-d-at-adjoe-4422423295,2026-06-08T14:13:31.828920+00:00
0,Tester | Germany,linkedin,Systemtester (m/w/d),Rheinmetall,"Bremen, Bremen, Germany",Remote,Internship,,"R, Linux",German,,,Recent,https://de.linkedin.com/jobs/view/systemtester-m-w-d-at-rheinmetall-4413035122,2026-06-08T14:13:31.829045+00:00
0,Tester | Germany,linkedin,Software-Tester / Test-Ingenieur (Ingolstadt),TAMA Systemtechnik GmbH,"Ingolstadt, Bavaria, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/software-tester-test-ingenieur-ingolstadt-at-tama-systemtechnik-gmbh-4416877869,2026-06-08T14:13:31.829171+00:00
0,Tester | Austria,linkedin,Tester:in,ACTIVE SOLUTION GmbH,"Vienna, Austria",On-site,Full-time,"Playwright, Selenium, Test Automation","Agile, Scrum, Kanban, Cypress, R",German,,,Recent,https://at.linkedin.com/jobs/view/tester-in-at-active-solution-gmbh-4419853054,2026-06-08T14:13:34.290903+00:00
0,Tester | Austria,linkedin,Software Tester (f/m/d),GE HealthCare,"Vöcklamarkt, Upper Austria, Austria",Remote,Contract,Integration Testing,"Associate, R, Entry-Level",German,,,Recent,https://at.linkedin.com/jobs/view/software-tester-f-m-d-at-ge-healthcare-4416658855,2026-06-08T14:13:34.291403+00:00
0,Tester | Austria,linkedin,Software Test Engineer (f/m/d),COPA-DATA,"Salzburg, Salzburg, Austria",Remote,Contract,Can,"Junior, Performance Testing, Linux",English,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-f-m-d-at-copa-data-4406956596,2026-06-08T14:13:34.291542+00:00
0,Tester | Austria,linkedin,Quality Engineer,Trayport,"Vienna, Vienna, Austria",On-site,Full-time,"Bash, C, Can, Python, Test Automation","Docker, Linux, React, Devops, Grafana, Postman, C#, Azure",English,,,Recent,https://at.linkedin.com/jobs/view/quality-engineer-at-trayport-4399977766,2026-06-08T14:13:34.291802+00:00
0,Tester | Austria,linkedin,Software Tester / Systems Integration (w/m/x),NOVOMATIC,"Gumpoldskirchen, Lower Austria, Austria",On-site,Internship,"Firmware, Integration Testing","Intern, Linux, R",German,,,Recent,https://at.linkedin.com/jobs/view/software-tester-systems-integration-w-m-x-at-novomatic-4330849942,2026-06-08T14:13:34.291927+00:00
0,Tester | Austria,linkedin,Software Test Engineer (m/w/d),T-Systems Austria,"Vienna, Vienna, Austria",On-site,Full-time,,,English,,,Recent,https://at.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-t-systems-austria-4384883437,2026-06-08T14:13:34.292177+00:00
0,Tester | Switzerland,linkedin,Manual Tester (UAV Software),Destinus,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/manual-tester-uav-software-at-destinus-4420432644,2026-06-08T14:13:36.744978+00:00
0,Tester | Switzerland,linkedin,TWAG - Test analyst (H/F),Athenco,"Geneva, Geneva, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/twag-test-analyst-h-f-at-athenco-4425047114,2026-06-08T14:13:36.745145+00:00
0,Tester | Switzerland,linkedin,Software Test Engineer,SwissPeak Partners,"Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-test-engineer-at-swisspeak-partners-4417067831,2026-06-08T14:13:36.745297+00:00
0,Tester | Switzerland,linkedin,PeopleSoft Tester- Time and Labor,"Bart & Associates, Inc.","Fully, Valais, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/peoplesoft-tester-time-and-labor-at-bart-associates-inc-4410843014,2026-06-08T14:13:36.745424+00:00
0,Tester | Switzerland,linkedin,Test Engineer,Transgourmet/Prodega Schweiz,"Berne, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-at-transgourmet-prodega-schweiz-4416174543,2026-06-08T14:13:36.745547+00:00
0,Tester | Switzerland,linkedin,System Validation Technician,Specialized Bicycle Components,"Cham, Zug, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/system-validation-technician-at-specialized-bicycle-components-4413407950,2026-06-08T14:13:36.745670+00:00
0,Tester | Switzerland,linkedin,Testeur(euse) Logiciel (H/F),WIT PARTNERS SA,"Vaud, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/testeur-euse-logiciel-h-f-at-wit-partners-sa-4420743075,2026-06-08T14:13:36.745796+00:00
0,Tester | Switzerland,linkedin,QA Engineer – Mobile Testing,Specialized Bicycle Components,"Cham, Zug, Switzerland",Remote,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/qa-engineer-%E2%80%93-mobile-testing-at-specialized-bicycle-components-4419855030,2026-06-08T14:13:36.745929+00:00
0,Tester | Switzerland,linkedin,Einstieg Software Testing,Ergon Informatik AG,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/einstieg-software-testing-at-ergon-informatik-ag-4420722924,2026-06-08T14:13:36.746059+00:00
0,Tester | Switzerland,linkedin,Test Engineer - F/M/X,Amaris Consulting,Greater Bern Area,On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/test-engineer-f-m-x-at-amaris-consulting-4419902446,2026-06-08T14:13:36.746184+00:00
0,Tester | Slovakia,linkedin,Manual Tester with Overlap into Automation,Billdu,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-tester-with-overlap-into-automation-at-billdu-4417488379,2026-06-08T14:13:41.398862+00:00
0,Tester | Slovakia,linkedin,Manuálny tester/testerka s presahom do automatizácie,Billdu,"Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manu%C3%A1lny-tester-testerka-s-presahom-do-automatiz%C3%A1cie-at-billdu-4413528429,2026-06-08T14:13:41.399033+00:00
0,Tester | Slovakia,linkedin,Manual QA Tester,Descartes Systems Group,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-tester-at-descartes-systems-group-4382115365,2026-06-08T14:13:41.399179+00:00
0,Tester | Slovakia,linkedin,Agile Test Engineer - Medior,ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/agile-test-engineer-medior-at-eset-4374813990,2026-06-08T14:13:41.399332+00:00
0,Tester | Slovakia,linkedin,Integration Tester,Avenga,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/integration-tester-at-avenga-4331424497,2026-06-08T14:13:41.399590+00:00
0,Tester | Slovakia,linkedin,Agile Test Engineer,ESET,"Košice, Kosice, Slovakia",On-site,Full-time,,Agile,English,,,Recent,https://sk.linkedin.com/jobs/view/agile-test-engineer-at-eset-4405175696,2026-06-08T14:13:41.399850+00:00
0,Tester | Slovakia,linkedin,QA Engineer,localhost.company,"Košice, Kosice, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/qa-engineer-at-localhost-company-4417973917,2026-06-08T14:13:41.399982+00:00
0,Tester | Slovakia,linkedin,Software Test Engineer,Descartes Systems Group,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/software-test-engineer-at-descartes-systems-group-4346477958,2026-06-08T14:13:41.400112+00:00
0,Tester | Czech Republic,linkedin,QA Functional Engineer,Applaudo,Dominican Republic,On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/qa-functional-engineer-at-applaudo-4424114368,2026-06-08T14:13:43.745426+00:00
0,Tester | Czech Republic,linkedin,Junior QA Automation Engineer,InvestorFlow,"Santiago de los Caballeros, Santiago, Dominican Republic",On-site,Full-time,,Junior,English,,,Recent,https://do.linkedin.com/jobs/view/junior-qa-automation-engineer-at-investorflow-4423307207,2026-06-08T14:13:43.745593+00:00
0,Tester | Czech Republic,linkedin,Vacante: Software QA Engineer,Tu Empleo RD,"Santo Domingo Este, Santo Domingo, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/vacante-software-qa-engineer-at-tu-empleo-rd-4420233445,2026-06-08T14:13:43.745739+00:00
0,Tester | Czech Republic,linkedin,Junior QA Automation Engineer,InvestorFlow,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Junior,English,,,Recent,https://do.linkedin.com/jobs/view/junior-qa-automation-engineer-at-investorflow-4423312077,2026-06-08T14:13:43.745866+00:00
0,Tester | Czech Republic,linkedin,QA Automation Engineer,CrecerLab,"Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/qa-automation-engineer-at-crecerlab-4417364413,2026-06-08T14:13:43.745987+00:00
0,Tester | Czech Republic,linkedin,Quality Assurance Engineer - Trabajo Remoto,BairesDev,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-engineer-trabajo-remoto-at-bairesdev-4423960954,2026-06-08T14:13:43.746115+00:00
0,Tester | Czech Republic,linkedin,Líder Tester Automatizador TI,Banco Popular Dominicano,"Santo Domingo, Dominican Republic",On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/l%C3%ADder-tester-automatizador-ti-at-banco-popular-dominicano-4401626588,2026-06-08T14:13:43.746257+00:00
