relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/498685/testingenieur-medizintechnik,2026-04-06T12:19:31.551100+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Wedel Deut­sch­land,Vor Ort,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/500848/testingenieur,2026-04-06T12:19:58.445235+00:00
14,Testingenieur | Germany,ferchau,Senior Testingenieur Antriebstechnik (m/w/d),FERCHAU,Augs­burg Deut­sch­land,Remote,Full-time,Python,"Expert, Senior, Intern, R",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/500683/senior-testingenieur-antriebstechnik,2026-04-06T12:19:58.446099+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445054/testingenieur-medizintechnik,2026-04-06T12:19:58.447098+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,Python,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/495745/testingenieur,2026-04-06T12:19:58.448094+00:00
14,Test Automation | Germany,ferchau,Process Automation Engineer (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,,"Expert, Lead",English,"Expert, Lead",,Recent,https://touch.ferchau.com/de/de/job/489412/process-automation-engineer,2026-04-06T12:20:07.892492+00:00
14,Test Automation | Germany,ferchau,Program Test Lead (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Remote,Full-time,,"Expert, R, Lead",German,"Expert, Lead",,Recent,https://touch.ferchau.com/de/de/job/499780/program-test-lead,2026-04-06T12:20:07.897035+00:00
14,Test Automation | Germany,ferchau,Lead Architekt DevOps / Automation (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Remote,Full-time,Ci/Cd,"Aws, Gcp, Oracle, Devops, Architect, Lead, Azure, R",German,"Architect, Lead",,Recent,https://touch.ferchau.com/de/de/job/499594/lead-architekt-devops-automation,2026-04-06T12:20:07.898595+00:00
14,Test Automation | Germany,ferchau,Testmanager für Automationssysteme (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,,"Jira, R",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/499546/testmanager-fuer-automationssysteme,2026-04-06T12:20:07.899816+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","Expert, Angular, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-04-06T12:20:17.463603+00:00
14,Python Developer | Germany,ferchau,Senior Software Python Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"Ci/Cd, Go, Python","Senior, Lead",English,"Lead, Senior",,Recent,https://touch.ferchau.com/de/de/job/490762/senior-software-python-engineer,2026-04-06T12:20:17.464635+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Expert, Sql, Junior, Linux, Nosql, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-04-06T12:20:17.466425+00:00
14,Python Developer | Germany,ferchau,Application Developer / IT Product Developer (m/w/d) für AIRBUS Helicopters,FERCHAU,Donau­wörth Deut­sch­land,Vor Ort,Full-time,Python,"Expert, Sql, Node.Js, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499402/application-developer-it-product-developer-fuer-airbus-helicopters,2026-04-06T12:20:17.470994+00:00
14,Python Developer | Germany,ferchau,Softwareentwickler / Anwendungsentwickler (m/w/d),FERCHAU,Leipzig Deut­sch­land,Remote,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Docker, Scrum, Gitlab, Oracle, Mysql, C#, R, Expert, Sql, Gitlab Ci",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/484657/softwareentwickler-anwendungsentwickler,2026-04-06T12:20:17.471967+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Neubran­den­burg Deut­sch­land,Hybrid,Full-time,"C, C++, Python",R,German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/294622/softwaretester,2026-04-06T12:20:27.709565+00:00
14,Firmware Engineer | Germany,ferchau,Senior Hardware Entwickler (m/w/d) Monitoring und Diagnose Systeme,FERCHAU,Erlangen Deut­sch­land,Hybrid,Full-time,"C, C++","R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/500698/senior-hardware-entwickler-monitoring-und-diagnose-systeme,2026-04-06T12:20:37.508649+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Engineer Zephyr (m/w/d),FERCHAU,Hall in Tirol Öster­reich,Remote,Full-time,"Arm, C, C++, Ci/Cd, Embedded Systems, Python, Rtos","Expert, Zephyr, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/490867/embedded-engineer-zephyr,2026-04-06T12:20:37.511740+00:00
14,Firmware Engineer | Germany,ferchau,Softwareentwickler (m/w/d) C++,FERCHAU,Verden Deut­sch­land,Hybrid,Full-time,"C, C++","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/479368/softwareentwickler-c,2026-04-06T12:20:37.515800+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-04-06T12:19:31.546832+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lemwerder Deut­sch­land,Hybrid,Full-time,,"R, Php, Git",German,,,Recent,https://touch.ferchau.com/de/de/job/500122/softwaretester,2026-04-06T12:19:31.547961+00:00
0,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-04-06T12:19:31.548851+00:00
0,Tester | Germany,ferchau,Softwaretester - Quality Assurance IT (m/w/d),FERCHAU,Rosen­heim Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/500800/softwaretester-quality-assurance-it,2026-04-06T12:19:31.550172+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Testingenieur (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,Jenkins,"Scrum, Agile, Junit, Testng, R",German,,,Recent,https://touch.ferchau.com/de/de/job/497092/softwaretester-software-testingenieur,2026-04-06T12:19:31.553737+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,Can,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-04-06T12:19:39.931610+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/461695/hull-structural-designer,2026-04-06T12:19:39.933964+00:00
0,QA Engineer | Germany,ferchau,DevOps Engineer (m/w/d) Cloud & Mobile Platforms,FERCHAU,Nürn­berg Deut­sch­land,Remote,Full-time,"Bash, Ci/Cd, Github Actions, Jenkins, Python","Docker, Argocd, Agile, Gitlab, Devops, Gitlab Ci, Azure, Github, R",German,,,Recent,https://touch.ferchau.com/de/de/job/488962/devops-engineer-cloud-mobile-platforms,2026-04-06T12:19:39.935208+00:00
0,QA Engineer | Germany,ferchau,Backend Entwickler (m/w/d),FERCHAU,Köln Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/469966/backend-entwickler,2026-04-06T12:19:39.937430+00:00
0,Test Engineer | Germany,ferchau,RF Test Engineer (m/f/d),FERCHAU,Vienna Austria,On-Site,Full-time,"C, C++, Can, Java, Python",,English,,,Recent,https://touch.ferchau.com/de/de/job/496804/rf-test-engineer,2026-04-06T12:19:50.101409+00:00
0,Test Engineer | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,"Scrum, Intern, R, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/495223/system-test-engineer,2026-04-06T12:19:50.102572+00:00
0,Test Engineer | Germany,ferchau,Hardware Test Engineer (m/f/d),FERCHAU,Munich Germany,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/498541/hardware-test-engineer,2026-04-06T12:19:50.104273+00:00
0,Test Engineer | Germany,ferchau,Testingenieur elektrische Systeme (m/w/d),FERCHAU,Soest Deut­sch­land,Vor Ort,Full-time,"Can, Hil, Python","Jira, R",German,,,Recent,https://touch.ferchau.com/de/de/job/500671/testingenieur-elektrische-systeme,2026-04-06T12:19:50.105768+00:00
0,Test Engineer | Germany,ferchau,Testingenieur - Software / Hardware (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,Python,"Iso 26262, R",German,,,Recent,https://touch.ferchau.com/de/de/job/484144/testingenieur-software-hardware,2026-04-06T12:19:50.107008+00:00
0,Test Engineer | Germany,ferchau,Test Engineer Avionics Integration (m/f/d) for AIRBUS Defence & Space,FERCHAU,Manching Germany,On-Site,Full-time,"C, C++, Python",Matlab,English,,,Recent,https://touch.ferchau.com/de/de/job/495475/test-engineer-avionics-integration-for-airbus-defence-space,2026-04-06T12:19:50.109184+00:00
0,Test Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,"Jenkins, Pytest","Linux, R",German,,,Recent,https://touch.ferchau.com/de/de/job/495214/software-test-engineer,2026-04-06T12:19:50.110868+00:00
0,Test Engineer | Germany,ferchau,Testingenieur Lenksysteme (m/w/d),FERCHAU,Markto­ber­dorf Deut­sch­land,Remote,Full-time,"Hil, Python","Canoe, R",German,,,Recent,https://touch.ferchau.com/de/de/job/499855/testingenieur-lenksysteme,2026-04-06T12:19:50.122299+00:00
0,Test Engineer | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Java, Python","Scrum, Postman, Junit, Agile, R",German,,,Recent,https://touch.ferchau.com/de/de/job/486202/softwaretester,2026-04-06T12:19:50.124612+00:00
0,Testingenieur | Germany,ferchau,Testingenieur Umfeldsensorik (m/w/d),FERCHAU,Markto­ber­dorf Deut­sch­land,Remote,Full-time,"Can, Python","Canoe, Matlab, R",German,,,Recent,https://touch.ferchau.com/de/de/job/499858/testingenieur-umfeldsensorik,2026-04-06T12:19:58.440314+00:00
0,Testingenieur | Germany,ferchau,Testingenieur für Schnittstellen (m/w/d),FERCHAU,Markto­ber­dorf Deut­sch­land,Remote,Full-time,"Can, Python","Canoe, R",German,,,Recent,https://touch.ferchau.com/de/de/job/499852/testingenieur-fuer-schnittstellen,2026-04-06T12:19:58.441599+00:00
0,Testingenieur | Germany,ferchau,Testingenieur Embedded Systems (m/w/d),FERCHAU,Erfurt Deut­sch­land,Vor Ort,Full-time,"C, C++, Embedded Systems, Python","Scrum, C#, Devops, R, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/349426/testingenieur-embedded-systems,2026-04-06T12:19:58.442515+00:00
0,Test Automation | Germany,ferchau,Automation Tester (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,"Ci/Cd, Java","Agile, Cypress, Git",English,,,Recent,https://touch.ferchau.com/de/de/job/490807/automation-tester,2026-04-06T12:20:07.889954+00:00
0,Test Automation | Germany,ferchau,Automation Engineer (m/f/d),FERCHAU,Radlin Poland,On-Site,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/480679/automation-engineer,2026-04-06T12:20:07.893483+00:00
0,Test Automation | Germany,ferchau,HiL Test Engineer (m/w/d),FERCHAU,Remscheid Deut­sch­land,Remote,Full-time,"Hil, Python","Scrum, Jira, R",German,,,Recent,https://touch.ferchau.com/de/de/job/499210/hil-test-engineer,2026-04-06T12:20:07.894984+00:00
0,Test Automation | Germany,ferchau,Techniker (m/w/d) Gebäudeautomation,FERCHAU,Schwaz Öster­reich,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/495199/techniker-gebaeudeautomation,2026-04-06T12:20:07.895777+00:00
0,Python Developer | Germany,ferchau,SAP Backend Developer mit Beratungsfunktion (m/w/d),FERCHAU,Schwaz Öster­reich,Remote,Full-time,"C, Java, Python","C#, R",German,,,Recent,https://touch.ferchau.com/de/de/job/479590/sap-backend-developer-mit-beratungsfunktion,2026-04-06T12:20:17.462826+00:00
0,Python Developer | Germany,ferchau,Software Developer Python (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,Python,"Scrum, Sql, Agile, Linux, Nosql, R, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/281409/software-developer-python,2026-04-06T12:20:17.465549+00:00
0,Python Developer | Germany,ferchau,Full Stack Developer (m/w/d),FERCHAU,Leipzig Deut­sch­land,Remote,Full-time,"Ci/Cd, Java, Python","Sql, Agile, Angular, Node.Js, Git, R, Nosql, Vue.Js, React",German,,,Recent,https://touch.ferchau.com/de/de/job/486520/full-stack-developer,2026-04-06T12:20:17.467304+00:00
0,Python Developer | Germany,ferchau,Full Stack Developer (m/w/d),FERCHAU,Inns­bruck Öster­reich,Hybrid,Full-time,"C, C++, Java, Python","Angular, C#, R, React, Vue.Js, Graphql",German,,,Recent,https://touch.ferchau.com/de/de/job/453814/full-stack-developer,2026-04-06T12:20:17.468195+00:00
0,Python Test | Germany,ferchau,Testingenieur (m/w/d) Embedded-Systeme,FERCHAU,Fried­richs­hafen Deut­sch­land,Hybrid,Full-time,"C, C++, Jenkins, Python","Gitlab, Canoe, Gitlab Ci, R",German,,,Recent,https://touch.ferchau.com/de/de/job/250895/testingenieur-embedded-systeme,2026-04-06T12:20:27.717363+00:00
0,Python Test | Germany,ferchau,Softwaretester Systemtests Medizintechnik (m/w/d),FERCHAU,Jena Deut­sch­land,Vor Ort,Full-time,"C, Jenkins, Python","C#, Devops, Azure, R",German,,,Recent,https://touch.ferchau.com/de/de/job/309493/softwaretester-systemtests-medizintechnik,2026-04-06T12:20:27.718796+00:00
0,Firmware Engineer | Germany,ferchau,Embedded Firmware & FPGA Engineer (m/w/d),FERCHAU,Raaba-Gram­bach Öster­reich,Hybrid,Full-time,"C, C++, Firmware","Scrum, Vhdl, Git, R, Fpga, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/499696/embedded-firmware-fpga-engineer,2026-04-06T12:20:37.500696+00:00
0,Firmware Engineer | Germany,ferchau,Hardware Engineer Elektrotechnik (m/w/d),FERCHAU,Hannover Deut­sch­land,Vor Ort,Full-time,"C, C++",R,German,,,Recent,https://touch.ferchau.com/de/de/job/486970/hardware-engineer-elektrotechnik,2026-04-06T12:20:37.502212+00:00
0,Firmware Engineer | Germany,ferchau,Software Engineer (m/f/d) C++,FERCHAU,Munich Germany,On-Site,Full-time,"C, C++, Rust",,English,,,Recent,https://touch.ferchau.com/de/de/job/482779/software-engineer-c,2026-04-06T12:20:37.503588+00:00
0,Firmware Engineer | Germany,ferchau,Embedded Software Entwickler (m/w/d),FERCHAU,Berlin Deut­sch­land,Hybrid,Full-time,"C, C++, Python","Linux, Git, R",German,,,Recent,https://touch.ferchau.com/de/de/job/479902/embedded-software-entwickler,2026-04-06T12:20:37.510234+00:00
0,Firmware Engineer | Germany,ferchau,Entwickler Firmware Niederspannung (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,"C, C++, Firmware","Git, R, Github",German,,,Recent,https://touch.ferchau.com/de/de/job/493621/entwickler-firmware-niederspannung,2026-04-06T12:20:37.513030+00:00
0,Firmware Engineer | Germany,ferchau,Elektroingenieur (m/w/d),FERCHAU,Rostock Deut­sch­land,Remote,Full-time,"C, Can, Spi, Uart",R,German,,,Recent,https://touch.ferchau.com/de/de/job/491920/elektroingenieur,2026-04-06T12:20:37.514144+00:00
0,Firmware Engineer | Germany,ferchau,Teamleiter Regelungstechnik (m/w/d) in Direktvermittlung,FERCHAU,Hamburg Deut­sch­land,Vor Ort,Full-time,,"Team Lead, R",German,,,Recent,https://touch.ferchau.com/de/de/job/485038/teamleiter-regelungstechnik-in-direktvermittlung,2026-04-06T12:20:37.514909+00:00
