relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Firmware Engineer | Switzerland,linkedin,"Senior Software Developer, Embedded Systems/Firmware",Google,"Zurich, Zurich, Switzerland",Remote,Contract,"C, C++, Embedded Systems, Firmware","Lead, Senior",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-software-developer-embedded-systems-firmware-at-google-4425226864,2026-06-18T13:37:15.770049+00:00
14,Tester | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4421952597,2026-06-18T13:34:47.528843+00:00
14,Tester | Czech Republic,linkedin,Lead Software Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-in-test-sdet-at-flash-4414922814,2026-06-18T13:34:47.529118+00:00
14,QA Engineer | Germany,linkedin,Senior Manual QA Engineer,Jobgether,Germany,On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-manual-qa-engineer-at-jobgether-4427442940,2026-06-18T13:34:57.415119+00:00
14,QA Engineer | Germany,linkedin,Senior Manual QA Engineer (Front SEO),Jobgether,Germany,On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-manual-qa-engineer-front-seo-at-jobgether-4429306627,2026-06-18T13:34:57.415286+00:00
14,QA Engineer | Germany,linkedin,Manual AI-Assisted QA Engineer,COLIBRIX ONE,"Berlin, Berlin, Germany",On-site,Full-time,"Chatgpt, Claude, Integration Testing, Playwright, Python","Jira, Postman, Principal, Regression Testing, Zephyr, Manual Testing, Gitlab, Confluence",English,Principal,,Recent,https://de.linkedin.com/jobs/view/manual-ai-assisted-qa-engineer-at-colibrix-one-4422405662,2026-06-18T13:34:57.415419+00:00
14,QA Engineer | Germany,linkedin,Senior QA Engineer,Jobgether,Germany,On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-at-jobgether-4426915016,2026-06-18T13:34:57.415542+00:00
14,QA Engineer | Germany,linkedin,Senior QA Engineer*,Haeger Consulting GmbH,"Bonn, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-at-haeger-consulting-gmbh-4430414607,2026-06-18T13:34:57.416190+00:00
14,QA Engineer | Germany,linkedin,Senior QA Engineer (m/w/d) Testautomatisierung & Quality Assurance,MACH,Germany,On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-m-w-d-testautomatisierung-quality-assurance-at-mach-4429797924,2026-06-18T13:34:57.416317+00:00
14,QA Engineer | Switzerland,linkedin,Senior Manual QA Engineer,Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-manual-qa-engineer-at-jobgether-4427477002,2026-06-18T13:35:02.256430+00:00
14,QA Engineer | Switzerland,linkedin,Senior Manual QA Engineer (Front SEO),Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-manual-qa-engineer-front-seo-at-jobgether-4429301650,2026-06-18T13:35:02.256600+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Engineer,Jobgether,Switzerland,On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-engineer-at-jobgether-4426929087,2026-06-18T13:35:02.256867+00:00
14,QA Engineer | Slovakia,linkedin,Senior QA Automation Engineer - Reselling platform (m/f/d),Deutsche Telekom IT Solutions Slovakia,"Košice-Západ, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-automation-engineer-reselling-platform-m-f-d-at-deutsche-telekom-it-solutions-slovakia-4419274055,2026-06-18T13:35:07.094975+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer - Poland,Focal Systems,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-poland-at-focal-systems-4422951776,2026-06-18T13:35:11.886233+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,MMDSmart,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-mmdsmart-4419838000,2026-06-18T13:35:11.886373+00:00
14,QA Engineer | Poland,linkedin,Senior Quality Assurance Engineer,Forte Group,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-forte-group-4430423426,2026-06-18T13:35:11.886634+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Manual QA Engineer,Jobgether,United Kingdom,On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-manual-qa-engineer-at-jobgether-4427449957,2026-06-18T13:35:16.851763+00:00
14,QA Engineer | United Kingdom,linkedin,Staff QA Engineer,Matillion,"Manchester, England, United Kingdom",On-site,Full-time,,Staff,English,Staff,,Recent,https://uk.linkedin.com/jobs/view/staff-qa-engineer-at-matillion-4401769212,2026-06-18T13:35:16.851895+00:00
14,QA Engineer | United Kingdom,linkedin,Senior Manual QA Engineer (Front SEO),Jobgether,United Kingdom,Remote,Contract,"Ci/Cd, Jenkins","Git, Jira, Grafana, Manual Testing, Agile, Gitlab, Confluence, Senior",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-manual-qa-engineer-front-seo-at-jobgether-4429304640,2026-06-18T13:35:16.852419+00:00
14,Test Engineer | Germany,linkedin,Senior Test Engineer (m/f/d),Renesas Electronics,"Dresden, Saxony, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/%E2%80%AFsenior-test-engineer-m-f-d-at-renesas-electronics-4426829202,2026-06-18T13:35:19.355633+00:00
14,Test Engineer | Slovakia,linkedin,Medior/Senior Test Engineer (m/f/n),ESET,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/medior-senior-test-engineer-m-f-n-at-eset-4382568751,2026-06-18T13:35:29.159159+00:00
14,Testingenieur | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Group,"Horná Štefanovičová, Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-group-4419248716,2026-06-18T13:35:51.362273+00:00
14,Testingenieur | USA,linkedin,"Manufacturing Engineer, General Assembly & Testing Optimus",Tesla,"Palo Alto, CA",On-site,Contract,,"Assembly, Lead, Staff",English,"Lead, Staff",,Recent,https://www.linkedin.com/jobs/view/manufacturing-engineer-general-assembly-testing-optimus-at-tesla-4420212701,2026-06-18T13:35:58.891398+00:00
14,Testingenieur | USA,linkedin,Product Testing Engineer,Honda South Carolina Manufacturing,"Raymond, OH",Remote,Contract,C,Contractor,English,Contractor,,Recent,https://www.linkedin.com/jobs/view/product-testing-engineer-at-honda-south-carolina-manufacturing-4425927540,2026-06-18T13:35:58.891652+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer,SPT Labtech,"Cambridge, England, United Kingdom",On-site,Contract,,"Expert, Regression Testing, R",English,Expert,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-spt-labtech-4429907148,2026-06-18T13:36:01.373941+00:00
14,Testingenieur | United Kingdom,linkedin,Graduate Test Engineer – Environmental Testing,Applus+ Laboratories,"Silverstone, England, United Kingdom",On-site,Contract,,"Graduate, Staff",English,Staff,,Recent,https://uk.linkedin.com/jobs/view/graduate-test-engineer-%E2%80%93-environmental-testing-at-applus%2B-laboratories-4409256531,2026-06-18T13:36:01.374140+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer,CSafe,"Long Crendon, England, United Kingdom",On-site,Full-time,,"Lead, Assembly",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-csafe-4410726362,2026-06-18T13:36:01.374670+00:00
14,Testingenieur | United Kingdom,linkedin,Graduate Quality Assurance Engineer,E3 Recruitment,"Huddersfield, England, United Kingdom",On-site,Contract,Can,"Graduate, Staff, Assembly",English,Staff,,Recent,https://uk.linkedin.com/jobs/view/graduate-quality-assurance-engineer-at-e3-recruitment-4420728561,2026-06-18T13:36:01.374792+00:00
14,Test Automation | Germany,linkedin,(Senior) Test Automation Engineer,VisualVest,"Frankfurt, Hesse, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-at-visualvest-4430447726,2026-06-18T13:36:03.844685+00:00
14,Test Automation | Germany,linkedin,Senior Test Manager,Avaloq,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://de.linkedin.com/jobs/view/senior-test-manager-at-avaloq-4426938755,2026-06-18T13:36:03.844806+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4421153527,2026-06-18T13:36:03.844928+00:00
14,Test Automation | Austria,linkedin,Test Manager (m/w/d),softwareXperts GmbH,"Vienna, Austria",On-site,Full-time,,,English,Test Manager,,Recent,https://at.linkedin.com/jobs/view/test-manager-m-w-d-at-softwarexperts-gmbh-4420404169,2026-06-18T13:36:06.244053+00:00
14,Test Automation | Austria,linkedin,Senior Tester (f/m/x) - Group Prime Service Tribe,Raiffeisen Bank International AG,"Vienna, Austria",On-site,Internship,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-tester-f-m-x-group-prime-service-tribe-at-raiffeisen-bank-international-ag-4408045349,2026-06-18T13:36:06.244174+00:00
14,Test Automation | Austria,linkedin,"Test Automation Engineer – Senior Consultant (m,w,d)",QESTIT DACH,"Vienna, Austria",On-site,Full-time,Test Automation,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-%E2%80%93-senior-consultant-m-w-d-at-qestit-dach-4422293279,2026-06-18T13:36:06.244432+00:00
14,Test Automation | Switzerland,linkedin,QA Team Lead (General),Jobgether,Switzerland,On-site,Full-time,,"Lead, Team Lead",English,Lead,,Recent,https://ch.linkedin.com/jobs/view/qa-team-lead-general-at-jobgether-4426227745,2026-06-18T13:36:08.664883+00:00
14,Test Automation | Switzerland,linkedin,Senior Test Manager,itecor,"Geneva, Geneva, Switzerland",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/senior-test-manager-at-itecor-4418946126,2026-06-18T13:36:08.665390+00:00
14,Test Automation | Remote,linkedin,Senior Mobile Test Automation Engineer,Bragi,Germany,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-mobile-test-automation-engineer-at-bragi-4425302797,2026-06-18T13:36:11.107968+00:00
14,Test Automation | Slovakia,linkedin,Senior Test Developer,Kistler Group,"Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-developer-at-kistler-group-4420290304,2026-06-18T13:36:13.614196+00:00
14,Test Automation | Czech Republic,linkedin,AI Strategy & Automation Lead,Midorick Solutions,Dominican Republic,On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/ai-strategy-automation-lead-at-midorick-solutions-4429567388,2026-06-18T13:36:16.040742+00:00
14,Test Automation | Czech Republic,linkedin,Quality Assurance Senior,Grupo Ramos,"Santo Domingo, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/quality-assurance-senior-at-grupo-ramos-4421212046,2026-06-18T13:36:16.041823+00:00
14,Test Automation | Poland,linkedin,Senior Software Development Engineer in Test,SPD Technology,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-development-engineer-in-test-at-spd-technology-4423343137,2026-06-18T13:36:18.505421+00:00
14,Test Automation | Poland,linkedin,Senior Automation Engineer,Precisely,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-engineer-at-precisely-4430436692,2026-06-18T13:36:18.505672+00:00
14,Test Automation | USA,linkedin,Senior Quality Assurance Automation Engineer,sportsYou,United States,On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-quality-assurance-automation-engineer-at-sportsyou-4428753339,2026-06-18T13:36:21.189176+00:00
14,Test Automation | USA,linkedin,Senior Test Automation Engineer,Clearwaters.IT,"Washington, DC",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-test-automation-engineer-at-clearwaters-it-4423558669,2026-06-18T13:36:21.189539+00:00
14,Test Automation | United Kingdom,linkedin,Test Lead,Alpha Bank,"London Area, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/test-lead-at-alpha-bank-4425304166,2026-06-18T13:36:23.746575+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Engineer,Opus 2,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-engineer-at-opus-2-4429973138,2026-06-18T13:36:23.746834+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Manager- Financial Services,KPMG UK,"London Area, United Kingdom",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://uk.linkedin.com/jobs/view/senior-test-manager-financial-services-at-kpmg-uk-4407206674,2026-06-18T13:36:23.747101+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Engineer - Hybrid,Sanderson,"London Area, United Kingdom",Hybrid,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-engineer-hybrid-at-sanderson-4430440021,2026-06-18T13:36:23.747351+00:00
14,Python Developer | Germany,linkedin,Senior Python Engineer (NLP) - Munich,Next Ventures,"Munich, Bavaria, Germany",On-site,Full-time,"Nlp, Python",Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-nlp-munich-at-next-ventures-4426828967,2026-06-18T13:36:26.194919+00:00
14,Python Developer | Switzerland,linkedin,Senior Back-End Engineer (Python),Vorsee,"Geneva, Geneva, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-back-end-engineer-python-at-vorsee-4421851489,2026-06-18T13:36:31.020710+00:00
14,Python Developer | Switzerland,linkedin,Senior Python Software Engineer (m/w/d),Onyx Circle,"Aargau, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-python-software-engineer-m-w-d-at-onyx-circle-4429553681,2026-06-18T13:36:31.021257+00:00
14,Python Developer | Switzerland,linkedin,Senior Backend Software Engineer (Python),DigiTech Search,"Zurich, Switzerland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-backend-software-engineer-python-at-digitech-search-4427319768,2026-06-18T13:36:31.021768+00:00
14,Python Developer | Remote,linkedin,Senior Python Developer,Digital Waffle,"Berlin, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-developer-at-digital-waffle-4424571485,2026-06-18T13:36:33.567986+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Data Scraping Engineer (Freelance),Mindrift,Slovakia,On-site,Contract,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-data-scraping-engineer-freelance-at-mindrift-4429904147,2026-06-18T13:36:36.008836+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,EPAM Systems,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-epam-systems-4288584951,2026-06-18T13:36:36.008967+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Endava,"Warsaw, Mazowieckie, Poland",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-endava-4428041568,2026-06-18T13:36:41.024202+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,Endava,Cracow Metropolitan Area,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-endava-4428054454,2026-06-18T13:36:41.024904+00:00
14,Python Test | Switzerland,linkedin,Test Architect,Sixsentix,"Zurich, Switzerland",On-site,Full-time,,Architect,English,Architect,,Recent,https://ch.linkedin.com/jobs/view/test-architect-at-sixsentix-4417954098,2026-06-18T13:36:53.577964+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Berlin, Berlin, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421845948,2026-06-18T13:36:56.020428+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Frankfurt am Main, Hesse, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421840997,2026-06-18T13:36:56.020554+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Hamburg, Hamburg, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421857863,2026-06-18T13:36:56.020679+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Stuttgart, Baden-Württemberg, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4421858340,2026-06-18T13:36:56.020802+00:00
14,Python Test | Slovakia,linkedin,Senior Automation QA Engineer / SDET (Python),Binance,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-automation-qa-engineer-sdet-python-at-binance-4251138358,2026-06-18T13:36:58.461388+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-06-18T13:37:00.863376+00:00
14,Python Test | Czech Republic,linkedin,Automation Framework Architect,PartnerOne,Dominican Republic,On-site,Full-time,,Architect,English,Architect,,Recent,https://do.linkedin.com/jobs/view/automation-framework-architect-at-partnerone-4418185718,2026-06-18T13:37:00.863633+00:00
14,Python Test | USA,linkedin,Quality Assurance Engineer,HCLTech,"Menlo Park, CA",On-site,Contract,"Can, Javascript, Python","Lead, Sql, Contractor, Spark, Performance Testing, Senior",English,"Contractor, Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/quality-assurance-engineer-at-hcltech-4427382480,2026-06-18T13:37:05.934765+00:00
14,Python Test | United Kingdom,linkedin,Senior QA Engineer,Bright Purple,"Aberdeen, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-bright-purple-4427818781,2026-06-18T13:37:08.485966+00:00
14,Firmware Engineer | Austria,linkedin,Senior Firmware Engineer (f/m/d),Easelink,"Graz, Styria, Austria",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-firmware-engineer-f-m-d-at-easelink-4418331284,2026-06-18T13:37:13.357078+00:00
14,Firmware Engineer | Remote,linkedin,Engineer* Embedded Software,Smart Mechatronics GmbH,"Paderborn, North Rhine-Westphalia, Germany",Remote,Contract,"C, C++, Can, Spi","Junior, Senior, R",German,Senior,,Recent,https://de.linkedin.com/jobs/view/engineer-embedded-software-at-smart-mechatronics-gmbh-4425832501,2026-06-18T13:37:18.185826+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded Engineer (m/w/d),QAVION GROUP,Germany,Remote,Full-time,"Arm, C, C++, Can, I2C, Rtos, Spi, Uart","Stm32, Freertos, Fpga, Zephyr, Senior, Linux, Qnx, R",German,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-m-w-d-at-qavion-group-4421116002,2026-06-18T13:37:18.185956+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer,Jobgether,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-at-jobgether-4428472364,2026-06-18T13:37:18.186214+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer (m/f/d) - Mobile,Code Compass 🧭,Berlin Metropolitan Area,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-m-f-d-mobile-at-code-compass-%F0%9F%A7%AD-4427341899,2026-06-18T13:37:18.186334+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer (Remote) - Talent Pipeline,Forgotten Empires,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-remote-talent-pipeline-at-forgotten-empires-4424784782,2026-06-18T13:37:18.186716+00:00
14,Firmware Engineer | Czech Republic,linkedin,"Lead Software Engineer (Hybrid, Santo Domingo, DO)",Parking Network B.V.,"Santo Domingo Este, Santo Domingo, Dominican Republic",Hybrid,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-hybrid-santo-domingo-do-at-parking-network-b-v-4428860564,2026-06-18T13:37:23.133435+00:00
14,Firmware Engineer | Czech Republic,linkedin,Lead Software Engineer,NiCE,Dominican Republic,On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-at-nice-4408418124,2026-06-18T13:37:23.133830+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Full-Stack Engineer (.NET/Angular) (ASP.NET Focus) - GovTech / HR Software - Dominican Republic,Truelogic Software,Dominican Republic,On-site,Full-time,,"Angular, Senior",English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-full-stack-engineer-net-angular-asp-net-focus-govtech-hr-software-dominican-republic-at-truelogic-software-4421224554,2026-06-18T13:37:23.134220+00:00
14,Firmware Engineer | Poland,linkedin,Senior Embedded Software Engineer (office/remote),"HiQo Solutions, Inc.","Cracow, Małopolskie, Poland",Remote,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-embedded-software-engineer-office-remote-at-hiqo-solutions-inc-4428772863,2026-06-18T13:37:25.537491+00:00
14,Firmware Engineer | Poland,linkedin,Senior Software Engineer (Kotlin),MWDN,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,"Kotlin, Senior",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-kotlin-at-mwdn-4424351912,2026-06-18T13:37:25.537628+00:00
14,Firmware Engineer | Poland,linkedin,Senior Software Development Engineer,SPD Technology,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-development-engineer-at-spd-technology-4429949349,2026-06-18T13:37:25.538289+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Principal Software Engineer, £600/day (Outside IR35)",Manchester Digital,"Manchester, England, United Kingdom",On-site,Full-time,,Principal,English,Principal,,Recent,https://uk.linkedin.com/jobs/view/principal-software-engineer-%C2%A3600-day-outside-ir35-at-manchester-digital-4419342810,2026-06-18T13:37:30.635851+00:00
