relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Automation | Germany,gulp,"Senior Test Manager / QA Architect|Lead (m/f/d) –Test Automation, AI, SAFe & Cloud",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Test Automation,"Architect, Lead, Senior, Safe",English,"Architect, Lead, Senior, Test Manager",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01324955,2026-08-20T11:14:42.601411+00:00
14,Python Developer | Germany,gulp,"Senior SAP Logistics Integration Manager (m/f/d) - SAP EWM, SAP TM, SAP PP, S/4HANA",GULP Client,Location: Wolfsburg,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01326648,2026-08-20T11:15:32.969570+00:00
0,Tester | Germany,gulp,Test engineerin the field of electrical drive technology (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ad2f44fa784fd94aaa7e,2026-08-20T11:11:16.798297+00:00
0,Tester | Germany,gulp,SystemTesterfor Battery Systems (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ad0044fa784fd94a71f3,2026-08-20T11:11:16.798729+00:00
0,Tester | Germany,gulp,SystemTesterfor Battery Systems (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86acfb44fa784fd94a6c5e,2026-08-20T11:11:16.799126+00:00
0,Tester | Germany,gulp,Test engineer/test mechanic for cartridges in vacuum pumps (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac8344fa784fd949d0e8,2026-08-20T11:11:16.799514+00:00
0,Tester | Germany,gulp,Test engineer/test mechanic for cartridges in vacuum pumps (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac7f44fa784fd949ccb3,2026-08-20T11:11:16.799917+00:00
0,Tester | Germany,gulp,Automotive Testing (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac5944fa784fd949995f,2026-08-20T11:11:16.800330+00:00
0,Tester | Germany,gulp,Automotive Testing (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac5744fa784fd94996ec,2026-08-20T11:11:16.800742+00:00
0,Tester | Germany,gulp,DeviceTester(m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac0e44fa784fd949386b,2026-08-20T11:11:16.801144+00:00
0,Tester | Germany,gulp,DeviceTester(m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac0c44fa784fd9493591,2026-08-20T11:11:16.801540+00:00
0,Tester | Germany,gulp,DeviceTester(m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac0c44fa784fd9493592,2026-08-20T11:11:16.801946+00:00
0,Tester | Germany,gulp,DeviceTester(m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac0844fa784fd94932b5,2026-08-20T11:11:16.802335+00:00
0,Tester | Germany,gulp,CPE Testing (m/f/d),GULP Client,Location: keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86abf044fa784fd9491352,2026-08-20T11:11:16.802741+00:00
0,QA Engineer | Germany,gulp,Project Engineer / Process Manager Floor Coverings (m/f/d),GULP Client,Germany,On-site,Freelance,Can,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86d3b580e0956aa9cd3f58,2026-08-20T11:12:08.634937+00:00
0,QA Engineer | Germany,gulp,"Openshift DevOpsEngineer(m/f/d) Kustomize, ArgoCD, Artifactory & Xray - remote/Berlin",GULP Client,Location: remote/Berlin,Remote,Freelance,,"Openshift, Argocd",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86c89d44fa784fd94beb03,2026-08-20T11:12:08.635493+00:00
0,QA Engineer | Germany,gulp,"Cloud & AutomationEngineering, EKS & AKS, GitOps, Terraform, Helm/kustomize, ArgoCD, Kubernetes",GULP Client,Location: Bern,Remote,Freelance,,"Terraform, Argocd, Kubernetes",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86c5f3cee48544927c5bc5,2026-08-20T11:12:08.636031+00:00
0,QA Engineer | Germany,gulp,High Voltage ProjectEngineer(m/f/d),GULP Client,Location: keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86c5aac49d83945a99587b,2026-08-20T11:12:08.636430+00:00
0,QA Engineer | Germany,gulp,Construction Manager for Ground-Mounted Photovoltaic Systems (m/f/d),GULP Client,Location: keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86c5a8c49d83945a995710,2026-08-20T11:12:08.636831+00:00
0,QA Engineer | Germany,gulp,Scala Developer,GULP Client,Location: Remote,Remote,Freelance,,Scala,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/6a86b5e480e0956aa9cd1d8c,2026-08-20T11:12:08.637227+00:00
0,QA Engineer | Germany,gulp,Designer / EPLANER EPLAN Electric P8 (m/f/d),GULP Client,Location: D1,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0c44fa784fd94bc465,2026-08-20T11:12:08.637621+00:00
0,QA Engineer | Germany,gulp,GeotechnicalEngineer/ PlanningEngineer(Railway Infrastructure) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0a44fa784fd94bc227,2026-08-20T11:12:08.638115+00:00
0,QA Engineer | Germany,gulp,Designer / EPLANER EPLAN Electric P8 (m/f/d),GULP Client,Location: D1,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0a44fa784fd94bc184,2026-08-20T11:12:08.638506+00:00
0,QA Engineer | Germany,gulp,GeotechnicalEngineer/ PlanningEngineer(Railway Infrastructure) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0844fa784fd94bbeaa,2026-08-20T11:12:08.639025+00:00
0,QA Engineer | Germany,gulp,ElectricalEngineeringSite Supervisor (m/f/d),GULP Client,Location: Deutschland,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0644fa784fd94bbbd7,2026-08-20T11:12:08.639423+00:00
0,QA Engineer | Germany,gulp,ElectricalEngineeringSite Supervisor (m/f/d),GULP Client,Location: Deutschland,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0444fa784fd94bb8fc,2026-08-20T11:12:08.639822+00:00
0,QA Engineer | Germany,gulp,Engineerfor Plant Planning (Pharmaceuticals/Chemicals) (m/f/d),GULP Client,Location: CH,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0444fa784fd94bb8fd,2026-08-20T11:12:08.640216+00:00
0,QA Engineer | Germany,gulp,Engineerfor Plant Planning (Pharmaceuticals/Chemicals) (m/f/d),GULP Client,Location: CH,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0144fa784fd94bb61e,2026-08-20T11:12:08.640616+00:00
0,QA Engineer | Germany,gulp,SoftwareEngineer- PLC USA (m/f/d),GULP Client,Location: International,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adff44fa784fd94bb349,2026-08-20T11:12:08.641025+00:00
0,Test Automation | Germany,gulp,Junior RobustnessTest AutomationEngineer (m/f/d),GULP Client,Location: D6,On-site,Freelance,,Junior,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac9644fa784fd949e938,2026-08-20T11:14:42.596126+00:00
0,Test Automation | Germany,gulp,Junior RobustnessTest AutomationEngineer (m/f/d),GULP Client,Location: D6,On-site,Freelance,,Junior,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac9444fa784fd949e65e,2026-08-20T11:14:42.596559+00:00
0,Test Automation | Germany,gulp,Test AutomationEngineer for a Content Management System (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac1944fa784fd94946ae,2026-08-20T11:14:42.597778+00:00
0,Test Automation | Germany,gulp,Test AutomationEngineer for a Content Management System (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ac1744fa784fd94943d3,2026-08-20T11:14:42.598176+00:00
0,Test Automation | Germany,gulp,Software Development (Unreal Engine) (m/f/d),GULP Client,Location: keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86abe544fa784fd9490507,2026-08-20T11:14:42.600151+00:00
0,Test Automation | Germany,gulp,Software Development (Unreal Engine) (m/f/d),GULP Client,Location: keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86abe344fa784fd949038e,2026-08-20T11:14:42.600535+00:00
0,Test Automation | Germany,gulp,Test Engineer forTest Automation(76059) NEW,GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a85822eea8bd086fe564f40,2026-08-20T11:14:42.601020+00:00
0,Test Automation | Germany,gulp,"IT - Data Engineer including Power BI, Performance Tuning, Certificates, UX, etc. (f/m/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01324024,2026-08-20T11:14:42.601802+00:00
0,Python Developer | Germany,gulp,"IT Project Management Reporting, Data (m/f/d)",GULP Client,Location: Bern,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86c4adcee48544927c5970,2026-08-20T11:15:32.972337+00:00
0,Python Developer | Germany,gulp,IT Partner for EWM Implementation (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ae0144fa784fd94bb624,2026-08-20T11:15:32.973147+00:00
0,Python Developer | Germany,gulp,IT Partner for EWM Implementation (m/f/d),GULP Client,Location: D6,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adff44fa784fd94bb348,2026-08-20T11:15:32.973539+00:00
0,Python Developer | Germany,gulp,Software Engineer - PLC USA (m/f/d),GULP Client,Location: International,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adfd44fa784fd94bb06e,2026-08-20T11:15:32.974309+00:00
0,Python Developer | Germany,gulp,Mechanical Designer - UAV Systems (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adfb44fa784fd94bad95,2026-08-20T11:15:32.974692+00:00
0,Python Developer | Germany,gulp,Mechanical Designer - UAV Systems (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adf844fa784fd94baabb,2026-08-20T11:15:32.975095+00:00
0,Python Test | Germany,gulp,Construction supervisor for overhead lines and 50 Hz (m/f/d),GULP Client,Location: D1,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adf844fa784fd94baaba,2026-08-20T11:16:25.513948+00:00
0,Python Test | Germany,gulp,Construction supervisor for overhead lines and 50 Hz (m/f/d),GULP Client,Location: D1,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adf644fa784fd94ba7e0,2026-08-20T11:16:25.514311+00:00
0,Python Test | Germany,gulp,Project Engineer ELT (m/f/d),GULP Client,Location: D1,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adf044fa784fd94b9f50,2026-08-20T11:16:25.514681+00:00
0,Python Test | Germany,gulp,Project Engineer ELT (m/f/d),GULP Client,Location: D1,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86adee44fa784fd94b9c77,2026-08-20T11:16:25.515077+00:00
0,Python Test | Germany,gulp,Linux system administration - Linux & Automation Specialist (m/f/d),GULP Client,Location: D6,On-site,Freelance,,Linux,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ade144fa784fd94b8ef6,2026-08-20T11:16:25.515453+00:00
