relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
33,QA Engineer | Germany,gulp,"Senior UX Designer and Researcher (m/f/d), prototyping, usability, user research, HCD, Figma",GULP Schweiz AG,Zürich,On-site,Freelance,,Senior,,"Senior, Architect",,23 hours ago,https://www.gulp.de/gulp2/g/projekte/talentfinder/698b109f9ce3311e8de92397,2026-02-11T11:15:08.313634+00:00
20,QA Engineer | Germany,gulp,REMOTE: Consultant Migration IBM TWS to Automic AWA (UC4) (m/f/d),GULP Client,Frankfurt am Main,Remote,Freelance,,"Devops, Consultant","German, English",Consultant,,17 hours ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01238887,2026-02-11T11:15:08.312574+00:00
20,QA Engineer | Germany,gulp,CivilEngineer(m/f/d),SOLCOM GmbH,D1,On-site,Freelance,,Architect,,Architect,,19 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/510ff2e2069411f196d7a2d1b5394681,2026-02-11T11:15:08.312831+00:00
20,QA Engineer | Germany,gulp,Senior Project Buyer for major projects in the field of mechanicalengineering(m/f/d),SOLCOM GmbH,"D7, Remote",Remote,Freelance,,Senior,,Senior,,21 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/5abe83be068311f196d7a2d1b5394681,2026-02-11T11:15:08.313366+00:00
20,QA Engineer | Germany,gulp,DataEngineer(m/f/d) - Azure / Microsoft Fabric,GULP Client,Frankfurt am Main,Remote,Freelance,Can,"Azure, Devops, Spark, Agile, Scala, Sql, Kafka",,Expert,,23 hours ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01238525,2026-02-11T11:15:08.313917+00:00
20,Test Automation | Germany,gulp,DevOps Engineer (m/f/d) Collaboration Suite - Service - Remote & FFM or Berlin,percision services GmbH,siehe Beschreibung,Remote,Freelance,Test Automation,"Devops, Kubernetes, Terraform, Git",,Architect,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/talentfinder/697cd2449bb27bbd86adc76c,2026-02-11T11:16:23.447236+00:00
20,Test Automation | Germany,gulp,Senior Engineer for Photonic Module Characterization (m/f/d),GULP Client,Stuttgart,On-site,Freelance,,"Senior, Junior",,Senior,,08.01.2026,https://www.gulp.de/gulp2/g/projekte/agentur/C01224100,2026-02-11T11:16:23.448301+00:00
20,Python Developer | Germany,gulp,Senior Program Manager / Head of Taskforce (m/f/d) - IT-Security & Public Sector,GULP Client,Berlin,Remote,Freelance,,"Head Of, Senior",,Senior,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01239697,2026-02-11T11:16:38.241873+00:00
20,Python Developer | Germany,gulp,Project Lead - Replacement of Plastic Components (Plastics & Sealing Films) (m/f/d),SOLCOM GmbH,D4,On-site,Freelance,,"Lead, R",,Lead,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/4c49572606ad11f196d7a2d1b5394681,2026-02-11T11:16:38.243228+00:00
20,Python Developer | Germany,gulp,Expert plastic jacket pipe monitoring system (KMR) in the district heating sector (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,Expert,,Expert,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/53a9c28006ad11f196d7a2d1b5394681,2026-02-11T11:16:38.243974+00:00
20,Python Developer | Germany,gulp,ERP System Administrator Unit4 (m/f/d),GULP Client,Berlin,Remote,Freelance,,Expert,,Expert,,21 hours ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01238636,2026-02-11T11:16:38.246849+00:00
20,Firmware Engineer | Germany,gulp,Project management/control core refurbishment of industrial hall (m/f/d),SOLCOM GmbH,D8,On-site,Freelance,,Senior,,Senior,,a day ago,https://www.gulp.de/gulp2/g/projekte/extern/10d25ae6065111f196d7a2d1b5394681,2026-02-11T11:17:12.296761+00:00
0,Tester | Germany,gulp,Test engineer(m/f/d),SOLCOM GmbH,"D7, GR Stuttgart",On-site,Freelance,,,,,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/4888478206ad11f196d7a2d1b5394681,2026-02-11T11:14:51.730128+00:00
0,Tester | Germany,gulp,Testerfor QA/QC support (m/f/d),SOLCOM GmbH,D7,On-site,Freelance,,,,,,2 days ago,https://www.gulp.de/gulp2/g/projekte/extern/e367270c059811f196d7a2d1b5394681,2026-02-11T11:14:51.730431+00:00
0,Tester | Germany,gulp,Automotive SystemTest Engineer(m/f/d),SOLCOM GmbH,D7,On-site,Freelance,,,,,,2 days ago,https://www.gulp.de/gulp2/g/projekte/extern/f4ffe8dc059811f196d7a2d1b5394681,2026-02-11T11:14:51.730719+00:00
0,Tester | Germany,gulp,Embedded SoftwareTester(m/f/d),SOLCOM GmbH,D7,On-site,Freelance,Can,Manual Testing,"German, English",,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/555761aefb7311f096d7a2d1b5394681,2026-02-11T11:14:51.731276+00:00
0,Tester | Germany,gulp,Test EngineerICT (m/f/d),SOLCOM GmbH,D4,On-site,Freelance,,,,,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/44c67122fb7311f096d7a2d1b5394681,2026-02-11T11:14:51.731528+00:00
0,Tester | Germany,gulp,Software/SystemTest Engineer(m/f/d),SOLCOM GmbH,"D8, remote",Remote,Freelance,,"Specialist, Aspice, Iso 26262",English,,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/1b236690fb7311f096d7a2d1b5394681,2026-02-11T11:14:51.731795+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),VOQUZ IT Solutions GmbH,Wien/remote,Remote,Freelance,"Test Automation, Java, Selenium","Jira, Confluence, Sql, Git",,,,25.09.2024,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-02-11T11:14:51.732313+00:00
0,QA Engineer | Germany,gulp,Shipbuildingengineerfor structural design (m/f/d),SOLCOM GmbH,"D2, Remote",Remote,Freelance,,Specialist,,,,16 minutes ago,https://www.gulp.de/gulp2/g/projekte/extern/8ae76262073311f196d7a2d1b5394681,2026-02-11T11:15:08.310079+00:00
0,QA Engineer | Germany,gulp,Site Manager Wind Farms - Kassel Region (m/f/d),SOLCOM GmbH,"D3, Kassel",On-site,Freelance,,Assembly,,,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/5cacee6606ad11f196d7a2d1b5394681,2026-02-11T11:15:08.310672+00:00
0,QA Engineer | Germany,gulp,Permanent position: Lean Production Factory Planning (m/f/d),SOLCOM GmbH,"D6, Frankfurt am Main",On-site,Freelance,,,"German, English",,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/4796193a06ad11f196d7a2d1b5394681,2026-02-11T11:15:08.311239+00:00
0,QA Engineer | Germany,gulp,EPLAN Designer (part-time approx. 40% workload) (m/f/d),SOLCOM GmbH,siehe Beschreibung,Remote,Freelance,,,German,,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/5455bb4406ad11f196d7a2d1b5394681,2026-02-11T11:15:08.311515+00:00
0,QA Engineer | Germany,gulp,Site Manager Wind Farms - Region Frankfurt am Main (m/f/d),SOLCOM GmbH,"D6, Frankfurt am Main",On-site,Freelance,,Assembly,,,,20 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/d9b48a9e068b11f196d7a2d1b5394681,2026-02-11T11:15:08.313099+00:00
0,Test Automation | Germany,gulp,Test AutomationRobot Framework in the banking sector (m/f/d),GULP Client,Frankfurt am Main,Remote,Freelance,"Robot Framework, Python, Ci/Cd",,,,,a day ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01238236,2026-02-11T11:16:23.445838+00:00
0,Test Automation | Germany,gulp,Angular Developer (m/f/d),SOLCOM GmbH,"D6, Frankfurt am Main",On-site,Freelance,"Typescript, Test Automation, Java, Jenkins","Soapui, Spring, Angular",,,,2 days ago,https://www.gulp.de/gulp2/g/projekte/extern/691dc5ce05a111f196d7a2d1b5394681,2026-02-11T11:16:23.446155+00:00
0,Test Automation | Germany,gulp,GIS Developer (m/f/d),GULP Client,Hanover,Remote,Freelance,Python,Postgresql,,,,a week ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01236517,2026-02-11T11:16:23.446683+00:00
0,Test Automation | Germany,gulp,4378 Business Analyst (m/f/d),ACG GmbH,Frankfurt am Main & Remote,Remote,Freelance,Test Automation,,"German, English",,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/a9f46f8afb6f11f0b973a2d1b5394681,2026-02-11T11:16:23.447515+00:00
0,Test Automation | Germany,gulp,Test automationengineer for archive systems,GULP Client,"Frankfurt, überwiegend remote",Remote,Freelance,Test Automation,,,,,3 weeks ago,https://www.gulp.de/gulp2/g/projekte/direkt/6978598a7ada91e76a3ef86d,2026-02-11T11:16:23.447776+00:00
0,Test Automation | Germany,gulp,Wallstreet Suite (WSS) - Multiple roles (f/m/d),GULP Client,Frankfurt am Main,Remote,Freelance,Test Automation,,,,,3 weeks ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01229760,2026-02-11T11:16:23.448036+00:00
0,Python Developer | Germany,gulp,MSQL DatabaseDeveloper(m/f/d) for migration DB2 to MS SQL,GULP Client,Hanover,On-site,Freelance,,Sql,,,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01239648,2026-02-11T11:16:38.241590+00:00
0,Python Developer | Germany,gulp,"DevOps, VMware (vSphere, vROps, vRealize Orchestrator (vRO), Cisco UDS, MDS SAN, ArgoCD",GULP Schweiz AG,Bern,Remote,Freelance,Typescript,"Kubernetes, Argocd, Devops",,,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/talentfinder/698c572afe34278c2f3dcf27,2026-02-11T11:16:38.242158+00:00
0,Python Developer | Germany,gulp,"Developer(m/f/d) - Microservices based on Kubernetes, Kafka",GULP Client,Frankfurt am Main,Remote,Freelance,,"Kafka, Microservices, Kubernetes, Scrum",German,,,an hour ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01239514,2026-02-11T11:16:38.242702+00:00
0,Python Developer | Germany,gulp,SAP System Manager Applications (m/f/d),SOLCOM GmbH,D5,On-site,Freelance,,,,,,15 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/55390e7606ad11f196d7a2d1b5394681,2026-02-11T11:16:38.242959+00:00
0,Python Test | Germany,gulp,Business Analyst for Payment Transactions includingTesting,Lucke EDV GmbH,"Münster, Westfalen",On-site,Freelance,,,,,,2 hours ago,https://www.gulp.de/gulp2/g/projekte/talentfinder/698c317bfe34278c2f3d9d77,2026-02-11T11:16:53.612266+00:00
0,Python Test | Germany,gulp,DWH / ETL - Modeler (m/f/d),SOLCOM GmbH,keine Angabe,On-site,Freelance,,"Sql Server, Sql, Oracle",,,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/509d8e0006ad11f196d7a2d1b5394681,2026-02-11T11:16:53.613070+00:00
0,Python Test | Germany,gulp,Development engineer in the field of power electronics (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,R,,,,a day ago,https://www.gulp.de/gulp2/g/projekte/extern/e0ba3f0c066111f196d7a2d1b5394681,2026-02-11T11:16:53.615186+00:00
0,Firmware Engineer | Germany,gulp,ProjectEngineerHVDC Routing (m/f/d),GULP Client,Berlin,Remote,Freelance,,,,,,a day ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01238213,2026-02-11T11:17:12.296500+00:00
