relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Berater für sevdesk-Einführung und cloudbasierte WaWi gesucht,Freelancermap Client,Germany,On-site,Freelance,,"R, Consultant",German,Consultant,,10:40,https://www.freelancermap.de/projekt/berater-fuer-sevdesk-einfuehrung-und-cloudbasierte-wawi-gesucht,2026-08-20T10:59:50.094431+00:00
0,Tester | Germany,freelancermap,Full Stack Developer (m/w/d) – Node.js / TypeScript / NestJS,Freelancermap Client,remote Deutschland,Remote,Freelance,Typescript,"Nestjs, Node.Js",English,,,10:28,https://www.freelancermap.de/projekt/full-stack-developer-m-w-d-node-js-typescript-nestjs,2026-08-20T10:59:50.094648+00:00
0,Tester | Germany,freelancermap,"Data Analyst (Power BI, Microsoft Fabric, SQL) (m/w/d) 90% remote ID03166",Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,Sql,English,,,10:23,https://www.freelancermap.de/projekt/data-analyst-power-bi-microsoft-fabric-sql-m-w-d-90-prozent-remote-id03166,2026-08-20T10:59:50.094723+00:00
0,Tester | Germany,freelancermap,Prompt Engineer für KI-gestützte Gutachtenprüfung gesucht,Freelancermap Client,Bremen Deutschland,On-site,Freelance,,R,English,,,10:22,https://www.freelancermap.de/projekt/prompt-engineer-fuer-ki-gestuetzte-gutachtenpruefung-gesucht,2026-08-20T10:59:50.094802+00:00
0,Tester | Germany,freelancermap,Dringend: Siemens-Inbetriebnehmer (m/w/d) für kurzfristiges Projekt gesucht,Freelancermap Client,Bitburg Deutschland,On-site,Freelance,,R,English,,,10:21,https://www.freelancermap.de/projekt/dringend-siemens-inbetriebnehmer-m-w-d-fuer-kurzfristiges-projekt-gesucht,2026-08-20T10:59:50.094872+00:00
0,Tester | Germany,freelancermap,SAP GTS Spezialist/ Projektsteuerung (m/w/d) * asap * ca.  5Mon +,Freelancermap Client,Hamburg Deutschland,On-site,Freelance,,,English,,,10:19,https://www.freelancermap.de/projekt/sap-gts-spezialist-projektsteuerung-m-w-d-asap-ca-5mon,2026-08-20T10:59:50.094938+00:00
0,Tester | Germany,freelancermap,Software Developer / Fullstack Developer Java – Start: September – remote,Freelancermap Client,Munich Deutschland,Remote,Freelance,Java,,English,,,10:15,https://www.freelancermap.de/projekt/software-developer-fullstack-developer-java-start-september-remote,2026-08-20T10:59:50.095063+00:00
0,Tester | Germany,freelancermap,Netzanschlussmanager / Grid Connection Manager (m/w/d),Freelancermap Client,Remote Deutschland,Remote,Freelance,,,English,,,10:08,https://www.freelancermap.de/projekt/netzanschlussmanager-grid-connection-manager-m-w-d,2026-08-20T10:59:50.095267+00:00
0,Tester | Germany,freelancermap,Flächenakquisiteur /-sicherer erneuerbare Energien (m/w/d),Freelancermap Client,D2 Deutschland,On-site,Freelance,,,English,,,10:08,https://www.freelancermap.de/projekt/flaechenakquisiteur-sicherer-erneuerbare-energien-m-w-d-3037793,2026-08-20T10:59:50.095331+00:00
0,Tester | Germany,freelancermap,Flächenakquisiteur /-sicherer erneuerbare Energien (m/w/d),Freelancermap Client,keine Angabe Deutschland,On-site,Freelance,,,English,,,10:08,https://www.freelancermap.de/projekt/flaechenakquisiteur-sicherer-erneuerbare-energien-m-w-d,2026-08-20T10:59:50.095392+00:00
0,QA Engineer | Germany,freelancermap,IT-Servicetechniker mit Teamleiterfunktion (w/m/d)   ---   Bremen,Freelancermap Client,Bremen Deutschland,On-site,Freelance,,,German,,,11:00,https://www.freelancermap.de/projekt/it-servicetechniker-mit-teamleiterfunktion-w-m-d-bremen-3037866,2026-08-20T11:00:56.139586+00:00
0,Firmware Engineer | Switzerland,freelancermap,Virtualization Engineer (m/w/d) - Remote (65%),DIGIT4U Business Solutions GmbH,München Deutschland,Remote,Freelance,,"Oracle, R, Ansible, Powershell",German,,,11:07,https://www.freelancermap.de/projekt/virtualization-engineer-m-w-d-remote-65-prozent-3037867,2026-08-20T11:08:05.103527+00:00
