relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Senior, R, Project Manager, Devops, Consultant, Agile, Safe, Microservices",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105556,2026-05-04T12:05:45.984535+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem-Mea­su­re­ments (up to 12 GHz) / 3 Per­son(en) (m/w/d),SOLCOM Client,"International, Bucharest, Romania",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-3-person-en-m-w-d-105657,2026-05-04T12:06:47.568100+00:00
0,Test Engineer | Germany,solcom,Teil­pro­jekt­lei­ter Hoch-und Mit­tel­span­nung / Pa­cka­ge Ma­na­ger eBOP (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/teilprojektleiter-hoch-und-mittelspannung-package-manager-ebop-m-w-d-105617,2026-05-04T12:06:47.568198+00:00
0,Test Engineer | Germany,solcom,De­v­Ops Go­ver­nan­ce En­able­ment Spe­zia­list (m/w/d),SOLCOM Client,D7,On-site,Freelance,Go,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/devops-governance-enablement-spezialist-m-w-d-105537,2026-05-04T12:06:47.568590+00:00
0,Test Engineer | Germany,solcom,Qua­li­täts­in­gen­ei­eur /QS-In­ge­nieur für Groß­bau­stel­le im Be­reich En­er­gie­tech­nik (m/w/d),SOLCOM Client,"D5, Gr Mainz 4 Tage Mo-Do",On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qualitaetsingeneieur-qs-ingenieur-fuer-grossbaustelle-im-bereich-energietechnik-m-w-d-105492,2026-05-04T12:06:47.568685+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer Si­mu­la­ti­on (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-simulation-m-w-d-105489,2026-05-04T12:06:47.568780+00:00
0,Test Engineer | Germany,solcom,PID Con­t­rol En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pid-control-engineer-m-w-d-105468,2026-05-04T12:06:47.568892+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D0, Thüringen (40%)/ remote (60%)",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-entwickler-sap-qm-fiori-apps-m-w-d-105455,2026-05-04T12:06:47.568992+00:00
0,Test Engineer | Germany,solcom,Busi­ness Ana­lyst (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyst-m-w-d-105399,2026-05-04T12:06:47.569086+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/grid-code-test-engineer-m-w-d-105313,2026-05-04T12:06:47.569179+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-05-04T12:06:47.569274+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,CH,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-05-04T12:06:47.569369+00:00
0,Test Engineer | Germany,solcom,Pro­ject Qua­li­ty En­gi­neer (Hard­ware / Soft­ware) - 50% Aus­las­tung (m/w/d),SOLCOM Client,"D9, & Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-05-04T12:06:47.569465+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,On-site,Freelance,Embedded Linux,"Linux, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-embedded-systeme-m-w-d-1014771,2026-05-04T12:07:54.133410+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,"Hil, Sil",R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-entwickler-fuer-automationssysteme-m-w-d-105597,2026-05-04T12:08:55.457213+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,"Python, Test Automation","Fpga, Azure, R, Devops, Vhdl, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-05-04T12:08:55.457336+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,Python,"Computer Vision, Machine Learning, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ros-entwickler-robot-operating-system-m-w-d-105627,2026-05-04T12:10:53.732676+00:00
