relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,SAP EWM Consultant (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255434,2026-03-21T11:00:37.864431+00:00
14,Test Automation | Germany,gulp,Senior Angular Developer (m/f/d),GULP Client,Location: Cologne,On-site,Freelance,,"Angular, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249749,2026-03-21T11:04:02.230617+00:00
14,Python Developer | Germany,gulp,IT Consultant Application Management Service (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd598005864ab5b2e8b356,2026-03-21T11:04:54.815621+00:00
14,Python Developer | Germany,gulp,CX Consultant with Power BI knowledge (m/f/d),GULP Client,Location: remote/Düsseldorf,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd51825b755535eac573f2,2026-03-21T11:04:54.817686+00:00
14,Firmware Engineer | Germany,gulp,Senior SIEMEngineer(m/f/d) Microsoft Sentinel & Azure Cloud Security Remote and Dortmund,GULP Client,Location: Dortmund,Remote,Freelance,,"Azure, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bbb0b15b755535eac3e5f5,2026-03-21T11:06:34.681126+00:00
14,Firmware Engineer | Germany,gulp,"Senior Business Analyst (m/f/d) GridAnalyse, EMS, SCADA - Remote & Berlin",GULP Client,Location: Berlin,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bac7445b755535eac3c9cd,2026-03-21T11:06:34.682137+00:00
0,Tester | Germany,gulp,S4/HANA Transformation - Global Source-to-Pay (STP) Process Excellence (m/f/d),GULP Client,Location: Bad Homburg vor der Höhe,Remote,Freelance,,,German,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256351,2026-03-21T11:00:37.863913+00:00
0,Tester | Germany,gulp,Integrationtester(m/f/d),GULP Client,Location: Bonn,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255245,2026-03-21T11:00:37.865394+00:00
0,Tester | Germany,gulp,Software Tester OSPlus Credit (m/f/d),GULP Client,Germany,Remote,Freelance,,Jira,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255033,2026-03-21T11:00:37.865875+00:00
0,Tester | Germany,gulp,Softwaretesterspecializing in automation (ISTQB),GULP Client,Location: Lemwerder,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255150,2026-03-21T11:00:37.866335+00:00
0,Tester | Germany,gulp,Test Technician / LabVIEW Test Bench (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8164693218a511f189e08e417b6a1e17,2026-03-21T11:00:37.866890+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d) Verification & Validation,GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-03-21T11:00:37.867258+00:00
0,Tester | Germany,gulp,Software Tester (m/f/d),GULP Client,Germany,Remote,Freelance,,Sql,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-03-21T11:00:37.867732+00:00
0,Tester | Germany,gulp,4389 Banking applicationtester(m/f/d),GULP Client,Location: Münster,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/028cfdd410b411f196d7a2d1b5394681,2026-03-21T11:00:37.868189+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-03-21T11:00:37.869025+00:00
0,QA Engineer | Germany,gulp,Software developer with knowledge of Angular/Spring Boot/Selenium - 100% remote / Permanent employees only!,GULP Client,Location: Berlin,Remote,Freelance,Selenium,"Angular, Spring Boot",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256510,2026-03-21T11:01:29.229053+00:00
0,QA Engineer | Germany,gulp,Technical Writer (m/f/d),GULP Client,Location: Stollberg/Erzgebirge,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01257170,2026-03-21T11:01:29.229532+00:00
0,QA Engineer | Germany,gulp,Machine designer (m/f/d) Vacuum technology,GULP Client,Location: Stollberg/Erzgebirge,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01257167,2026-03-21T11:01:29.230013+00:00
0,QA Engineer | Germany,gulp,Tier 3 Operations Specialist (m/f/d) Storage - KRITIS,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd61a65b755535eac5e463,2026-03-21T11:01:29.230471+00:00
0,QA Engineer | Germany,gulp,UiPath Test AutomationEngineer(m/f/d) Munich + Remote,GULP Client,Location: München,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd51f55b755535eac57d43,2026-03-21T11:01:29.231946+00:00
0,QA Engineer | Germany,gulp,UsabilityEngineerwith UI design skills (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69bd5143f4488b21f8a07bad,2026-03-21T11:01:29.232408+00:00
0,QA Engineer | Germany,gulp,Business Analyst (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd4fc65b755535eac56ec5,2026-03-21T11:01:29.232962+00:00
0,QA Engineer | Germany,gulp,SoftwareEngineerJava in Payment Transactions,GULP Client,"Location: Münster, Westfalen",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd46d05b755535eac51ed3,2026-03-21T11:01:29.233514+00:00
0,QA Engineer | Germany,gulp,IAM Keycloak OperationsEngineer(m/f/d),GULP Client,Location: remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd27c45b755535eac4dd63,2026-03-21T11:01:29.234059+00:00
0,QA Engineer | Germany,gulp,Kubernetes Site ReliabilityEngineer(m/f/d) - private cloud/Postgres/Kafka,GULP Client,Location: Remote,Remote,Freelance,,Kubernetes,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd0e1e05864ab5b2e87cf4,2026-03-21T11:01:29.234962+00:00
0,QA Engineer | Germany,gulp,IT Service Operator/Engineer(m/f/d) - Xray,GULP Client,Location: Frankfurt am Main,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256002,2026-03-21T11:01:29.235329+00:00
0,QA Engineer | Germany,gulp,IT OperationsEngineer(m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bc0bcc05864ab5b2e859fe,2026-03-21T11:01:29.235876+00:00
0,Test Automation | Germany,gulp,Developer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256441,2026-03-21T11:04:02.226362+00:00
0,Test Automation | Germany,gulp,Test automationrobot/Python / load/performance testing / manual testing (m/f/d),GULP Client,Location: Wiesbaden,Remote,Freelance,Python,"Manual Testing, Performance Testing",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256616,2026-03-21T11:04:02.226847+00:00
0,Test Automation | Germany,gulp,Fullstack Developer (m/f/d) C# (ASP.Net) and Typescript (Angular),GULP Client,Location: Hanover,Remote,Freelance,"C, Typescript","Angular, C#",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256381,2026-03-21T11:04:02.227291+00:00
0,Python Developer | Germany,gulp,Trainer for the TYPO3 CMSDeveloper,GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69bd6f46f4488b21f8a09e23,2026-03-21T11:04:54.814152+00:00
0,Python Developer | Germany,gulp,Power BIDeveloper& Analyst (m/f/d),GULP Client,Location: Hamburg,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256927,2026-03-21T11:04:54.816095+00:00
0,Python Developer | Germany,gulp,Project manager in payment transactions,GULP Client,"Location: Münster, Westfalen",Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd42c95b755535eac50991,2026-03-21T11:04:54.819271+00:00
0,Python Developer | Germany,gulp,Business Analyst for Payment Transactions,GULP Client,"Location: Münster, Westfalen",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd48955b755535eac52707,2026-03-21T11:04:54.820374+00:00
0,Python Test | Germany,gulp,SAP-QM Specialist (m/f/d),GULP Client,Location: Neuss,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255171,2026-03-21T11:05:44.076822+00:00
0,Firmware Engineer | Germany,gulp,ProjectEngineer- ProcessEngineering(m/f/d),GULP Client,Location: Lüdinghausen,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256638,2026-03-21T11:06:34.680574+00:00
0,Firmware Engineer | Germany,gulp,"IT SystemEngineer- Storage, Backup & Virtualization (m/f/d)",GULP Client,"Location: Gilching, Erlangen",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bacc8805864ab5b2e77d32,2026-03-21T11:06:34.681564+00:00
